username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:52;2;4;"Celebrating our flag and all that it stands for. #FlagDay pic.twitter.com/grXW4TAdDz";;;#FlagDay;"875093546935648257";https://twitter.com/RepJohnDelaney/status/875093546935648257
;2017-06-14 09:24;7;15;"Whip Scalise is a good man and this awful morning is a reminder that we are all Americans and all on the same team.";;;;"874995942667296768";https://twitter.com/RepJohnDelaney/status/874995942667296768
;2017-06-14 09:23;8;37;"Praying for @SteveScalise and others who were shot in this horrific shooting. Thank you to the Capitol Police and all first responders.";;@SteveScalise;;"874995830624833536";https://twitter.com/RepJohnDelaney/status/874995830624833536
;2017-06-13 15:25;1;2;"Let's stay connected on @facebook . Like my page here https://www. facebook.com/congressmanjoh ndelaney …";;@facebook;;"874724361990701056";https://twitter.com/RepJohnDelaney/status/874724361990701056
;2017-06-13 09:15;2;6;"Report in Bloomberg on how economists have removed a Trump infrastructure boost from their forecasts https://www. bloomberg.com/politics/artic les/2017-06-08/infrastructure-boost-becomes-invisible-in-u-s-growth-forecasts … pic.twitter.com/sfrTVcz3KE";;;;"874631207203504130";https://twitter.com/RepJohnDelaney/status/874631207203504130
;2017-06-13 08:11;14;18;"This is no way to govern. Vox: Want to see the Senate's draft health care bill? Good luck. https://www. vox.com/policy-and-pol itics/2017/6/12/15786410/voxcare-senate-health-care-bill-not-public …";;;;"874615179555856385";https://twitter.com/RepJohnDelaney/status/874615179555856385
;2017-06-12 20:38;7;18;"Another reason I opposed Trumpcare -> Flexibility That A.C.A. Lent to Work Force Is Threatened by G.O.P. Plan https:// nyti.ms/2tacFDJ";;;;"874440787043516416";https://twitter.com/RepJohnDelaney/status/874440787043516416
;2017-06-12 20:36;0;3;"Let's stay in touch, click here to subscribe to my e-newsletter https:// delaney.house.gov/contact/newsle tter … #MD6";;;#MD6;"874440347811819520";https://twitter.com/RepJohnDelaney/status/874440347811819520
;2017-06-12 12:35;3;18;"Today we remember the 49 lives lost at Pulse. On this day, we all stand with #Orlando .";;;#Orlando;"874319203909726208";https://twitter.com/RepJohnDelaney/status/874319203909726208
;2017-06-12 11:43;1;4;"Trump #Infrastructure Plan Must Be More than Just Public-Private Partnerships http:// delaney.house.gov/news/press-rel eases/delaney-in-us-news-world-report-trump-infrastructure-plan-must-be-more-than-just …";;;#Infrastructure;"874306157292261377";https://twitter.com/RepJohnDelaney/status/874306157292261377
;2017-06-12 11:30;5;3;"Wow - this summary of President Trump's mostly content-free #infrastructureweek from Politico's @Morning_Transpo pic.twitter.com/zCt85ggt8e";;@Morning_Transpo;#infrastructureweek;"874302800179671047";https://twitter.com/RepJohnDelaney/status/874302800179671047
;2017-06-12 09:17;2;1;"The House is in session this week. Here's what we're scheduled to vote on http:// delaney.house.gov/news/blogs/on- the-house-floor-this-week-61217 … pic.twitter.com/2UGKUThbzO";;;;"874269425385570306";https://twitter.com/RepJohnDelaney/status/874269425385570306
;2017-06-11 18:58;5;13;"Acting on climate change and supporting coal workers – we have to do both. My op-ed http:// thehill.com/blogs/congress -blog/energy-environment/336839-acting-on-climate-change-and-supporting-coal-workers … pic.twitter.com/CmO0qdCEUj";;;;"874053308503207936";https://twitter.com/RepJohnDelaney/status/874053308503207936
;2017-06-10 17:21;6;13;"We must fight for policies to combat climate change, but we can't demonize coal workers https:// delaney.house.gov/news/press-rel eases/delaney-publishes-op-ed-on-importance-of-supporting-coal-workers-acting-on …";;;;"873666509025021952";https://twitter.com/RepJohnDelaney/status/873666509025021952
;2017-06-09 21:29;2;6;"Public-private partnerships can help, but if that's all Trump's plan is, it won't be nearly enough https://www. usnews.com/opinion/debate -club/articles/2017-06-09/trumps-infrastructure-plan-for-public-private-partnerships-is-insufficient … pic.twitter.com/rzjJx9bNlL";;;;"873366456209219585";https://twitter.com/RepJohnDelaney/status/873366456209219585
;2017-06-09 21:21;6;10;"Trump's Infrastructure Plan for Public-Private Partnerships Is Insufficient | US News https://www. usnews.com/opinion/debate -club/articles/2017-06-09/trumps-infrastructure-plan-for-public-private-partnerships-is-insufficient?src=usn_tw … #infrastructureweek";;;#infrastructureweek;"873364582919806978";https://twitter.com/RepJohnDelaney/status/873364582919806978
;2017-06-09 11:03;8;6;"Coal, Trump and Climate Change. My op-ed on how we need a new approach http:// thehill.com/blogs/congress -blog/energy-environment/336839-acting-on-climate-change-and-supporting-coal-workers … pic.twitter.com/Fl5aYy7f9v";;;;"873208994977992705";https://twitter.com/RepJohnDelaney/status/873208994977992705
;2017-06-09 08:04;6;16;"My op-ed in @thehill on climate change, coal and Trump http:// thehill.com/blogs/congress -blog/energy-environment/336839-acting-on-climate-change-and-supporting-coal-workers …";;@thehill;;"873163973922873344";https://twitter.com/RepJohnDelaney/status/873163973922873344
;2017-06-08 16:29;1;1;"Let's stay in touch, click here to subscribe to my e-newsletter https:// delaney.house.gov/contact/newsle tter …";;;;"872928518157553667";https://twitter.com/RepJohnDelaney/status/872928518157553667
;2017-06-08 15:53;8;15;"My statement on the #WrongChoiceAct pic.twitter.com/FvYEPDIzWt";;;#WrongChoiceAct;"872919445009838082";https://twitter.com/RepJohnDelaney/status/872919445009838082
