username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:52;14;37;"My thoughts and prayers are with Rep. Scalise, Hill staffers, Capitol Police officers, and everyone affected by this morning's shooting.";;;;"874987990350778368";https://twitter.com/RepJuanVargas/status/874987990350778368
;2017-06-13 11:11;1;9;"#TeamVargas attended the Environmental Justice Symposium in Barrio Logan where the community voiced its concerns to CA Water Board members. pic.twitter.com/HamkunxrcQ";;;#TeamVargas;"874660391577673735";https://twitter.com/RepJuanVargas/status/874660391577673735
;2017-06-12 15:48;1;4;"It was a great honor to receive the Bayani Award at the 7th Annual Mabuhay Festival. Thank you so much for this recognition! #CA51 pic.twitter.com/Gx7MWqO64A";;;#CA51;"874367743037976576";https://twitter.com/RepJuanVargas/status/874367743037976576
;2017-06-12 15:44;3;15;"I enjoyed spending time at the Mabuhay Festival this weekend! Thank you to all who put together this great celebration of Filipino culture. pic.twitter.com/ief0bG0uKF";;;;"874366787655262209";https://twitter.com/RepJuanVargas/status/874366787655262209
;2017-06-12 13:32;19;32;""One Way Trump Could Honor Military Veterans? Stop Deporting Them" #DeportedVeterans http:// ow.ly/kcQa30cwRfE";;;#DeportedVeterans;"874333721398308864";https://twitter.com/RepJuanVargas/status/874333721398308864
;2017-06-12 10:44;7;13;"A year ago, 49 lives were taken in Orlando. We'll always remember the victims and survivors and stand with the LGBT community against hate. pic.twitter.com/RPdqmtkcvP";;;;"874291362757304320";https://twitter.com/RepJuanVargas/status/874291362757304320
;2017-06-09 10:48;16;29;"The immigrant community keeps our country moving forward. As a son of immigrants, I'm proud to celebrate #ImmigrantHeritageMonth ! pic.twitter.com/lrjKtMhX3v";;;#ImmigrantHeritageMonth;"873205155960848384";https://twitter.com/RepJuanVargas/status/873205155960848384
;2017-06-07 10:29;1;6;"My monthly eNewsletter went out yesterday! Check your email inbox or sign-up to receive email updates every month: http:// vargas.house.gov/htbin/formproc /contact/newsletter%26pass?signup-email= … pic.twitter.com/gr0WJmbwec";;;;"872475576233340929";https://twitter.com/RepJuanVargas/status/872475576233340929
;2017-06-06 11:34;32;43;"It's so important to share the stories of #DeportedVeterans . My colleagues and I are fighting in Congress to help them and bring them home. pic.twitter.com/VFbiuSU8DV";;;#DeportedVeterans;"872129478004289537";https://twitter.com/RepJuanVargas/status/872129478004289537
;2017-06-05 12:28;32;26;""They served in the U.S. military and hoped for citizenship. Then they got deported." #DeportedVeterans http:// ow.ly/15kA30ckCuW";;;#DeportedVeterans;"871780841235599360";https://twitter.com/RepJuanVargas/status/871780841235599360
