username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:15;0;3;"Welcoming a group of accounting students from Texas Christian University to Capitol Hill today. #GoHornedFrogs pic.twitter.com/A4J9SiDMZL";;;#GoHornedFrogs;"875099496727945220";https://twitter.com/RepKayGranger/status/875099496727945220
;2017-06-14 15:56;0;8;"Happy 242nd birthday to the @USArmy #ArmyBirthday pic.twitter.com/HXIzy3VlvE";;@USArmy;#ArmyBirthday;"875094667771170816";https://twitter.com/RepKayGranger/status/875094667771170816
;2017-06-14 11:55;1;0;"I want to thank Gen. David Goldfein for meeting with me today on the Air Force's priorities ahead of tomorrow's Defense Approps hearing. pic.twitter.com/TXOh63TOJC";;;;"875034000368304129";https://twitter.com/RepKayGranger/status/875034000368304129
;2017-06-14 09:59;2;2;"Congresswoman Granger's statement on this morning's shooting: http:// bit.ly/2t2bnLC";;;;"875004892456390656";https://twitter.com/RepKayGranger/status/875004892456390656
;2017-06-14 08:51;3;14;"Prayers for @stevescalise and the other victims of this senseless and cowardly act of violence. Thankful for actions of the @CapitolPolice .";;@stevescalise @CapitolPolice;;"874987640977850368";https://twitter.com/RepKayGranger/status/874987640977850368
;2017-06-13 15:21;1;7;"Kudos to @fortworthpd and employees @HomeDepot Fort Worth for stepping up and helping a neighbor in need. http:// cbsn.ws/2sptEoU";;@fortworthpd @HomeDepot;;"874723407123943424";https://twitter.com/RepKayGranger/status/874723407123943424
;2017-06-08 09:13;1;2;"Listening to Adm. John Richardson this morning on the Navy's priorities for the coming year & importance of seapower in troubled times #Navy pic.twitter.com/ldC90xBu5r";;;#Navy;"872818767289606145";https://twitter.com/RepKayGranger/status/872818767289606145
;2017-06-07 16:15;0;3;"I want to thank members of the Fort Worth Air Power Council for coming by my Capitol Hill office today and for their support of our military pic.twitter.com/Xfu73Ro0aN";;;;"872562686596456448";https://twitter.com/RepKayGranger/status/872562686596456448
;2017-06-07 14:53;1;6;"Proud to vote in favor of passing the Iraq and Syria Genocide Emergency Relief and Accountability Act. http:// bit.ly/2rCaBGB";;;;"872542124822208512";https://twitter.com/RepKayGranger/status/872542124822208512
;2017-06-06 09:53;2;3;"Today marks the 73rd anniversary of D-Day. Let us remember and honor the sacrifice of the Greatest Generation. pic.twitter.com/SI7nPqC1LF";;;;"872104133079306240";https://twitter.com/RepKayGranger/status/872104133079306240
;2017-05-29 09:16;1;8;"This #MemorialDay we honor the men & women of our armed forces who made the ultimate sacrifice to defend our freedoms. #foreverthankful pic.twitter.com/qJ5VCJmTq5";;;#MemorialDay #foreverthankful;"869195679746469889";https://twitter.com/RepKayGranger/status/869195679746469889
;2017-05-23 18:17;0;2;"Congrats to the student finalists in the “What’s Right About America” essay contest & to all the 5th grade grads being honored @GrangerElem";;@GrangerElem;;"867157680221245442";https://twitter.com/RepKayGranger/status/867157680221245442
;2017-05-23 16:01;1;1;"Chairwoman Granger's statement today on the release of the President's budget proposal: http:// bit.ly/2q8PAEf";;;;"867123421372665857";https://twitter.com/RepKayGranger/status/867123421372665857
;2017-05-20 16:18;2;17;"A salute to all those who serve in the military this #ArmedForcesDay . Thank you for all you do in the service of our country. pic.twitter.com/pM5edYIb4Y";;;#ArmedForcesDay;"866040429267099648";https://twitter.com/RepKayGranger/status/866040429267099648
;2017-05-19 17:48;3;7;"Trump nominates Marine Gen. Joseph Dunford for 2nd term as Joint Chiefs chairman - Military Times https:// apple.news/AFGzwkUzCPYaQw ClX2NOlUQ …";;;;"865700630156935169";https://twitter.com/RepKayGranger/status/865700630156935169
;2017-05-19 15:53;0;1;"@RepKayGranger & @RepLawrence introduce Vulnerable Children and Families Act w/ @RoyBlunt & @amyklobuchar http:// bit.ly/2qCCxKe";;@RepKayGranger @RepLawrence @RoyBlunt @amyklobuchar;;"865671675722874880";https://twitter.com/RepKayGranger/status/865671675722874880
;2017-05-19 12:28;1;3;"WaPo: U.S. launches rare intentional strike on pro-government forces in Syria http:// wapo.st/2q45D1g";;;;"865620184442130434";https://twitter.com/RepKayGranger/status/865620184442130434
;2017-05-18 14:39;1;5;"This National Police Week remember those who answer the call to protect and serve. #PoliceWeek2017";;;#PoliceWeek2017;"865290665273511936";https://twitter.com/RepKayGranger/status/865290665273511936
;2017-05-18 08:33;0;2;"Thank you @rtiron & Bloomberg for a great discussion on strengthening our military & budget priorities. #bgovinsight";;@rtiron;#bgovinsight;"865198550900191232";https://twitter.com/RepKayGranger/status/865198550900191232
;2017-05-18 07:54;3;4;"The defense appropriations bill will probably stand alone. We've done that before and we will probably do that again. #bgovinsite";;;#bgovinsite;"865188793594392576";https://twitter.com/RepKayGranger/status/865188793594392576
;2017-05-18 07:52;2;4;"On budget parity: "It's a dangerous world & all dollars are not the same. My #1 priority is keeping us safe." @rtiron #bgovinsite";;@rtiron;#1 #bgovinsite;"865188303640907777";https://twitter.com/RepKayGranger/status/865188303640907777
;2017-05-18 07:38;2;3;"At Bloomberg this morning to talk defense spending w/ @rtiron #bgovinsite pic.twitter.com/Ju1JPI9EQG";;@rtiron;#bgovinsite;"865184877070753792";https://twitter.com/RepKayGranger/status/865184877070753792
;2017-04-06 21:42;54;120;"I strongly applaud the President's decisive actions against the Govt. of Syria. The world cannot allow that type of evil to go unchecked.";;;;"850176876828131329";https://twitter.com/RepKayGranger/status/850176876828131329
;2017-03-09 07:22;7;18;"Proud to support this bill. It ensures the U.S. will be strong and able to lead in this very dangerous world. https:// twitter.com/USRepRodney/st atus/839602812493393920 …";;;;"839828647485796353";https://twitter.com/RepKayGranger/status/839828647485796353
