username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 08:53;3;4;"I will be chairing a hearing on cybersecurity today at 10am. You can watch live here! https://www. youtube.com/watch?v=RgqZdJ sNn7Y …";;;;"875350664502751232";https://twitter.com/RepLaHood/status/875350664502751232
;2017-06-14 11:03;15;23;"My statement on this morning's senseless attack at the Congressional baseball practice: pic.twitter.com/lq9650IrhT";;;;"875020959018831873";https://twitter.com/RepLaHood/status/875020959018831873
;2017-06-14 07:24;33;61;"My prayers are with @SteveScalise this morning as he's treated after this morning's shooting & will continue to monitor developments closely";;@SteveScalise;;"874965786095484928";https://twitter.com/RepLaHood/status/874965786095484928
;2017-06-13 10:51;11;40;"You're destined for greatness when you roster two natives of central IL. Congrats to Andre Iguodala and Shaun Livingston of the @warriors ! pic.twitter.com/OA69B1DNOc";;@warriors;;"874655581310771201";https://twitter.com/RepLaHood/status/874655581310771201
;2017-06-09 14:45;6;20;"Planning a summer trip to DC? Be sure to contact my office for tours of the Capitol, White House, Arlington National Cemetery, and more! pic.twitter.com/fWUSuhPmzn";;;;"873264798275915776";https://twitter.com/RepLaHood/status/873264798275915776
;2017-06-08 16:02;3;16;"Opioid addiction is harming families and our communities. We must work to stop this devastating epidemic. https://www. facebook.com/replahood/vide os/1880476115609170/ …";;;;"872921738476228608";https://twitter.com/RepLaHood/status/872921738476228608
;2017-06-08 10:37;1;2;"Also held roundtables in Springfield and Peoria to gain further perspective from local officials, first responders, victims, and families. https:// twitter.com/JECRepublicans /status/872838483181793280 …";;;;"872840087284969472";https://twitter.com/RepLaHood/status/872840087284969472
;2017-06-07 14:41;1;1;"Here is part 2 of my discussion with @WMBDNews on my legislative goals for #IL18 : http://www. centralillinoisproud.com/news/video/rep -darin-lahood-pt-2_20170603015700/730413692 …";;@WMBDNews;#IL18;"872539026108055552";https://twitter.com/RepLaHood/status/872539026108055552
;2017-06-07 13:31;3;8;"Thank you for visiting! Ag is the top industry in our state and I will continue to advocate on behalf of our farming communities. https:// twitter.com/goodwine_coop/ status/872484475489452033 …";;;;"872521329311875079";https://twitter.com/RepLaHood/status/872521329311875079
;2017-06-06 14:27;4;3;"Spoke with @WMBDNews last week about my legislative goals for #IL18 . Watch part one here: http://www. centralillinoisproud.com/news/video/rep -darin-lahood-pt-1_20170603015200/730419015 …";;@WMBDNews;#IL18;"872173097310453761";https://twitter.com/RepLaHood/status/872173097310453761
;2017-06-06 12:22;5;27;"Congrats to @PHHS_sports on winning the IHSA state baseball championship and their first state title!";;@PHHS_sports;;"872141537089646593";https://twitter.com/RepLaHood/status/872141537089646593
;2017-06-06 08:02;7;18;"Agriculture research is vital to our farmers. Proud to work with @RepCheri to keep the Peoria ag lab open & funded. http://www. pjstar.com/news/20170604/ word-on-street-ag-lab-sparks-refreshing-moment-of-bipartisanship …";;@RepCheri;;"872076119239004160";https://twitter.com/RepLaHood/status/872076119239004160
;2017-05-29 14:19;2;11;"This Memorial Day, join me in honoring those who paid the ultimate price to keep our nation safe. https:// goo.gl/cgbXbC";;;;"869272102133739520";https://twitter.com/RepLaHood/status/869272102133739520
;2017-05-28 12:52;6;11;"#Route66 is a point of pride for not only IL, but for the entire country. We must maintain and support it for future generations. https:// twitter.com/thomasfrisbie/ status/868197394567094273 …";;;#Route66;"868887797582712832";https://twitter.com/RepLaHood/status/868887797582712832
;2017-05-22 10:17;9;27;"Congrats to @DHS_Eagle on winning their first girls state track and field championship on Saturday!";;@DHS_Eagle;;"866674315114283008";https://twitter.com/RepLaHood/status/866674315114283008
;2017-05-20 14:33;8;31;"Thank you to all who have served our country and helped preserve our freedom! #ArmedForcesDay";;;#ArmedForcesDay;"866014148630597633";https://twitter.com/RepLaHood/status/866014148630597633
;2017-05-18 16:54;5;15;"We must never forget the hard work or sacrifices that law enforcement officers make in the line of duty. #PoliceWeek https://www. facebook.com/replahood/vide os/1866251697031612/ …";;;#PoliceWeek;"865324712649523201";https://twitter.com/RepLaHood/status/865324712649523201
;2017-05-17 13:59;8;16;"ICYMI: The AHCA will provide more access to affordable, quality healthcare. The truth about our bill: http://www. pjstar.com/opinion/201705 12/spotlight-truth-about-ahca …";;;;"864918404951572481";https://twitter.com/RepLaHood/status/864918404951572481
;2017-05-16 16:46;3;10;"Kicked off #NationalPoliceWeek2017 yesterday with a stop at the Springfield Police Station! pic.twitter.com/13oLIg4mgl";;;#NationalPoliceWeek2017;"864597835236487169";https://twitter.com/RepLaHood/status/864597835236487169
;2017-05-16 15:51;0;1;"#ICYMI : My op-ed in the @pjstar last weekend discussing the #AHCA : https:// goo.gl/wQcaEh";;@pjstar;#ICYMI #AHCA;"864584204901900288";https://twitter.com/RepLaHood/status/864584204901900288
;2017-05-04 15:12;9;36;"The #AHCA fulfills the promise to rescue Americans from the impending collapse of Obamacare. My statement: https:// goo.gl/YZxe9P pic.twitter.com/kqq07LEIyl";;;#AHCA;"860225730797502465";https://twitter.com/RepLaHood/status/860225730797502465
;2017-04-28 12:26;9;27;"My deepest condolences go out to the family of Sergeant Joshua Rodgers. I pray his sacrifice may never be forgotten. https:// goo.gl/UxasgT";;;;"858009449109311488";https://twitter.com/RepLaHood/status/858009449109311488
;2017-04-27 08:39;3;7;"Congratulations to @DHS_Eagle on being ranked as the best public high school in downstate Illinois! https:// goo.gl/Uy2yEG";;@DHS_Eagle;;"857590068864851968";https://twitter.com/RepLaHood/status/857590068864851968
