username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 20:03;0;9;"Lance, Frelinghuysen respond to attack on Capitol colleagues http://www. dailyrecord.com/story/news/201 7/06/14/lance-sobered-attack-capitol-colleagues/396829001/ …";;;;"875156825364193284";https://twitter.com/RepLanceNJ7/status/875156825364193284
;2017-06-14 08:30;8;58;"My prayers go out to my friends @SteveScalise , @RepRWilliams & others injured in this morning’s shooting. Kudos to @CapitolPolice on scene.";;@SteveScalise @RepRWilliams @CapitolPolice;;"874982412622725121";https://twitter.com/RepLanceNJ7/status/874982412622725121
;2017-06-13 14:24;4;13;"Thank you @ReeveFoundation for meeting with me about importance of funding the Paralysis Research Center. pic.twitter.com/Uji2rbH6qJ";;@ReeveFoundation;;"874709075375902720";https://twitter.com/RepLanceNJ7/status/874709075375902720
;2017-06-13 09:38;0;1;"@Qualcomm here at today’s Internet of Things Showcase on Capitol Hill. NJ-7 is home to many leading IoT companies. pic.twitter.com/s18vsgbEHb";;@Qualcomm;;"874637032806641668";https://twitter.com/RepLanceNJ7/status/874637032806641668
;2017-06-13 09:34;0;6;"Proud to speak at today’s kick-off of Mental Health America’s Hill Day & meet with NJ residents in DC for the event. pic.twitter.com/5UIjygphEo";;;;"874636130678968320";https://twitter.com/RepLanceNJ7/status/874636130678968320
;2017-06-13 08:38;4;29;"Rep. Lance served as keynote speaker as 27 new U.S. citizens took part in a naturalization ceremony in Somerville. pic.twitter.com/oTjt1h2Lgi";;;;"874621917466165248";https://twitter.com/RepLanceNJ7/status/874621917466165248
;2017-06-12 10:26;4;12;"A bipartisan majority of the NJ Reps want to preserve funding for the agency that investigates chemical accidents. http://www. nj.com/politics/index .ssf/2017/06/powerful_nj_republican_asked_to_side_with_his_coll.html …";;;;"874286913020153856";https://twitter.com/RepLanceNJ7/status/874286913020153856
;2017-06-12 10:24;6;24;"2 N.J. lawmakers push Trump to get tough on Russia | http:// NJ.com http://www. nj.com/politics/index .ssf/2017/06/2_nj_lawmakers_cross_party_lines_to_oppose_trump_a.html …";;;;"874286328887857152";https://twitter.com/RepLanceNJ7/status/874286328887857152
;2017-06-08 14:26;0;0;"@HouseCommerce voted 54-0 to pass #FDARA . NJ has thousands of jobs that are affected positively by the legislation. https://www. youtube.com/watch?v=ScUxpI ueYcg&feature=share …";;@HouseCommerce;#FDARA;"872897577880039424";https://twitter.com/RepLanceNJ7/status/872897577880039424
;2017-06-08 14:20;1;8;"It was a pleasure meeting the Lopes Family who made the trip from Mountainside for a tour of the U.S. Capitol. pic.twitter.com/JyiGoF5NZI";;;;"872896123131879425";https://twitter.com/RepLanceNJ7/status/872896123131879425
;2017-06-07 15:52;3;14;"Great meeting with @AARPNJ President Dave Mollen & constituents about ways we can work together to help NJ7 seniors. pic.twitter.com/Rpp4UdaAQm";;@AARPNJ;;"872556776171941888";https://twitter.com/RepLanceNJ7/status/872556776171941888
;2017-06-06 14:24;1;8;". @EricLeGrand52 I sent a letter yesterday requesting funding for the @ReeveFoundation PRC. Thank you for your advocacy & leadership! — L.L.";;@EricLeGrand52 @ReeveFoundation;;"872172400141627392";https://twitter.com/RepLanceNJ7/status/872172400141627392
;2017-06-06 11:12;7;39;"Today we remember the heroic bravery of those who stormed the beaches of Normandy in 1944 in the name of freedom. pic.twitter.com/2TazT6zBnj";;;;"872124102227750914";https://twitter.com/RepLanceNJ7/status/872124102227750914
;2017-06-04 06:05;22;75;"Heidi & I pray for the victims of the London Bridge terrorist attack. America stands resolute & united with the U.K. http://www. cnn.com/2017/06/04/eur ope/london-terror-attack-new/index.html …";;;;"871322072244514817";https://twitter.com/RepLanceNJ7/status/871322072244514817
;2017-05-30 13:57;5;33;"Proud to join my NJ congressional colleagues in urging President Trump to support Gateway Tunnel. http://www. nj.com/politics/index .ssf/2017/05/nj_delegation_--_minus_2_--_seeks_federal_funds_fo.html#incart_river_home …";;;#incart_river_home;"869628760013844483";https://twitter.com/RepLanceNJ7/status/869628760013844483
;2017-05-30 11:44;1;33;"Beginning my first day of jury duty today. Serving on a jury pool is a civic responsibility I take seriously. pic.twitter.com/mBh3zdrcpi";;;;"869595474445185026";https://twitter.com/RepLanceNJ7/status/869595474445185026
;2017-05-26 04:44;0;5;"I have instructed my staff to add my name as a cosponsor of HR 1406 at your request. -- L.L.";;;;"868040200521474048";https://twitter.com/RepLanceNJ7/status/868040200521474048
;2017-05-25 13:33;17;41;"Rep. Lance will be hosting his 44th in-person town hall meeting on Tuesday at Union County College in Cranford. https:// patch.com/new-jersey/wes tfield/rep-leonard-lance-hold-town-hall-cranford-next-week …";;;;"867810909816836096";https://twitter.com/RepLanceNJ7/status/867810909816836096
;2017-05-25 12:50;11;15;"Lance 44th Town Hall Set For May 30 | Congressman Leonard Lance http:// lance.house.gov/newsroom/press -releases/lance-44th-town-hall-set-for-may-30 …";;;;"867799971646636033";https://twitter.com/RepLanceNJ7/status/867799971646636033
;2017-05-25 12:21;20;90;"I believe strongly in a free & unfettered press and have always been respectful & accessible to the press corps. pic.twitter.com/izpbdBVxIr";;;;"867792749927510016";https://twitter.com/RepLanceNJ7/status/867792749927510016
;2017-05-25 05:20;2;3;"My message for this weekend’s #RollingThunder "Ride for Freedom" participants >>> Veterans' voices are being heard http://www. washingtontimes.com/news/2017/may/ 24/veterans-voices-are-being-heard/ …";;;#RollingThunder;"867686768728039426";https://twitter.com/RepLanceNJ7/status/867686768728039426
;2017-05-24 16:51;4;24;"This is welcome news to weary commuters. >>>> NJ Transit gets $10M from feds for automatic speed control system http://www. nj.com/politics/index .ssf/2017/05/nj_transit_gets_10m_for_automatic_speed_control_sy.html …";;;;"867498358402949120";https://twitter.com/RepLanceNJ7/status/867498358402949120
;2017-05-24 14:14;5;24;"Proud that my amendment cracking down on counterfeit drugs was passed as part of HR 2430. https:// riponadvance.com/stories/fda-re authorization-bill-coauthored-burgess-walden-clears-subcommittee/ … pic.twitter.com/FcJPEC7U7x";;;;"867458902870433793";https://twitter.com/RepLanceNJ7/status/867458902870433793
;2017-05-23 15:56;6;21;". @Leila_A_Rice , I signed a similar letter to Sec. Tillerson authored by my friends @RepGusBilirakis & @RosLehtinen demanding justice. — L.L. https:// twitter.com/leila_a_rice/s tatus/867057661614927873 …";;@Leila_A_Rice @RepGusBilirakis @RosLehtinen;;"867122063928066049";https://twitter.com/RepLanceNJ7/status/867122063928066049
;2017-05-23 15:23;2;4;"ABCNews: Republicans made clear they would review the budget as they draw up their own plans for government funding. pic.twitter.com/Yay129tneJ";;;;"867113885312090113";https://twitter.com/RepLanceNJ7/status/867113885312090113
;2017-05-23 15:16;1;2;"Congressman Lance Offers Westfield High School Students Service Academy Opportunity - Westfield NJ News - TAPinto https://www. tapinto.net/towns/westfiel d/articles/congressman-lance-offers-westfield-high-school-st …";;;;"867112016661663745";https://twitter.com/RepLanceNJ7/status/867112016661663745
;2017-05-23 14:36;8;17;"Not much praise in New Jersey for Donald Trump's budget https:// njersy.co/2regPNV via @northjersey pic.twitter.com/mzmwkZ6wnn";;@northjersey;;"867101972616314884";https://twitter.com/RepLanceNJ7/status/867101972616314884
