username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:00;8;8;"“We must remember to condemn acts of hate and violence and do all we can to work towards unity in America." #StrongerTogether pic.twitter.com/d7h8XgE66T";;;#StrongerTogether;"875095547115384833";https://twitter.com/RepLawrence/status/875095547115384833
;2017-06-14 15:58;4;1;"Congresswoman Lawrence Statement on Shooting at Congressional Baseball Practice | Congresswoman Brenda Lawrence https:// lawrence.house.gov/media-center/p ress-releases/congresswoman-lawrence-statement-shooting-congressional-baseball …";;;;"875095039172628481";https://twitter.com/RepLawrence/status/875095039172628481
;2017-06-14 13:10;9;11;"I'm so glad to join @AAUWPolicy today to speak on the incredible impact women have in our nation and around the world! #AAUW2017 pic.twitter.com/mlrXwXwHnW";;@AAUWPolicy;#AAUW2017;"875052726442504192";https://twitter.com/RepLawrence/status/875052726442504192
;2017-06-14 08:47;2;8;"This was a horrific act of violence and my prayers are with the victims and their families. Thank you Capitol Police https://www. google.com/amp/s/amp.cnn. com/cnn/2017/06/14/politics/alexandria-virginia-shooting/index.html …";;;;"874986567412191232";https://twitter.com/RepLawrence/status/874986567412191232
;2017-06-13 12:39;7;16;"5 months & Trump Admin hasn't: -Passed a bill to create good-paying jobs -Passed a budget -Acted to #RaiseTheWage pic.twitter.com/Z0Fj0SgctY";;;#RaiseTheWage;"874682722811338753";https://twitter.com/RepLawrence/status/874682722811338753
;2017-06-12 13:56;5;8;"On this one-year anniversary of the #PulseOrlando victims, let us honor them by standing up against hate and division. #OrlandoUnitedDay pic.twitter.com/5ZAIRXH8y0";;;#PulseOrlando #OrlandoUnitedDay;"874339700336713729";https://twitter.com/RepLawrence/status/874339700336713729
;2017-06-12 07:40;1;2;"TODAY! Come join a special Coffee Hour with Congresswoman Lawrence focused on our #Veterans ! Hope to see you there! pic.twitter.com/C0fB8Fws6l";;;#Veterans;"874244947125383169";https://twitter.com/RepLawrence/status/874244947125383169
;2017-06-09 10:06;11;12;"#ShePersisted #Truth #WeThePeople @NancyPelosi https:// twitter.com/nowthisnews/st atus/872982332155715584 …";;@NancyPelosi;#ShePersisted #Truth #WeThePeople;"873194477682294784";https://twitter.com/RepLawrence/status/873194477682294784
;2017-06-08 15:18;5;6;"FACT: 78 % of Americans want an independent commission into the Trump-Russia connection. Meanwhile, @SpeakerRyan & GOP refuse to do so.";;@SpeakerRyan;;"872910777220558850";https://twitter.com/RepLawrence/status/872910777220558850
;2017-06-08 15:16;2;3;""Diversity is the cornerstone of our democracy." #HateFreeAmerica #LibertyAndJusticeForAll @RepJayapal pic.twitter.com/CiCWk0Zw3s";;@RepJayapal;#HateFreeAmerica #LibertyAndJusticeForAll;"872910319445835776";https://twitter.com/RepLawrence/status/872910319445835776
;2017-06-08 12:10;2;3;"Tune in NOW as we speak against hate and division. #HateFreeAmerica . http:// facebook.com/RepJayapal/vid … http:// fb.me/1YTDw0GjH pic.twitter.com/nPLQIVaRFQ";;;#HateFreeAmerica;"872863321661243392";https://twitter.com/RepLawrence/status/872863321661243392
;2017-06-08 12:08;0;6;"Tune in NOW as we speak against hate and division. https://www. facebook.com/RepJayapal/vid eos/1585675404776376/ … http:// fb.me/1YTDw0GjH";;;;"872862902675439618";https://twitter.com/RepLawrence/status/872862902675439618
;2017-06-08 10:59;0;2;"As the world watches, the need for an #IndependentCommission is even more clear. https://www. google.com/amp/www.cnbc.c om/amp/2017/06/08/watch-james-comey-testimony-on-trump-and-russia-investigation.html …";;;#IndependentCommission;"872845532565311489";https://twitter.com/RepLawrence/status/872845532565311489
;2017-06-08 08:07;3;6;"Tune in NOW! @RepLawrence , member of @OversightDems weighs in on @cspanwj pic.twitter.com/9CwlmqjwVG";;@RepLawrence @OversightDems @cspanwj;;"872802381544792065";https://twitter.com/RepLawrence/status/872802381544792065
;2017-06-08 07:45;2;2;"Starting Soon! C-Span 9AM EST. Rep. Brenda Lawrence weighs in on current events today on @cspanwj https://www. c-span.org/WJ";;@cspanwj;;"872796648702971904";https://twitter.com/RepLawrence/status/872796648702971904
