username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:05;4;11;"Dem baseball team praying for those injured after hearing about the shooting at GOP baseball practice. https:// twitter.com/RepKihuen/stat us/874961886722363393 …";;;;"874976053474861057";https://twitter.com/RepLindaSanchez/status/874976053474861057
;2017-06-14 08:03;12;22;"My thoughts are with the @CapitolPolice . Their bravery and professionalism keep everyone who works and visits the @uscapitol safe.";;@CapitolPolice @uscapitol;;"874975663744331777";https://twitter.com/RepLindaSanchez/status/874975663744331777
;2017-06-14 08:01;2;11;"Horrified by news of shooting at GOP baseball practice. My thoughts and prayers are with @SteveScalise and all those injured.";;@SteveScalise;;"874975034258989056";https://twitter.com/RepLindaSanchez/status/874975034258989056
;2017-06-13 18:24;0;4;"Proud to meet the @_NMSHSA interns as they visit Capitol Hill. Keep working hard! You are what makes our future bright. #CA38 pic.twitter.com/Af33e027L1";;@_NMSHSA;#CA38;"874769532665171968";https://twitter.com/RepLindaSanchez/status/874769532665171968
;2017-06-12 13:42;6;13;"Today we #RememberThe49 innocent lives we lost in the #PulseNightclub shootings. We stand with Orlando and the LGBT community. pic.twitter.com/mGh6tBhfCA";;;#RememberThe49 #PulseNightclub;"874336161614974979";https://twitter.com/RepLindaSanchez/status/874336161614974979
;2017-06-12 12:42;23;37;"BREAKING: 9th Circuit rules against Trump travel ban. “...immigration, even for @POTUS , is not a one-person show.” http:// cnn.it/2tdLesC";;@POTUS;;"874320987390701568";https://twitter.com/RepLindaSanchez/status/874320987390701568
;2017-06-08 14:18;24;48;"Suggestions of the president’s ignorance are simply disingenuous. He is the President of the United States, not an apprentice. https:// twitter.com/thinkprogress/ status/872857962104180736 …";;;;"872895702665490441";https://twitter.com/RepLindaSanchez/status/872895702665490441
;2017-06-08 14:15;4;22;"My statement on #Comey : "Donald Trump knew exactly what he was doing as he attempted to influence the FBI Director" https:// lindasanchez.house.gov/media-center/p ress-releases/linda-s-nchez-statement-james-comey-testimony …";;;#Comey;"872894861925642241";https://twitter.com/RepLindaSanchez/status/872894861925642241
;2017-06-08 12:48;8;9;"Happening Now: @WaysMeansCmte is questioning HHS Secy. Tom Price on Trump FY2018 budget. WATCH: https://www. youtube.com/watch?v=niNglj -qpIQ …";;@WaysMeansCmte;;"872873016132325380";https://twitter.com/RepLindaSanchez/status/872873016132325380
;2017-06-07 13:25;2;10;"Protecting seniors is one of my top priorities in Congress. I sat down today with @AARPCA to discuss important issues for seniors in #CA38 . pic.twitter.com/jFL9eJLE6Y";;@AARPCA;#CA38;"872519971401760777";https://twitter.com/RepLindaSanchez/status/872519971401760777
