username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:40;69;136;"Please pray for those who were shot and their families. There were a lot of heroes here today. @thehillbaseball";;@thehillbaseball;;"874969899503943681";https://twitter.com/RepLoudermilk/status/874969899503943681
;2017-06-14 07:39;169;310;"I was on the field, but I’m okay. This was a senseless act of evil. @thehillbaseball";;@thehillbaseball;;"874969640241332224";https://twitter.com/RepLoudermilk/status/874969640241332224
;2017-06-09 13:13;10;29;"Great day at #Dobbins with @VP and GA delegation members @reptomgraves , @RepDougCollins , @repdrewferguson , and @AustinScottGA08 . #VPinGA pic.twitter.com/TY2VYzgi1x";;@VP @reptomgraves @RepDougCollins @repdrewferguson @AustinScottGA08;#Dobbins #VPinGA;"873241697563660288";https://twitter.com/RepLoudermilk/status/873241697563660288
;2017-06-09 10:51;8;13;". @VP : Men and women at #Dobbins -The era of budget cuts to the American Armed Forces is over, and a new era of American strength has begun. pic.twitter.com/WkPywtoAXN";;@VP;#Dobbins;"873205868615151616";https://twitter.com/RepLoudermilk/status/873205868615151616
;2017-06-09 10:26;7;8;". @VP to @DobbinsARB personnel: “You represent the unbreakable backbone of American freedom, and you have our deepest respect.” pic.twitter.com/ezCghZpncy";;@VP @DobbinsARB;;"873199555524820993";https://twitter.com/RepLoudermilk/status/873199555524820993
;2017-06-09 10:07;3;6;"I am honored to join the @VP recognizing our local military personnel and their families here at @DobbinsARB . LIVE: https://www. facebook.com/RepLoudermilk/";;@VP @DobbinsARB;;"873194953995931649";https://twitter.com/RepLoudermilk/status/873194953995931649
;2017-06-08 16:11;4;1;"Small business owners and consumers in my district, and around the country, have suffered long enough from #DoddFrank . #CHOICEAct pic.twitter.com/K15Nf0EcgG";;;#DoddFrank #CHOICEAct;"872924116332015616";https://twitter.com/RepLoudermilk/status/872924116332015616
;2017-06-08 16:08;5;3;"The #ChoiceAct provides opportunities for all and bailouts for none. pic.twitter.com/ovt2jX6Jzx";;;#ChoiceAct;"872923389480116233";https://twitter.com/RepLoudermilk/status/872923389480116233
;2017-06-08 15:41;5;5;"Today, the House passed legislation that will sow the seeds of prosperity on Main Street, not just Wall Street. #CHOICEAct pic.twitter.com/4lkKftqHxO";;;#CHOICEAct;"872916390990274561";https://twitter.com/RepLoudermilk/status/872916390990274561
;2017-06-08 10:53;30;62;"#DoddFrank has closed off the world’s most powerful economy to entrepreneurs and small business owners. We need the #ChoiceAct . pic.twitter.com/RQQ8Cq9feE";;;#DoddFrank #ChoiceAct;"872844002780950528";https://twitter.com/RepLoudermilk/status/872844002780950528
;2017-06-08 10:49;5;14;"That's exactly right, @cathymcmorris . #DoddFrank has been devastating to Georgia’s financial sector. It’s time for the #CHOICEAct . https:// twitter.com/cathymcmorris/ status/872822859227332612 …";;@cathymcmorris;#DoddFrank #CHOICEAct;"872843139194683393";https://twitter.com/RepLoudermilk/status/872843139194683393
;2017-06-07 08:14;6;10;"We must seize this opportunity to reform our nation’s financial system - opening a fair, free economy for all our citizens. #CHOICEAct https:// twitter.com/FinancialCmte/ status/858015215719301120 …";;;#CHOICEAct;"872441761100169216";https://twitter.com/RepLoudermilk/status/872441761100169216
;2017-06-07 07:34;7;5;"Op-Ed: The Financial #CHOICEAct sows the seeds of prosperity on Main Street, not just Wall Street. http:// bit.ly/2qWqDIm";;;#CHOICEAct;"872431526553767936";https://twitter.com/RepLoudermilk/status/872431526553767936
;2017-06-07 07:17;5;14;"Congratulations to the students from Georgia’s 11th District who have been accepted to one of our nation’s service academies! #gapol pic.twitter.com/1qcOQpVwGL";;;#gapol;"872427409269719040";https://twitter.com/RepLoudermilk/status/872427409269719040
;2017-06-06 07:51;6;14;"We will never forget the bravery and sacrifice displayed by thousands of U.S. troops on the beaches of Normandy. #DDay pic.twitter.com/I02hooc6Ux";;;#DDay;"872073471278411776";https://twitter.com/RepLoudermilk/status/872073471278411776
;2017-06-01 15:41;12;31;"The damaging ramifications of the #ParisAgreement weren’t properly evaluated, and now it’s taking away jobs from hardworking Americans.";;;#ParisAgreement;"870379700140605440";https://twitter.com/RepLoudermilk/status/870379700140605440
;2017-06-01 15:36;16;36;"A free economy is the best way to work toward promoting economic prosperity, along with stewarding our God-given resources and environment.";;;;"870378513265774592";https://twitter.com/RepLoudermilk/status/870378513265774592
;2017-06-01 15:34;775;3522;"President Trump is making the right decision withdrawing from the #ParisAgreement on climate change, and I fully support his decision.";;;#ParisAgreement;"870378067528744965";https://twitter.com/RepLoudermilk/status/870378067528744965
;2017-05-27 08:16;55;194;"#SHAREtheBurden22 https:// twitter.com/speakerryan/st atus/868450540333740032 …";;;#SHAREtheBurden22;"868455973236740097";https://twitter.com/RepLoudermilk/status/868455973236740097
;2017-05-22 22:25;5;17;"We're praying for all the victims of the horrific attack in England. May they and their families be comforted during this trying time.";;;;"866857674272641024";https://twitter.com/RepLoudermilk/status/866857674272641024
;2017-05-15 15:27;5;6;"With today being Peace Officers Memorial Day, we honor those who have fallen in the line of duty. We will not forget their sacrifice! pic.twitter.com/i8rqaVdO3f";;;;"864215662293602306";https://twitter.com/RepLoudermilk/status/864215662293602306
;2017-05-14 06:01;5;16;"pic.twitter.com/5mNsfOReYA";;;;"863710827454615553";https://twitter.com/RepLoudermilk/status/863710827454615553
;2017-05-11 14:24;0;3;"Thanks for the invite! It's always great to visit @kennesawstate . Go, Owls!";;@kennesawstate;;"862750368744304641";https://twitter.com/RepLoudermilk/status/862750368744304641
;2017-05-11 09:57;2;1;"Congratulations to @KMHS_GA student Zane G. Placie on being named among this year's 161 U.S. Presidential Scholars! http:// on-ajc.com/2pCWfST";;@KMHS_GA;;"862682996461252609";https://twitter.com/RepLoudermilk/status/862682996461252609
;2017-05-10 17:39;10;23;"Thanks to @KSUOwlsBaseball for inviting me to throw out tonight's first pitch! Go Owls, and congrats on a great season! pic.twitter.com/eNxCeCXoAV";;@KSUOwlsBaseball;;"862436879844732928";https://twitter.com/RepLoudermilk/status/862436879844732928
;2017-05-09 10:57;5;8;"Thank you teachers for the role you play in empowering lives & shaping our future leaders. A quality education is the foundation of success! pic.twitter.com/fxYLHrqNxu";;;;"861973350868037632";https://twitter.com/RepLoudermilk/status/861973350868037632
;2017-05-08 09:08;1;10;"Congratulations to the @RU_Eagles Lacrosse team on becoming the 2017 NAIA Men’s National Champions! https:// twitter.com/RU_Eagles/stat us/861270242529615872 …";;@RU_Eagles;;"861583616920432641";https://twitter.com/RepLoudermilk/status/861583616920432641
;2017-05-05 09:11;1;5;"With unemployment at 4.4% and good jobs coming back, optimism is growing in America. #maga https:// twitter.com/usatoday/statu s/860496070576680960 …";;;#maga;"860497116325699586";https://twitter.com/RepLoudermilk/status/860497116325699586
;2017-05-04 14:07;7;21;"We fulfilled our promise to the American people today by voting to repeal and replace Obamacare!";;;;"860209397796143110";https://twitter.com/RepLoudermilk/status/860209397796143110
;2017-05-04 11:31;5;11;"Americans deserve a health care system that gives them choices at affordable costs!";;;;"860170067107094529";https://twitter.com/RepLoudermilk/status/860170067107094529
;2017-05-04 11:04;1;4;"We passed the Financial CHOICE Act in the @financialcmte . Economic freedom for all Americans!";;@financialcmte;;"860163262167613441";https://twitter.com/RepLoudermilk/status/860163262167613441
;2017-05-04 08:31;7;14;"On this National Day of Prayer, join me in praying for our country.";;;;"860124842934362113";https://twitter.com/RepLoudermilk/status/860124842934362113
;2017-05-03 16:39;1;5;"Every American, regardless of their circumstances, must have the opportunity to achieve financial independence. #FinancialCHOICEAct";;;#FinancialCHOICEAct;"859885234145382402";https://twitter.com/RepLoudermilk/status/859885234145382402
;2017-05-03 14:03;2;5;"Dodd-Frank has made it harder for businesses to create good-paying jobs. #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"859845884535820288";https://twitter.com/RepLoudermilk/status/859845884535820288
;2017-05-03 12:10;2;2;"The Financial CHOICE Act will amend and eliminate provisions that restrict financial opportunity and investment options for Americans.";;;;"859817469686448128";https://twitter.com/RepLoudermilk/status/859817469686448128
;2017-05-03 10:35;1;0;"The Financial CHOICE Act provides desperately needed regulatory relief for Main Street banks and credit unions. #MAGA";;;#MAGA;"859793651257540611";https://twitter.com/RepLoudermilk/status/859793651257540611
;2017-05-03 09:47;3;3;"Even President Obama’s Small Business Administration director admitted Dodd-Frank’s regulations hurt small business lending.";;;;"859781483455815683";https://twitter.com/RepLoudermilk/status/859781483455815683
;2017-05-03 08:53;2;6;"Consumers must be vigorously protected not only from fraud and deception, but also from the loss of economic opportunity and freedom. #CHOICE";;;#CHOICE;"859767778101932033";https://twitter.com/RepLoudermilk/status/859767778101932033
;2017-05-02 17:34;2;3;"Unlike big banks, community banks can’t afford the armies of lawyers and compliance officers it takes to sort through Dodd-Frank’s red tape.";;;;"859536589105582080";https://twitter.com/RepLoudermilk/status/859536589105582080
;2017-05-02 17:22;1;3;"Dodd-Frank didn’t end “too big to fail,” but it did create “too small to succeed.” #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"859533675062546432";https://twitter.com/RepLoudermilk/status/859533675062546432
;2017-05-02 17:10;2;2;"The Financial CHOICE provides small businesses, start-ups, and entrepreneurs greater freedom to innovate and grow. #MAGA";;;#MAGA;"859530670741344256";https://twitter.com/RepLoudermilk/status/859530670741344256
;2017-05-02 15:14;6;4;"Dodd-Frank’s excessive regulatory complexity has produced a less resilient financial system and stifled economic growth.";;;;"859501447297347584";https://twitter.com/RepLoudermilk/status/859501447297347584
;2017-05-02 14:58;1;1;"Simplicity must replace complexity, because complexity can be gamed by the well-connected and abused by the Washington powerful.";;;;"859497329090592768";https://twitter.com/RepLoudermilk/status/859497329090592768
;2017-05-02 14:29;1;1;"The Financial CHOICE Act gives consumers more choices when it comes to credit, providing access to products and services they want and need.";;;;"859489931672113152";https://twitter.com/RepLoudermilk/status/859489931672113152
;2017-05-02 12:22;1;2;"There will be bankruptcy – not taxpayer-funded bailouts – for financial firms that fail. #FinancialCHOICEAct";;;#FinancialCHOICEAct;"859458004344864772";https://twitter.com/RepLoudermilk/status/859458004344864772
;2017-05-02 11:42;0;3;"Dodd-Frank encompassed “The most terrifying words in the English language are: I'm from the government and I'm here to help.” (Reagan)";;;;"859447927059689472";https://twitter.com/RepLoudermilk/status/859447927059689472
;2017-05-02 10:55;1;4;"Big government tried to step in and fix our financial problems, but only made it worse with Dodd-Frank.";;;;"859436127685664768";https://twitter.com/RepLoudermilk/status/859436127685664768
;2017-05-02 10:41;2;6;"The Financial CHOICE Act ends bank bailouts and "too big to fail" once and for all.";;;;"859432637701787649";https://twitter.com/RepLoudermilk/status/859432637701787649
;2017-05-02 10:09;1;3;"Hardworking taxpayers still remain on the hook for Wall Street risk-taking thanks to Dodd-Frank’s bailout fund.";;;;"859424694637867008";https://twitter.com/RepLoudermilk/status/859424694637867008
;2017-05-02 09:59;3;6;"The Dodd-Frank Act made big banks bigger and small banks fewer.";;;;"859422215972016128";https://twitter.com/RepLoudermilk/status/859422215972016128
;2017-05-02 09:51;4;4;"We’re working on replacing Dodd-Frank with the Financial CHOICE Act in the @FinancialCmte today. Tune in at http:// bit.ly/23X4pol";;@FinancialCmte;;"859419990746910723";https://twitter.com/RepLoudermilk/status/859419990746910723
;2017-04-28 09:23;3;5;"I appreciate what our linemen do for us each and every day! #ThankALineman pic.twitter.com/LLiA4QsCfn";;;#ThankALineman;"857963559657111552";https://twitter.com/RepLoudermilk/status/857963559657111552
;2017-04-27 09:09;1;4;"Spoke with my friend @AlanJSanders about getting the economy rolling, North Korea, and repealing Obamacare. LISTEN: http:// bit.ly/2qa4Ehd .";;@AlanJSanders;;"857597571463876608";https://twitter.com/RepLoudermilk/status/857597571463876608
;2017-04-25 05:38;3;32;"The Senate confirmed my friend, Sonny Perdue, to serve as the U.S. Secretary of Agriculture. Our country’s AG interests are in great hands.";;;;"856819752358080513";https://twitter.com/RepLoudermilk/status/856819752358080513
;2017-04-24 10:16;1;3;"Read my exclusive op-ed in the @DailyCaller on restoring competition and choice in America's health care system. http:// bit.ly/2pWn3On";;@DailyCaller;;"856527376427175937";https://twitter.com/RepLoudermilk/status/856527376427175937
;2017-04-18 19:47;1;4;"Thank you @RepTomGraves - Now let's beat the Nats. #Braves #SuntrustPark";;@RepTomGraves;#Braves #SuntrustPark;"854496622868344836";https://twitter.com/RepLoudermilk/status/854496622868344836
;2017-04-18 12:30;2;4;"Congratulations to all of the #GA11 students who were recognized by @georgiadeptofed as 2017 Georgia Scholars! http:// bit.ly/2oGvrTq";;@georgiadeptofed;#GA11;"854386731956744197";https://twitter.com/RepLoudermilk/status/854386731956744197
;2017-04-07 11:12;10;28;"Congratulations to Supreme Court Justice Neil Gorsuch on being confirmed to our nation’s highest court. #SCOTUS pic.twitter.com/2U0Sng4Mu9";;;#SCOTUS;"850380837866569728";https://twitter.com/RepLoudermilk/status/850380837866569728
;2017-04-06 22:06;5;21;"Using chemical weapons against the Syrian people is an evil and unconscionable act which warrants international response.";;;;"850182955033141249";https://twitter.com/RepLoudermilk/status/850182955033141249
;2017-04-06 22:05;9;30;"I support the precise action @POTUS has taken against the Assad regime in Syria.";;@POTUS;;"850182786644312068";https://twitter.com/RepLoudermilk/status/850182786644312068
;2017-04-06 07:51;15;95;"At 9:45 AM TODAY, I’ll be attending a press briefing with @SpeakerRyan - Tune in http:// speaker.gov/live .";;@SpeakerRyan;;"849967922109960193";https://twitter.com/RepLoudermilk/status/849967922109960193
;2017-04-04 15:50;4;10;"Stay alert, #GA11 . Plan ahead to keep your family safe. https:// twitter.com/NWSAtlanta/sta tus/849184404283027457 …";;;#GA11;"849363641052868614";https://twitter.com/RepLoudermilk/status/849363641052868614
;2017-04-03 14:39;3;9;"A big round of applause to #GA11 students who submitted artwork for the #CAC17 . The hard work and creativity of these students is inspiring! pic.twitter.com/COMyULrnde";;;#GA11 #CAC17;"848983322466422788";https://twitter.com/RepLoudermilk/status/848983322466422788
