username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:32;18;42;"Please join me in sending prayers for my friend @SteveScalise , @RepRWilliams staff, Capitol police, and all other victims & their families.";;@SteveScalise @RepRWilliams;;"874982884754456577";https://twitter.com/RepLukeMesser/status/874982884754456577
;2017-06-13 16:27;1;5;"The House passed landmark legislation to reform the VA, which will help veterans get the quality care they deserve: http:// bit.ly/2sluuT8 pic.twitter.com/AfV1mEsf4G";;;;"874740039498047488";https://twitter.com/RepLukeMesser/status/874740039498047488
;2017-06-13 15:42;1;4;"Great to talk with young Hoosiers as part of the Electric Cooperative Youth Tour! https:// twitter.com/wwvremc/status /874723569179164672 …";;;;"874728761534578688";https://twitter.com/RepLukeMesser/status/874728761534578688
;2017-06-13 09:07;11;27;""We have a moral obligation to make sure every child has access to a quality school." #NCSC17 pic.twitter.com/DsO6pEHFiB";;;#NCSC17;"874629308089872384";https://twitter.com/RepLukeMesser/status/874629308089872384
;2017-06-13 08:08;3;7;"Looking forward to joining @romydrucker of @The74 to discuss bipartisan support for charter schools this morning at #NCSC17 pic.twitter.com/6X6ZuHXpnl";;@romydrucker @The74;#NCSC17;"874614440230105089";https://twitter.com/RepLukeMesser/status/874614440230105089
;2017-06-12 13:22;2;10;""Simply put, agriculture is a really big deal in Indiana and the Hoosier farmer does all the heavy lifting." WATCH: https://www. youtube.com/watch?v=hobu0m 1yklw …";;;;"874331005829734400";https://twitter.com/RepLukeMesser/status/874331005829734400
;2017-06-09 10:24;0;6;"Great to chat with Hoosiers from @BrotherhoodIns Company in Fort Wayne and honored to receive the Ben Franklin Public Policy Award! pic.twitter.com/ejrAILFOTT";;@BrotherhoodIns;;"873199165915975681";https://twitter.com/RepLukeMesser/status/873199165915975681
;2017-06-08 10:44;0;2;"The House passed a common-sense fix to low border agent staffing levels by streamlining the hiring process: https:// messer.house.gov/media-center/p ress-releases/rep-messer-votes-to-streamline-hiring-of-us-border-patrol-agents …";;;;"872841799357923329";https://twitter.com/RepLukeMesser/status/872841799357923329
;2017-06-07 16:22;14;43;"On the 50th anniversary of Jerusalem's reunification, we reaffirm our commitment to Israel. Indiana and America stand with the Jewish State. pic.twitter.com/qpDUr0Lbp9";;;;"872564418009321473";https://twitter.com/RepLukeMesser/status/872564418009321473
;2017-06-07 11:54;2;12;"To my good friend and predecessor in the 6th District, @VP Mike Pence, Happy Birthday! Keep up the great work on behalf of all Americans! pic.twitter.com/b24kj3agUL";;@VP;;"872497036544929793";https://twitter.com/RepLukeMesser/status/872497036544929793
;2017-06-06 12:17;5;13;"America's greatest generation stormed the beaches of Normandy 73 years ago today. We'll always remember their sacrifice & bravery on #DDay pic.twitter.com/1uI13P1B4l";;;#DDay;"872140411644628992";https://twitter.com/RepLukeMesser/status/872140411644628992
;2017-06-05 16:21;5;7;"Batesville Airport is helping drive econ development in our community and connect SE Indiana to the world. Thx for the tour! #IN06 pic.twitter.com/5ap6Mn4hcc";;;#IN06;"871839526427267072";https://twitter.com/RepLukeMesser/status/871839526427267072
;2017-05-31 14:06;0;7;"Returning power back to state and local governments is crucial. Excited to join this bipartisan task force! http://www. indianachamberblogs.com/rep-messer-app ointed-to-task-force-on-reigning-in-federal-government-empowering-states/ …";;;;"869993574540206081";https://twitter.com/RepLukeMesser/status/869993574540206081
;2017-05-23 14:58;1;6;". @POTUS budget includes my proposal to close loophole allowing billions in tax benefits to illegal immigrants http:// bit.ly/2qSNIP3";;@POTUS;;"867107533189767168";https://twitter.com/RepLukeMesser/status/867107533189767168
;2017-05-23 10:23;5;6;"May this steel our resolve to stand strong against radical Islamic terrorism.";;;;"867038251709849602";https://twitter.com/RepLukeMesser/status/867038251709849602
;2017-05-23 10:23;5;8;"Targeting children and teens is yet another unconscionable and cowardly act of terror.";;;;"867038227844169728";https://twitter.com/RepLukeMesser/status/867038227844169728
;2017-05-23 10:22;3;10;"Our nation's thoughts & prayers are w/ victims of last night’s senseless attack, along w/ their families, friends and people of Manchester.";;;;"867038020939198464";https://twitter.com/RepLukeMesser/status/867038020939198464
;2017-05-18 16:34;3;21;"Great to talk with @EducateIN Superintendent Dr. Jennifer McCormick today about improving education for Hoosier kids. pic.twitter.com/dKksyTceEH";;@EducateIN;;"865319604838699008";https://twitter.com/RepLukeMesser/status/865319604838699008
;2017-05-18 14:51;0;4;"The House is voting on several bills this week to support law enforcement and honor their sacrifices. #NationalPoliceWeek . pic.twitter.com/7RbRihgLUs";;;#NationalPoliceWeek;"865293712804515840";https://twitter.com/RepLukeMesser/status/865293712804515840
;2017-05-16 10:50;1;3;"This year's winner of the 6th District Congressional Art Competition - "Ribbon Symphony" by Jaylei Osting, 11th grader at Winchester Comm HS pic.twitter.com/AzVOpLabSi";;;;"864508410435428353";https://twitter.com/RepLukeMesser/status/864508410435428353
;2017-05-12 10:14;1;9;"My Op Ed for @indystar - American Health Care Act will help Hoosiers http:// indy.st/2r6Qayo";;@indystar;;"863049723099439104";https://twitter.com/RepLukeMesser/status/863049723099439104
;2017-05-10 12:30;7;8;"My statement on firing of FBI Director Comey https:// messer.house.gov/media-center/p ress-releases/rep-messer-statement-on-firing-of-fbi-director-comey …";;;;"862359229897854976";https://twitter.com/RepLukeMesser/status/862359229897854976
;2017-05-04 14:41;4;14;"After years of promises to Hoosiers, we are moving forward to repeal Obamacare and replace it with something better. http:// bit.ly/2pM1oL7";;;;"860217906566705153";https://twitter.com/RepLukeMesser/status/860217906566705153
;2017-05-04 09:48;0;10;"I spoke on the House Floor about today's health care vote. After years of promises, it's time to repeal Obamacare. https://www. c-span.org/video/?c466822 9/rep-messer-health-care-vote …";;;;"860144224867667973";https://twitter.com/RepLukeMesser/status/860144224867667973
;2017-05-02 12:15;3;15;"Great to spend time today with this year's @LugarSeries class - a group of talented Hoosier leaders. Expect big things from them! pic.twitter.com/89vluIuLtl";;@LugarSeries;;"859456255999569921";https://twitter.com/RepLukeMesser/status/859456255999569921
;2017-05-01 13:13;8;21;"I'm co-sponsoring legislation to ensure members of Congress are not exempt from any changes to health care law. http:// bit.ly/2qlyMsM";;;;"859108406623383553";https://twitter.com/RepLukeMesser/status/859108406623383553
;2017-04-28 13:41;4;13;"On Obamacare repeal: We need to get the bill to the House floor next week. https:// messer.house.gov/media-center/p ress-releases/rep-messer-calls-again-for-vote-on-obamacare-repeal …";;;;"858028340208447488";https://twitter.com/RepLukeMesser/status/858028340208447488
;2017-04-27 14:53;0;11;"Great to have Ava and Hudson with me for Take Your Kids to Work Day! pic.twitter.com/8u4oXwmIs6";;;;"857684093676527617";https://twitter.com/RepLukeMesser/status/857684093676527617
;2017-04-27 12:45;2;8;"Secretary @BetsyDeVosED joined @GOPpolicy this morning to talk #schoolchoice , other education priorities http:// bit.ly/2pDnrnW pic.twitter.com/ufNIBFDkSi";;@BetsyDeVosED @GOPpolicy;#schoolchoice;"857651952007729157";https://twitter.com/RepLukeMesser/status/857651952007729157
;2017-04-26 14:10;1;12;"I'm joining @POTUS for signing of Executive Order to target federal education overreach. Live on @CNN now";;@POTUS @CNN;;"857310972146569216";https://twitter.com/RepLukeMesser/status/857310972146569216
;2017-04-25 17:30;0;3;"Glad to have La Porte, IN Mayor @BlairMiloLP join us today to talk about challenges facing workers in Northern Ind. https:// twitter.com/GOPpolicy/stat us/856998550936408064 …";;@BlairMiloLP;;"856998824551878656";https://twitter.com/RepLukeMesser/status/856998824551878656
;2017-04-25 17:07;0;1;"I joined @SquawkCNBC today to talk about our new Task Force for the #AmericanWorker & how to combat stagnant wages. http:// video.cnbc.com/gallery/?video =3000613008&play=1 …";;@SquawkCNBC;#AmericanWorker;"856992978866450433";https://twitter.com/RepLukeMesser/status/856992978866450433
;2017-04-25 13:22;0;1;". @GOPpolicy Task Force for the #AmericanWorker hearing is LIVE now. https:// youtu.be/zbUZQL8UjDk";;@GOPpolicy;#AmericanWorker;"856936443566075904";https://twitter.com/RepLukeMesser/status/856936443566075904
;2017-04-24 16:28;0;3;"I'll be on @SquawkCNBC at 8:10AM to discuss Task Force for the #AmericanWorker . 1st hearing tomorrow. Tune in! http:// bit.ly/2oV71qO";;@SquawkCNBC;#AmericanWorker;"856620989790265345";https://twitter.com/RepLukeMesser/status/856620989790265345
;2017-04-20 14:24;1;9;"Thanks @POTUS for standing up for Indiana steel industry and steel workers. Full statement here http:// bit.ly/2oZZuWU";;@POTUS;;"855140198618890240";https://twitter.com/RepLukeMesser/status/855140198618890240
;2017-04-16 08:32;5;28;"He is risen! Happy Easter! pic.twitter.com/Siug0kpThD";;;;"853601908518518784";https://twitter.com/RepLukeMesser/status/853601908518518784
;2017-04-13 18:20;2;13;"Happy Vaisakhi/National Sikh Day/Creation of Khalsa Day to Hoosier Sikhs and the 30 million Sikhs across the world.";;;;"852662787746795521";https://twitter.com/RepLukeMesser/status/852662787746795521
;2017-04-11 16:15;5;14;". @IndianaUniv Pres McRobbie discusses bill I authored to reduce student debt. It's based off successful IU program. https:// president.iu.edu/news/op-ed/201 7-04-10-fixing-student-debt.html …";;@IndianaUniv;;"851906466101559296";https://twitter.com/RepLukeMesser/status/851906466101559296
;2017-04-11 14:09;0;6;"Excited to have Mayor of La Porte, IN @BlairMiloLP join us at 1st hearing of @GOPpolicy Task Force for the #AmericanWorker . https:// twitter.com/GOPpolicy/stat us/851874128516796417 …";;@BlairMiloLP @GOPpolicy;#AmericanWorker;"851874942161473536";https://twitter.com/RepLukeMesser/status/851874942161473536
;2017-04-07 16:40;1;5;"Honored to receive @ShopFloorNAM Award for supporting US manufacturing. Thanks to @HondaIndiana for the tour! https:// flic.kr/s/aHskUrx1e4";;@ShopFloorNAM @HondaIndiana;;"850463221626568710";https://twitter.com/RepLukeMesser/status/850463221626568710
;2017-04-07 15:04;6;12;"After another school closure, @AmericanLegion urges support for my bill to protect student vets @starsandstripes http:// bit.ly/2o71pGQ";;@AmericanLegion @starsandstripes;;"850439148917882880";https://twitter.com/RepLukeMesser/status/850439148917882880
;2017-04-07 11:40;3;10;"Glad to see Judge Neil Gorsuch confirmed. I'm confident he will uphold Constitution and defend individual liberty. http:// tspne.ws/2jVVil3";;;;"850387729665937408";https://twitter.com/RepLukeMesser/status/850387729665937408
;2017-04-06 21:43;39;98;"I commend @POTUS for taking decisive action and thank the men and women who helped carry out this strike.";;@POTUS;;"850177258547552259";https://twitter.com/RepLukeMesser/status/850177258547552259
;2017-04-06 21:43;42;96;"Tonight America sent a strong message. We will no longer stand by as Assad and supporters commit war crimes & atrocities against innocents.";;;;"850177072651784192";https://twitter.com/RepLukeMesser/status/850177072651784192
;2017-04-06 15:00;3;3;"Thanks to @TIAA @IRIonline @ACLINews @WISERwomen for letters of support on bill to help Hoosiers plan for retirement http:// bit.ly/2oOaunT";;@TIAA @IRIonline @ACLINews @WISERwomen;;"850075846417174528";https://twitter.com/RepLukeMesser/status/850075846417174528
;2017-04-06 14:50;0;5;"I'm working w/ colleagues in the House & Senate on legislation to help working Americans plan for retirement http:// bit.ly/2oOaunT #NRPW17";;;#NRPW17;"850073238256451589";https://twitter.com/RepLukeMesser/status/850073238256451589
;2017-04-06 12:38;3;10;"Congress is leaving for Easter break with work undone. We need to come back next week & do what we said we would do. https:// youtu.be/jx8Pungz67c";;;;"850039942927482880";https://twitter.com/RepLukeMesser/status/850039942927482880
;2017-04-06 10:01;4;99;"Members of House leadership give health care leg update during press conference this morning. pic.twitter.com/xBUv7xpJhb";;;;"850000429308137472";https://twitter.com/RepLukeMesser/status/850000429308137472
;2017-04-05 16:01;7;16;"We're witnessing the moral consequences of longtime inaction in Syria. US must condemn Assad’s use of chem weapons & recommit to his removal";;;;"849728825638481920";https://twitter.com/RepLukeMesser/status/849728825638481920
;2017-04-05 14:23;0;2;"High school students in the 6th District are invited to participate in this year's Congressional Art Competition https:// messer.house.gov/media-center/p ress-releases/messer-invites-6th-district-high-school-students-to-enter-congressional …";;;;"849704127194173440";https://twitter.com/RepLukeMesser/status/849704127194173440
;2017-04-04 09:19;1;7;"Senate passes effort I worked on to ensure Indiana & others aren't forced to direct tax dollars to abortion industry http:// bit.ly/2nYlXm9";;;;"849265288189272064";https://twitter.com/RepLukeMesser/status/849265288189272064
;2017-04-03 13:09;2;5;"Allowing brutal dictator Bashar al-Assad to stay in power is a concession the U.S. should not be willing to accept https:// nyti.ms/2nFXfFA";;;;"848960608141750272";https://twitter.com/RepLukeMesser/status/848960608141750272
;2017-04-01 08:52;1;3;"I made stops in Shelbyville & Muncie to talk w/ 6th District Hoosiers about issues important to them. Thanks to everyone who came out! pic.twitter.com/iSEw5jHKco";;;;"848171309095936001";https://twitter.com/RepLukeMesser/status/848171309095936001
