username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:05;2;6;"For every $ spent on drug treatment, $18+ in savings from crime reduction. Smart spending saves $. http://www. justicepolicy.org/images/upload/ 10-06_FAC_ForImmediateRelease_PS-AC.pdf … (h/t @JECDems )";;@JECDems;;"875081741198929921";https://twitter.com/RepMaloney/status/875081741198929921
;2017-06-14 14:23;1;2;"My thoughts are w the ppl of San Francisco, the victims' families & all affected by this heinous act of violence. http://www. sfchronicle.com/bayarea/articl e/Police-swarm-UPS-building-in-SF-on-report-of-11219519.php …";;;;"875071309423796224";https://twitter.com/RepMaloney/status/875071309423796224
;2017-06-14 13:10;5;18;"Grateful every day for Capitol Police, special thanks to wounded heroes Crystal Griner & David Bailey whose actions saved many lives today.";;;;"875052757950050304";https://twitter.com/RepMaloney/status/875052757950050304
;2017-06-14 07:56;9;49;"This act of violence will not deter Members of Congress from doing our work on behalf of our constituents and this great country https:// twitter.com/repmaloney/sta tus/874973712730255360 …";;;;"874973849418420224";https://twitter.com/RepMaloney/status/874973849418420224
;2017-06-14 07:56;5;22;"Hopes for speedy and complete recovery to @SteveScalise and all Republican colleagues affected by today's senseless attack. Stay safe.";;@SteveScalise;;"874973712730255360";https://twitter.com/RepMaloney/status/874973712730255360
;2017-06-13 18:12;8;14;"If our states are the nation’s laboratories, let’s make sure we pay close attn to Kansas’ experiment w/ tax reform. https:// medium.com/@JECDems/kansa s-experiment-highlights-risks-of-supply-side-tax-cuts-54800b363d49 …";;@JECDems;;"874766333149298688";https://twitter.com/RepMaloney/status/874766333149298688
;2017-06-13 16:55;6;9;"On this day in 1971, the @nytimes published the #PentagonPapers , real news that changed the course of history. http://www. history.com/this-day-in-hi story/pentagon-papers-damage-credibility-of-cold-war-policy …";;@nytimes;#PentagonPapers;"874746954219110400";https://twitter.com/RepMaloney/status/874746954219110400
;2017-06-13 15:00;21;36;". @washingtonpost gives @POTUS claims about coal mines & clean carbon 3 Pinocchios. Truth: Clean energy is the future http:// wapo.st/2sx3iB3";;@washingtonpost @POTUS;;"874718024242126849";https://twitter.com/RepMaloney/status/874718024242126849
;2017-06-13 14:05;5;12;". @nytopinion rightly raises the alarm: why is @SenateGOP hiding its #Trumpcare bill behind closed doors? https://www. nytimes.com/2017/06/13/opi nion/senate-hides-trumpcare-health-care-bill.html?_r=1 …";;@nytopinion @SenateGOP;#Trumpcare;"874704176625971200";https://twitter.com/RepMaloney/status/874704176625971200
;2017-06-13 13:10;4;14;"#DidYouKnow 1st American to discover a comet was Maria Mitchell. A #WomensMusuem will preserve stories like hers. https://www. google.com/culturalinstit ute/beta/exhibit/breaking-in-women-in-science-technology-engineering-mathematics/NAKCO5S1I8MMIQ … pic.twitter.com/Yj1X5M0H4r";;;#DidYouKnow #WomensMusuem;"874690335364050944";https://twitter.com/RepMaloney/status/874690335364050944
;2017-06-13 10:28;6;13;"Proud to stand w @RepSeanMaloney as an original cosponsor of #PRIDEAct . To better serve the LGBT community, CDC must improve data collection https:// twitter.com/LGBTEqCaucus/s tatus/874643767822876672 …";;@RepSeanMaloney;#PRIDEAct;"874649761126772736";https://twitter.com/RepMaloney/status/874649761126772736
;2017-06-13 09:00;1;5;"College students have right to know how @usedgov is handling Title IX protections for campus sexual assault. @nwlc http://www. huffingtonpost.com/entry/educatio n-department-suit-title-ix-data_us_593f02d8e4b0b13f2c6d60ed?utm_campaign=hp_fb_pages&utm_source=women_fb&utm_medium=facebook&ncid=fcbklnkushpmg00000046 …";;@usedgov @nwlc;;"874627515968573440";https://twitter.com/RepMaloney/status/874627515968573440
;2017-06-12 16:16;4;12;"With rise in Anti-Semitic violence, education is key. Congress must restore $3M in #Trumpcuts to @HolocaustMuseum http:// bit.ly/2rJoMcS";;@HolocaustMuseum;#Trumpcuts;"874374751908540416";https://twitter.com/RepMaloney/status/874374751908540416
;2017-06-12 13:30;4;5;"NYT reports that the #ACA gave workers flexibility to move for good jobs but #Trumpcare gets rid of it. http:// nyti.ms/2sS1aRR";;;#ACA #Trumpcare;"874332976930201605";https://twitter.com/RepMaloney/status/874332976930201605
;2017-06-12 12:51;13;28;"Women will soon be more equally represented in outer space than in Congress. Past time to act for #equality . #ERAnow http:// bit.ly/2rShzr2";;;#equality #ERAnow;"874323179765997568";https://twitter.com/RepMaloney/status/874323179765997568
;2017-06-12 11:36;8;12;"One year later, I mourn the violence against #LGBT community at #Pulse & pledge to fight for #equality in their memory. I stand w #Orlando . pic.twitter.com/pV1Nx30MN9";;;#LGBT #Pulse #equality #Orlando;"874304531101872128";https://twitter.com/RepMaloney/status/874304531101872128
;2017-06-10 10:32;19;47;"It’s unacceptable that 54 yrs after #EqualPay Act passed, women are still being paid less than male peers. We need an #ERAnow !";;;#EqualPay #ERAnow;"873563406413975553";https://twitter.com/RepMaloney/status/873563406413975553
;2017-06-09 12:12;6;14;"W/ $2.5 trillion in US corp earnings sitting overseas, we need tax reform that brings that money home & into US infrastructure";;;;"873226311120166912";https://twitter.com/RepMaloney/status/873226311120166912
;2017-06-09 11:38;2;4;". @ASCEGovRel estimates that it would take $2 TRILLION to repair & catch up. @POTUS proposal offers just $250 Billion http:// bit.ly/2sZbzuf";;@ASCEGovRel @POTUS;;"873217658291879936";https://twitter.com/RepMaloney/status/873217658291879936
;2017-06-09 10:45;1;4;". @ASCEGovRel report card gives US infrastructure gives a D+ This hurts our ability to compete in global economy http:// bit.ly/2mD5pjD";;@ASCEGovRel;;"873204344551854083";https://twitter.com/RepMaloney/status/873204344551854083
;2017-06-09 09:17;4;16;"The White House declares "This is #infrastructureweek ." Great! But where's an infrastructure plan? Dems and Reps both want one";;;#infrastructureweek;"873182350531858433";https://twitter.com/RepMaloney/status/873182350531858433
;2017-06-08 11:53;11;35;"FACT: 78% of Americans want ind. commission into Trump-Russia connection. #ComeyTestimony confirming Trump lied about #Flynn reaffirms need.";;;#ComeyTestimony #Flynn;"872859094780190720";https://twitter.com/RepMaloney/status/872859094780190720
;2017-06-08 11:33;0;4;"Great to join Hellenic American leaders on Wed to talk about import of reuniting Cyprus & strengthening US relationship w/ Greece & Cyprus. pic.twitter.com/JXHkgxXbcf";;;;"872854014836305922";https://twitter.com/RepMaloney/status/872854014836305922
;2017-06-07 16:21;3;13;"Thanks to @AARPNY for visiting with me in DC to discuss how we can protect seniors from #Trumpcare and better meet seniors' needs. pic.twitter.com/C7lA8zD84W";;@AARPNY;#Trumpcare;"872564132016513025";https://twitter.com/RepMaloney/status/872564132016513025
;2017-06-07 14:10;4;11;"New @nberpubs study shows improved gender diversity improves deal & fund performances on Wall Street. #FearlessGirl http:// bit.ly/2rUazKz pic.twitter.com/7iC0kez869";;@nberpubs;#FearlessGirl;"872531102979702784";https://twitter.com/RepMaloney/status/872531102979702784
