username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 11:04;4;11;"We had a fluffy visitor in the office today to discuss service dogs for vets! I hope Boomer doesn't get too jealous. @WarriorCanineCn pic.twitter.com/4p8ZWCKZdY";;@WarriorCanineCn;;"875383478963056641";https://twitter.com/RepMcSally/status/875383478963056641
;2017-06-15 09:48;1;2;"About to join @PoppyHarlowCNN & @JohnBerman to discuss yesterday's shooting. Tune into @CNN to watch LIVE now!";;@PoppyHarlowCNN @JohnBerman @CNN;;"875364401821470720";https://twitter.com/RepMcSally/status/875364401821470720
;2017-06-14 20:44;17;30;"We continue to pray for @SteveScalise . See the update on his condition below https:// twitter.com/stevescalise/s tatus/875162665529769985 …";;@SteveScalise;;"875167026758733824";https://twitter.com/RepMcSally/status/875167026758733824
;2017-06-14 17:29;6;13;"Joined @chucktodd on @MeetThePress to discuss today's shooting, which hits home for Arizona’s Second Congressional District. pic.twitter.com/kocuSIYiqI";;@chucktodd @MeetThePress;;"875117926977765378";https://twitter.com/RepMcSally/status/875117926977765378
;2017-06-14 16:29;10;37;"We will continue to do our job--to be accessible, listen, engage & represent our constituents. We won't be stopped. Watch on @MeetThePress";;@MeetThePress;;"875102927312101376";https://twitter.com/RepMcSally/status/875102927312101376
;2017-06-14 16:26;1;6;"I'm on @MeetThePress w/ @chucktodd right now to discuss today's shooting. Tune in!";;@MeetThePress @chucktodd;;"875102071653052417";https://twitter.com/RepMcSally/status/875102071653052417
;2017-06-14 16:24;1;2;"Joining @chucktodd on Meet the Press to discuss today's shooting. Going live in a few minutes, tune in!";;@chucktodd;;"875101609575010309";https://twitter.com/RepMcSally/status/875101609575010309
;2017-06-14 11:18;20;52;"We need to have discussions in a civil way, and the poisonous political rhetoric needs to stop now. pic.twitter.com/zUhLX3JOpy";;;;"875024641496100864";https://twitter.com/RepMcSally/status/875024641496100864
;2017-06-14 11:17;23;47;"We have more that unites us than divides us, but somehow we're turning each other into the enemy. pic.twitter.com/KuDPicEFWm";;;;"875024403368751105";https://twitter.com/RepMcSally/status/875024403368751105
;2017-06-14 10:52;21;56;"We are Americans and we need to be united. The enemy is out there -- not amongst us.";;;;"875018110163709953";https://twitter.com/RepMcSally/status/875018110163709953
;2017-06-14 09:21;22;64;"Praying for @SteveScalise & other victims as they recover from their wounds after the shooting. Thnx to Capitol Police for brave response.";;@SteveScalise;;"874995190154579968";https://twitter.com/RepMcSally/status/874995190154579968
;2017-06-13 13:45;0;1;"Congrats to Codelucida and Hydronalix, companies w/ roots at @UofA on winning the 2017 Arizona Innovation Challenge https:// goo.gl/mEyrYY";;@UofA;;"874699142039318528";https://twitter.com/RepMcSally/status/874699142039318528
;2017-06-13 12:09;2;3;"Extreme Heat Warning begins Friday - Monday. Temps could reach 115 in Tucson & 106 in Douglas and Sierra Vista. Stay cool! https:// twitter.com/nwstucson/stat us/874385829489147904 …";;;;"874675019892314112";https://twitter.com/RepMcSally/status/874675019892314112
;2017-06-13 09:57;8;39;"Only the A-10 is designed for close-air support, urgent in fighting ISIS. Huge win to keep it flying through 2030! https:// goo.gl/uRSXAc";;;;"874641871074709505";https://twitter.com/RepMcSally/status/874641871074709505
;2017-06-12 17:34;2;2;"Join me at 4pm AZT for a big Armed Services hearing w/ @DeptofDefense Sec Mattis on the #FY18NDAA . Watch LIVE here: https:// goo.gl/0r2amW";;@DeptofDefense;#FY18NDAA;"874394503456620546";https://twitter.com/RepMcSally/status/874394503456620546
;2017-06-12 17:17;14;32;""Mr. Gorbachev, tear down this wall" 30 yrs ago today Pres Reagan called for the Berlin Wall to be brought down, demanding freedom for all pic.twitter.com/VMRrMSccTI";;;;"874390158652649472";https://twitter.com/RepMcSally/status/874390158652649472
;2017-06-09 14:02;7;23;"Because the standard of behavior for our military should be higher than this. https:// goo.gl/eqZ2hw";;;;"873253903713914880";https://twitter.com/RepMcSally/status/873253903713914880
;2017-06-08 17:15;1;14;"The House unanimously passed my amendment directing @USTreasury to examine the impact of regs on border businesses: https:// goo.gl/6ZpgDQ pic.twitter.com/NdORjr1OEz";;@USTreasury;;"872940179811704832";https://twitter.com/RepMcSally/status/872940179811704832
;2017-06-08 14:56;1;11;"In 10 years AZ lost 70% of community banks. The House adopted my amendment directing @USTreasury to report on impact of regs on our banks.";;@USTreasury;;"872905181683437569";https://twitter.com/RepMcSally/status/872905181683437569
;2017-06-08 14:51;3;18;"The House unanimously adopted my amendment directing @USTreasury to review the impact of money laundering regulations on banks & businesses";;@USTreasury;;"872903867230539777";https://twitter.com/RepMcSally/status/872903867230539777
;2017-06-08 14:42;3;16;"Watch @kgun9 's coverage of my bill the House passed yesterday to help @CustomsBorder fill critical vacancies at our ports of entry & border pic.twitter.com/mQQHH0ut9d";;@kgun9 @CustomsBorder;;"872901546098470912";https://twitter.com/RepMcSally/status/872901546098470912
;2017-06-07 20:33;8;40;"Watching #HouseofCards ? @katemara (Zoe)& I are calling on USDA to restore online animal welfare records. Don't worry we didn't take the metro pic.twitter.com/kFCoNAw9a0";;@katemara;#HouseofCards;"872627538115350528";https://twitter.com/RepMcSally/status/872627538115350528
;2017-06-07 17:34;10;38;"Thankful to partner with @katemara , another animal advocate to demand the USDA repost Animal Welfare records. This is about transparency. pic.twitter.com/Jc5tzk6Hv4";;@katemara;;"872582488941527040";https://twitter.com/RepMcSally/status/872582488941527040
;2017-06-07 17:06;16;34;"The House passed my bipartisan bill to allow CBP to address staffing shortages by hiring qualified, vetted vets & law enforcement officers. pic.twitter.com/oXHCDD9WHd";;;;"872575461821493250";https://twitter.com/RepMcSally/status/872575461821493250
;2017-06-07 16:16;9;15;"This bill is about closing the gap of 1000+agents & 1800 officers at the border. Talking w/ @cronkitenews about HR 2213 passing the House pic.twitter.com/Z7mzVn4HFq";;@cronkitenews;;"872562943724007424";https://twitter.com/RepMcSally/status/872562943724007424
;2017-06-07 15:45;3;9;"In past 8 yrs, CBP spent $200 million on POE infrastructure in AZ alone but its useless w/out staff to open every lane. HR 2213 will fix it.";;;;"872555024236392448";https://twitter.com/RepMcSally/status/872555024236392448
;2017-06-07 15:41;4;3;"@CustomsBorder needs discretionary ability to expedite hiring trained, vetted, and trusted law enforcement & veterans to fill shortages.";;@CustomsBorder;;"872554146066575361";https://twitter.com/RepMcSally/status/872554146066575361
;2017-06-07 15:39;3;14;"CBP is understaffed by 1,000 Officers+ & 1,800 Border Patrol Agents. The House is about to vote on my bill to address these shortages.";;;;"872553596516265984";https://twitter.com/RepMcSally/status/872553596516265984
;2017-06-07 13:08;61;404;"With @katemara of #HouseofCards delivering 134k petition signatures demanding USDA repost Animal Welfare reports online. pic.twitter.com/7nc3ziiAuO";;@katemara;#HouseofCards;"872515664967237637";https://twitter.com/RepMcSally/status/872515664967237637
;2017-06-07 12:17;10;42;"Im speaking at a rally calling on USDA to repost its online compliant reports w/ @katemara @HumaneSociety & @Care2 tune in LIVE on my FB";;@katemara @HumaneSociety @Care2;;"872502754245308416";https://twitter.com/RepMcSally/status/872502754245308416
;2017-06-06 22:06;4;14;"The @forestservice made the right decision. Sabino Canyon is a Tucson gem & we need a transparent bidding process: https:// goo.gl/5ONzG5";;@forestservice;;"872288639987978240";https://twitter.com/RepMcSally/status/872288639987978240
;2017-06-06 17:00;14;29;"The eyes of the world are upon you. - Gen Eisenhower #WeRemember the sheer courage of those who fought for freedom on that sand 73 yrs ago. pic.twitter.com/N4Rr7utyc4";;;#WeRemember;"872211497002295297";https://twitter.com/RepMcSally/status/872211497002295297
;2017-06-06 14:52;10;39;"195 cosmetics companies endorse the #HumaneCosmetics Act. Time for the U.S. to join 30+ countries in standing against animal testing";;;#HumaneCosmetics;"872179450850533379";https://twitter.com/RepMcSally/status/872179450850533379
;2017-06-06 14:49;45;107;"Introduced the #HumaneCosmetics act today. No animal should suffer for a tube of lipstick. Lrn More: https:// goo.gl/UnGj7D #CrueltyFree pic.twitter.com/ELVxAOAF1P";;;#HumaneCosmetics #CrueltyFree;"872178768797945856";https://twitter.com/RepMcSally/status/872178768797945856
;2017-06-06 14:46;31;118;"I just introduced a bill to end inhumane cosmetic animal testing. No animal should suffer for a tube of lipstick: https:// goo.gl/UnGj7D pic.twitter.com/hAblihroNT";;;;"872177913529081862";https://twitter.com/RepMcSally/status/872177913529081862
