username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 20:17;1;8;"Thanks to everyone in #CO06 who participated in tonight's tele-town hall. Great questions/ideas! pic.twitter.com/zkFIOMqQbr";;;#CO06;"875160380305281025";https://twitter.com/RepMikeCoffman/status/875160380305281025
;2017-06-14 16:01;10;17;"My Statement on Today's Shooting: pic.twitter.com/aBXiTasPAp";;;;"875095990503698433";https://twitter.com/RepMikeCoffman/status/875095990503698433
;2017-06-14 11:21;12;78;"Currently on the House floor with my colleagues as we share a moment of bipartisan solidarity for those injured this morning.";;;;"875025399394205696";https://twitter.com/RepMikeCoffman/status/875025399394205696
;2017-06-14 10:20;2;3;"Honored to be addressing the 2017 @AccelerateCO coalition today in #DC . #ACinDC2017 pic.twitter.com/nDuco1oGpb";;@AccelerateCO;#DC #ACinDC2017;"875009972236689408";https://twitter.com/RepMikeCoffman/status/875009972236689408
;2017-06-14 07:06;31;76;"My thoughts and prayers are with my colleagues and staff who were at the Congressional baseball practice this morning.";;;;"874961304942936064";https://twitter.com/RepMikeCoffman/status/874961304942936064
;2017-06-13 20:33;3;2;"Looking forward to hearing from you tomorrow! Sign up here ➤ http:// goo.gl/cnYDb3 pic.twitter.com/ogWdm2IIJD";;;;"874801980539064322";https://twitter.com/RepMikeCoffman/status/874801980539064322
;2017-06-13 17:04;8;11;"My statement on the passage of the VA Accountability & Whistleblower Protection Act: pic.twitter.com/SoZV4Z5Ltb";;;;"874749378375950337";https://twitter.com/RepMikeCoffman/status/874749378375950337
;2017-06-12 16:50;2;2;"Click here to participate: https:// goo.gl/cnYDb3 pic.twitter.com/MfOBRSAean";;;;"874383355315453952";https://twitter.com/RepMikeCoffman/status/874383355315453952
;2017-06-12 09:16;0;3;"It was an honor to present a Congressional Record to the #CO Korean Chorus at their 12th Annual concert last evening. Great chorus & talent! pic.twitter.com/vaqxVzu7gf";;;#CO;"874269099362267140";https://twitter.com/RepMikeCoffman/status/874269099362267140
;2017-06-10 15:41;6;15;"pic.twitter.com/DOXd8Xd09J";;;;"873641218596581376";https://twitter.com/RepMikeCoffman/status/873641218596581376
;2017-06-09 15:25;7;24;"Prior to leaving for the airport, I got a special visitor in the D.C. office. pic.twitter.com/RgbC5upnJG";;;;"873274809400131586";https://twitter.com/RepMikeCoffman/status/873274809400131586
;2017-06-09 08:18;0;2;"I will be joining @KOANewsRadio at 7:20am MT. Looking forward to having you tune in.";;@KOANewsRadio;;"873167401998798848";https://twitter.com/RepMikeCoffman/status/873167401998798848
;2017-06-08 15:42;1;0;"Looking forward to hearing from you! ➤ https:// goo.gl/cnYDb3 pic.twitter.com/fJT5Hm23hU";;;;"872916800236859392";https://twitter.com/RepMikeCoffman/status/872916800236859392
;2017-06-08 14:59;7;19;"My statement on the #ComeyHearing : pic.twitter.com/lT8ykLGvu3";;;#ComeyHearing;"872905935173373952";https://twitter.com/RepMikeCoffman/status/872905935173373952
;2017-06-08 10:26;0;2;"Great meeting with @AuroraGov Mayor Hogan this morning in DC. pic.twitter.com/uxqMFFImaM";;@AuroraGov;;"872837250371006465";https://twitter.com/RepMikeCoffman/status/872837250371006465
;2017-06-08 09:04;0;3;"I'm voting for the #CHOICEAct today. This will bring financial accountability to both Wall Street & Washington & will help grow our economy. pic.twitter.com/aKaHDFUQvf";;;#CHOICEAct;"872816676932374528";https://twitter.com/RepMikeCoffman/status/872816676932374528
;2017-06-07 17:32;2;2;""The First-Time Homebuyer Savings Account Act is a straightforward and bipartisan solution to this problem"... more https:// goo.gl/Ugvrd8 pic.twitter.com/zNdBLMYmaG";;;;"872582174452707329";https://twitter.com/RepMikeCoffman/status/872582174452707329
;2017-06-07 16:25;2;1;"pic.twitter.com/G7JkCHTMct";;;;"872565198825062400";https://twitter.com/RepMikeCoffman/status/872565198825062400
;2017-06-07 14:14;2;3;"I look forward to updating you on all that is happening in D.C. in the month of June. Sign-up to participate here ➤ https:// goo.gl/cnYDb3 pic.twitter.com/ofE62PuruB";;;;"872532114184572929";https://twitter.com/RepMikeCoffman/status/872532114184572929
;2017-06-07 12:59;2;1;"10 Wins for Americans w/the #ChoiceAct https://www. youtube.com/watch?v=5r2L4H eiS0Q …";;;#ChoiceAct;"872513436873261063";https://twitter.com/RepMikeCoffman/status/872513436873261063
;2017-06-06 22:38;2;3;"ICYMI: Addressing the National #PilotShortage . @RepMikeCoffman @USAirForce @townhallcom http:// bit.ly/2qZwi4G";;@RepMikeCoffman @USAirForce @townhallcom;#PilotShortage;"872296634926981121";https://twitter.com/RepMikeCoffman/status/872296634926981121
;2017-06-06 16:05;0;1;"The VA + $$$ Hotel = Pershing Hall... @RepMikeCoffman @RepPerlmutter @RepJohnDuncanJr & @RepAnnieKuster say no more: https:// goo.gl/a9W9za pic.twitter.com/EwRiNuCrk6";;@RepMikeCoffman @RepPerlmutter @RepJohnDuncanJr @RepAnnieKuster;;"872197776704188417";https://twitter.com/RepMikeCoffman/status/872197776704188417
;2017-06-06 14:44;0;1;"Lots of great things happening in #CO . Congrats @BHGHcolorado c/o 2017. See video here: https:// animoto.com/play/WiHg5yJsw uSVKxxp2262GA …";;@BHGHcolorado;#CO;"872177283271995392";https://twitter.com/RepMikeCoffman/status/872177283271995392
;2017-06-06 12:02;0;2;"Looking forward to speaking with you! Register here ➤ https:// goo.gl/cnYDb3 pic.twitter.com/HFT09pEpO2";;;;"872136553052733442";https://twitter.com/RepMikeCoffman/status/872136553052733442
;2017-06-06 09:34;23;40;"Forever grateful to all those who served. Today marks 73 years since #DDay and the landings in #Normandy . pic.twitter.com/S77h2NPBI2";;;#DDay #Normandy;"872099481654882304";https://twitter.com/RepMikeCoffman/status/872099481654882304
;2017-06-05 13:55;7;16;". @DeptVetAffairs Secretary announces decision on next-generation Electronic Health Record --> https:// goo.gl/0XmWp5 pic.twitter.com/cWlkuNYkm0";;@DeptVetAffairs;;"871802658377564162";https://twitter.com/RepMikeCoffman/status/871802658377564162
;2017-06-04 13:10;4;10;"Honored to have joined the Debreselam Medhanealem Ethiopian Orthodox Tewahedo Church today. pic.twitter.com/B7hdP2VRbN";;;;"871429011934760960";https://twitter.com/RepMikeCoffman/status/871429011934760960
;2017-06-03 18:40;4;20;"Terrible news coming out of the U.K.- We must stand together against terrorism & remain vigilant. Solidarity with the people of #London .";;;#London;"871149576094441475";https://twitter.com/RepMikeCoffman/status/871149576094441475
;2017-06-03 11:26;0;0;"My next newsletter comes out in just hours! Sign up to get your copy here https:// goo.gl/Lkf5GV pic.twitter.com/wcPNMkSgDH";;;;"871040288499871744";https://twitter.com/RepMikeCoffman/status/871040288499871744
;2017-06-02 12:53;0;3;"Great meeting today with Gilberto &a Tony who are with the Chamber of the Americas. We discussed trade between #CO and our hemisphere. pic.twitter.com/kVrSfC5OVv";;;#CO;"870699854124556288";https://twitter.com/RepMikeCoffman/status/870699854124556288
;2017-06-02 07:05;0;2;"I will be joining @KOANewsRadio at 6:10am MT. Looking forward to having you tune in.";;@KOANewsRadio;;"870612365313757184";https://twitter.com/RepMikeCoffman/status/870612365313757184
;2017-06-01 15:08;3;15;"pic.twitter.com/2CL4y3QBEl";;;;"870371590449627137";https://twitter.com/RepMikeCoffman/status/870371590449627137
;2017-06-01 14:37;9;32;"pic.twitter.com/W7rsMGgjyS";;;;"870363622249287681";https://twitter.com/RepMikeCoffman/status/870363622249287681
;2017-05-31 09:10;1;0;"http:// coffman.house.gov/media-center/p ress-releases/coffman-introduces-veteran-urgent-access-to-mental-healthcare-act … -Staff";;;;"869919139669921792";https://twitter.com/RepMikeCoffman/status/869919139669921792
;2017-05-31 08:56;1;4;"ICYMI: https:// twitter.com/csgazette/stat us/869382870443470848 …";;;;"869915565284098048";https://twitter.com/RepMikeCoffman/status/869915565284098048
;2017-05-29 15:24;2;12;"#MemorialDay2017 Honoring those who have served and paid the ultimate sacrifice. Thank you all who came out to the event. pic.twitter.com/S9jaoRDarv";;;#MemorialDay2017;"869288455817359361";https://twitter.com/RepMikeCoffman/status/869288455817359361
;2017-05-29 09:00;7;24;"Home of the Free, Because of the Brave. #memorialday2017 pic.twitter.com/NTVzkBw3vu";;;#memorialday2017;"869191627004411904";https://twitter.com/RepMikeCoffman/status/869191627004411904
;2017-05-27 18:27;1;10;"It was an honor to lay the wreath today at #CO Freedom Memorial in @AuroraGov pic.twitter.com/QKEokx1PqA";;@AuroraGov;#CO;"868609660324114434";https://twitter.com/RepMikeCoffman/status/868609660324114434
