username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-12-15 10:43;201;341;"I joined @democracynow to discuss @realDonaldTrump 's unacceptable, unAmerican proposal for a #MuslimRegistry https://www. democracynow.org/2016/12/15/rep _honda_survivor_of_japanese_internment …";;@democracynow @realDonaldTrump;#MuslimRegistry;"809438693253582850";https://twitter.com/RepMikeHonda/status/809438693253582850
;2016-11-17 18:26;28;55;"Someone in TrumpTower should tell @realDonaldTrump that to reenact a prejudicial policy is un-American & unworthy to uphold our Constitution";;@realDonaldTrump;;"799408480151044097";https://twitter.com/RepMikeHonda/status/799408480151044097
;2016-11-04 14:28;19;44;"I'm honored to represent Silicon Valley in Congress, and to bring home more than $1.3 billion to #CA17 ! pic.twitter.com/iLkuOKyhr5";;;#CA17;"794622300549238784";https://twitter.com/RepMikeHonda/status/794622300549238784
;2016-11-02 23:47;3;13;"Congratulations to the history-making #WorldSeries champions, the @Cubs !";;@Cubs;#WorldSeries;"794038355533172736";https://twitter.com/RepMikeHonda/status/794038355533172736
;2016-11-01 13:27;63;126;". @HouseGOP should bring the Paycheck Fairness Act to a vote, so all women in our nation can earn #equalpay for equal work! #LatinaEqualPay";;@HouseGOP;#equalpay #LatinaEqualPay;"793519869899706369";https://twitter.com/RepMikeHonda/status/793519869899706369
;2016-11-01 13:23;15;16;"Unfortunately, California ranks 49th in the nation for the wage gap between white men and Latinas. That’s $40k per year! #LatinaEqualPay";;;#LatinaEqualPay;"793518908800139265";https://twitter.com/RepMikeHonda/status/793518908800139265
;2016-11-01 13:16;2;6;"Latinas in California lose $1.6 million over their lifetimes due to the wage gap. It’s time for #LatinaEqualPay ! #Trabajadoras";;;#LatinaEqualPay #Trabajadoras;"793516976316571648";https://twitter.com/RepMikeHonda/status/793516976316571648
;2016-11-01 13:14;5;5;"It’s #LatinaEqualPay day, and we must recognize the lifetime losses and effects from the wage gap. #Trabajadoras";;;#LatinaEqualPay #Trabajadoras;"793516589559713792";https://twitter.com/RepMikeHonda/status/793516589559713792
;2016-10-31 17:02;2;1;"@CoveredCA ’s open enrollment period starts tomorrow! Join almost 1.5 million Californians and #getcovered , visit http:// coveredca.com";;@CoveredCA;#getcovered;"793211598710181889";https://twitter.com/RepMikeHonda/status/793211598710181889
;2016-10-30 13:17;19;36;"Happy #Diwali & Sal Mubarak to all those celebrating the Festival of Lights and Gujarati New Year in Silicon Valley and around the globe! pic.twitter.com/djB3rI114m – bei Office of Congressman Mike Honda";;;#Diwali;"792792621580218369";https://twitter.com/RepMikeHonda/status/792792621580218369
;2016-10-28 18:41;4;10;"Happy 130th Birthday, Lady Liberty! I will work to ensure our nation is diverse & inclusive for all #StatueOfLiberty http:// time.com/4544961/statue -of-liberty-quick-history …";;;#StatueOfLiberty;"792149415490424832";https://twitter.com/RepMikeHonda/status/792149415490424832
;2016-10-22 10:55;3;2;"Submit your apps to the @CongressionalAC App Challenge by Nov 2! http:// bit.ly/2ef8tgD today! #HouseofCode #CAC pic.twitter.com/l0m51rCkTZ";;@CongressionalAC;#HouseofCode #CAC;"789857598686232576";https://twitter.com/RepMikeHonda/status/789857598686232576
;2016-10-20 09:01;2;7;"#DisarmHate https:// twitter.com/eleanornorton/ status/789081237776367616 …";;;#DisarmHate;"789104152811040768";https://twitter.com/RepMikeHonda/status/789104152811040768
;2016-10-19 16:01;4;15;"This #SpiritDay , let’s continue to work to make our schools safe for everyone! #EqualityForAll pic.twitter.com/TVVsT6nRhT";;;#SpiritDay #EqualityForAll;"788847473154482177";https://twitter.com/RepMikeHonda/status/788847473154482177
;2016-10-19 16:00;8;12;"This #SpiritDay , I stand with #LGBTQ youth against school bullying. You are supported, and you are not alone.";;;#SpiritDay #LGBTQ;"788847329331871744";https://twitter.com/RepMikeHonda/status/788847329331871744
;2016-10-19 12:20;9;12;"Over two million seniors pay more than half their income to rent. That’s why @HouseDemocrats will #MakeRoom for #AffordableHousing . #CA17";;@HouseDemocrats;#MakeRoom #AffordableHousing #CA17;"788792011818164224";https://twitter.com/RepMikeHonda/status/788792011818164224
;2016-10-19 12:18;4;6;"1 in 4 renters pay more than 50% of income to rent. @HouseDemocrats have a plan for #affordablehousing ! #makeroom #CA17";;@HouseDemocrats;#affordablehousing #makeroom #CA17;"788791376557277185";https://twitter.com/RepMikeHonda/status/788791376557277185
;2016-10-18 13:17;4;10;"Do you have an app idea that could change the world? Submit it to our Congressional App Challenge today! #CAC #HouseOfCode @CongressionalAC";;@CongressionalAC;#CAC #HouseOfCode;"788443837635133440";https://twitter.com/RepMikeHonda/status/788443837635133440
;2016-10-17 13:11;6;6;"Tonight! Join my Cybersecurity Town Hall w/ @FBI & SecretService experts! Learn to be #CyberAware ! @CyberSecMonth https://www. eventbrite.com/e/cybersecurit y-town-hall-tickets-28341816135 …";;@FBI @CyberSecMonth;#CyberAware;"788080065556934656";https://twitter.com/RepMikeHonda/status/788080065556934656
;2016-10-17 07:33;204;277;"When you stand up to bullying in any form, you're an #upstander . Let's be an #upstander this #BullyingPreventionMonth and every month! pic.twitter.com/RQCir4Ih56";;;#upstander #upstander #BullyingPreventionMonth;"787994924545347584";https://twitter.com/RepMikeHonda/status/787994924545347584
;2016-10-13 13:27;2;3;"Congrats to #TeacheroftheYear Veronica Bollwerk, Alameda Co! @nusdschoolnews #NewarkMemorialHS #CA17 @NewarkPatch http:// us7.campaign-archive2.com";;@nusdschoolnews @NewarkPatch;#TeacheroftheYear #NewarkMemorialHS #CA17;"786634373403664385";https://twitter.com/RepMikeHonda/status/786634373403664385
;2016-10-12 13:11;3;4;"Congrats to @SCCLD #Milpitas Librarian Fitzgerald for joining @LibraryAmerica WWI program through @NEHgov ! http:// wwiamerica.org/what-is-wwi-am erica.php … #CA17";;@SCCLD @LibraryAmerica @NEHgov;#Milpitas #CA17;"786268070008459265";https://twitter.com/RepMikeHonda/status/786268070008459265
;2016-10-12 11:16;3;5;"Join me & the @FBI on Oct 17 to discuss YOUR personal cybersecurity http:// goo.gl/ubypXc #CyberAware #CyberSecurityAwarenessMonth";;@FBI;#CyberAware #CyberSecurityAwarenessMonth;"786239060637548544";https://twitter.com/RepMikeHonda/status/786239060637548544
;2016-10-11 14:32;33;68;"Never be afraid to be who you are because of who you love. Happy #NationalComingOutDay";;;#NationalComingOutDay;"785926177588441088";https://twitter.com/RepMikeHonda/status/785926177588441088
;2016-10-09 11:05;6;7;"Happy #NationalNanoDay ! I was a proud coauthor of 21st Century #Nanotechnology Research & Development Act w/ $3.7 billion-plus for R&D #CA17";;;#NationalNanoDay #Nanotechnology #CA17;"785149070146932737";https://twitter.com/RepMikeHonda/status/785149070146932737
;2016-10-09 00:53;0;2;"Disturbed by the crime. Saddened by the loss. Hopeful for justice. Rest In Peace #MissFlo https:// twitter.com/rhandanbc/stat us/784792264211968000 …";;;#MissFlo;"784995260996972544";https://twitter.com/RepMikeHonda/status/784995260996972544
;2016-10-07 17:25;2;5;"I am sorry to hear about my friend & colleague @DorisMatsui ’s car accident. I’m glad to know she is doing well & wish her a speedy recovery";;@DorisMatsui;;"784520104256110592";https://twitter.com/RepMikeHonda/status/784520104256110592
;2016-10-07 16:45;0;4;"Good luck tonight @SFGiants ! #NLDS #BeliEVEN";;@SFGiants;#NLDS #BeliEVEN;"784509910230917120";https://twitter.com/RepMikeHonda/status/784509910230917120
;2016-10-07 16:09;3;10;"The lottery for free tickets to the @TheNationalTree lighting is open now until Monday Oct. 10th at 10am! #NCTL2016 http:// bit.ly/2dRdcTe";;@TheNationalTree;#NCTL2016;"784501036346114048";https://twitter.com/RepMikeHonda/status/784501036346114048
;2016-10-07 16:03;1;4;"Join me at 930am Sat. @SCCOE to discuss my proposed amendment to the Constitution to support #eachandeverychild . pic.twitter.com/IQxhQyiDiC";;@SCCOE;#eachandeverychild;"784499404183105537";https://twitter.com/RepMikeHonda/status/784499404183105537
;2016-10-07 15:54;2;4;"Breast cancer touches many lives. I commemorate and honor the struggle to fight the disease this October. #breastcancerawareness";;;#breastcancerawareness;"784497105197031424";https://twitter.com/RepMikeHonda/status/784497105197031424
;2016-10-07 12:50;1;4;"Spending the day @asteelflash with @SJSU students to celebrate American #Manufacturing @MFGDay #MFGDay16 Watch LIVE: https://www. facebook.com/RepMikeHonda/";;@asteelflash @SJSU @MFGDay;#Manufacturing #MFGDay16;"784450797786529792";https://twitter.com/RepMikeHonda/status/784450797786529792
;2016-10-06 18:07;2;0;"Join me with state & local experts to discuss school funding on Saturday morning at 9:30! http:// goo.gl/zH5vVf #education #schoolfunding";;;#education #schoolfunding;"784168116884480001";https://twitter.com/RepMikeHonda/status/784168116884480001
;2016-10-05 15:02;6;9;"Excited that Paris Climate Agreement threshold has been met & will enter into force Nov 4. We must #ActonClimate ! https://www. washingtonpost.com/world/europe/p aris-climate-agreement-to-take-effect-in-30-days/2016/10/05/7d16719a-8b1a-11e6-8cdc-4fbb1973b506_story.html …";;;#ActonClimate;"783759298300145664";https://twitter.com/RepMikeHonda/status/783759298300145664
;2016-10-05 11:19;4;6;"Congrats to J Fraser Stoddart for winning the #Chemistry @NobelPrize ! Honored that he served on my Blue Ribbon Task Force on #Nanotechnology";;@NobelPrize;#Chemistry #Nanotechnology;"783703266312019968";https://twitter.com/RepMikeHonda/status/783703266312019968
;2016-10-04 20:38;45;56;"#StopandFrisk is wrong and unconstitutional. Period.";;;#StopandFrisk;"783481349395058688";https://twitter.com/RepMikeHonda/status/783481349395058688
;2016-10-04 20:34;8;8;"As a senior appropriator, I've fought in Congress to fund @POTUS 's Executive Actions on #GunViolence , incl funding for #backgroundchecks";;@POTUS;#GunViolence #backgroundchecks;"783480464128479232";https://twitter.com/RepMikeHonda/status/783480464128479232
;2016-10-04 19:34;0;1;"You're welcome!";;;;"783465265212301313";https://twitter.com/RepMikeHonda/status/783465265212301313
;2016-10-04 14:50;0;2;"Great to see @aftunion 's lessons to help prevent school #bullying ! I hope teachers will use them to create dialogue. https:// sharemylesson.com/collections/bu llying-prevention-resources …";;@aftunion;#bullying;"783393760117923840";https://twitter.com/RepMikeHonda/status/783393760117923840
;2016-10-03 21:46;14;15;"I introduced the #ClimateChange Education Act to combat misconceptions about human-induced climate change. It's time we #ActOnClimate ! #CA17 pic.twitter.com/Fh7IPJeBMY";;;#ClimateChange #ActOnClimate #CA17;"783136151448260608";https://twitter.com/RepMikeHonda/status/783136151448260608
;2016-10-03 21:28;8;7;". @LeoDiCaprio , I couldn’t agree more. That’s why I introduced my #ClimateChange Education Act. It’s time to act. http:// thehill.com/blogs/blog-bri efing-room/news/299097-dicaprio-climate-change-deniers-shouldnt-hold-public-office …";;@LeoDiCaprio;#ClimateChange;"783131678235619328";https://twitter.com/RepMikeHonda/status/783131678235619328
;2016-10-03 17:10;4;5;"October is Cybersecurity Awareness Month. Join me & the @FBI on Oct 17 to discuss personal cybersecurity http:// hondacybersecurity.eventbrite.com #CyberAware";;@FBI;#CyberAware;"783066706847604736";https://twitter.com/RepMikeHonda/status/783066706847604736
;2016-10-02 16:51;1;3;"Happy Gandhi Jayanti! #GandhiJayanti https://www. facebook.com/RepMikeHonda/v ideos/10157598921715381/ …";;;#GandhiJayanti;"782699560774885378";https://twitter.com/RepMikeHonda/status/782699560774885378
;2016-09-30 12:25;8;16;"Today is a victory for #justice & #equality . I’m pleased Alabama Chief Justice Roy Moore was removed from the bench - he’s not above the law";;;#justice #equality;"781907821222846465";https://twitter.com/RepMikeHonda/status/781907821222846465
;2016-09-30 11:58;4;5;"Proud to be recognized by @ActForParks with an A rating for my record supporting national parks #VoteForParks http:// bit.ly/2cz94WR";;@ActForParks;#VoteForParks;"781901065297993729";https://twitter.com/RepMikeHonda/status/781901065297993729
;2016-09-28 21:54;13;30;"I voted to keep the govt open yet the @HouseGOP wants to adjourn & go home. We shouldn’t go until the work is done! pic.twitter.com/9dJEPvEOzq";;@HouseGOP;;"781326237574791169";https://twitter.com/RepMikeHonda/status/781326237574791169
;2016-09-28 13:20;5;4;"Heartbroken about passing of Shimon Peres, a great statesman who optimistically championed peace in face of adversity.";;;;"781196899172945920";https://twitter.com/RepMikeHonda/status/781196899172945920
;2016-09-28 13:10;1;2;". @USDOL 's lawsuit against @PalantirTech is a statement that discrimination is not acceptable http:// bit.ly/2dpw8ZM";;@USDOL @PalantirTech;;"781194315196432384";https://twitter.com/RepMikeHonda/status/781194315196432384
;2016-09-28 12:51;6;10;"Congratulations @go2MissionSC on the HIS-STEM grant of more than $967,000 over 5 years! #STEM #CA17 pic.twitter.com/SWQHXCNA6c";;@go2MissionSC;#STEM #CA17;"781189675729952768";https://twitter.com/RepMikeHonda/status/781189675729952768
;2016-09-26 21:09;9;13;"I believe #cybersecurity is one of our biggest challenges. It's now time we declare our election tech as 'critical infrastructure'.";;;#cybersecurity;"780590099964755968";https://twitter.com/RepMikeHonda/status/780590099964755968
;2016-09-26 21:05;16;29;"As the Founder of the Congressional Caucus to End Bullying, I believe it's okay to be #prepared . No one should be bullied for being prepared – bei Capitol Hill, Washington DC";;;#prepared;"780589107781197825";https://twitter.com/RepMikeHonda/status/780589107781197825
;2016-09-26 20:58;4;31;"I support the Obama Admin's decision to end the use of private prisons by the federal govt. I also support ending their use in all states.";;;;"780587417271201792";https://twitter.com/RepMikeHonda/status/780587417271201792
;2016-09-26 18:31;6;8;"Thanks @JerryBrownGov for signing into law the #RighttoRescue Act. As a member of the Animal Protection Caucus this is the right thing to do";;@JerryBrownGov;#RighttoRescue;"780550348209590274";https://twitter.com/RepMikeHonda/status/780550348209590274
;2016-09-23 12:51;9;20;"Given recent attacks on our democracy, we need to vote on my bills to protect our election integrity. #DontHackMyVote pic.twitter.com/nth7AWJjER";;;#DontHackMyVote;"779377567061184512";https://twitter.com/RepMikeHonda/status/779377567061184512
;2016-09-21 14:08;7;11;"Happy @PeaceDay ! https:// twitter.com/dalailama/stat us/778526697406824448 …";;@PeaceDay;;"778672155320000512";https://twitter.com/RepMikeHonda/status/778672155320000512
;2016-09-21 09:18;8;11;"LIVE on #Periscope : . @rephankjohnson & I are introducing 2 bills to secure our democracy from hacks & protect our v… https://www. pscp.tv/w/arE8oTU1MTM4 ODF8MU1ueG5uRWpaQW14TwkG4Gxy3maJJV2Rg_mS_edXtYa7JoBGsjJoV90wqp-s …";;@rephankjohnson;#Periscope;"778599204121878528";https://twitter.com/RepMikeHonda/status/778599204121878528
