username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:54;24;95;"Horrified to hear of attack in VA—My thoughts are w/ my colleagues, their staff & Capitol Police, as we continue to gather more information.";;;;"874973423029686272";https://twitter.com/RepMikeQuigley/status/874973423029686272
;2017-06-13 13:47;12;28;"Time to #FollowTheFacts during #SessionsHearing —Truth is critical in protecting our democracy & national security. http:// bit.ly/2tiBXPT";;;#FollowTheFacts #SessionsHearing;"874699802684030976";https://twitter.com/RepMikeQuigley/status/874699802684030976
;2017-06-13 13:32;14;48;"Hope today's hearing reveals answers: Have all Russian contacts finally been disclosed? Did Trump ask Sessions to leave him alone w/ Comey?";;;;"874695916535635968";https://twitter.com/RepMikeQuigley/status/874695916535635968
;2017-06-13 13:23;40;138;"It is unconscionable that AG Sessions lied under oath about mtgs w/ Russians. He must explain false testimony—American people are watching.";;;;"874693616823873537";https://twitter.com/RepMikeQuigley/status/874693616823873537
;2017-06-13 12:35;1;4;"@AllenEllis14 Secret negotiations don't allow some of their own Members – let alone the American people – to see what’s in the bill.";;@AllenEllis14;;"874681653150482433";https://twitter.com/RepMikeQuigley/status/874681653150482433
;2017-06-13 12:31;22;17;"Senate Republicans are taking a page from @HouseGOP 's book with secret #TrumpCare bill text http:// nyti.ms/2rexRrp";;@HouseGOP;#TrumpCare;"874680658274242560";https://twitter.com/RepMikeQuigley/status/874680658274242560
;2017-06-13 11:14;4;14;"Joined my colleagues in urging Trump to implement a more rational approach to US #nuclear policy. Read our letter: http:// bit.ly/2rrCD4d";;;#nuclear;"874661382431670275";https://twitter.com/RepMikeQuigley/status/874661382431670275
;2017-06-13 10:15;20;63;"Trump's tweets hold weight & are now being used in court cases, showing importance of #COVFEFEAct tweet preservation http:// bit.ly/2s6Chlw";;;#COVFEFEAct;"874646428915822592";https://twitter.com/RepMikeQuigley/status/874646428915822592
;2017-06-13 08:33;30;89;"ICYMI— @NPR : “ #COVFEFEAct Has A Silly Name — But It Addresses A Real Quandary." Read about my new transparency bill: http:// n.pr/2s6bAgC";;@NPR;#COVFEFEAct;"874620702996955136";https://twitter.com/RepMikeQuigley/status/874620702996955136
;2017-06-12 16:02;21;123;"Just as we did 365 days ago, we continue to stand with LGBT community & their allies in support of love & in opposition to bigotry. #Pulse";;;#Pulse;"874371393487556609";https://twitter.com/RepMikeQuigley/status/874371393487556609
;2017-06-12 14:59;17;67;"#Pulse shooting 1 year ago took 49 innocent lives & was an inconceivable affront to our freedoms and values as Americans. #OrlandoUnitedDay";;;#Pulse #OrlandoUnitedDay;"874355553832767489";https://twitter.com/RepMikeQuigley/status/874355553832767489
