username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 13:04;4;12;"My statement on this morning’s shooting at GOP congressional baseball practice → http:// bit.ly/2tmClgf pic.twitter.com/wlgqu0XETK";;;;"875051445116186624";https://twitter.com/RepMullin/status/875051445116186624
;2017-06-14 07:21;22;54;"Please join me in praying for @SteveScalise @CapitolPolice & those involved in shooting this AM in Virginia. My staff, family, and I are OK. https:// twitter.com/foxnews/status /874958295215288320 …";;@SteveScalise @CapitolPolice;;"874965119612194816";https://twitter.com/RepMullin/status/874965119612194816
;2017-06-13 15:47;5;17;"ICYMI: The House just passed the VA Accountability and Whistleblower Protection Act. Now, we’re sending it to @POTUS for a signature. pic.twitter.com/Wxn33qK6aK";;@POTUS;;"874729962254872578";https://twitter.com/RepMullin/status/874729962254872578
;2017-06-13 11:36;1;1;"I intro’d the Promoting Cross-Border Energy Infrastructure Act w/ @repgenegreen to ↑ int’l #energyinfrastructure → http:// bit.ly/2refD9j";;@repgenegreen;#energyinfrastructure;"874666776428253185";https://twitter.com/RepMullin/status/874666776428253185
;2017-06-12 17:00;24;51;"The House is in session & we’re focusing on veterans, energy infrastructure & health care reform. Read more here → http:// bit.ly/2hKD1Je";;;;"874386009848508416";https://twitter.com/RepMullin/status/874386009848508416
;2017-06-09 12:02;1;3;"Loved having Andrew in DC with me this week! Check out the #WeeklyWrapUp to see what drives me to be better → https:// youtu.be/8qugORsYUc4";;;#WeeklyWrapUp;"873223732046819329";https://twitter.com/RepMullin/status/873223732046819329
;2017-06-08 09:33;1;5;"Great to kick off my day w/ @TulsaChamber to talk rolling back regs & growing our local economies. pic.twitter.com/EJnPZJFl7c";;@TulsaChamber;;"872824029048184832";https://twitter.com/RepMullin/status/872824029048184832
;2017-06-07 10:33;2;4;"ICYMI: OK has 1 marketplace insurer w/ #Obamacare & Muskogee’s hospital won’t accept it. Rural U.S. needs relief. → http:// bit.ly/2rLJuqR pic.twitter.com/JOnFV47QZf";;;#Obamacare;"872476542684856320";https://twitter.com/RepMullin/status/872476542684856320
;2017-06-06 08:54;8;18;"On the 73rd anniversary of D-Day, we remember the courageous soldiers who stormed the beaches of Normandy during WWII. pic.twitter.com/Niiis6bUGs";;;;"872089304167788548";https://twitter.com/RepMullin/status/872089304167788548
;2017-06-05 14:03;3;8;"Big announcement from @POTUS admin on overhaul of @DeptVetAffairs . Great to see improvements to veterans’ care. http://www. washingtonexaminer.com/trump-vas-heal th-modernization-one-of-the-biggest-wins-for-veterans-in-decades/article/2624971 …";;@POTUS @DeptVetAffairs;;"871804586964770818";https://twitter.com/RepMullin/status/871804586964770818
