username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:55;6;14;"Praying for my friend @SteveScalise , Capitol Police officers, and everyone affected by this morning's shooting.";;@SteveScalise;;"874973674033512448";https://twitter.com/RepNewhouse/status/874973674033512448
;2017-06-13 14:32;3;2;""Newhouse, @RepChrisCollins Request USDA Conduct Full Risk Analysis of Polish Apple Imports" #WA04 Release: https:// newhouse.house.gov/media-center/p ress-releases/newhouse-collins-request-usda-conduct-full-risk-analysis-polish-apple …";;@RepChrisCollins;#WA04;"874711068211281920";https://twitter.com/RepNewhouse/status/874711068211281920
;2017-06-13 10:24;0;3;"Central WA's best of the best: congratulations to students who received appointments to US military academies #WA04 https:// newhouse.house.gov/media-center/p ress-releases/newhouse-congratulates-central-washington-students-appointed-military …";;;#WA04;"874648590110646273";https://twitter.com/RepNewhouse/status/874648590110646273
;2017-06-07 08:44;0;3;"Joined by @RepGarretGraves +WA,LA senators on bipartisan request to support groundbreaking research at #LIGO #WA04 https:// newhouse.house.gov/media-center/p ress-releases/reps-newhouse-graves-joined-wa-and-la-senators-bipartisan-request …";;@RepGarretGraves;#LIGO #WA04;"872449139799449602";https://twitter.com/RepNewhouse/status/872449139799449602
;2017-06-06 08:46;2;14;""These are the boys of Pointe du Hoc. These are the men who took the cliffs. These are the champions who helped free a continent."-R. Reagan pic.twitter.com/FDetLcOXx6";;;;"872087182198140928";https://twitter.com/RepNewhouse/status/872087182198140928
;2017-05-09 13:57;14;17;"#1 concern is safety of workers; I'm grateful for first responders taking necessary steps. Follow #Hanford updates: http://www. hanford.gov/c.cfm/eoc/?pag e=290 …";;;#1 #Hanford;"862018587908853760";https://twitter.com/RepNewhouse/status/862018587908853760
;2017-05-02 09:44;23;30;"I'm committed to advocating for #hydropower as an affordable, renewable source of energy. My op-ed here: #WA04 http://www. washingtontimes.com/news/2017/may/ 1/us-hydropower-room-to-grow-in-renewable-energy-pro/ …";;;#hydropower #WA04;"859418337721319425";https://twitter.com/RepNewhouse/status/859418337721319425
;2017-04-24 16:15;0;4;"Reminder for #WA04 high school students: last day to submit artwork for Congressional Art Competition is April 27 https:// newhouse.house.gov/services/art-c ompetition … pic.twitter.com/XaumyBDznW";;;#WA04;"856617586896896001";https://twitter.com/RepNewhouse/status/856617586896896001
;2017-04-07 14:12;1;15;"Congratulations to Judge Neil #Gorsuch on his confirmation as Supreme Court Justice. A 'good and faithful judge,' indeed. #SCOTUS pic.twitter.com/PaHuLkMC3K";;;#Gorsuch #SCOTUS;"850425954233192448";https://twitter.com/RepNewhouse/status/850425954233192448
;2017-03-22 16:29;3;1;"Watch my comments on the American Health Care Act live here: https:// twitter.com/RulesReps/stat us/844527528354172929 …";;;;"844662354390536198";https://twitter.com/RepNewhouse/status/844662354390536198
;2017-03-20 10:27;0;0;"Sorry to miss you this time, and I hope to catch up soon.";;;;"843846347837071360";https://twitter.com/RepNewhouse/status/843846347837071360
;2017-03-20 09:03;0;6;"I'll be joining Dave and Lance soon on @NewsTalkKIT 1280AM #WA04 listen live at http:// newstalkkit.com";;@NewsTalkKIT;#WA04;"843825294603702272";https://twitter.com/RepNewhouse/status/843825294603702272
;2017-03-08 13:47;0;5;"Great to visit with students in DC today from Liberty Bell High School in Winthrop! #WA04 pic.twitter.com/KXLsAq9fsA";;;#WA04;"839563249792258051";https://twitter.com/RepNewhouse/status/839563249792258051
;2017-03-07 09:23;43;153;"The @HouseGOP has introduced our bill to #RepealAndReplace Obamacare. #ReadTheBill here → http:// readthebill.gop pic.twitter.com/QJDDMJtceQ";;@HouseGOP;#RepealAndReplace #ReadTheBill;"839134314323406849";https://twitter.com/RepNewhouse/status/839134314323406849
;2017-03-02 13:33;6;9;"Congratulations to Energy Secretary Rick Perry. Looking forward to working to support @HanfordSite , @PNNLab #WA04 https:// newhouse.house.gov/media-center/p ress-releases/newhouse-applauds-confirmation-energy-secretary-rick-perry … pic.twitter.com/cLdjicN7ul";;@HanfordSite @PNNLab;#WA04;"837385413354455040";https://twitter.com/RepNewhouse/status/837385413354455040
