username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-12-08 16:34;5;7;"Sad to learn of the passing of John Glenn whose life as Marine, space pioneer, and Senator has inspired generations of Americans. pic.twitter.com/NG1PxcaVbo";;;;"806990463647576064";https://twitter.com/RepReneeEllmers/status/806990463647576064
;2016-12-08 16:16;4;3;"Thank you & congratulations to @RepFredUpton for his incredible work and leadership on #21stCenturyCures as @HouseCommerce Chairman. https:// twitter.com/RepFredUpton/s tatus/806584253999960064 …";;@RepFredUpton @HouseCommerce;#21stCenturyCures;"806985904434872320";https://twitter.com/RepReneeEllmers/status/806985904434872320
;2016-12-08 16:11;4;6;"Congratulations to @RepTimMurphy whose work on the issue of #mentalhealthreform will impact & improve the lives of millions. #CuresNow https:// twitter.com/RepTimMurphy/s tatus/806972676401139712 …";;@RepTimMurphy;#mentalhealthreform #CuresNow;"806984531819499525";https://twitter.com/RepReneeEllmers/status/806984531819499525
;2016-12-08 16:00;4;9;"Thrilled to see #CuresNow headed to the president's desk! See my statement re #21stCenturyCures here --> http:// bit.ly/2hqeaaX pic.twitter.com/x2ZfPWfobS";;;#CuresNow #21stCenturyCures;"806981883087192065";https://twitter.com/RepReneeEllmers/status/806981883087192065
;2016-12-08 13:14;8;8;"Today I joined my colleagues to mark one of the last stops on the #Path2Cures . Now on to the White House! #CuresNow pic.twitter.com/cvXIDxdlND";;;#Path2Cures #CuresNow;"806940028618166272";https://twitter.com/RepReneeEllmers/status/806940028618166272
;2016-12-07 08:29;2;6;"Today we remember those who lost their lives 75 years ago today at #PearlHarbor . #GreatestGeneration #PearlHarborRemembranceDay pic.twitter.com/osOnWPEdxF";;;#PearlHarbor #GreatestGeneration #PearlHarborRemembranceDay;"806505874118373376";https://twitter.com/RepReneeEllmers/status/806505874118373376
;2016-12-07 08:18;5;6;"Follow @USSArizona for a #livetweet account of the attack on #PearlHarbor which happened 75 years ago today. #PearlHarborRemembranceDay https:// twitter.com/USSArizona/sta tus/806498501228195840 …";;@USSArizona;#livetweet #PearlHarbor #PearlHarborRemembranceDay;"806503172604882944";https://twitter.com/RepReneeEllmers/status/806503172604882944
;2016-12-05 12:35;1;1;"Congratulations to #NC02 2016 Congressional App Challenge winner -- Sanjana Sundhar, of Green Hope High School in Cary! #CSEdWeek #CSforAll pic.twitter.com/KKAxvBBGZ9";;;#NC02 #CSEdWeek #CSforAll;"805843133833613312";https://twitter.com/RepReneeEllmers/status/805843133833613312
;2016-12-01 15:53;3;5;"From last night's press conference following passage of #21stCenturyCures . So proud of @HouseCommerce work on this bipartisan legislation! pic.twitter.com/IrgeTV98jb";;@HouseCommerce;#21stCenturyCures;"804443310211350528";https://twitter.com/RepReneeEllmers/status/804443310211350528
;2016-12-01 13:56;8;14;"Congrats to @RepTimMurphy who has worked tirelessly for years on #mentalhealthreform . #CuresNow #Path2Cures pic.twitter.com/fqYDlum8kK";;@RepTimMurphy;#mentalhealthreform #CuresNow #Path2Cures;"804413855581360128";https://twitter.com/RepReneeEllmers/status/804413855581360128
;2016-11-30 17:54;3;5;"Thrilled the #21stCenturyCures Act has passed the House! It will accelerate discovery, development & delivery of lifesaving therapies. pic.twitter.com/tstBmxsH48";;;#21stCenturyCures;"804111285222772738";https://twitter.com/RepReneeEllmers/status/804111285222772738
;2016-11-30 13:59;2;5;"The #21stCenturyCures Act is a win for everyone and is one of the most important pieces of legislation we will pass in the House. #CuresNow pic.twitter.com/8MLZiFKmgV";;;#21stCenturyCures #CuresNow;"804052317939056640";https://twitter.com/RepReneeEllmers/status/804052317939056640
;2016-11-30 10:29;7;6;"This is a landmark day for 21st Century #Cures and a #gamechanger for patients - current & future. Looking forward to voting for #CuresNow ! pic.twitter.com/QeBnA46hDb";;;#Cures #gamechanger #CuresNow;"803999519218290688";https://twitter.com/RepReneeEllmers/status/803999519218290688
;2016-11-29 16:11;7;11;"So happy to be voting tomorrow on #CuresNow . WATCH this great VIDEO to follow the journey on the #Path2Cures . https://www. youtube.com/watch?v=PeTG3P m-bvY&feature=youtu.be …";;;#CuresNow #Path2Cures;"803723025506074625";https://twitter.com/RepReneeEllmers/status/803723025506074625
;2016-11-29 11:47;3;6;"Welcome home @82ndABNDiv paratroopers! Thank you for your service! #FtBragg #NC02 https:// twitter.com/DrewBrooks/sta tus/803611713505329152 …";;@82ndABNDiv;#FtBragg #NC02;"803656639316271104";https://twitter.com/RepReneeEllmers/status/803656639316271104
;2016-11-29 08:43;2;8;"Thanks so much @BlackburnDylan for a great discussion and event! https:// twitter.com/BlackburnDylan /status/803435207395332097 …";;@BlackburnDylan;;"803610456153853952";https://twitter.com/RepReneeEllmers/status/803610456153853952
;2016-11-24 08:11;1;5;"Wishing you and your family a very #HappyThanksgiving ! Enjoy this #TBT video from Thanksgiving 2015. https://www. youtube.com/watch?v=EQ66nv q8zPQ …";;;#HappyThanksgiving #TBT;"801790304282148864";https://twitter.com/RepReneeEllmers/status/801790304282148864
;2016-11-18 15:28;3;12;"Such an honor to present the family of Howard A. Bates the military awards he earned for service during #WWII pic.twitter.com/aZHlewv7Bn";;;#WWII;"799726078298324992";https://twitter.com/RepReneeEllmers/status/799726078298324992
;2016-11-11 07:24;4;8;"Thank you to our nation's #veterans who have served so faithfully and sacrificed so selflessly. Happy #VeteransDay ! pic.twitter.com/4JoG9JSpZP";;;#veterans #VeteransDay;"797067504262807552";https://twitter.com/RepReneeEllmers/status/797067504262807552
;2016-11-10 08:28;4;5;"Happy 241st Birthday to the @USMC ! #HappyBirthdayMarines https:// twitter.com/USMC/status/79 6155363762442240 …";;@USMC;#HappyBirthdayMarines;"796721162797588480";https://twitter.com/RepReneeEllmers/status/796721162797588480
;2016-11-09 13:17;10;29;"Congratulations to President-elect Trump & Vice-President-elect Pence! Looking forward to the change they will bring to Washington.";;;;"796431524354609152";https://twitter.com/RepReneeEllmers/status/796431524354609152
;2016-11-09 13:15;5;11;"#Obamacare has been a disaster for individuals, families & businesses -- many of which I am hearing from in #NC02 . http:// bit.ly/2fD3eJK";;;#Obamacare #NC02;"796430961231556609";https://twitter.com/RepReneeEllmers/status/796430961231556609
;2016-11-08 10:28;3;3;"What a beautiful #ElectionDay to make your voice heard! If you need #NC polling information visit http:// ncsbe.gov .";;;#ElectionDay #NC;"796026528962330628";https://twitter.com/RepReneeEllmers/status/796026528962330628
;2016-11-07 14:31;5;10;"Wishing Rev. @BillyGraham , a Happy 98th Birthday today! His lifetime of faith and service has been an inspiration to millions. https:// twitter.com/TheBGLibrary/s tatus/795628284121903104 …";;@BillyGraham;;"795725465428361216";https://twitter.com/RepReneeEllmers/status/795725465428361216
;2016-11-07 13:56;8;4;"My office is hearing from #NC02 families saying they can't afford 2017 #Obamacare premium hikes: http:// bit.ly/2fysYDx #rateshock pic.twitter.com/lNx2BdX83i";;;#NC02 #Obamacare #rateshock;"795716530784845824";https://twitter.com/RepReneeEllmers/status/795716530784845824
;2016-11-02 10:39;1;1;"Read my op-ed, A Team Approach to Service, today in @MyDailyRecordNC . #NC02 http://www. mydailyrecord.com/eedition/edito rial/2016/11/02/a-team-approach-to-service/ … pic.twitter.com/xDvvG9pquJ";;@MyDailyRecordNC;#NC02;"793839859127291904";https://twitter.com/RepReneeEllmers/status/793839859127291904
;2016-11-01 16:39;22;24;"It's not FBI Director Comey’s fault that Secretary Clinton jeopardized national security by using her own private server. pic.twitter.com/T2DgIrvNCK";;;;"793568194229395456";https://twitter.com/RepReneeEllmers/status/793568194229395456
;2016-10-30 08:28;2;13;"Happy 23rd anniversary to my sweet husband, Brent! pic.twitter.com/Jteh2cq3Lb";;;;"792719724819968000";https://twitter.com/RepReneeEllmers/status/792719724819968000
;2016-10-28 14:16;7;7;"The scariest thing you'll see this #Halloween might just be in your mailbox. #Obamacare #rateshock #ObamaScare pic.twitter.com/FKWuCidrAB";;;#Halloween #Obamacare #rateshock #ObamaScare;"792082569412173824";https://twitter.com/RepReneeEllmers/status/792082569412173824
;2016-10-27 10:47;4;6;"I talked with @TWCNewsRDU about the need to repeal and replace #Obamacare . pic.twitter.com/VazaUok9Zk";;@TWCNewsRDU;#Obamacare;"791667725596758020";https://twitter.com/RepReneeEllmers/status/791667725596758020
;2016-10-26 14:37;2;5;"Today and everyday, giving thanks & honoring members of the US armed forces who have deployed in service to our country. #DayOfTheDeployed https:// twitter.com/DeptofDefense/ status/791263112942858240 …";;;#DayOfTheDeployed;"791363121818505216";https://twitter.com/RepReneeEllmers/status/791363121818505216
;2016-10-26 10:34;2;1;"#NC02 students wishing to enter The @CongressionalAC App Challenge have just one week left! For info visit --> http://www. congressionalappchallenge.us / pic.twitter.com/xpVdeKAArd";;@CongressionalAC;#NC02;"791302044812505088";https://twitter.com/RepReneeEllmers/status/791302044812505088
