username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 09:18;6;19;"Thankful to the @CapitolPolice & other law enforcement officers who help keep us safe. Speedy recovery for @SteveScalise staffers & police.";;@CapitolPolice @SteveScalise;;"874994340858298368";https://twitter.com/RepRichardNeal/status/874994340858298368
;2017-06-09 10:01;0;6;"I was happy to welcome students from Dupont Middle School in Chicopee to the Capitol yesterday. pic.twitter.com/D4Hi8Hg2d8";;;;"873193463780708353";https://twitter.com/RepRichardNeal/status/873193463780708353
;2017-06-08 15:09;3;9;"We simply cannot put off cleaning the Housatonic River for another generation. http://www. berkshireeagle.com/stories/at-hou satonic-cleanup-hearing-attorneys-spar-over-fate-of-pcb-tainted-soil,509908 …";;;;"872908408621592577";https://twitter.com/RepRichardNeal/status/872908408621592577
;2017-06-08 14:50;5;3;"Watch the entire hearing here: https://www. youtube.com/watch?v=niNglj -qpIQ … https:// twitter.com/WaysMeansCmte/ status/872888335945125891 …";;;;"872903612250378240";https://twitter.com/RepRichardNeal/status/872903612250378240
;2017-06-02 15:07;6;15;"What an exciting day in the City of Springfield as the @SpfldMuseums opens the Amazing World of Dr. Seuss. pic.twitter.com/P2aR8VN1mq";;@SpfldMuseums;;"870733740628160512";https://twitter.com/RepRichardNeal/status/870733740628160512
;2017-06-02 12:37;7;14;"Congratulations to Jacob Squitier of #Charlton as he graduates from @SHRHSRams & attends @AF_Academy . pic.twitter.com/ps6i6CjY4k";;@SHRHSRams @AF_Academy;#Charlton;"870695932391641088";https://twitter.com/RepRichardNeal/status/870695932391641088
;2017-06-01 18:41;4;17;"It was an honor to be the commencement speaker at @S_T_C_C 50th graduation ceremony tonight. It's your turn to shape history - STCC works! pic.twitter.com/kp1d8Tqkii";;@S_T_C_C;;"870425212227137536";https://twitter.com/RepRichardNeal/status/870425212227137536
;2017-06-01 15:00;17;30;"My statement on President Trump's decision to withdraw from the #Parisclimateaccord pic.twitter.com/2IzEn1KB26";;;#Parisclimateaccord;"870369392302927872";https://twitter.com/RepRichardNeal/status/870369392302927872
;2017-05-30 16:34;1;2;"Tune into #PHH with @jm_bos now. http://www. bostonglobe.com/news/politics/ 2017/05/30/watch-political-happy-hour-live-with-congressman-richard-neal/MPmTlOeCPZZnyHZECtDJNO/story.html …";;@jm_bos;#PHH;"869668463077453828";https://twitter.com/RepRichardNeal/status/869668463077453828
;2017-05-30 08:20;1;5;"Join me in Boston later today with @jm_bos @BostonGlobe pic.twitter.com/vzanPJvkyO";;@jm_bos @BostonGlobe;;"869544003733245953";https://twitter.com/RepRichardNeal/status/869544003733245953
;2017-05-29 13:13;17;26;"On #MemorialDay & #JFK100 , let us remember JFK's challenge for all Americans to give back to their country and seek a more peaceful world. pic.twitter.com/47eyDMTBh4";;;#MemorialDay #JFK100;"869255413753098241";https://twitter.com/RepRichardNeal/status/869255413753098241
;2017-05-23 09:49;1;0;"Opening statement re: border adjustment tax. Our primary focus & top priority must be putting the middle class first http:// cs.pn/2rPioOi";;;;"867029698001416193";https://twitter.com/RepRichardNeal/status/867029698001416193
;2017-05-22 20:58;2;15;"Thinking of those affected by the bombing in #Manchester tonight. I will continue to monitor this situation closely as more facts come out.";;;#Manchester;"866835725588844544";https://twitter.com/RepRichardNeal/status/866835725588844544
;2017-05-20 10:59;5;10;"Thank you @UofHartford for awarding me an honorary doctoral degree today. As a M'76 grad from the Barney School it was a thrill to be back. pic.twitter.com/T83gYJjgrJ";;@UofHartford;;"865960057304993792";https://twitter.com/RepRichardNeal/status/865960057304993792
