username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:14;2;5;"Ag trade would benefit the Cuban people without helping the regime and at the same time support rural economies https://www. agri-pulse.com/articles/9358- us-ag-concerned-trump-will-reverse-obama-openings-to-cuba …";;;;"875099184436785152";https://twitter.com/RepRickCrawford/status/875099184436785152
;2017-06-14 14:42;6;13;""An attack on one of us is an attack on all of us" https:// twitter.com/SpeakerRyan/st atus/875027019007840257 …";;;;"875076074882949125";https://twitter.com/RepRickCrawford/status/875076074882949125
;2017-06-14 12:46;2;8;"Ag trade on credit is good for the rural American economy, and it won't upset #Cuba embargo supporters. A big win for this Administration. https:// twitter.com/WSJopinion/sta tus/875045918235652097 …";;;#Cuba;"875046751262171136";https://twitter.com/RepRickCrawford/status/875046751262171136
;2017-06-14 09:01;10;17;"Events like these are appalling. Thank you to @CapitolPolice and the detail who bravely took action this morning.";;@CapitolPolice;;"874990183208407040";https://twitter.com/RepRickCrawford/status/874990183208407040
;2017-06-14 07:04;44;82;"Please join me in prayer for my friend @SteveScalise and staff who've been involved in a shooting. Not many details as of now.";;@SteveScalise;;"874960726556901376";https://twitter.com/RepRickCrawford/status/874960726556901376
;2017-06-13 15:32;2;1;"#AgTrade allows for commercial engagements to take place and human rights to be upheld. http://www. deltafarmpress.com/farm-policy/tr ump-considering-limiting-travel-and-investment-cuba …";;;#AgTrade;"874726071278731264";https://twitter.com/RepRickCrawford/status/874726071278731264
;2017-06-13 14:12;2;4;"Thank you for coming by! https:// twitter.com/AQHYA/status/8 74702804430065664 …";;;;"874705998619004929";https://twitter.com/RepRickCrawford/status/874705998619004929
;2017-06-13 13:10;3;10;"I sent @SecretaryZinke a letter asking him to allow farmers to defend their calves from black vultures. @ArkCattlemen https:// crawford.house.gov/uploadedfiles/ black_vulture_letter_final.pdf …";;@SecretaryZinke @ArkCattlemen;;"874690331656179716";https://twitter.com/RepRickCrawford/status/874690331656179716
;2017-06-13 12:24;0;0;"Sign-up for my newsletter to get weekly updates! https:// crawford.house.gov/contact/enewsl etter-signup.htm … pic.twitter.com/Uz75tjhWf5";;;;"874678761622577152";https://twitter.com/RepRickCrawford/status/874678761622577152
;2017-06-13 10:32;2;6;"Lawmakers should have a vested interest in #RuralAmerica , more than 40 million Americans call it home. http://www. deltafarmpress.com/cotton/restori ng-rural-america-primary-goal-ag-secretary …";;;#RuralAmerica;"874650569704488962";https://twitter.com/RepRickCrawford/status/874650569704488962
;2017-06-13 09:37;0;1;"LISTEN to my take on the recent Comey hearing, Cuba and Climate Change. http:// kasu.org/post/crawford- talks-comey-hearings-cuba-climate-change …";;;;"874636778061299713";https://twitter.com/RepRickCrawford/status/874636778061299713
;2017-06-12 21:21;20;44;"My thoughts are with the officer's family this evening. What our fellow men and women risk to protect us every day should humble us all. https:// twitter.com/lrpolice/statu s/874446801851600896 …";;;;"874451650576044033";https://twitter.com/RepRickCrawford/status/874451650576044033
;2017-06-12 12:41;10;14;"READ the letter we sent Trump: #Cuba engagement is a national security imperative. China, Russia are closing in fast https:// crawford.house.gov/uploadedfiles/ cwg_security_letter_to_potus_06.09.17.pdf …";;;#Cuba;"874320737678618625";https://twitter.com/RepRickCrawford/status/874320737678618625
;2017-06-12 10:00;3;7;"WATCH why agriculture trade with Cuba would be beneficial for the U.S. #CubaAgTrade #Cuba #Agriculture https:// youtu.be/EBo2AuW2G2o";;;#CubaAgTrade #Cuba #Agriculture;"874280296371429376";https://twitter.com/RepRickCrawford/status/874280296371429376
;2017-06-12 08:25;0;3;"TUNE IN to @KASUradio to listen to my take on agriculture trade with Cuba. http:// kasu.org /";;@KASUradio;;"874256422690840577";https://twitter.com/RepRickCrawford/status/874256422690840577
;2017-06-09 15:45;11;18;"US Republicans Send Letter to Trump Urging Cuba Remain Open http://www. plenglish.com/index.php?o=rn &id=14023&SEO=us-republicans-send-letter-to-trump-urging-cuba-remain-open …";;;;"873279942502567936";https://twitter.com/RepRickCrawford/status/873279942502567936
;2017-06-09 12:30;15;26;"I sent a letter to Trump saying that #Cuba engagement is a national security imperative - http:// abcn.ws/2rUP8qW";;;#Cuba;"873230939148648448";https://twitter.com/RepRickCrawford/status/873230939148648448
;2017-06-09 11:28;0;0;"Sign-up for my newsletter to get weekly updates! https:// crawford.house.gov/contact/enewsl etter-signup.htm … pic.twitter.com/TbtdQ2atbi";;;;"873215334890819585";https://twitter.com/RepRickCrawford/status/873215334890819585
;2017-06-09 10:53;2;7;"Now and Then. @AustinScottGA08 #HouseAg pic.twitter.com/Gkv70BNzIs";;@AustinScottGA08;#HouseAg;"873206426675630081";https://twitter.com/RepRickCrawford/status/873206426675630081
;2017-06-08 13:59;2;8;"It’s time for a different approach with Cuba http:// talkbusiness.net/2017/06/its-ti me-for-a-different-approach-with-cuba/ …";;;;"872890815126937602";https://twitter.com/RepRickCrawford/status/872890815126937602
;2017-06-08 09:59;1;3;"Agriculture trade could help Cuban Americans whose property was stolen. #CubaAgTrade #Cuba http://www. tampabay.com/blogs/the-buzz -florida-politics/as-trump-reviews-cuba-policy-rubio-nelson-want-stolen-property-addressed/2326202 …";;;#CubaAgTrade #Cuba;"872830507108769792";https://twitter.com/RepRickCrawford/status/872830507108769792
;2017-06-07 18:30;1;1;"I believe good government accountable to the people begins w/ transparency. Watch my latest edition of On the Radar. https:// youtu.be/X6uui71dzCs";;;;"872596537838260225";https://twitter.com/RepRickCrawford/status/872596537838260225
;2017-06-07 14:18;4;7;"Arkansas federal lawmakers support state's disaster request http://www. tinyurl.com/y95tvsh8";;;;"872533182989598720";https://twitter.com/RepRickCrawford/status/872533182989598720
;2017-06-07 14:10;1;2;"As a leader on the world stage, the U.S. is fully invested in helping those who need it most. https:// youtu.be/RTYvgg95j0g";;;;"872531332173373440";https://twitter.com/RepRickCrawford/status/872531332173373440
;2017-06-06 11:17;4;8;"Remembering the sacrifices of more than 2,000 American troops today. Their courage and heroism will never be forgotten. #DDay #DDay73 pic.twitter.com/ca9LrocPx3";;;#DDay #DDay73;"872125424691798016";https://twitter.com/RepRickCrawford/status/872125424691798016
;2017-06-06 11:03;2;4;"Arkansas Delegation Announces $2.7 Million in FAA Grants for Airport Improvements - https:// goo.gl/6LqgPD";;;;"872121890516721665";https://twitter.com/RepRickCrawford/status/872121890516721665
;2017-06-05 09:23;5;5;"#CubaAgTrade pic.twitter.com/9BVa1liObk";;;#CubaAgTrade;"871734145378070529";https://twitter.com/RepRickCrawford/status/871734145378070529
;2017-06-04 15:54;1;1;"My thoughts are with the family of Velmar Bailey, who passed away earlier this month. He will be dearly missed. http://www. theeveningtimes.com/site/2017/05/3 0/obituary-55/ …";;;;"871470152143032320";https://twitter.com/RepRickCrawford/status/871470152143032320
