username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:43;2;3;"The American Flag remains a symbol of freedom and opportunity. #FlagDay #OneNationUnderGod pic.twitter.com/v5MeDTUV6Z";;;#FlagDay #OneNationUnderGod;"875091373489360896";https://twitter.com/RepRobWoodall/status/875091373489360896
;2017-06-14 14:58;1;3;"Wishing a happy 242nd birthday to the @USArmy ! Forever grateful for the courageous service of these men and women! #ArmyBirthday #ArmyBDay";;@USArmy;#ArmyBirthday #ArmyBDay;"875079905654034433";https://twitter.com/RepRobWoodall/status/875079905654034433
;2017-06-14 08:53;4;15;"Please keep my friend @SteveScalise and those affected in your thoughts & prayers. Grateful for brave @CapitolPolice and first-responders. https:// twitter.com/SteveScalise/s tatus/874986924154511360 …";;@SteveScalise @CapitolPolice;;"874988089785151488";https://twitter.com/RepRobWoodall/status/874988089785151488
;2017-06-13 16:05;2;3;"Delivering on promises to our #veterans is a shared goal. Proud to support the #VAAccountability , which passed with broad bipartisanship.";;;#veterans #VAAccountability;"874734385421049856";https://twitter.com/RepRobWoodall/status/874734385421049856
;2017-06-09 10:25;4;6;"Joining @POTUS at the @USDOT today to discuss plans to rebuild America’s #infrastructure . #build #invest";;@POTUS @USDOT;#infrastructure #build #invest;"873199386058252288";https://twitter.com/RepRobWoodall/status/873199386058252288
;2017-06-08 16:22;3;5;"For too long, Main Street has paid the price for #DoddFrank . The #CHOICEAct empowers local lenders and entrepreneurs http:// bit.ly/2raC12O";;;#DoddFrank #CHOICEAct;"872926784534306819";https://twitter.com/RepRobWoodall/status/872926784534306819
;2017-06-06 08:59;4;3;"It's a timeless image that captures timeless bravery. "Full victory - nothing else." - Gen. Dwight D. Eisenhower #DDay73 #WWII pic.twitter.com/9yo1V3BIL6";;;#DDay73 #WWII;"872090492955234304";https://twitter.com/RepRobWoodall/status/872090492955234304
;2017-06-05 10:46;2;2;"At the @WhiteHouse for the @POTUS ' announcement regarding #AirTraffic reform. Tune in: http:// cs.pn/2rt4WSS";;@WhiteHouse @POTUS;#AirTraffic;"871755104378138625";https://twitter.com/RepRobWoodall/status/871755104378138625
;2017-06-01 18:36;8;17;"Proud to nominate this crew (and others) to our Service Academies! #GA07 #serviceacademy #leadershipmatters pic.twitter.com/H8Uref8wLr";;;#GA07 #serviceacademy #leadershipmatters;"870423956267913217";https://twitter.com/RepRobWoodall/status/870423956267913217
;2017-05-31 09:55;2;4;"Thanks again to the @atlchamber and all those who joined our discussion this morning! #local #leadership pic.twitter.com/qRMhg4ikDt";;@atlchamber;#local #leadership;"869930381411332096";https://twitter.com/RepRobWoodall/status/869930381411332096
;2017-05-29 16:23;4;8;"On Memorial Day we honor those we can never repay. We're forever grateful. #memorialday2017 pic.twitter.com/3NOJ7fbR7d";;;#memorialday2017;"869303260498329600";https://twitter.com/RepRobWoodall/status/869303260498329600
;2017-05-25 16:22;4;7;"Proud of the progress made this week to expand our previous bill (now law) to get #veterans back to work quickly: http:// bit.ly/2rVuGpv";;;#veterans;"867853500620865537";https://twitter.com/RepRobWoodall/status/867853500620865537
;2017-05-24 15:26;1;1;"Good policy is based in good service. That's where #HR2595 came from, and I was proud to reintroduce it. MORE: http:// bit.ly/2qXof4V";;;#HR2595;"867476996087050242";https://twitter.com/RepRobWoodall/status/867476996087050242
;2017-05-23 11:19;0;6;"I’ll be on the House floor shortly to manage debate for #HR953 . #Regulation should be effective & efficient–not redundant. #RegulatoryReform";;;#HR953 #Regulation #RegulatoryReform;"867052436875354115";https://twitter.com/RepRobWoodall/status/867052436875354115
;2017-05-20 12:55;1;6;"Wishing a happy #ArmedForcesDay to all those currently serving! Thank you for all you do each day. #ArmedForcesDay2017";;;#ArmedForcesDay #ArmedForcesDay2017;"865989403788931072";https://twitter.com/RepRobWoodall/status/865989403788931072
;2017-05-17 09:28;1;0;"#FAA reform hearing happening now! #building21 https:// twitter.com/Transport/stat us/864836673527590912 …";;;#FAA #building21;"864850136215715840";https://twitter.com/RepRobWoodall/status/864850136215715840
;2017-05-16 08:47;2;3;"Congratulations to the @LambertHS Lady Longhorns soccer team for bringing home the state title! Great work! #GA07 http:// bit.ly/2rm9yaR";;@LambertHS;#GA07;"864477508942659585";https://twitter.com/RepRobWoodall/status/864477508942659585
;2017-05-14 14:52;0;1;"I hope everyone is having a wonderful #mothersday ! Special wishes to my mom. #happymothersday";;;#mothersday #happymothersday;"863844441425145856";https://twitter.com/RepRobWoodall/status/863844441425145856
