username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 09:39;1;6;"Nurses are truly remarkable professionals. I spoke with several yesterday about addressing #mentalhealth & #substanceabuse . pic.twitter.com/kAO5WFLCAK";;;#mentalhealth #substanceabuse;"875362177590464512";https://twitter.com/RepRobinKelly/status/875362177590464512
;2017-06-14 14:42;2;12;"Our EMTs do remarkable work saving lives – thanks for coming to DC and sharing your expertise with me. #EMS pic.twitter.com/emxC35smEr";;;#EMS;"875076034634428417";https://twitter.com/RepRobinKelly/status/875076034634428417
;2017-06-14 09:29;4;11;"Preventing suicide starts with everyday heroes like you. Learn what you can do: https://www. nimh.nih.gov/health/topics/ suicide-prevention/index.shtml … pic.twitter.com/SnyEWpYyqa";;;;"874997318709379074";https://twitter.com/RepRobinKelly/status/874997318709379074
;2017-06-14 08:34;6;13;"Wishing Rep. @SteveScalise and those injured a speedy recovery.";;@SteveScalise;;"874983488763691009";https://twitter.com/RepRobinKelly/status/874983488763691009
;2017-06-13 16:33;13;20;"Disappointed but not shocked that @POTUS is hiding from our #veterans . https:// twitter.com/votevets/statu s/874599756143755264 …";;@POTUS;#veterans;"874741527309955072";https://twitter.com/RepRobinKelly/status/874741527309955072
;2017-06-13 14:15;2;2;"Important & insightful piece from 2 of our nation’s greatest military leaders. http://www. politico.com/agenda/story/2 017/06/12/budget-foreign-aid-cuts-national-security-000456 …";;;;"874706919004491776";https://twitter.com/RepRobinKelly/status/874706919004491776
;2017-06-12 17:57;3;4;"Joined @SenatorDurbin to discuss our #jobs bills that will help stop the violence. http:// chicago.cbslocal.com/2017/06/12/uic -great-cities-institute-study-jobless-youth-no-diploma/ … #MoreJobsLessViolence";;@SenatorDurbin;#jobs #MoreJobsLessViolence;"874400282607853568";https://twitter.com/RepRobinKelly/status/874400282607853568
;2017-06-12 17:53;9;14;"One year ago, we lost 49 Americans who just wanted to dance. The time to act is now - #EnoughIsEnough . #OrlandoUnitedDay #PulseNightclub pic.twitter.com/ho6tFbx19d";;;#EnoughIsEnough #OrlandoUnitedDay #PulseNightclub;"874399255125012485";https://twitter.com/RepRobinKelly/status/874399255125012485
;2017-06-08 17:38;6;6;"Our #rural communities are struggling & the problems are getting worse. They need investment, not #TrumpBudget cuts https://www. wsj.com/articles/rural -america-is-the-new-inner-city-1495817008 …";;;#rural #TrumpBudget;"872945889362497536";https://twitter.com/RepRobinKelly/status/872945889362497536
;2017-06-08 16:22;5;0;"Clifford lives in #KY & got affordable healthcare through the #ACA . Sadly, #TrumpCare is going to raise his premiums by $590/month. pic.twitter.com/18V62tlswl";;;#KY #ACA #TrumpCare;"872926798815932421";https://twitter.com/RepRobinKelly/status/872926798815932421
;2017-06-08 15:39;3;14;"Happy #NationalBestFriendsDay to my bestie on the Hill - @RepBeatty ! pic.twitter.com/UcJsjRug6W";;@RepBeatty;#NationalBestFriendsDay;"872916060156067840";https://twitter.com/RepRobinKelly/status/872916060156067840
;2017-06-08 11:44;4;5;"Glad today was #ComeyDay at Senate Intel. @jasoninthehouse , when is he coming to OGR - the investigative & oversight committee of Congress?";;@jasoninthehouse;#ComeyDay;"872856980096000004";https://twitter.com/RepRobinKelly/status/872856980096000004
;2017-06-08 11:34;6;35;"I agree w/ frm FBI Dir. Comey! I hope there are "tapes" proving what @POTUS said concerning a potential obstruction of justice. #ComeyDay";;@POTUS;#ComeyDay;"872854268616814592";https://twitter.com/RepRobinKelly/status/872854268616814592
;2017-06-08 09:14;2;7;"Crossed over to the Senate side for today's critical #TrumpRussia hearing with former FBI Director James Comey. #ComeyDay";;;#TrumpRussia #ComeyDay;"872819016003461121";https://twitter.com/RepRobinKelly/status/872819016003461121
;2017-06-07 17:08;11;19;"Kids can’t concentrate when they are hungry. It’s time to double down and END childhood hunger in America. #HungryToHelp pic.twitter.com/Hc4yOU0D6l";;;#HungryToHelp;"872576000156192770";https://twitter.com/RepRobinKelly/status/872576000156192770
;2017-06-07 15:53;2;7;"#Rural communities across Illinois are struggling; the #TrumpBudget makes their situation much worse. https://www. nationaljournal.com/s/653853/trump s-anti-rural-budget …";;;#Rural #TrumpBudget;"872557217530220544";https://twitter.com/RepRobinKelly/status/872557217530220544
;2017-06-05 12:07;27;28;"This is unacceptable- the millions of Americans living in district represented by Democrats deserve the same answers http://www. politico.com/story/2017/06/ 02/federal-agencies-oversight-requests-democrats-white-house-239034?cmpid=sf …";;;;"871775553430355968";https://twitter.com/RepRobinKelly/status/871775553430355968
