username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 10:23;1;5;"Thanks to @iowabankers for visiting. Good discussion on Choice Act, regulations, & reigniting our economy. #IA01 pic.twitter.com/KEDUhEnFq0";;@iowabankers;#IA01;"875373300918231040";https://twitter.com/RepRodBlum/status/875373300918231040
;2017-06-14 12:05;1;6;"Thanks for visiting! https:// twitter.com/usglc/status/8 75035806666293248 …";;;;"875036561670361089";https://twitter.com/RepRodBlum/status/875036561670361089
;2017-06-14 07:46;32;58;"Prayers for all injured at congressional baseball practice this morning. Grateful for Capitol Hill Police and first responders.";;;;"874971229060575233";https://twitter.com/RepRodBlum/status/874971229060575233
;2017-06-13 13:41;3;5;"Enjoyed meeting @CR_Police Officer Ryan Abodeely & family in DC and congratulate him on graduation from 10 week FBI training program. #IA01 pic.twitter.com/n5yfex0ver";;@CR_Police;#IA01;"874698132734578690";https://twitter.com/RepRodBlum/status/874698132734578690
;2017-06-13 10:48;4;5;"Glad to be with the Cedar Valley Coalition in DC this morn. Good discussion with great folks from Waterloo, Cedar Falls, and Waverly. #IA01 pic.twitter.com/voZbyc7SfO";;;#IA01;"874654825421647872";https://twitter.com/RepRodBlum/status/874654825421647872
;2017-06-12 13:53;1;2;"From one Dubuque Senior High School Ram to another, good luck in New York Seamus! #IA01 https:// twitter.com/KCRG/status/87 4083834140266498 …";;;#IA01;"874338813660852224";https://twitter.com/RepRodBlum/status/874338813660852224
;2017-06-10 20:07;3;28;"Fun to celebrate the wedding of Mr. & Mrs. Justin Jensen in Waverly! Justin is Regional Director in my Cedar Falls district office. pic.twitter.com/PDKV3POQcb";;;;"873708110010957824";https://twitter.com/RepRodBlum/status/873708110010957824
;2017-06-09 16:38;2;12;"Good to meet with Iowa representatives of @Winnebago and the RV Industries Association this week! Thanks for the discussion. #IA01 pic.twitter.com/APSreamqC1";;@Winnebago;#IA01;"873293131713843201";https://twitter.com/RepRodBlum/status/873293131713843201
;2017-06-08 13:44;18;42;"Today confirmed that @POTUS @realDonaldTrump was not under investigation. Time to move on from political theatrics, get to work for America.";;@POTUS @realDonaldTrump;;"872887167923650565";https://twitter.com/RepRodBlum/status/872887167923650565
;2017-06-08 12:19;4;9;"Was good to see newly confirmed Ambassador to China & former Iowa Governor @TerryBranstad here in Washington. #IA01 pic.twitter.com/qgAYiHW6Tj";;@TerryBranstad;#IA01;"872865692290347009";https://twitter.com/RepRodBlum/status/872865692290347009
;2017-06-08 11:03;2;9;"Congratulations to #IA01 's own Raja Chari, 1 of 12 in the 2017 @NASA_Astronauts class, over 18,000 applications! https://www. nasa.gov/astronauts/bio graphies/raja-chari/biography …";;@NASA_Astronauts;#IA01;"872846440304869377";https://twitter.com/RepRodBlum/status/872846440304869377
;2017-06-07 15:33;1;1;"Thanks for visiting! https:// twitter.com/cwolfeiowa/sta tus/872536663125360640 …";;;;"872552187049725952";https://twitter.com/RepRodBlum/status/872552187049725952
;2017-06-07 08:50;7;10;"An honor to introduce Senator @ChuckGrassley today as he testifies about the Fast & Furious investigation at @GOPoversight hearing. #IA01 pic.twitter.com/r8fPz0wVB4";;@ChuckGrassley @GOPoversight;#IA01;"872450763141861377";https://twitter.com/RepRodBlum/status/872450763141861377
;2017-06-06 13:21;1;15;"Delivering medals to World War II veteran Paul Meyers, joined by his daughter and fellow World War II veteran Bill Thul in Dubuque #IA01 pic.twitter.com/e1ReREfhfZ";;;#IA01;"872156501430939648";https://twitter.com/RepRodBlum/status/872156501430939648
