username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:05;22;53;"My prayers are with my colleagues, their aides, and the brave Capitol Police who were injured during this senseless act of violence.";;;;"874976093371068417";https://twitter.com/RepRonKind/status/874976093371068417
;2017-06-13 10:39;3;1;"If you live in Portage County and experienced storm damage please report damage to Portage County Emergency Management at 715-343-6200.";;;;"874652423847018496";https://twitter.com/RepRonKind/status/874652423847018496
;2017-06-12 16:42;2;20;"Today, we remember the victims of the #PulseNightclub attack, and pledge to keep protecting our #LGBTQ community from hate and violence.";;;#PulseNightclub #LGBTQ;"874381370574991360";https://twitter.com/RepRonKind/status/874381370574991360
;2017-06-06 12:50;2;8;"Today is the 73rd anniversary of #DDay . We remember the courage of the soldiers who fought for our freedom&thank those that protect us today";;;#DDay;"872148663006572553";https://twitter.com/RepRonKind/status/872148663006572553
;2017-06-01 14:37;18;16;"Walking away from the table endangers the planet for future generations & leaves US workers and businesses less competitive.";;;;"870363775572090881";https://twitter.com/RepRonKind/status/870363775572090881
;2017-06-01 14:36;18;35;"Today’s decision by President Trump to leave the Paris Agreement puts our standing in the world at risk.";;;;"870363512769478656";https://twitter.com/RepRonKind/status/870363512769478656
;2017-05-31 17:17;4;10;"Enjoyed showing @RepCheri a proud WI manufacturer. They are key to the rural economy. https:// twitter.com/repcheri/statu s/870017980171599872 …";;@RepCheri;;"870041695991320577";https://twitter.com/RepRonKind/status/870041695991320577
;2017-05-31 12:10;3;14;"Had a great talk w/ @RepCheri & small business leaders, farmers & manufacturers at @swtc . Working together to grow the rural economy. pic.twitter.com/lUXk96LnAP";;@RepCheri @swtc;;"869964391743148032";https://twitter.com/RepRonKind/status/869964391743148032
;2017-05-31 11:02;0;4;"It's never too early for a pit-stop at @CarrValley Cheese. Thanks to the Fennimore crew and Igor the mouse for the curds! @RepCheri pic.twitter.com/VkENvb1DQ1";;@CarrValley @RepCheri;;"869947269994479616";https://twitter.com/RepRonKind/status/869947269994479616
;2017-05-31 10:29;5;12;"Enjoyed starting the AM talking w. Ernie @WVRQ about my work to protect access to affordable health care for WI. pic.twitter.com/yMk4L7KC97";;@WVRQ;;"869938859987148800";https://twitter.com/RepRonKind/status/869938859987148800
;2017-05-31 10:21;5;10;"Looking forward to showing you around western Wisconsin! If you're in Grant Country, keep an eye out for @RepCheri and me. https:// twitter.com/RepCheri/statu s/869935064813064192 …";;@RepCheri;;"869936865658499072";https://twitter.com/RepRonKind/status/869936865658499072
;2017-05-24 16:16;5;11;"The nonpartisan #CBOScore found that #AHCA is bad deal for rural Wisconsinites.";;;#CBOScore #AHCA;"867489595541344256";https://twitter.com/RepRonKind/status/867489595541344256
;2017-05-24 16:08;36;14;"#CBOScore finds that under #AHCA older Wisconsinites could see their insurance premiums go up by over $10,000.";;;#CBOScore #AHCA;"867487442772914178";https://twitter.com/RepRonKind/status/867487442772914178
;2017-05-24 16:05;19;9;"Updated #CBOScore finds Wisconsinites w. pre-existing conditions would have difficulty purchasing health insurance & if the do will pay more";;;#CBOScore;"867486799492468737";https://twitter.com/RepRonKind/status/867486799492468737
;2017-05-23 15:23;5;10;"Instead of supporting programs that create jobs & grow our rural WI economy the #TrumpBudget guts key programs. http:// bit.ly/2qe7e5r";;;#TrumpBudget;"867113693003304962";https://twitter.com/RepRonKind/status/867113693003304962
;2017-05-22 20:12;6;15;"My thoughts and prayers are with the victims of the horrific attack in Manchester and their families.";;;;"866824143140003841";https://twitter.com/RepRonKind/status/866824143140003841
;2017-05-17 18:18;2;3;"Tornado and flood warnings issued in counties across western Wisconsin. Take shelter from the storm in underground shelter or basement. https:// twitter.com/wxow/status/86 4980681834680321 …";;;;"864983376339623936";https://twitter.com/RepRonKind/status/864983376339623936
;2017-05-17 10:33;29;97;"On #IDAHOT - and every day - I'm proud to fight inequality and celebrate diversity. https:// twitter.com/HRC/status/864 829210149388288 …";;;#IDAHOT;"864866420596846592";https://twitter.com/RepRonKind/status/864866420596846592
;2017-05-16 11:01;6;11;"Our intel officers & allies make sure threats to the US are addressed, and sharing info puts their mission & safety of our country at risk.";;;;"864511251510067205";https://twitter.com/RepRonKind/status/864511251510067205
;2017-05-16 10:59;3;11;"The Admin needs to inform House & Senate Intelligence Committees the full nature of the information revealed and any damage it may cause.";;;;"864510679843311616";https://twitter.com/RepRonKind/status/864510679843311616
;2017-05-16 10:59;1;23;"I am deeply disturbed that President Trump made the careless decision to share classified information with Russian officials.";;;;"864510537870258180";https://twitter.com/RepRonKind/status/864510537870258180
;2017-05-15 16:12;1;2;"Enjoyed starting #NationalPoliceWeek by joining @Lacrossepolice to honor the officers who lost their lives protecting our community. pic.twitter.com/quRQyXIr6A";;@Lacrossepolice;#NationalPoliceWeek;"864226994241892352";https://twitter.com/RepRonKind/status/864226994241892352
;2017-05-11 15:07;0;0;"What's your favorite thing to do in Wisconsin's 3rd District? #NationalTravelandTourismWeek pic.twitter.com/UYymSDmD13";;;#NationalTravelandTourismWeek;"862761173527265286";https://twitter.com/RepRonKind/status/862761173527265286
;2017-05-09 17:49;30;23;"Read my full statement on the firing of FBI Director #Comey here: http:// bit.ly/2qZkOdT";;;#Comey;"862077030602604544";https://twitter.com/RepRonKind/status/862077030602604544
;2017-05-09 17:48;21;43;"I call on congressional leadership to schedule hearings so we can get to the bottom of the rash firing of FBI Director #Comey .";;;#Comey;"862076825417207808";https://twitter.com/RepRonKind/status/862076825417207808
;2017-05-04 13:25;16;115;"Proud to vote NO on #TrumpCare . This bill was a bad deal for hardworking Wisconsinites. pic.twitter.com/76lcnqoyVi";;;#TrumpCare;"860198685791092736";https://twitter.com/RepRonKind/status/860198685791092736
;2017-05-04 09:48;7;35;"This week alone over 400 Wisconsinites have called, emailed, or written letters strongly opposing #Trumpcare . #WrongForWI";;;#Trumpcare #WrongForWI;"860144057816932357";https://twitter.com/RepRonKind/status/860144057816932357
;2017-05-04 09:39;28;36;"Never before in US history has a Congress & Admin offered a health care reform bill that instead of ↓ uninsured rate ↑ it. #Trumpcare";;;#Trumpcare;"860141949059293188";https://twitter.com/RepRonKind/status/860141949059293188
;2017-05-04 09:19;25;65;"I remain a firm NO GOP’s new & awful #AHCA bill. This bill is nothing but a tax cut for the wealthy at the expense of 25 million Americans";;;#AHCA;"860136768707940352";https://twitter.com/RepRonKind/status/860136768707940352
;2017-05-02 15:41;19;47;"We owe it to Wisconsinites like Jessie and her daughter to stand up and protect their access to affordable health care. No to #AHCA 2.0! pic.twitter.com/sSI4ueiL0h";;;#AHCA;"859508266648449024";https://twitter.com/RepRonKind/status/859508266648449024
;2017-05-02 14:41;23;60;"I am proud to co-sponsor the #EqualityAct -a bill that protects Wisconsin's LGBTQ community from discrimination.Its time for #EqualityforAll";;;#EqualityAct #EqualityforAll;"859492969786814464";https://twitter.com/RepRonKind/status/859492969786814464
;2017-04-28 12:12;3;4;"On #WorkersMemorialDay , we remember & honor those that died while working. We must keep up the fight for a healthy & safe workplace for all.";;;#WorkersMemorialDay;"858006128504053760";https://twitter.com/RepRonKind/status/858006128504053760
;2017-04-27 19:18;0;4;"Today’s exec action is a small step in the right direction, but more must be done to protect VA whistle-blowers. https:// twitter.com/cnnpolitics/st atus/857739899969130496 …";;;;"857750885849550848";https://twitter.com/RepRonKind/status/857750885849550848
;2017-04-11 15:20;1;7;"Enjoyed meeting with Eau Claire biz owners to hear their thoughts on how we can work together to grow the economy & create jobs. pic.twitter.com/vgFv6eQY9i";;;;"851892764665155584";https://twitter.com/RepRonKind/status/851892764665155584
;2017-04-10 15:11;0;6;"Thanks to everyone who came out to my listening session in Chippewa Falls this weekend! Great meeting everyone. pic.twitter.com/UepNUpCUom";;;;"851527960788074498";https://twitter.com/RepRonKind/status/851527960788074498
;2017-04-06 17:34;17;24;"Once again @GovWalker misses the point. He continues to ignore what is best for WI taxpayers & WI families in favor of partisan politics.";;@GovWalker;;"850114399834648576";https://twitter.com/RepRonKind/status/850114399834648576
;2017-04-04 12:43;9;31;"Everyone deserves equal pay for equal work. I'm proud to co-sponsor the Paycheck Fairness Act, to make this a reality. #EqualPayDay pic.twitter.com/3xXmYQncV6";;;#EqualPayDay;"849316539404890113";https://twitter.com/RepRonKind/status/849316539404890113
;2017-04-03 18:03;1;21;"Thanks to everyone who attended my Eau Claire listening session on Saturday. I appreciated hearing your thoughts and concerns. pic.twitter.com/ew99WGmkDV";;;;"849034603818045441";https://twitter.com/RepRonKind/status/849034603818045441
;2017-03-29 12:44;46;81;"It is long past time for Gov. Walker to end his ideological war on the ACA & accept federal funding to expand BadgerCare. pic.twitter.com/Resd64KNfW";;;;"847142426535956480";https://twitter.com/RepRonKind/status/847142426535956480
;2017-03-28 09:51;20;71;"Wisconsinites have the right to protect their private information, which is why I’m voting no on S.J. Res 34. #Broadbandprivacy";;;#Broadbandprivacy;"846736391254036482";https://twitter.com/RepRonKind/status/846736391254036482
;2017-03-24 15:39;32;113;"Hard-working Wisconsinites Prevailed! Thank you to all who reached out to my office to express their concerns re: the #PayMoreForLess bill.";;;#PayMoreForLess;"845374539030822913";https://twitter.com/RepRonKind/status/845374539030822913
;2017-03-24 12:48;13;65;"I'm about to speak on the House floor about why #AHCA is a bad deal for WI. Watch here: https://www. facebook.com/housebudgetdem s/videos/10154556704039952/ …";;;#AHCA;"845331587864690696";https://twitter.com/RepRonKind/status/845331587864690696
;2017-03-23 17:30;111;190;"WI-03 knows that #PayMoreForLess bill is a bad deal. Calls/emails so far: 1557 people urged me to vote no 8 people urged me to vote yes";;;#PayMoreForLess;"845039962042986496";https://twitter.com/RepRonKind/status/845039962042986496
;2017-03-23 15:58;7;28;"This is what happens when you try to force a bad bill that would impact 1/5 of US economy and negatively impact hundreds of thousands in WI. https:// twitter.com/AP_Politics/st atus/844994364954824705 …";;;;"845016851843366912";https://twitter.com/RepRonKind/status/845016851843366912
