username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:32;6;13;"Praying for @SteveScalise and all victims of this detestable shooting in VA. Deeply grateful to our brave Capitol Police & first responders.";;@SteveScalise;;"874982798934892544";https://twitter.com/RepRoybalAllard/status/874982798934892544
;2017-06-13 15:46;1;4;"Urged @ICEgov & @CustomsBorder leaders to ensure fair & humane treatment for the vulnerable individuals, kids, and families they apprehend. pic.twitter.com/WLAzL1Ji1c";;@ICEgov @CustomsBorder;;"874729724634857472";https://twitter.com/RepRoybalAllard/status/874729724634857472
;2017-06-12 19:23;3;14;"I've reintroduced the CARE Act to provide crucial protections for kids working in US agriculture: https:// roybal-allard.house.gov/news/documents ingle.aspx?DocumentID=398298 …";;;;"874421975900463108";https://twitter.com/RepRoybalAllard/status/874421975900463108
;2017-06-12 18:50;0;0;"Regístrate para las clases gratuitas de ciudadanía en @CityOfCommerce que comienzan el 13 de junio! https:// goo.gl/forms/8FdmAJ5z D4WXmaV92 … #IHM2017 pic.twitter.com/7Y6l0Y67Yn";;@CityOfCommerce;#IHM2017;"874413682289250306";https://twitter.com/RepRoybalAllard/status/874413682289250306
;2017-06-12 18:49;5;1;"Register for FREE US citizenship classes in @CityOfCommerce starting June 13th! https:// goo.gl/forms/8FdmAJ5z D4WXmaV92 … #ImmigrantHeritageMonth pic.twitter.com/oBJe1H1jLB";;@CityOfCommerce;#ImmigrantHeritageMonth;"874413435580272640";https://twitter.com/RepRoybalAllard/status/874413435580272640
;2017-06-12 14:56;0;1;"La llamada con @SouthCoastAQMD el dia 13 de junio sobre información de la contaminación de #hexavalentchromium en #Paramount está cancelada.";;@SouthCoastAQMD;#hexavalentchromium #Paramount;"874354780256292865";https://twitter.com/RepRoybalAllard/status/874354780256292865
;2017-06-12 14:56;1;2;"#Paramount community: @SouthCoastAQMD conference call with updates on #HexavalentChromium contamination is cancelled for Tue 6/13.";;@SouthCoastAQMD;#Paramount #HexavalentChromium;"874354749243621376";https://twitter.com/RepRoybalAllard/status/874354749243621376
;2017-06-12 13:08;105;203;"A year after the #Pulse shooting, we remember the victims, keep fighting for #LGBT equality & reaffirm the essential truth that #LoveIsLove . pic.twitter.com/Lb30IMa96p";;;#Pulse #LGBT #LoveIsLove;"874327637946236929";https://twitter.com/RepRoybalAllard/status/874327637946236929
;2017-06-12 13:01;9;31;"Grateful for the latest court ruling against Trump's cruel #MuslimBan ! America is, and must always be, a nation of religious freedom. https:// twitter.com/washingtonpost /status/874314881004187654 …";;;#MuslimBan;"874325767957643264";https://twitter.com/RepRoybalAllard/status/874325767957643264
;2017-06-10 08:12;22;30;"54 years ago today, JFK signed the #EqualPay Act. We continue his work to close the #WageGap so that women finally get paid as much as men! pic.twitter.com/ZJ7tAes4PS";;;#EqualPay #WageGap;"873528279969538049";https://twitter.com/RepRoybalAllard/status/873528279969538049
;2017-06-09 17:24;3;7;"Quieres prepararte para la ciudadanía Americana? Regístrate para las clases de ciudadanía gratuitas que comienzan el 12 de junio! #IHM2017 https:// twitter.com/City_of_HP/sta tus/870698202059612160 …";;;#IHM2017;"873304838800629760";https://twitter.com/RepRoybalAllard/status/873304838800629760
;2017-06-09 17:24;30;21;"Want to prepare for US citizenship? Register for FREE citizenship classes and get started June 12th, during this #ImmigrantHeritageMonth ! https:// twitter.com/City_of_HP/sta tus/870698202059612160 …";;;#ImmigrantHeritageMonth;"873304751974346753";https://twitter.com/RepRoybalAllard/status/873304751974346753
;2017-06-09 15:30;1;1;"Vive o trabaja menos de 3 millas de #Exide ? Consulte este folleto para info sobre pruebas de plomo en la sangre y en la tierra. pic.twitter.com/4d251Eph55";;;#Exide;"873276123832078336";https://twitter.com/RepRoybalAllard/status/873276123832078336
;2017-06-09 15:29;5;3;"Live or work within 3 miles of #Exide ? See this flyer for info about blood lead testing and home soil testing. pic.twitter.com/fr80pZy3TO";;;#Exide;"873275986166591490";https://twitter.com/RepRoybalAllard/status/873275986166591490
;2017-06-09 15:29;0;0;"Voluntarios irán de puerta en puerta sab 6/10 para dar información y ayudar a los residentes afectados por #Exide : http:// ph.lacounty.gov/eh/exide/es pic.twitter.com/8j4fvistDo";;;#Exide;"873275881439055872";https://twitter.com/RepRoybalAllard/status/873275881439055872
;2017-06-09 15:28;1;2;"Volunteers are going door-to-door Sat 6/10 to give info & help to residents affected by #Exide . More info at http:// publichealth.lacounty.gov/eh/exide . pic.twitter.com/jmfwNwiCt5";;;#Exide;"873275664446652416";https://twitter.com/RepRoybalAllard/status/873275664446652416
;2017-06-08 16:14;2;10;"The #WrongChoiceAct gives a handout to predatory Wall Street lenders while putting working families at greater financial risk. I voted NO. pic.twitter.com/ZUiK9tWggR";;;#WrongChoiceAct;"872924872929939456";https://twitter.com/RepRoybalAllard/status/872924872929939456
;2017-06-08 12:05;23;63;"#Comey 's testimony makes it clearer than ever: We need an independent commission on #TrumpRussia ! #FollowTheFacts https://www. nytimes.com/2017/06/08/us/ politics/james-comey-testimony-hearing.html …";;;#Comey #TrumpRussia #FollowTheFacts;"872862271357280258";https://twitter.com/RepRoybalAllard/status/872862271357280258
;2017-06-08 11:34;2;4;"Spoke with Andre Colaiace of #LACounty 's #AccessServices about Access's work to ensure transit mobility for those with physical challenges. pic.twitter.com/jalgI4HCgD";;;#LACounty #AccessServices;"872854423294414850";https://twitter.com/RepRoybalAllard/status/872854423294414850
;2017-06-07 19:33;3;6;"Gave a warm farewell and great thanks to Nikki Semenza, who's concluding her service as my office's @WCPInst fellow! pic.twitter.com/u9ZKXNr8nL";;@WCPInst;;"872612460716580869";https://twitter.com/RepRoybalAllard/status/872612460716580869
;2017-06-07 14:55;6;20;"#Jerusalem was reunified 50 years ago today. May the city stand now and always as a place of peace and religious liberty for all.";;;#Jerusalem;"872542674993242112";https://twitter.com/RepRoybalAllard/status/872542674993242112
;2017-06-07 12:41;4;15;"Shared my strong concerns with @SecretaryAcosta about the Trump Admin's attacks on job training services and protections for female workers. pic.twitter.com/RaHVRH7HG7";;@SecretaryAcosta;;"872508753341448196";https://twitter.com/RepRoybalAllard/status/872508753341448196
;2017-06-06 17:18;1;3;"Wishing the best to Commander Jo-Ann Burdian as she wraps up her three years of service as @USCG House Liaison! pic.twitter.com/HN7EzvVQVr";;@USCG;;"872216181989572608";https://twitter.com/RepRoybalAllard/status/872216181989572608
;2017-06-06 16:16;3;9;"73 years after #DDay , we remember the Allied forces who fought at Normandy so that we might live in freedom and peace. pic.twitter.com/Kn0rNeR20H";;;#DDay;"872200573713559552";https://twitter.com/RepRoybalAllard/status/872200573713559552
;2017-06-05 17:04;2;6;". @HouseGOP 's #WrongChoiceAct strips away vital banking regulations, putting Wall Street ahead of working families. http:// thehill.com/policy/finance /336146-week-ahead-house-to-vote-on-dodd-frank-overhaul …";;@HouseGOP;#WrongChoiceAct;"871850318681841664";https://twitter.com/RepRoybalAllard/status/871850318681841664
;2017-06-04 08:23;0;4;"My heart is with London in the wake of these recent despicable terrorist acts. https:// twitter.com/ap/status/8712 87227598471168 …";;;;"871356675852304385";https://twitter.com/RepRoybalAllard/status/871356675852304385
;2017-06-03 17:34;3;4;"Joined my @CHCI friends to celebrate @TheNormanLear , recipient of the inaugural #CHCI Pioneer Award! https://www. facebook.com/media/set/?set =a.10155411400233708.1073741996.67237623707&type=3 …";;@CHCI @TheNormanLear;#CHCI;"871133073139613698";https://twitter.com/RepRoybalAllard/status/871133073139613698
;2017-06-03 17:29;4;6;"Glad to help honor Ánimo Ralph Bunche Charter High students at their awards ceremony! pic.twitter.com/uxip5QiMOF";;;;"871131666760187905";https://twitter.com/RepRoybalAllard/status/871131666760187905
