username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:50;14;37;"Horrified by this morning’s shooting. My thoughts and prayers are with my colleague @SteveScalise , those injured, and their families.";;@SteveScalise;;"874972408985374720";https://twitter.com/RepSusanDavis/status/874972408985374720
;2017-06-12 18:49;8;28;"Inspired by all who came out in SD & across US for #LGBT rights. I'll keep fighting in Congress for #equality . http://www. sandiegouniontribune.com/visuals/video/ 93554243-132.html …";;;#LGBT #equality;"874413255262785537";https://twitter.com/RepSusanDavis/status/874413255262785537
;2017-06-12 18:29;2;9;"My staff is ready to help w/ a federal agency at my East County Office Hours until 8pm today at the El Cajon Library at 201 E Douglas Ave. pic.twitter.com/GgSMP9ZTN9";;;;"874408256734724103";https://twitter.com/RepSusanDavis/status/874408256734724103
;2017-06-12 17:05;5;17;"If he truly has nothing to hide, then Trump should release the tapes.";;;;"874387085788106753";https://twitter.com/RepSusanDavis/status/874387085788106753
;2017-06-12 15:43;14;42;"Senate GOP healthcare bill must be as bad as House bill if they’re writing it behind closed doors. We must keep fighting to #ProtectOurCare";;;#ProtectOurCare;"874366468401631232";https://twitter.com/RepSusanDavis/status/874366468401631232
;2017-06-12 11:44;7;31;"To honor the 49 killed at #PulseNightclub one year ago today we must commit ourselves to ending hate and gun violence.";;;#PulseNightclub;"874306445411577857";https://twitter.com/RepSusanDavis/status/874306445411577857
;2017-06-10 17:51;10;40;"With friend & fmr colleague @GabbyGiffords before commissioning of #USSGabrielleGiffords in Galveston. #USSGG due to arrive in SD in 20 days pic.twitter.com/R8DhzzJYQf";;@GabbyGiffords;#USSGabrielleGiffords #USSGG;"873673985753481218";https://twitter.com/RepSusanDavis/status/873673985753481218
;2017-06-10 12:14;9;13;"Need help with a federal agency? My staff will be holding an East County Office Hours on Monday, June 12 from 2-8pm at the El Cajon Library. pic.twitter.com/a5DUOQRT7q";;;;"873589074765922304";https://twitter.com/RepSusanDavis/status/873589074765922304
;2017-06-09 23:34;6;32;"Inspiring to see mayors & govs filling Trump’s leadership void on #ParisAgreement . Will do all I can to support. http:// timesofsandiego.com/politics/2017/ 06/08/279-u-s-mayors-including-san-diegos-now-backing-paris-climate-pact/ …";;;#ParisAgreement;"873397813962342400";https://twitter.com/RepSusanDavis/status/873397813962342400
;2017-06-09 17:31;56;154;"Dems forced 9th vote to compel Trump to release his taxes so we can #followthefacts . Blocked by opponents. Will keep at it to get the truth.";;;#followthefacts;"873306465599180801";https://twitter.com/RepSusanDavis/status/873306465599180801
;2017-06-08 16:42;4;13;"Repealing Dodd-Frank would gut @CFPB , ending office tasked w protecting consumers, incl student borrowers from predatory lending practices.";;@CFPB;;"872931743480791040";https://twitter.com/RepSusanDavis/status/872931743480791040
;2017-06-08 15:19;8;42;"Today we confirmed Trump’s disturbing behavior into the Flynn/Russia investigation. Clear we need independent commission to #FollowTheFacts .";;;#FollowTheFacts;"872911081781567488";https://twitter.com/RepSusanDavis/status/872911081781567488
;2017-06-08 11:11;120;79;"While Comey testifies, the GOP will be repealing Dodd-Frank consumer protections, risking Americans’ financial security. #WrongChoiceAct pic.twitter.com/ib6OSVmBmj";;;#WrongChoiceAct;"872848477276995590";https://twitter.com/RepSusanDavis/status/872848477276995590
;2017-06-07 18:38;2;10;"Fmr FBI Dir Comey will testify tomorrow before the Sen Intel Comm, which posted his opening statement. Read it here. https://www. intelligence.senate.gov/sites/default/ files/documents/os-jcomey-060817.pdf … pic.twitter.com/k2PJnow3gw";;;;"872598592548212736";https://twitter.com/RepSusanDavis/status/872598592548212736
;2017-06-07 16:19;3;14;"In the Great Recession, my office helped hundreds of constituents afraid of losing their homes. Let’s not repeat history. #WrongChoiceAct pic.twitter.com/rdLpOaaJUR";;;#WrongChoiceAct;"872563640901218306";https://twitter.com/RepSusanDavis/status/872563640901218306
;2017-06-06 16:33;2;6;"Servicemembers should have same access to Supreme Court as any other American. My Equal Justice bill will do that. https:// susandavis.house.gov/media-center/p ress-releases/rep-susan-davis-introduces-bill-to-give-members-of-military-full-0 … pic.twitter.com/mBvhGEFX2m";;;;"872204782399664128";https://twitter.com/RepSusanDavis/status/872204782399664128
;2017-06-06 11:49;5;22;"Today we pay tribute to the courage and sacrifice made by those who fought against fascism and tyranny. #DDAY pic.twitter.com/aCZQVNaumx";;;#DDAY;"872133265188159488";https://twitter.com/RepSusanDavis/status/872133265188159488
