username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 22:19;8;65;"Thanks for visiting. The trade deadline is approaching. Maybe stay and we will send @RepMaloney a constituent to be named later? https:// twitter.com/thtswhtshetwee t/status/875189320956739585 …";;@RepMaloney;;"875191113870712832";https://twitter.com/RepSwalwell/status/875191113870712832
;2017-06-14 18:05;1;4;"*Dem";;;;"875126969427513345";https://twitter.com/RepSwalwell/status/875126969427513345
;2017-06-14 10:30;1739;5686;"The #congressionalbaseballgame is on. We will play for charity, but also for the victims & the heroic officers who took down the shooter.";;;#congressionalbaseballgame;"875012542023782400";https://twitter.com/RepSwalwell/status/875012542023782400
;2017-06-14 07:11;511;2045;"Pray for my GOP colleagues, staff, & Capitol Police who were shot at their baseball practice. So sick to hear of this cowardly ambush.";;;;"874962501020024832";https://twitter.com/RepSwalwell/status/874962501020024832
;2017-06-14 06:13;69;343;"I'll be joining @Morning_Joe & @morningmika on @MSNBC soon to discuss the latest in the #TrumpRussia & #RussianHacking investigation.";;@Morning_Joe @morningmika @MSNBC;#TrumpRussia #RussianHacking;"874947856423059456";https://twitter.com/RepSwalwell/status/874947856423059456
;2017-06-13 17:43;0;1;"";;;;"874759093659074560";https://twitter.com/RepSwalwell/status/874759093659074560
;2017-06-13 17:15;52;321;"Going live with @greta on @MSNBC about my take on today's #SessionsHearing .";;@greta @MSNBC;#SessionsHearing;"874752140304056321";https://twitter.com/RepSwalwell/status/874752140304056321
;2017-06-13 13:59;548;1568;"If @realDonaldTrump promises he'll testify under oath, why can't AG Sessions fully do so w/o hiding behind exec. privilege? #SessionsHearing";;@realDonaldTrump;#SessionsHearing;"874702784846848001";https://twitter.com/RepSwalwell/status/874702784846848001
;2017-06-13 13:04;42;73;"ICYMI, here's what I told @CNN 's @WolfBlitzer re: the #SessionsHearing & our ongoing #RussianHacking investigation: https:// youtu.be/HRy7FT7lC_o";;@CNN @WolfBlitzer;#SessionsHearing #RussianHacking;"874688949570109440";https://twitter.com/RepSwalwell/status/874688949570109440
;2017-06-13 12:33;57;216;"I'll be live shortly on @CNN with @wolfblitzer to discuss today's #SessionsHearing & #RussianHacking investigation.";;@CNN @wolfblitzer;#SessionsHearing #RussianHacking;"874681082159013890";https://twitter.com/RepSwalwell/status/874681082159013890
;2017-06-13 07:22;4298;10867;"Nope. My wife & I just had a baby. 1) Didn't hide it 2) We told everyone what to expect & 3) It didn't repeal anything. It made life better. https:// twitter.com/sarahnferris/s tatus/874412286307381249 …";;;;"874602850172755969";https://twitter.com/RepSwalwell/status/874602850172755969
;2017-06-12 23:13;74;477;"Dubs!!!!!!!!! Congrats to the #NBAFinals2017 World Champs! **great series, @cavs -- closer than the breakdown will show. #DubNation";;@cavs;#NBAFinals2017 #DubNation;"874479729323200513";https://twitter.com/RepSwalwell/status/874479729323200513
;2017-06-12 19:35;187;449;"I talked w/ @MSNBC 's @allinwithchris about what would happen if President Trump fires Special Counsel Robert Mueller. https:// youtu.be/6pNLelpGXFM";;@MSNBC @allinwithchris;;"874424845827809282";https://twitter.com/RepSwalwell/status/874424845827809282
;2017-06-12 14:46;334;578;"In the same week we honor #PulseNightclub victims, we show our constituents we're doing something about #gunviolence with this? I'm sorry. https:// twitter.com/politico/statu s/874347851370962946 …";;;#PulseNightclub #gunviolence;"874352200151126017";https://twitter.com/RepSwalwell/status/874352200151126017
;2017-06-12 10:06;34;191;"Not enough time home. A successful week will be: 1) honest, open debates about #ProtectOurCare & #Jobs AND 2) watch a big #DubNation win pic.twitter.com/iRFeHF9c91";;;#ProtectOurCare #Jobs #DubNation;"874281885211344896";https://twitter.com/RepSwalwell/status/874281885211344896
;2017-06-12 09:20;1206;2458;"These beautiful faces should still be with us. Let's never forget them. #OrlandoUnitedDay pic.twitter.com/fUl7kjusO5";;;#OrlandoUnitedDay;"874270109165961220";https://twitter.com/RepSwalwell/status/874270109165961220
;2017-06-10 15:11;1;3;"You're right. That was unfair.";;;;"873633834394304512";https://twitter.com/RepSwalwell/status/873633834394304512
;2017-06-09 19:55;15;53;"Happy 65th birthday to Bishop Macklin of @GTCOGICHayward ! #Hayward is a better, more faithful community because of your work.";;@GTCOGICHayward;#Hayward;"873342879288233984";https://twitter.com/RepSwalwell/status/873342879288233984
;2017-06-09 19:36;22;101;"#DubNation https:// twitter.com/jbillinson/sta tus/873337860321153024 …";;;#DubNation;"873338080425627648";https://twitter.com/RepSwalwell/status/873338080425627648
;2017-06-09 16:50;8;65;"Looks good to me! https:// twitter.com/ersugarman/sta tus/873296201403203585 …";;;;"873296305187037184";https://twitter.com/RepSwalwell/status/873296305187037184
;2017-06-09 15:26;629;1743;"We just deserve better from America's leader. https:// twitter.com/theleadcnn/sta tus/873274672271544320 …";;;;"873275195062067200";https://twitter.com/RepSwalwell/status/873275195062067200
;2017-06-09 10:42;43;231;"My wife's hometown & one of America's most charming places. Be there soon for our newborn to meet his Hoosier family & celebrate #PrideMonth https:// twitter.com/ryeisenberg/st atus/873201923272429569 …";;;#PrideMonth;"873203629037154306";https://twitter.com/RepSwalwell/status/873203629037154306
;2017-06-09 09:00;403;1003;"Former GOP member who voted to impeach President Clinton https:// twitter.com/bobinglis/stat us/873172874101698560 …";;;;"873178049155665920";https://twitter.com/RepSwalwell/status/873178049155665920
;2017-06-08 23:34;42;208;"Congratulations to my pal across the Atlantic, @GradySNP on your win in UK #SnapElection . Look forward to continuing to work together. https:// twitter.com/thesnp/status/ 872998850906263552 …";;@GradySNP;#SnapElection;"873035490387152897";https://twitter.com/RepSwalwell/status/873035490387152897
;2017-06-08 21:37;2355;6496;"You don't get spring training games in the Oval Office. He's an adult. He knows right from wrong. On with @Lawrence at 10:40pm to discuss. https:// twitter.com/braddjaffy/sta tus/872842730115825664 …";;@Lawrence;;"873006011124199424";https://twitter.com/RepSwalwell/status/873006011124199424
;2017-06-08 19:33;561;1718;"Trump's response to #ComeyHearing is to highlight what makes him look good & dismiss what makes him look bad. Sorry, don't work that way.";;;#ComeyHearing;"872974808430104576";https://twitter.com/RepSwalwell/status/872974808430104576
;2017-06-08 10:14;777;1702;"This question must be explored beyond #ComeyTestimony , "if the AG (Sessions) was recused from Russia, why was he involved in firing?"";;;#ComeyTestimony;"872834296742121473";https://twitter.com/RepSwalwell/status/872834296742121473
;2017-06-08 09:53;189;517;""I took it as a direction. This is what he wanted me to do" - Comey on Trump wanting Flynn case to go away. #ComeyTestimony";;;#ComeyTestimony;"872829041912500224";https://twitter.com/RepSwalwell/status/872829041912500224
;2017-06-08 09:51;14;38;"It's a @Snapchat takeover of @PeterHamby 's GoodLuckAmerica account for #ComeyHearing . Check out my 3 key questions. pic.twitter.com/lz3WI27s9C";;@Snapchat @PeterHamby;#ComeyHearing;"872828345385455616";https://twitter.com/RepSwalwell/status/872828345385455616
