username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:59;42;174;"Thoughts and prayers with @SteveScalise , @CapitolPolice , staff, & all those affected by this morning's tragic shooting in Alexandria, VA.";;@SteveScalise @CapitolPolice;;"874989630231392256";https://twitter.com/RepTedLieu/status/874989630231392256
;2017-06-13 17:55;389;492;"By assisting #SaudiArabia , U.S is aiding & abetting what appears to be war crimes in #Yemen . Administration must stop enabling this madness! pic.twitter.com/mjrft7Pg21";;;#SaudiArabia #Yemen;"874762294093381633";https://twitter.com/RepTedLieu/status/874762294093381633
;2017-06-13 16:19;55;117;"Remember when @realDonaldTrump told @HouseGOP how "mean" their #AHCA #TrumpCare is? Neither do we. http:// nyti.ms/2slAY44 #ProtectOurCare pic.twitter.com/jPPI3QtlY1";;@realDonaldTrump @HouseGOP;#AHCA #TrumpCare #ProtectOurCare;"874737999472361472";https://twitter.com/RepTedLieu/status/874737999472361472
;2017-06-13 15:31;176;237;"Don’t believe what the Republicans are saying. Senate #TrumpCare is just as devastating as House #TrumpCare . Cost CA 30,513 jobs in 2018! pic.twitter.com/BctVEtzopr";;;#TrumpCare #TrumpCare;"874725868228280320";https://twitter.com/RepTedLieu/status/874725868228280320
;2017-06-13 13:20;80;149;"Senate Republicans think that hiding #TrumpCare means Americans won’t notice its devastating impacts. They’re wrong. #ProtectOurCare https:// twitter.com/kasie/status/8 74650189885263872 …";;;#TrumpCare #ProtectOurCare;"874692974579470339";https://twitter.com/RepTedLieu/status/874692974579470339
;2017-06-12 14:21;22;82;"Rep. Lieu & @repdinatitus applaud @LosAngelesVA decision to end canine research program: http:// bit.ly/2sukJm0";;@repdinatitus @LosAngelesVA;;"874345870824804353";https://twitter.com/RepTedLieu/status/874345870824804353
;2017-06-12 13:38;67;196;"One year ago, we lost 49 members of the #LGBT , friends, family community. Today, we are all #Pulse . #NeverForget pic.twitter.com/jkZ40Z3hc2";;;#LGBT #Pulse #NeverForget;"874335046148255744";https://twitter.com/RepTedLieu/status/874335046148255744
;2017-06-12 11:58;46;155;"Agreed. Proud to support @RepMikeQuigley 's #COVFEFEAct ! https:// twitter.com/RepMikeQuigley /status/874290858962677763 …";;@RepMikeQuigley;#COVFEFEAct;"874309899970334725";https://twitter.com/RepTedLieu/status/874309899970334725
;2017-06-09 12:53;211;405;"No one (incl. @POTUS ) is above the law. Rep.Lieu on @CNNnewsroom w/ @JohnBerman @PoppyHarlowCNN re: @realDonaldTrump 's #ObstructionOfJustice pic.twitter.com/6cJHB3jg3C";;@POTUS @CNNnewsroom @JohnBerman @PoppyHarlowCNN @realDonaldTrump;#ObstructionOfJustice;"873236520123207680";https://twitter.com/RepTedLieu/status/873236520123207680
;2017-06-09 11:18;5456;10548;"It's time we state the obvious: @POTUS @realDonaldTrump committed obstruction of justice. #TrumpLies #TrumpRussia #FollowTheFacts #ComeyDay pic.twitter.com/1gMiJmm4YZ";;@POTUS @realDonaldTrump;#TrumpLies #TrumpRussia #FollowTheFacts #ComeyDay;"873212631162728449";https://twitter.com/RepTedLieu/status/873212631162728449
;2017-06-08 17:37;120;309;"This #ImmigrantHeritageMonth , let's take time to appreciate diversity as a source of our nation's strength and future. Happy #IHM2017 ! pic.twitter.com/avTps7FQN5";;;#ImmigrantHeritageMonth #IHM2017;"872945650312368129";https://twitter.com/RepTedLieu/status/872945650312368129
;2017-06-08 17:13;59;234;". @EasyReaderNews "The rise of Ted Lieu: South Bay congressman emerges as a national leader of the Trump opposition: http:// bit.ly/2sYR016";;@EasyReaderNews;;"872939779876417536";https://twitter.com/RepTedLieu/status/872939779876417536
;2017-06-08 16:24;80;109;"#WrongChoiceAct would drag us back to the days when predatory lenders abused consumers & brought the economy to the brink! Thanks @HouseGOP . https:// twitter.com/thehill/status /872921441301385218 …";;@HouseGOP;#WrongChoiceAct;"872927249099616256";https://twitter.com/RepTedLieu/status/872927249099616256
;2017-06-08 15:56;26;84;"TUNE IN: Rep. Lieu will be speaking soon on House Floor regarding #ComeyDay #ComeyHearing #TrumpRussia ties → http:// houselive.gov .";;;#ComeyDay #ComeyHearing #TrumpRussia;"872920300807213056";https://twitter.com/RepTedLieu/status/872920300807213056
;2017-06-08 12:59;63;152;"For 111 years, the #AntiquitiesAct has preserved our nation’s natural, cultural & historic wonders. We must protect #MonumentsForAll ! pic.twitter.com/6ZlbgXmuYK";;;#AntiquitiesAct #MonumentsForAll;"872875694736453633";https://twitter.com/RepTedLieu/status/872875694736453633
