username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-13 08:48;181;495;"I stand with Senator @RandPaul . We shouldn't be providing sophisticated weapons to Saudi Arabia. http://www. foxnews.com/opinion/2017/0 6/13/sen-rand-paul-if-support-israel-cant-support-more-arms-sales-to-saudi-arabia.html …";;@RandPaul;;"874624446102990848";https://twitter.com/RepThomasMassie/status/874624446102990848
;2017-06-09 10:59;29;141;"Congress needs to ignore DEM #weaponsofmassdistraction , stop engaging in GOP #ballisticpodiatry and get to work. #sassywithmassie";;;#weaponsofmassdistraction #ballisticpodiatry #sassywithmassie;"873208004413452288";https://twitter.com/RepThomasMassie/status/873208004413452288
;2017-06-08 15:37;23;117;"As a member of @GOPoversight Committee, I'm excited to hear @TGowdySC is nominated to replace @jasoninthehouse as Chairman.";;@GOPoversight @TGowdySC @jasoninthehouse;;"872915561814077440";https://twitter.com/RepThomasMassie/status/872915561814077440
;2017-06-07 20:17;15;51;"#CEIDinner listening to Elaine Chao talk about @realDonaldTrump plan to #MAGA with air traffic control reform ! pic.twitter.com/7GlvcfUlkW";;@realDonaldTrump;#CEIDinner #MAGA;"872623487025852417";https://twitter.com/RepThomasMassie/status/872623487025852417
;2017-06-06 18:51;21;86;"I will be joining @KennedyNation of @FoxBusiness this evening at 8:10PM to discuss @realDonaldTrump 's infrastructure week. Tune in! pic.twitter.com/0lPNFEGlXL";;@KennedyNation @FoxBusiness @realDonaldTrump;;"872239487895601152";https://twitter.com/RepThomasMassie/status/872239487895601152
;2017-06-02 06:56;39;157;"Just made a "top list" with @mikeroweworks and Tom Selleck. Anyone know a good modeling agent? #sassywithmassie http://www. newsmax.com/t/newsmax/arti cle/793510?section=BestLists&keywords=libertarians-newsmax-freedomfest&year=2017&month=06&date=01&id=793510&aliaspath=%2FManage%2FArticles%2FTemplate-Main&oref=m.facebook.com …";;@mikeroweworks;#sassywithmassie;"870610125224112129";https://twitter.com/RepThomasMassie/status/870610125224112129
;2017-06-01 20:43;39;98;"smh! When your team finally gets the ball & some players suggest punting on first down. #sassywithmassie http:// thehill.com/blogs/congress -blog/politics/335911-go-ugly-early-omnibus-strategy-makes-sausage-making-look-good …";;;#sassywithmassie;"870455810463326208";https://twitter.com/RepThomasMassie/status/870455810463326208
;2017-06-01 15:42;199;468;"There's no way to meet the CO2 levels Obama signed up for in the Paris Accord w/o drastically raising the energy costs of every US consumer.";;;;"870380108124762114";https://twitter.com/RepThomasMassie/status/870380108124762114
;2017-06-01 10:39;0;3;"When the bill is two pages and you still get ripped because there's no summary #sassywithmassie";;;#sassywithmassie;"870303781229129728";https://twitter.com/RepThomasMassie/status/870303781229129728
;2017-06-01 09:53;7;49;"Thank you @RepWebster for your support! https:// twitter.com/repwebster/sta tus/870290683113984000 …";;@RepWebster;;"870292172612018176";https://twitter.com/RepThomasMassie/status/870292172612018176
;2017-05-27 12:01;55;122;"A nice tribute to Senator Jim Bunning, former Representative for our Congressional district. May he Rest In Peace. http://www. rcnky.com/articles/2017/ 05/27/rick-robinson-remembering-jim-bunning-1931-2017 …";;;;"868512416606322689";https://twitter.com/RepThomasMassie/status/868512416606322689
;2017-05-27 07:41;58;234;"#sassywithmassie #sealofapproval https:// twitter.com/yaliberty/stat us/868270665757061121 …";;;#sassywithmassie #sealofapproval;"868446978467934208";https://twitter.com/RepThomasMassie/status/868446978467934208
;2017-05-26 17:51;0;0;"Nope. The HR's can go forever but typically end near the 6ooo's. Last time I intro'd it, the HR was 3187.";;;;"868238209628729346";https://twitter.com/RepThomasMassie/status/868238209628729346
;2017-05-26 16:51;1;0;"There are 430 primes between 1 and 3000. So I used (430/3000)^2 percent chance. Several assumptions in that tho.";;;;"868223010855149568";https://twitter.com/RepThomasMassie/status/868223010855149568
;2017-05-26 09:18;20;89;"Yesterday I introduced the PRIME act & for 2nd congress in a row was randomly assigned a prime HR #(2657) Odds of this 2yrs in row = 1/50";;;#;"868109063770472449";https://twitter.com/RepThomasMassie/status/868109063770472449
;2017-05-25 12:27;11;91;"Last seat, by toilet, won't recline. Even the stewardess appreciates this chairman's humbleness. Flying with @RepSteveChabot #cvgcaucus pic.twitter.com/kNWAlGiw0w";;@RepSteveChabot;#cvgcaucus;"867794212070318082";https://twitter.com/RepThomasMassie/status/867794212070318082
;2017-05-24 15:42;0;4;"Haven't paid for a haircut in 25 years, but that's because my wife cuts it!";;;;"867480948060942338";https://twitter.com/RepThomasMassie/status/867480948060942338
;2017-05-19 14:03;3;3;"#deepswamp";;;#deepswamp;"865644148774232065";https://twitter.com/RepThomasMassie/status/865644148774232065
;2017-05-18 20:58;353;921;"I will vote against HR 1039 tomorrow. Seriously, who the hell campaigned on turning federal probation officers into federal police officers? https:// twitter.com/pye/status/865 371707040772097 …";;;;"865386267906912257";https://twitter.com/RepThomasMassie/status/865386267906912257
;2017-05-03 13:49;36;194;"We have legislation that people support. The Speaker won't allow it to come to a vote. Hope you catch on to that too.";;;;"859842382396870656";https://twitter.com/RepThomasMassie/status/859842382396870656
;2017-05-03 13:40;7;74;"It's called the "American Health Care Act" and purports to replace the "Affordable Care Act."";;;;"859840124389134336";https://twitter.com/RepThomasMassie/status/859840124389134336
;2017-05-03 09:38;1972;3781;"The AHCA is like a kidney stone- the House doesn't care what happens to it, as long as they can pass it. #sassywithmassie";;;#sassywithmassie;"859779085609963524";https://twitter.com/RepThomasMassie/status/859779085609963524
;2017-05-03 08:29;267;281;"This massive #Omnibust started out as HR 244, a bill to help veterans. Every word was stripped and 1665 pages of spending were added. Sad! pic.twitter.com/O2gh4pHGI4";;;#Omnibust;"859761840959737856";https://twitter.com/RepThomasMassie/status/859761840959737856
;2017-05-03 08:26;28;117;"I was the only Republican who did not vote for him for speaker.";;;;"859761126028005377";https://twitter.com/RepThomasMassie/status/859761126028005377
;2017-05-03 07:34;14;50;"What does the word "govern" mean to you? Up here "govern" is a euphemism for passing overspending bills and squandering the majority.";;;;"859748109903114241";https://twitter.com/RepThomasMassie/status/859748109903114241
;2017-05-03 06:56;604;1187;"Today's spending deal is the epitome of what's wrong with Wash. DC. Please forgive me for thinking #draintheswamp meant something different.";;;#draintheswamp;"859738341293654016";https://twitter.com/RepThomasMassie/status/859738341293654016
;2017-05-01 10:07;3;18;"Nope, the reason Obama was able to shut down the monuments and parks is because it was all in one giant omnibus bill.";;;;"859061729883553794";https://twitter.com/RepThomasMassie/status/859061729883553794
;2017-05-01 10:06;5;22;"sorry about your #fakenews but here are some real facts: http://www. cincinnati.com/story/news/201 5/07/27/no-deep-pocketed-donors-congressman/30639487/ …";;;#fakenews;"859061423166681088";https://twitter.com/RepThomasMassie/status/859061423166681088
;2017-05-01 09:59;117;231;"But then again, that wouldn't create a crisis big enough to get everyone to vote for everything in one bad bill. #sassywithmassie https:// twitter.com/repthomasmassi e/status/859059257723035649 …";;;#sassywithmassie;"859059687660150784";https://twitter.com/RepThomasMassie/status/859059687660150784
;2017-05-01 09:57;123;292;"If we would pass 12 separate funding bills as the law prescribes, then at most only 1/12th of government spending would be jeopardized.";;;;"859059257723035649";https://twitter.com/RepThomasMassie/status/859059257723035649
;2017-04-28 06:46;54;150;"If #AHCA passes with #MacArthurAmendment , state GOP legislators can run on repealing #Obamacare ! Oh the beauty of it. #sassywithmassie";;;#AHCA #MacArthurAmendment #Obamacare #sassywithmassie;"857923903653543936";https://twitter.com/RepThomasMassie/status/857923903653543936
;2017-04-28 06:31;59;182;"If #AHCA passes, will Republicans still run on platform to repeal #Obamacare ? #sassywithmassie";;;#AHCA #Obamacare #sassywithmassie;"857920323840344064";https://twitter.com/RepThomasMassie/status/857920323840344064
;2017-04-28 06:06;103;192;"If the AHCA repeals #ObamaCare , what is it the states would apply for a waiver from?";;;#ObamaCare;"857913969251627008";https://twitter.com/RepThomasMassie/status/857913969251627008
;2017-04-27 17:35;4;26;"I was going to correct it for you, but just forget it now. #sassywithmassie";;;#sassywithmassie;"857724861086666752";https://twitter.com/RepThomasMassie/status/857724861086666752
;2017-04-26 18:44;35;139;"I'll be joining @KennedyNation on @FoxBusiness tonight to discuss my support for Pres. Trump's newly released tax reform outline. Tune in! pic.twitter.com/65oUic6rmg";;@KennedyNation @FoxBusiness;;"857379780542570496";https://twitter.com/RepThomasMassie/status/857379780542570496
;2017-04-26 10:03;147;429;". @realDonaldTrump killed #TPP on his first day in the office. Not many Republicans applauded, and Dems don't want to give him credit. I do";;@realDonaldTrump;#TPP;"857248853925527553";https://twitter.com/RepThomasMassie/status/857248853925527553
;2017-04-26 09:17;0;2;"He's running for POTUS next?! sorry had to ask. #sassywithmassie You do have a great Congressman.";;;#sassywithmassie;"857237111124131840";https://twitter.com/RepThomasMassie/status/857237111124131840
;2017-04-26 07:36;18;69;"Having breakfast with @larry_kudlow who says economic growth is the mother of all "pay fors". Been stuck at 1.8% for over a decade. Need 3%";;@larry_kudlow;;"857211782095659008";https://twitter.com/RepThomasMassie/status/857211782095659008
;2017-04-25 20:57;17;102;"Wish I could have been there, but had #swampdraining duty in D.C. today. Congrats to the Congressional Award winners! https:// twitter.com/theaward/statu s/857023055260004352 …";;;#swampdraining;"857051009197244416";https://twitter.com/RepThomasMassie/status/857051009197244416
;2017-04-23 20:28;234;693;"Pro tip: Last minute surprises are great for kids' birthday parties, not so much for funding the government. #sassywithmassie";;;#sassywithmassie;"856318907954495488";https://twitter.com/RepThomasMassie/status/856318907954495488
;2017-04-17 21:01;1;18;"Conspiracy theories are unnecessary where uninformed self interests are at work. #sassywithmassie";;;#sassywithmassie;"854152872296108032";https://twitter.com/RepThomasMassie/status/854152872296108032
;2017-04-17 20:51;0;20;"My colleagues think it's an instructional video!";;;;"854150441583734784";https://twitter.com/RepThomasMassie/status/854150441583734784
;2017-04-17 18:37;161;455;"That's basically the difference between House of Cards and real life Congress. In House of Cards, "someone" has a plan! #sassywithmassie https:// twitter.com/thomasewoods/s tatus/853813304019619840 …";;;#sassywithmassie;"854116573031915521";https://twitter.com/RepThomasMassie/status/854116573031915521
;2017-04-16 11:55;1;3;"Can you b more specific?";;;;"853653056919142400";https://twitter.com/RepThomasMassie/status/853653056919142400
;2017-04-16 11:39;164;350;"It's a swamp, not a hot tub. I hope @realDonaldTrump will #draintheswamp not embrace it. https:// twitter.com/washtimes/stat us/853645406244401153 …";;@realDonaldTrump;#draintheswamp;"853649040818544642";https://twitter.com/RepThomasMassie/status/853649040818544642
;2017-04-16 10:51;0;3;"Wife says you can buy them pre-filled now!";;;;"853637098531901440";https://twitter.com/RepThomasMassie/status/853637098531901440
;2017-04-15 10:05;2;11;"";;;;"853263040502001665";https://twitter.com/RepThomasMassie/status/853263040502001665
;2017-04-15 08:55;190;529;"#ProTip If ur #PoliSci mjr & want to be a politician, change ur mjr to #Theater . Better yet, dbl mjr in Political-Theater #sassywithmassie";;;#ProTip #PoliSci #Theater #sassywithmassie;"853245281655291904";https://twitter.com/RepThomasMassie/status/853245281655291904
;2017-04-15 08:36;2;16;"Rumors of such things as this are based in fact. My peeps have been talking to his peeps.";;;;"853240728121724928";https://twitter.com/RepThomasMassie/status/853240728121724928
;2017-04-15 07:42;170;522;"Just once I'd like to see a politician drop the Mother Of All Truth Bombs. #MOATB #sassywithmassie";;;#MOATB #sassywithmassie;"853227030774722561";https://twitter.com/RepThomasMassie/status/853227030774722561
;2017-04-10 12:13;2;13;"Have u seen this one Trey?! pic.twitter.com/OUS1qyLjWt";;;;"851483299751092224";https://twitter.com/RepThomasMassie/status/851483299751092224
;2017-04-10 06:22;14;93;"FYI WaPo, #MIT does not. Why does Washington Post still title articles to reinforce narrative that game is rigged? #sassywithmassie https:// twitter.com/washingtonpost /status/851379202003795968 …";;;#MIT #sassywithmassie;"851394986759397376";https://twitter.com/RepThomasMassie/status/851394986759397376
;2017-04-09 13:44;0;1;"Great to meet you as well!";;;;"851143810272899072";https://twitter.com/RepThomasMassie/status/851143810272899072
;2017-04-09 11:44;191;381;"It's not too late to pass my 2013 bill "To restrict funds related to escalating U S military involvement in Syria." https://www. govtrack.us/congress/bills /113/hr2507/details …";;;;"851113663922622465";https://twitter.com/RepThomasMassie/status/851113663922622465
;2017-04-08 13:52;167;348;"#ConstitutionalAuthority “You Keep Using That Word, I Do Not Think It Means What You Think It Means" pic.twitter.com/PusgRdmft7";;;#ConstitutionalAuthority;"850783421303578626";https://twitter.com/RepThomasMassie/status/850783421303578626
;2017-04-07 16:44;1;18;"And which one is a threat to America?";;;;"850464248677494784";https://twitter.com/RepThomasMassie/status/850464248677494784
;2017-04-07 10:03;1;17;"But what if he gets it?";;;;"850363318321729536";https://twitter.com/RepThomasMassie/status/850363318321729536
