username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:41;0;2;"Thank you, @capitalweather , for calling attention to this important issue. We can (and must) do what we can to eliminate these tragedies.";;@capitalweather;;"875090852120547329";https://twitter.com/RepTimRyan/status/875090852120547329
;2017-06-14 08:28;0;3;"Practicing on a different field. I am okay.";;;;"874981827060137984";https://twitter.com/RepTimRyan/status/874981827060137984
;2017-06-14 07:28;10;42;"This violence is sickening. Wishing quick recoveries to all & thankful to @CapitolPolice .";;@CapitolPolice;;"874966753012482049";https://twitter.com/RepTimRyan/status/874966753012482049
;2017-06-14 07:26;50;194;"My prayers are going to @SteveScalise , staff, and Capitol Police officers who were involved with this horrible incident this morning.";;@SteveScalise;;"874966352020353025";https://twitter.com/RepTimRyan/status/874966352020353025
;2017-06-13 16:17;99;335;"Note to @SenateGOP : Stop interrupting @SenKamalaHarris .";;@SenateGOP @SenKamalaHarris;;"874737584966119424";https://twitter.com/RepTimRyan/status/874737584966119424
;2017-06-13 16:11;17;62;"The President should be fighting for a bill that expands coverage. Not cracking jokes about a terrible bill he's supported all along.";;;;"874735963599241216";https://twitter.com/RepTimRyan/status/874735963599241216
;2017-06-13 16:10;28;87;"Taking healthcare away from 23 million people goes beyond "mean." https:// twitter.com/alexwagner/sta tus/874729182235959302 …";;;;"874735720694521856";https://twitter.com/RepTimRyan/status/874735720694521856
;2017-06-13 12:16;33;49;"Kasich: Repealing Medicaid expansion is 'a very, very bad idea'. But now a few months later he's fine w/ it, just as long as it's over 7yrs? https:// twitter.com/nytpolitics/st atus/874622416101810176 …";;;;"874676977466306560";https://twitter.com/RepTimRyan/status/874676977466306560
;2017-06-13 11:12;4;17;"Read my Op-Ed to learn more about why this bill must be stopped.";;;;"874660759367823364";https://twitter.com/RepTimRyan/status/874660759367823364
;2017-06-13 11:12;22;31;"While AG Sessions testifies today, remember @SenateGOP still secretly working to gut addiction care via #Trumpcare . http://www. cincinnati.com/story/opinion/ contributors/2017/06/05/gop-bill-would-devastate-efforts-end-opioid-epidemic/358826001/ …";;@SenateGOP;#Trumpcare;"874660633953935360";https://twitter.com/RepTimRyan/status/874660633953935360
;2017-06-13 10:10;72;145;"Shameful -- @realDonaldTrump has chosen to ignore the voice of these 500K military veterans and families. Our troops deserve better! https:// twitter.com/votevets/statu s/874599756143755264 …";;@realDonaldTrump;;"874645241499971584";https://twitter.com/RepTimRyan/status/874645241499971584
;2017-06-13 09:30;17;29;". @realDonaldTrump talks a big infrastructure game, but looking at what he's really done = a bad joke. https://www. vox.com/2017/6/12/1577 8262/trump-infrastructure-appointments …";;@realDonaldTrump;;"874635029581877249";https://twitter.com/RepTimRyan/status/874635029581877249
;2017-06-12 09:52;118;274;"A year since 49 souls were taken far too soon. Today we remember them and their families. Hate can't win. #OrlandoUnitedDay #RememberThe49 pic.twitter.com/br5DD9o0K5";;;#OrlandoUnitedDay #RememberThe49;"874278266957332480";https://twitter.com/RepTimRyan/status/874278266957332480
;2017-06-11 18:01;13;146;"Happy to be part of this year's @CapitalPrideDC celebrations, and the ongoing fight for full LGBTQ+ equality. #PrideMonth #LoveIsLove pic.twitter.com/RvTw7yUvVP";;@CapitalPrideDC;#PrideMonth #LoveIsLove;"874038961689305088";https://twitter.com/RepTimRyan/status/874038961689305088
;2017-06-09 12:21;32;84;"Today @POTUS called Comey a leaker. Read my Op-Ed & see why the leaker to worry about is sitting in the Oval Office. http://www. cleveland.com/opinion/index. ssf/2017/06/release_transcripts_of_preside.html …";;@POTUS;;"873228586509107202";https://twitter.com/RepTimRyan/status/873228586509107202
;2017-06-09 10:40;21;110;"You spelled "DISASTER!" Wrong. https:// twitter.com/realdonaldtrum p/status/873183401620230144 …";;;;"873203232440561666";https://twitter.com/RepTimRyan/status/873203232440561666
;2017-06-08 17:22;12;47;"I just published “Comey’s Testimony: A Sad Day in Our Nation’s History” https:// medium.com/p/comeys-testi mony-a-sad-day-in-our-nation-s-history-d81a7f8491f5 …";;;;"872941838562447360";https://twitter.com/RepTimRyan/status/872941838562447360
;2017-06-08 16:17;141;170;"FYI: While President Trump's Russia mess is getting all the attention, the @HouseGOP is trying to kick off another financial crisis. https:// twitter.com/ap/status/8729 16557827067904 …";;@HouseGOP;;"872925643880767488";https://twitter.com/RepTimRyan/status/872925643880767488
;2017-06-08 14:23;48;135;"It's clear that when Comey signaled he would not put loyalty to Trump above the truth, he paid for it w/ his job. http:// timryan.house.gov/press-release/ congressman-tim-ryan-releases-statement-following-director-comey%E2%80%99s-public-testimony …";;;;"872896914848665604";https://twitter.com/RepTimRyan/status/872896914848665604
;2017-06-08 11:20;79;266;"Sad to see @SpeakerRyan trying to excuse the inexcusable. #ComeyTestimony https:// twitter.com/braddjaffy/sta tus/872842730115825664 …";;@SpeakerRyan;#ComeyTestimony;"872850954584023040";https://twitter.com/RepTimRyan/status/872850954584023040
;2017-06-08 09:48;33;89;"Let this sink in. #ComeyHearings https:// twitter.com/kasie/status/8 72824842982174722 …";;;#ComeyHearings;"872827618579623936";https://twitter.com/RepTimRyan/status/872827618579623936
;2017-06-08 08:55;1;45;"Minutes away from the #ComeyHearing , I think most of America can relate. pic.twitter.com/gjYuxx0JMt";;;#ComeyHearing;"872814291296153600";https://twitter.com/RepTimRyan/status/872814291296153600
;2017-06-08 08:13;10;39;"Heaven forbid someone at @FoxNews have an objective opinion. Keep it up, @TeamCavuto ! http://www. huffingtonpost.com/entry/fox-news -host-neil-cavuto-doubles-down-on-trump-criticism-amid-backlash_us_5938cee8e4b00610547f4742?ncid=APPLENEWS00001 …";;@FoxNews @TeamCavuto;;"872803897164918785";https://twitter.com/RepTimRyan/status/872803897164918785
;2017-06-07 15:59;4;7;""In This School District, Health and Wellness Start With Teachers" great video. #TeacherStress http:// video.edweek.org/detail/video/5 441102563001/in-this-school-district-health-and-wellness-start-with-teachers?autoStart=true&_ga=2.130979471.1250855932.1496755880-1941974578.1495140225 …";;;#TeacherStress;"872558683636588544";https://twitter.com/RepTimRyan/status/872558683636588544
