username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 12:14;0;0;"It was an honor to attend the @USGLC reception last night to speak about the importance of assisting developing countries. pic.twitter.com/a931bXAnnS";;@USGLC;;"875401242306113539";https://twitter.com/RepTomEmmer/status/875401242306113539
;2017-06-15 11:38;1;7;"Had a blast visiting with women leaders from the @MNExcellence in Public Service program yesterday! pic.twitter.com/XKXkiBT72h";;@MNExcellence;;"875392178440331264";https://twitter.com/RepTomEmmer/status/875392178440331264
;2017-06-14 16:52;7;4;"Happy 242nd Birthday to the @USArmy . God bless all the men and women who have bravely served and defended our great nation. pic.twitter.com/0hhWCT5lQv";;@USArmy;;"875108732144951296";https://twitter.com/RepTomEmmer/status/875108732144951296
;2017-06-14 16:01;6;11;"Old Glory represents the freedom that all Americans enjoy every day and is a symbol of hope throughout the world. #FlagDay pic.twitter.com/5GAYARs8Xh";;;#FlagDay;"875095982530318341";https://twitter.com/RepTomEmmer/status/875095982530318341
;2017-06-14 13:57;6;29;"I join @SpeakerRyan & @NancyPelosi ’s calls for unity. We must stand strong together. Inside the Capitol and out, we are all Americans first.";;@SpeakerRyan @NancyPelosi;;"875064604182933505";https://twitter.com/RepTomEmmer/status/875064604182933505
;2017-06-14 08:26;21;51;". @CapitolPolice work tirelessly to ensure our safety. We are thankful for their bravery & praying for the officers injured this morning.";;@CapitolPolice;;"874981376495419392";https://twitter.com/RepTomEmmer/status/874981376495419392
;2017-06-14 08:24;24;48;"Sending sincere prayers to my friend @SteveScalise & all those injured in this morning’s senseless shooting.";;@SteveScalise;;"874980785325043716";https://twitter.com/RepTomEmmer/status/874980785325043716
;2017-06-13 17:00;0;12;"Was happy to welcome all the students from @CSBSJU who will be interning on the Hill this summer. pic.twitter.com/jYaY6CQlnU";;@CSBSJU;;"874748320400461824";https://twitter.com/RepTomEmmer/status/874748320400461824
;2017-06-13 16:08;0;9;"Had a productive meeting with @IBM this morning. We discussed various topics including tax reform and digital trade. pic.twitter.com/p2lK9ck0U5";;@IBM;;"874735264429740033";https://twitter.com/RepTomEmmer/status/874735264429740033
;2017-06-13 14:30;0;4;"Had a blast meeting MN paramedics, including Angie Jarrett who was just awarded the @amerambassoc #starsoflife award for her service! pic.twitter.com/W5TYh2cxNf";;@amerambassoc;#starsoflife;"874710521324466180";https://twitter.com/RepTomEmmer/status/874710521324466180
;2017-06-13 12:03;1;3;"As a member of the Congressional Beef Caucus, I’m glad to see our beef producers gain access to Chinese markets. https:// goo.gl/Q4Fw5z";;;;"874673534282366976";https://twitter.com/RepTomEmmer/status/874673534282366976
;2017-06-13 09:59;1;2;"Thank you for stopping by! https:// twitter.com/SaraMesselt/st atus/874637386080243713 …";;;;"874642417001037824";https://twitter.com/RepTomEmmer/status/874642417001037824
;2017-06-12 16:51;1;5;"Glad that my staff had the opportunity to attend a tour with the Chairman of the @FCC , @AjitPaiFCC last week. pic.twitter.com/WplDk6Oy1K";;@FCC @AjitPaiFCC;;"874383771574972416";https://twitter.com/RepTomEmmer/status/874383771574972416
;2017-06-12 16:12;2;4;"Very proud that MN CEOs from @LandOLakesInc & @Cargill have helped lead the way for America’s interests overseas. https:// goo.gl/rbxALd";;@LandOLakesInc @Cargill;;"874373812439089152";https://twitter.com/RepTomEmmer/status/874373812439089152
;2017-06-12 15:47;0;3;"The U.S. cannot afford to disengage, so I spoke in strong support of the U.S. International Affairs Budget. @USAID https:// goo.gl/rbxALd";;@USAID;;"874367625542893568";https://twitter.com/RepTomEmmer/status/874367625542893568
;2017-06-12 15:11;3;15;"1 yr ago, 49 innocent lives were tragically lost at #Pulse nightclub. We must never forget the victims & will cont. to honor their memory.";;;#Pulse;"874358478017613824";https://twitter.com/RepTomEmmer/status/874358478017613824
;2017-06-12 10:47;0;4;"Wishing the happiest of birthdays to number 41, @GeorgeHWBush . Our country is a better one bc of your dedicated service. pic.twitter.com/9lu7nkkXfR";;@GeorgeHWBush;;"874292067236818945";https://twitter.com/RepTomEmmer/status/874292067236818945
;2017-06-09 13:50;1;2;"On National Dairy Month, I was proud to recognize the hardworking folks who drive our dairy industry. https:// goo.gl/VJ32ke";;;;"873251027130232833";https://twitter.com/RepTomEmmer/status/873251027130232833
;2017-06-09 12:56;0;7;"Happy that @Airbnb supports opening trade w/ Cuba. Trade relations w/ our island neighbor would benefit the U.S.! https:// goo.gl/rmYKf5";;@Airbnb;;"873237409760251905";https://twitter.com/RepTomEmmer/status/873237409760251905
;2017-06-09 11:35;0;6;"Also proud to say that this Republican House has had the most bills signed into law, one of which was mine! pic.twitter.com/QfZJnQYABU";;;;"873216937190461442";https://twitter.com/RepTomEmmer/status/873216937190461442
;2017-06-09 11:10;3;3;"Proud to be a member of this Republican-led House that has passed 158 bills, becoming the most productive in modern times. pic.twitter.com/BSMui5SSbQ";;;;"873210787057340416";https://twitter.com/RepTomEmmer/status/873210787057340416
