username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-13 12:12;4;8;"I urge my colleagues in the House to join us in safeguarding the health of Americans with kidney disease. http:// thehill.com/blogs/congress -blog/healthcare/337316-expanding-access-supporting-research-and-sustaining-medicare …";;;;"874675901170102273";https://twitter.com/RepTomMarino/status/874675901170102273
;2017-06-05 10:17;2;8;"This Kidney disease bill is a step in the right direction to better understand this disease and find a cure. https:// marino.house.gov/media-center/p ress-releases/reps-marino-lewis-reintroduce-kidney-disease-bi …";;;;"871747723539746816";https://twitter.com/RepTomMarino/status/871747723539746816
;2017-05-25 09:12;1;9;"We must continue to help our foster care system thrive. #ShadowDay";;;#ShadowDay;"867745240807088129";https://twitter.com/RepTomMarino/status/867745240807088129
;2017-05-20 10:56;3;13;"I hope by bringing awareness to Cystic Fibrosis we can find a cure for not only this disease but all rare diseases. https:// marino.house.gov/media-center/p ress-releases/reps-marino-mcgovern-introduce-bipartisan-resolution-recognizing-cystic …";;;;"865959522686337024";https://twitter.com/RepTomMarino/status/865959522686337024
;2017-04-05 10:25;18;74;"Congrats to Jennifer Wahl, a teacher at Loyalsock Township High School, who was named one of only 12 finalists for PA Teacher of the Year.";;;;"849644160495886336";https://twitter.com/RepTomMarino/status/849644160495886336
;2017-03-23 13:19;14;53;"Frank is always on duty in our office. Happy #NationalPuppyDay pic.twitter.com/ZwiMPW0NNT";;;#NationalPuppyDay;"844977027061026816";https://twitter.com/RepTomMarino/status/844977027061026816
;2017-03-22 10:36;5;27;"I was awarded the Spirit of Enterprise Award by @USChamber . I am proud to support bills that help our businesses create good paying jobs. pic.twitter.com/3yJo4ATkEC";;@USChamber;;"844573555257982978";https://twitter.com/RepTomMarino/status/844573555257982978
;2017-03-21 08:47;0;3;"Good luck to Mr. Monoski and his students from the Montgomery Area School on participating in the 14th Annual-Capitol Hill Challenge. pic.twitter.com/koTwoXM5uR";;;;"844183581517893633";https://twitter.com/RepTomMarino/status/844183581517893633
;2017-03-10 08:22;1;14;"Our #military men and women deserve to know that we have their backs. https:// marino.house.gov/media-center/p ress-releases/marino-praises-defense-appropriations-act-passage …";;;#military;"840206297287000064";https://twitter.com/RepTomMarino/status/840206297287000064
;2017-03-07 12:19;4;17;"I enjoy meeting with business and industry leaders in #pa10 . Reducing #job killing regulations and leveling the playing field is crucial. pic.twitter.com/Tx9lQsc3VD";;;#pa10 #job;"839178679997644800";https://twitter.com/RepTomMarino/status/839178679997644800
;2017-03-04 07:14;2;9;"The Central Pennsylvania Food Bank does a tremendous job of helping to feed our neighbors who are most in need! #pa10 pic.twitter.com/5lQYS3jVRt";;;#pa10;"838014684624203776";https://twitter.com/RepTomMarino/status/838014684624203776
;2017-03-01 09:08;26;66;"I believe in President Trump’s vision for the #USA and we are on a path to #MakingAmericaGreatAgain . https:// edit-marino.house.gov/media-center/p ress-releases/marino-reacts-president-donald-j-trump-s-joint-session-congress-speech … #JointSession";;;#USA #MakingAmericaGreatAgain #JointSession;"836956198205341696";https://twitter.com/RepTomMarino/status/836956198205341696
;2017-02-28 21:15;6;16;"We must continue to support research and development for all rare diseases. #rarediseaseday pic.twitter.com/RA1DwEKbXZ";;;#rarediseaseday;"836776760716963840";https://twitter.com/RepTomMarino/status/836776760716963840
