username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:33;5;16;"Terrible news this morning. Praying for fellow House members, staff, Capitol Police & all others injured. Thankful for our first responders.";;;;"874983159041069056";https://twitter.com/RepTomRice/status/874983159041069056
;2017-06-13 08:45;1;10;"Veterans have done their duty to our country. We ought to be able to get them the best care possible. http:// washex.am/2sXFnIx";;;;"874623756685193216";https://twitter.com/RepTomRice/status/874623756685193216
;2017-06-12 14:24;20;64;"At the @WhiteHouse celebrating @ClemsonFB with @RepSanfordSC @RepJeffDuncan @GrahamBlog @RepJoeWilson #GoTigers ! pic.twitter.com/U2SDU1P6bE";;@WhiteHouse @ClemsonFB @RepSanfordSC @RepJeffDuncan @GrahamBlog @RepJoeWilson;#GoTigers;"874346738974429184";https://twitter.com/RepTomRice/status/874346738974429184
;2017-06-12 13:37;1;1;"ICYMI: I sat down with the @postandcourier to talk about my time in Congress and how I'm working for you http:// bit.ly/2rnPaFL";;@postandcourier;;"874334878963290112";https://twitter.com/RepTomRice/status/874334878963290112
;2017-06-08 16:30;2;5;"The #CHOICEAct will restore small businesses' access to capital, an advantage America has long held that was crippled under Dodd-Frank pic.twitter.com/hoJsvCzQwU";;;#CHOICEAct;"872928957192163330";https://twitter.com/RepTomRice/status/872928957192163330
;2017-06-08 15:10;10;14;"Congrats to my colleague and friend @TGowdySC on being appointed @GOPoversight Chairman. He's an honest leader who will serve fearlessly.";;@TGowdySC @GOPoversight;;"872908663568117760";https://twitter.com/RepTomRice/status/872908663568117760
;2017-06-07 15:57;8;26;"Dodd Frank crippled small banks & in turn small business. It's time to undo these harmful regs & pass the #CHOICEAct http:// bit.ly/2qXtDV5";;;#CHOICEAct;"872558249559642113";https://twitter.com/RepTomRice/status/872558249559642113
;2017-06-06 09:23;5;17;"Today we remember the greatest generation for their service and sacrifice 73 years ago. #DDay2017 pic.twitter.com/VHUFYYiird";;;#DDay2017;"872096638772408324";https://twitter.com/RepTomRice/status/872096638772408324
;2017-05-31 13:52;3;11;"Veterans should have the chance to make their voices heard about their VA & non-VA health care experiences http:// bit.ly/2qBiMny";;;;"869989984559812608";https://twitter.com/RepTomRice/status/869989984559812608
;2017-05-29 09:00;2;13;"The sacrifice of brave men and women, past and present is what makes America the greatest nation on Earth. #MemorialDay";;;#MemorialDay;"869191612244541440";https://twitter.com/RepTomRice/status/869191612244541440
;2017-05-24 11:37;16;27;"Median household income in the U.S. is just about equal today to what it was in 1990. We have to do better. We can't stay where we are. pic.twitter.com/wKjlXzn3mk";;;;"867419415838588930";https://twitter.com/RepTomRice/status/867419415838588930
;2017-05-23 13:13;4;20;"Right now I'm chairing the @WaysandMeansGOP SS Subcommittee hearing on protecting Americans' identities. Watch live: https:// waysandmeans.house.gov/live/";;@WaysandMeansGOP;;"867080994322624512";https://twitter.com/RepTomRice/status/867080994322624512
;2017-05-23 11:53;4;8;"How will the House tax reform plan create jobs, grow our economy, and benefit you? Tune in now to find out → https:// waysandmeans.house.gov/live/";;;;"867060948384849920";https://twitter.com/RepTomRice/status/867060948384849920
;2017-05-18 17:17;5;6;"If we truly want to grow the middle class, if we want to give them a raise, if we want to reduce income inequality, we must have tax reform pic.twitter.com/PhT9i3ZJlx";;;;"865330622268678144";https://twitter.com/RepTomRice/status/865330622268678144
;2017-05-16 17:55;4;11;"Thursday I'll take part in a major hearing on tax reform– something we absolutely need to do for economic growth & job creation in America pic.twitter.com/L3XhFo3vD7";;;;"864615368710660096";https://twitter.com/RepTomRice/status/864615368710660096
;2017-05-14 09:30;0;6;"Happy Mother's Day to all moms in #SC07 & especially my wonderful mother, "Nana," and beautiful wife, Wrenzie! pic.twitter.com/bpQ5NbXEkm";;;#SC07;"863763340241371136";https://twitter.com/RepTomRice/status/863763340241371136
;2017-05-11 14:13;2;6;"Next week @WaysandMeansGOP is talking tax reform- the biggest thing we can do to restore American competitiveness http:// bit.ly/2q6uGVa pic.twitter.com/6j1BKBf9P0";;@WaysandMeansGOP;;"862747396035497985";https://twitter.com/RepTomRice/status/862747396035497985
;2017-05-08 13:35;0;3;"I sat down with @WRNN995 to talk health care & tax reform. Give it a listen as it clears a lot of things up: https:// youtu.be/RhQxl-5wXT8";;@WRNN995;;"861650813722255360";https://twitter.com/RepTomRice/status/861650813722255360
;2017-05-04 13:57;5;22;"Obamacare is a disaster. I voted to repeal & replace this failing law & to put health care on a sustainable path → http:// bit.ly/2qEEeEp";;;;"860206860334489600";https://twitter.com/RepTomRice/status/860206860334489600
;2017-05-02 14:30;4;5;"My bill with @RepCartwright & @RepLynnJenkins updates Medicare so patients get better access to aural care → http:// bit.ly/2pUVM2g";;@RepCartwright @RepLynnJenkins;;"859490172701818881";https://twitter.com/RepTomRice/status/859490172701818881
;2017-05-02 14:07;2;6;"Small businesses employ 75% of people and are the lifeblood of the Grand Strand & Pee Dee. This #smallbusinessweek go out and support them!";;;#smallbusinessweek;"859484425800822785";https://twitter.com/RepTomRice/status/859484425800822785
;2017-05-02 10:05;0;4;"Joining @RepSinema at #WSJMidMarket Conference to talk tax, regulatory & healthcare reform pic.twitter.com/NepcOjsG0S";;@RepSinema;#WSJMidMarket;"859423524607451136";https://twitter.com/RepTomRice/status/859423524607451136
;2017-04-29 11:33;5;16;". @POTUS & Congress are in agreement that tax reform is 100% necessary if we want economic growth and we are dedicated to making it happen https:// twitter.com/anhqdc/status/ 858353259685216256 …";;@POTUS;;"858358625940758529";https://twitter.com/RepTomRice/status/858358625940758529
;2017-04-29 07:57;1;2;"On National Prescription Drug Take Back Day, do your part to combat addiction by returning old prescriptions → https://www. deadiversion.usdoj.gov/drug_disposal/ takeback/ …";;;;"858304198940774401";https://twitter.com/RepTomRice/status/858304198940774401
;2017-04-26 15:07;1;2;"I'll work aggressively with the people of Georgetown & support whatever they decide for the future of the steel mill http:// bit.ly/2q8TsEo";;;;"857325379333304320";https://twitter.com/RepTomRice/status/857325379333304320
;2017-04-26 09:43;3;5;". @POTUS has done many positive things & is just beginning. I'm going to help him succeed so we can uplift Americans. https://www. whitehouse.gov/100-days";;@POTUS;;"857243691328647170";https://twitter.com/RepTomRice/status/857243691328647170
;2017-04-20 09:30;61;176;"Our tax reform plan will create ~24k jobs in SC & grow median household income by more than $4k. The benefits are clear, it's time to act! pic.twitter.com/bJ855k5aFw";;;;"855066026941218818";https://twitter.com/RepTomRice/status/855066026941218818
;2017-04-19 14:45;3;5;"If you need help breaking down bureaucratic walls at the VA, SSA, or IRS, visit my staff at mobile office hours http:// bit.ly/2o4YmSP";;;;"854782908086837248";https://twitter.com/RepTomRice/status/854782908086837248
;2017-04-16 11:11;3;29;"He is Risen! Wishing a joyous Easter to you and your loved ones!";;;;"853642019138392064";https://twitter.com/RepTomRice/status/853642019138392064
;2017-04-12 14:35;3;9;"I'll be at Crema Coffee in Hartsville until 4:30 pm today hosting a Coffee with Your Congressman. If you're in the area, stop by & say hey! pic.twitter.com/tNZXB4ULrp";;;;"852243852404633600";https://twitter.com/RepTomRice/status/852243852404633600
;2017-04-11 16:42;0;5;"Headed to Patrick for my final Coffee with Your Congressman of the day. See you at 6 pm at Bill's Grill off of US 1!";;;;"851913401970434048";https://twitter.com/RepTomRice/status/851913401970434048
;2017-04-11 10:42;0;2;"Happening now → I'm at Four Points Mini Mart in Lake View for Coffee! Stop by and say hello if you're in the area! pic.twitter.com/QCLPLIFw5o";;;;"851822831474274305";https://twitter.com/RepTomRice/status/851822831474274305
;2017-04-11 08:33;0;4;"Happy Birthday to my friend @RepKevinBrady ! Happy and honored to be under your leadership!";;@RepKevinBrady;;"851790287848562689";https://twitter.com/RepTomRice/status/851790287848562689
