username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:11;10;22;"Happy 242nd Birthday @usarmy ! Forever grateful for the men&women who defend/protect the land of the free and the home of the brave. pic.twitter.com/hrbaXqKYKW";;@usarmy;;"875083226666160132";https://twitter.com/RepTrentFranks/status/875083226666160132
;2017-06-14 14:56;11;26;"Esp after horrific event today, the American flag reminds us that we are "one nation, under God". We pledge allegiance to the flag. #FlagDay pic.twitter.com/r1gbJHfQqJ";;;#FlagDay;"875079488245309442";https://twitter.com/RepTrentFranks/status/875079488245309442
;2017-06-14 14:32;10;15;"Continued prayers sent for my good friend @SteveScalise , the two brave CapPolice officers, & all injured this morning by the tragic attack.";;@SteveScalise;;"875073406114435074";https://twitter.com/RepTrentFranks/status/875073406114435074
;2017-06-12 11:35;10;10;"I appeared on @FoxNews yesterday to talk about Comey's recent testimony about former AG Lynch. Watch here: http:// bit.ly/2raZth1";;@FoxNews;;"874304198850039808";https://twitter.com/RepTrentFranks/status/874304198850039808
;2017-06-06 10:31;91;342;"May we never forget the bravery and sacrifices made of those who served on #DDay 73 yrs ago in order to defend freedom. pic.twitter.com/F8cKpqPnsy";;;#DDay;"872113689071058945";https://twitter.com/RepTrentFranks/status/872113689071058945
;2017-05-31 10:32;3;10;"Group of 122 lawmakers, including myself, urge Ethiopian PM to reconsider decision 2 suspend internat'l adoptions http:// bit.ly/2rksbNr";;;;"869939573526286342";https://twitter.com/RepTrentFranks/status/869939573526286342
;2017-05-31 10:23;7;18;"We can no longer afford to continue delaying upgrading our #missiledefense capabilities. http:// bit.ly/2rbp9wI";;;#missiledefense;"869937368794529792";https://twitter.com/RepTrentFranks/status/869937368794529792
;2017-05-22 19:58;10;57;"My heart is breaking for the victims and their families in #manchester . I cannot imagine the pain of losing a child.";;;#manchester;"866820625700188161";https://twitter.com/RepTrentFranks/status/866820625700188161
;2017-05-22 14:06;0;6;"Wednesday I will have the pleasure of giving a platform to #FosterYouthVoices like Ryan Gibson on Foster Youth Shadow Day";;;#FosterYouthVoices;"866731968121143298";https://twitter.com/RepTrentFranks/status/866731968121143298
;2017-05-22 14:03;2;4;"Join me in celebrating the over 400k youth in foster care & those who make a difference in their lives #FosterYouthVoices";;;#FosterYouthVoices;"866731350547628032";https://twitter.com/RepTrentFranks/status/866731350547628032
