username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 14:04;17;53;"Continued prayers for Rep. Scalise. A big sports fan who joined us back in Jan. to watch NC game between UA/Clemson. pic.twitter.com/VPy9Tt7G3c";;;;"875066485194063872";https://twitter.com/Robert_Aderholt/status/875066485194063872
;2017-06-14 07:07;63;152;"Please join me in praying for my colleagues and Capitol Police. I am fine. Thank you to those who have asked.";;;;"874961411448995840";https://twitter.com/Robert_Aderholt/status/874961411448995840
;2017-06-12 17:32;4;6;"Assistant Mad. Co. DA Jay Town is an excellent choice for US Attorney for the Northern Dist. of Alabama.";;;;"874393928757325825";https://twitter.com/Robert_Aderholt/status/874393928757325825
;2017-06-08 12:41;14;44;"Comey said clearly and publicly that the President is not under investigation by the FBI.";;;;"872871195540115456";https://twitter.com/Robert_Aderholt/status/872871195540115456
;2017-06-08 12:30;4;11;"My statement on the Comey testimony: https:// aderholt.house.gov/media-center/p ress-releases/aderholt-statement-testimony-former-fbi-director-james-comey …";;;;"872868574360211456";https://twitter.com/Robert_Aderholt/status/872868574360211456
;2017-06-07 15:35;0;7;"Congrats to Huntsville's @Dynetics on winning a NASA contract for the Space Launch System. #makespacegreatagain";;@Dynetics;#makespacegreatagain;"872552555091505152";https://twitter.com/Robert_Aderholt/status/872552555091505152
;2017-06-01 18:36;1;7;"I enjoyed speaking this afternoon to the Tennessee Valley Corridor summit in Huntsville. pic.twitter.com/7TYxj2oWJy";;;;"870423851791986690";https://twitter.com/Robert_Aderholt/status/870423851791986690
;2017-05-30 18:22;10;24;"This is a great success for America. Also, a special congratulations to the folks in North Alabama who work on this http://www. nbcnews.com/news/us-news/u -s-missile-defense-test-over-pacific-ocean-key-milestone-n766311 …";;;;"869695529411895296";https://twitter.com/Robert_Aderholt/status/869695529411895296
;2017-05-29 20:10;3;17;"A storm on Saturday heavily damaged our home in Haleyville. Blessed that we were not at home at the time and no one in Haleyville was hurt. pic.twitter.com/Z7LxCLVsj6";;;;"869360344430522369";https://twitter.com/Robert_Aderholt/status/869360344430522369
;2017-05-11 07:13;29;28;"Despite claims to contrary, Obamacare is failing as coverage contines to implode "Aetna to Obamacare: We're out" http:// cnnmon.ie/2qUOonn";;;;"862641865027354624";https://twitter.com/Robert_Aderholt/status/862641865027354624
;2017-05-02 18:24;0;15;"I would like to congratulate Steve Johnson on his 40th anniversary at @whnt I'm honored to be one of the many he has interviewed. pic.twitter.com/fvudwqaQD6";;@whnt;;"859549284148105216";https://twitter.com/Robert_Aderholt/status/859549284148105216
;2017-04-27 20:27;4;9;"This morning @SanfordBishop & I had breakfast with new @USDA secretary Sonny Purdue @SecretarySonny pic.twitter.com/lyEpn7eQg6";;@SanfordBishop @USDA @SecretarySonny;;"857768158358380544";https://twitter.com/Robert_Aderholt/status/857768158358380544
;2017-04-25 10:50;3;22;"I enjoyed getting to meet with new @GovernorKayIvey last week in Montgomery pic.twitter.com/O0DFK7czpy";;@GovernorKayIvey;;"856898155220226048";https://twitter.com/Robert_Aderholt/status/856898155220226048
;2017-04-19 11:28;6;8;"Enjoyed meeting the NE Alabama #Indivisible Group. Even though we may disagree on some issues, we all want to Make America Great Again. pic.twitter.com/A6BI4cumkO";;;#Indivisible;"854733398023208966";https://twitter.com/Robert_Aderholt/status/854733398023208966
;2017-04-17 12:55;1;9;"Was great to have lunch today with Arab Mayor Bob Joslin. pic.twitter.com/jBRG6RBcNa";;;;"854030599287341057";https://twitter.com/Robert_Aderholt/status/854030599287341057
;2017-04-06 20:45;51;106;"I fully support President Trump's missile strike against Syria. The actions of the Syrian regime are deplorable and unacceptable.";;;;"850162650961072128";https://twitter.com/Robert_Aderholt/status/850162650961072128
