username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:01;194;771;"We also sent a clear signal to @POTUS that sanctions should not be lifted absent a behavior change from Russia.";;@POTUS;;"875095854612348928";https://twitter.com/SenBobCasey/status/875095854612348928
;2017-06-14 16:01;91;377;"Russia is a major adversary and threat to regional stability – this action sends a clear signal to Putin that aggression has consequences.";;;;"875095751310880768";https://twitter.com/SenBobCasey/status/875095751310880768
;2017-06-14 16:00;544;1977;"The 97-2 vote earlier today to expand sanctions on Russia and support our European allies against Russian aggression is a bipartisan victory";;;;"875095670537023488";https://twitter.com/SenBobCasey/status/875095670537023488
;2017-06-14 07:29;263;1314;"Praying for my colleagues and the Capitol Police who protect them.";;;;"874966913130143745";https://twitter.com/SenBobCasey/status/874966913130143745
;2017-06-13 20:51;170;1428;"You leave the office for few minutes & @SenFranken takes over your space and starts doing radio interviews. pic.twitter.com/vbTJpJ61ox";;@SenFranken;;"874806349615570945";https://twitter.com/SenBobCasey/status/874806349615570945
;2017-06-13 14:32;131;123;"New report from CMS on the @HouseGOP #AHCA : millions uninsured, net premiums up for middle class families https://www. cms.gov/Research-Stati stics-Data-and-Systems/Research/ActuarialStudies/Downloads/AHCA20170613.pdf …";;@HouseGOP;#AHCA;"874711069469667329";https://twitter.com/SenBobCasey/status/874711069469667329
;2017-06-13 13:58;290;478;"The @SenateGOP is hiding the actual bill. Release it and hold open hearings. https:// twitter.com/mmcauliff/stat us/874696002325929984 …";;@SenateGOP;;"874702546174185475";https://twitter.com/SenBobCasey/status/874702546174185475
;2017-06-13 11:54;1353;1432;"To be clear, this rule change on reporter access was a unilateral decision by the Republican members of the Senate Rules Committee. https:// twitter.com/amyklobuchar/s tatus/874660876074332160 …";;;;"874671372643049476";https://twitter.com/SenBobCasey/status/874671372643049476
;2017-06-13 11:38;601;1099;"Congress belongs to the people- the reporters that hold us accountable on their behalf should be allowed access to the hallways. https:// twitter.com/mkraju/status/ 874652592994963456 …";;;;"874667240603471872";https://twitter.com/SenBobCasey/status/874667240603471872
;2017-06-13 09:46;236;494;". @SenateGOP says their health care scheme is like 'having a baby,' yet their bill would allow discrimination against pregnant women. https:// twitter.com/burgessev/stat us/874408708482224128 …";;@SenateGOP;;"874639095837978624";https://twitter.com/SenBobCasey/status/874639095837978624
;2017-06-12 18:47;259;430;"In PA, doctors, nurses, and hospital leaders agree: the #AHCA is bad for your health. http://www. philly.com/philly/health/ 27-pa-health-groups-gop-health-plan-will-hurt-patients-20170612.html …";;;#AHCA;"874413000509329408";https://twitter.com/SenBobCasey/status/874413000509329408
;2017-06-12 13:32;51;196;"We’re thankful for the hard work and support of @Everytown , @MomsDemand , @resp_solutions , @bradybuzz , @CeaseFirePA , @sandyhook , @amprog";;@Everytown @MomsDemand @resp_solutions @bradybuzz @CeaseFirePA @sandyhook @amprog;;"874333517127315456";https://twitter.com/SenBobCasey/status/874333517127315456
;2017-06-12 13:31;163;426;"The #DisarmHate Act would keep guns out of the hands of dangerous extremists who’ve committed crimes motivated by hate.";;;#DisarmHate;"874333422843461632";https://twitter.com/SenBobCasey/status/874333422843461632
;2017-06-12 13:31;50;116;"But Congress must do more than offer sympathy. Last week, @davidcicilline and I introduced the #DisarmHate Act. https://www. casey.senate.gov/newsroom/relea ses/casey-and-cicilline-introduce-commonsense-protections-against-violence …";;@davidcicilline;#DisarmHate;"874333290613944320";https://twitter.com/SenBobCasey/status/874333290613944320
;2017-06-12 13:30;26;100;"We stand with the survivors, the LGBT community and all the individuals, families and loved ones affected by this tragedy.";;;;"874333008488263680";https://twitter.com/SenBobCasey/status/874333008488263680
;2017-06-12 13:29;117;496;"A year after the Pulse nightclub attack, we remember the victims who became targets of hateful violence simply because of who they were.";;;;"874332922068819973";https://twitter.com/SenBobCasey/status/874332922068819973
;2017-06-12 11:50;31;88;"That HELP Committee hearing was just one of many that included Republican input on what would become the Affordable Care Act. https:// twitter.com/SenateDems/sta tus/873001941521108992 …";;;;"874308022427897856";https://twitter.com/SenBobCasey/status/874308022427897856
;2017-06-12 11:48;120;208;". @SenateDems adopted more than 160 Republican amendments to our Health Care bill during a month-long public HELP Committee markup. https:// twitter.com/SenateDems/sta tus/873001941521108992 …";;@SenateDems;;"874307494822195204";https://twitter.com/SenBobCasey/status/874307494822195204
;2017-06-12 11:29;28;139;"I'm calling on the Administration to stop sending mixed messages and actually commit to rebuilding our infrastructure.";;;;"874302693199593472";https://twitter.com/SenBobCasey/status/874302693199593472
;2017-06-12 11:07;56;140;". @realDonaldTrump 's budget would stop the work currently being done on the Lower Mon and lay off workers.";;@realDonaldTrump;;"874297029593354240";https://twitter.com/SenBobCasey/status/874297029593354240
;2017-06-12 11:06;74;179;"Last week, President Trump touted his commitment to infrastructure yet his budget proposal provides no funding for the Lower Mon project. pic.twitter.com/DOGs5coqiB – bei Gateway Clipper Fleet";;;;"874296775187869696";https://twitter.com/SenBobCasey/status/874296775187869696
;2017-06-10 14:03;53;209;"A stark reminder of the dangers our troops face overseas. My prayers are with them and their families. https:// twitter.com/washingtonpost /status/873597691187671040 …";;;;"873616511176495105";https://twitter.com/SenBobCasey/status/873616511176495105
;2017-06-09 14:06;14;66;"I have bipartisan legislation with @SenatorIsakson to crack down on nations that are not doing enough to stop the funding of terrorists.";;@SenatorIsakson;;"873255046594605056";https://twitter.com/SenBobCasey/status/873255046594605056
;2017-06-09 14:05;17;81;". @POTUS is right to focus on cutting off terrorist financing.";;@POTUS;;"873254784081571840";https://twitter.com/SenBobCasey/status/873254784081571840
;2017-06-08 16:11;86;150;"Not to mention gutting the only agency tasked with protecting us from the predatory practices that led to the crisis- the @CFPB";;@CFPB;;"872923959888666624";https://twitter.com/SenBobCasey/status/872923959888666624
;2017-06-08 16:10;245;415;"We are still recovering from the Great Recession and the @HouseGOP wants Wall Street to return to their wild west ways?";;@HouseGOP;;"872923807526342657";https://twitter.com/SenBobCasey/status/872923807526342657
;2017-06-08 16:09;437;746;"Make no mistake, the @HouseGOP is essentially undoing the protections put in place in the wake of the financial crisis.";;@HouseGOP;;"872923545726222340";https://twitter.com/SenBobCasey/status/872923545726222340
;2017-06-08 16:08;1320;1155;"Meanwhile, while the country is focused on the Comey hearing, @SpeakerRyan and the @HouseGOP just voted to dismantle Wall Street reform. https:// twitter.com/WSJ/status/872 921375228481544 …";;@SpeakerRyan @HouseGOP;;"872923358077362180";https://twitter.com/SenBobCasey/status/872923358077362180
;2017-06-08 14:02;439;518;"The GOP health care bill will cut Medicaid and harm seniors. @SecPriceMD is deliberately misleading the American people. pic.twitter.com/CRVatY6Alr";;@SecPriceMD;;"872891627936903168";https://twitter.com/SenBobCasey/status/872891627936903168
;2017-06-08 13:27;139;315;"As I said to @SecPriceMD in our hearing this morning, he is deliberately misleading the people of our nation. https:// twitter.com/shaferpr/statu s/872830107127349248 …";;@SecPriceMD;;"872882911728594945";https://twitter.com/SenBobCasey/status/872882911728594945
;2017-06-07 14:07;136;334;"Cutting & capping Medicaid will not only take away health care from millions, it will take away their human and civil rights. #NoCapsNoCuts";;;#NoCapsNoCuts;"872530400215781376";https://twitter.com/SenBobCasey/status/872530400215781376
;2017-06-07 14:06;88;306;"Well, we’re not going to stand for it. We will not push people back into institutions where people with disabilities are unseen and unheard.";;;;"872530096254582786";https://twitter.com/SenBobCasey/status/872530096254582786
;2017-06-07 14:05;50;84;"It will turn Medicaid into a program of waiting lists and will push people back into institutions.";;;;"872529866448662528";https://twitter.com/SenBobCasey/status/872529866448662528
;2017-06-07 14:04;31;51;"Per capita caps will take a knife to state Medicaid budgets.";;;;"872529731463327744";https://twitter.com/SenBobCasey/status/872529731463327744
;2017-06-07 14:03;35;57;"And make no mistake about it—the proposal to cap the Medicaid reimbursement is another type of cut.";;;;"872529532624019456";https://twitter.com/SenBobCasey/status/872529532624019456
;2017-06-07 14:02;38;77;"These cuts will fracture an already fragile delivery system that supports aging Americans and those with disabilities.";;;;"872529236267065345";https://twitter.com/SenBobCasey/status/872529236267065345
;2017-06-07 14:02;48;80;"These cuts will mean great direct service workers who help support people with disabilities will likely lose their jobs.";;;;"872529107443224576";https://twitter.com/SenBobCasey/status/872529107443224576
;2017-06-07 14:01;33;60;"These cuts will make it impossible for those who need to purchase a wheel chair or an augmentative speaking device.";;;;"872528965956751361";https://twitter.com/SenBobCasey/status/872528965956751361
;2017-06-07 14:00;25;58;"These cuts will harm hundreds of thousands Pennsylvanians and millions of Americans.";;;;"872528829826428930";https://twitter.com/SenBobCasey/status/872528829826428930
;2017-06-07 14:00;54;77;"These cuts are tax cuts for the rich. Hiding behind a phrase like “original intent” is cowardly and ignores the real harm they will do.";;;;"872528741821448192";https://twitter.com/SenBobCasey/status/872528741821448192
;2017-06-07 13:59;99;118;"They say these cuts will bring the Medicaid program back to its original intent. That’s a bold-faced lie.";;;;"872528580038844416";https://twitter.com/SenBobCasey/status/872528580038844416
;2017-06-07 13:58;164;182;"The @HouseGOP has proposed an immoral $834 billion cut to Medicaid. @realDonaldTrump 's budget proposed a $600 billion cut on top of that.";;@HouseGOP @realDonaldTrump;;"872528320419770371";https://twitter.com/SenBobCasey/status/872528320419770371
;2017-06-07 13:56;250;593;"Medicaid covers the needs of children, pregnant women, people with disabilities, our aging Americans, and many veterans. pic.twitter.com/l44gvJk1om";;;;"872527621191610368";https://twitter.com/SenBobCasey/status/872527621191610368
;2017-06-07 13:06;21;44;"Here's a shot of the March letter I wrote the Admin on the Western PA project that @realDonaldTrump highlighted but is being delayed pic.twitter.com/8ogZ3QTuHP";;@realDonaldTrump;;"872515027227594752";https://twitter.com/SenBobCasey/status/872515027227594752
;2017-06-07 12:53;104;118;". @realDonaldTrump is talking about needed repairs for a Western PA infrastructure project that his Admin is actively delaying. See here: pic.twitter.com/kVBcHKMsWD";;@realDonaldTrump;;"872511883303170048";https://twitter.com/SenBobCasey/status/872511883303170048
;2017-06-07 12:46;28;40;". @realDonaldTrump should tell @OMBPress to reverse course on the budget's cuts to Western PA locks & dams http://www. post-gazette.com/business/devel opment/2017/06/04/Trump-wants-to-pull-plug-on-Monongahela-River-work/stories/201706030027 …";;@realDonaldTrump @OMBPress;;"872510081392418816";https://twitter.com/SenBobCasey/status/872510081392418816
;2017-06-07 12:43;137;199;". @realDonaldTrump is talking about rebuilding Western PA locks & dams but his budget cuts funding for the projects http://www. post-gazette.com/business/devel opment/2017/06/04/Trump-wants-to-pull-plug-on-Monongahela-River-work/stories/201706030027 …";;@realDonaldTrump;;"872509454134251522";https://twitter.com/SenBobCasey/status/872509454134251522
;2017-06-07 10:04;25;81;"Why Access to @PPFA is Vital and Must be Protected http://www. huffingtonpost.com/entry/59380b9b e4b06bff911d7c6f … @HuffPostPol";;@PPFA @HuffPostPol;;"872469308059856900";https://twitter.com/SenBobCasey/status/872469308059856900
;2017-06-06 10:34;94;184;"With @RonWyden , @ChrisVanHollen , @SenDuckworth & disability advocates to expose the GOP scheme to decimate Medicaid. https://www. facebook.com/SenatorBobCase y/videos/1352956338090849/ …";;@RonWyden @ChrisVanHollen @SenDuckworth;;"872114547192197120";https://twitter.com/SenBobCasey/status/872114547192197120
;2017-06-06 10:06;370;1132;"...but to pay for those tax cuts by cutting $834 billion from #Medicaid is unconscionable.";;;#Medicaid;"872107536379518976";https://twitter.com/SenBobCasey/status/872107536379518976
;2017-06-06 10:06;242;772;"It's bad enough that @realDonaldTrump wants to give tax breaks to his wealthy friends...";;@realDonaldTrump;;"872107342539653123";https://twitter.com/SenBobCasey/status/872107342539653123
;2017-06-06 09:19;62;158;"This cruelty to an individual w/ a disability must be condemned in the strongest terms. I encourage anyone w/ information to come forward. https:// twitter.com/phillydotcom/s tatus/871903208079323137 …";;;;"872095721398444032";https://twitter.com/SenBobCasey/status/872095721398444032
;2017-06-06 09:14;185;278;". @realDonaldTrump 's budget will bring an avalanche of pain on the 45 million Americans living in poverty. http://www. philly.com/philly/opinion /commentary/budget-brings-an-avalanche-of-pain-20170603.html …";;@realDonaldTrump;;"872094243438854144";https://twitter.com/SenBobCasey/status/872094243438854144
;2017-06-06 08:27;13;65;"Joining @PoppyHarlowCNN and @JohnBerman at 9:35 to discuss @realDonaldTrump 's "Travel Ban." Tune to @CNN to watch live.";;@PoppyHarlowCNN @JohnBerman @realDonaldTrump @CNN;;"872082624931561473";https://twitter.com/SenBobCasey/status/872082624931561473
;2017-06-05 14:03;50;225;"In 2013 I called for the VA to modernize its health records. I commend @SecShulkin & @realDonaldTrump for moving forward on this. https:// twitter.com/DeptVetAffairs /status/871747252103954432 …";;@SecShulkin @realDonaldTrump;;"871804643168440320";https://twitter.com/SenBobCasey/status/871804643168440320
;2017-06-05 12:58;34;169;"Encouraged to see that people in Pennsylvania are already taking advantage of the program established because of my legislation. https:// twitter.com/SeanDHamill/st atus/871757892373942272 …";;;;"871788445068406791";https://twitter.com/SenBobCasey/status/871788445068406791
;2017-06-03 21:07;189;1137;"My thoughts are w/ all the people of London this evening, particularly the victims and their families. We stand in solidarity w/ London.";;;;"871186635173617668";https://twitter.com/SenBobCasey/status/871186635173617668
;2017-06-02 13:17;380;853;". @realDonaldTrump failed to deliver disaster relief to Northeastern PA this year. Today, I'm supporting @GovernorTomWolf 's appeal. pic.twitter.com/D4mOy1MAem";;@realDonaldTrump @GovernorTomWolf;;"870705885538009089";https://twitter.com/SenBobCasey/status/870705885538009089
;2017-06-02 13:03;105;841;"Wearing orange to mark Gun Violence Awareness Day. We must take action to prevent gun violence. pic.twitter.com/dFBJ3ajxUd";;;;"870702537384513536";https://twitter.com/SenBobCasey/status/870702537384513536
;2017-06-01 15:00;564;1502;"Earlier this year I held a town hall in Pittsburgh & the residents in attendance called for action on climate change. Cc: @realDonaldTrump";;@realDonaldTrump;;"870369469641748481";https://twitter.com/SenBobCasey/status/870369469641748481
;2017-06-01 14:56;2027;5345;"If @realDonaldTrump really wanted to help the people of Pittsburgh,he would protect their clean air & opportunity for jobs. #ParisAgreement";;@realDonaldTrump;#ParisAgreement;"870368558110396416";https://twitter.com/SenBobCasey/status/870368558110396416
;2017-06-01 14:44;136;419;"Climate change is a serious problem which requires action, not retreat. Today, @realDonaldTrump has put U.S. on path of retreat 7/";;@realDonaldTrump;;"870365552467955712";https://twitter.com/SenBobCasey/status/870365552467955712
;2017-06-01 14:43;182;559;"Vulnerable children will be particularly impacted by @realDonaldTrump decision. More will suffer from asthma, malnutrition. 6/";;@realDonaldTrump;;"870365265351127042";https://twitter.com/SenBobCasey/status/870365265351127042
;2017-06-01 14:42;71;270;"Additionally @realDonaldTrump climate change decision will undermine the clean air that PA citizens have a right to expect 5/";;@realDonaldTrump;;"870364975835095040";https://twitter.com/SenBobCasey/status/870364975835095040
;2017-06-01 14:41;136;378;"W/ this decision @realDonaldTrump is helping grow incomes for workers in foreign countries instead of workers here at home 4/";;@realDonaldTrump;;"870364626176929792";https://twitter.com/SenBobCasey/status/870364626176929792
;2017-06-01 14:40;185;493;"Because of @realDonaldTrump climate change decision foreign countries will take the lead in growing an industry that creates good jobs 3/";;@realDonaldTrump;;"870364355736547329";https://twitter.com/SenBobCasey/status/870364355736547329
;2017-06-01 14:38;123;337;"Climate change decision by @realDonaldTrump will put PA workers at a disadvantage when it comes to competing for clean energy jobs 2/";;@realDonaldTrump;;"870363992094629889";https://twitter.com/SenBobCasey/status/870363992094629889
