username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-10 20:40;250;418;"AG @jeffsessions ' refusal to testify before the Senate Appropriations Committee is unusual and troubling. My full statement: pic.twitter.com/bI7pJHslUC";;@jeffsessions;;"873716433972277248";https://twitter.com/SenBrianSchatz/status/873716433972277248
;2017-05-16 21:11;540;1036;"Let today be the day for Republican courage — because it wasn't yesterday, and we can't wait until tomorrow. pic.twitter.com/h8V7DXNJ6t";;;;"864664747270172672";https://twitter.com/SenBrianSchatz/status/864664747270172672
;2017-05-04 10:51;29;67;"This is about people’s health care. This is about people’s lives. They must be stopped. #VoteNoAHCA";;;#VoteNoAHCA;"860160014304108546";https://twitter.com/SenBrianSchatz/status/860160014304108546
;2017-05-04 10:49;21;38;"Trumpcare allows insurance companies to charge people more for pre-existing conditions.";;;;"860159456658825217";https://twitter.com/SenBrianSchatz/status/860159456658825217
;2017-05-04 10:46;27;32;"Trumpcare cuts funding from Medicaid, leaving people who need it most without health care.";;;;"860158695111569408";https://twitter.com/SenBrianSchatz/status/860158695111569408
;2017-05-04 10:45;14;25;"Trumpcare strips health care from 24 million people, if not more. The GOP is moving so fast, no one knows exactly how many will be hurt.";;;;"860158325404692480";https://twitter.com/SenBrianSchatz/status/860158325404692480
;2017-05-04 10:44;10;13;"The House is voting on #Trumpcare today. Here’s what you need to know.";;;#Trumpcare;"860158184312504320";https://twitter.com/SenBrianSchatz/status/860158184312504320
;2017-04-26 13:12;25;29;"#netneutrality supports free speech and gives any concerned citizen a platform to speak up and make their voice heard.";;;#netneutrality;"857296427470524416";https://twitter.com/SenBrianSchatz/status/857296427470524416
;2017-04-26 13:09;9;18;"The difference between the privacy CRA and #netneutrality rollback: public comment period. #resist";;;#netneutrality #resist;"857295647606702080";https://twitter.com/SenBrianSchatz/status/857295647606702080
;2017-04-26 13:07;15;11;". @FCC will release the notice of public rulemaking on #netneutrality tomorrow. Get your comments ready. Be heard.";;@FCC;#netneutrality;"857295119967539202";https://twitter.com/SenBrianSchatz/status/857295119967539202
;2017-04-26 13:05;64;32;"Republicans voted away your online privacy, now Trump’s FCC wants to take away your ability to use the internet how you want. #netneutrality";;;#netneutrality;"857294596451291139";https://twitter.com/SenBrianSchatz/status/857294596451291139
;2017-04-26 13:04;15;9;"Repealing the rules will limit your access to parts of the internet & give your internet provider control over which websites you can visit";;;;"857294328082960384";https://twitter.com/SenBrianSchatz/status/857294328082960384
;2017-04-26 12:59;16;16;"Trump's FCC Chair @AjitPaiFCC claims the current rules aren't working. He's wrong. Here's why: https://www. wired.com/2017/01/dont-g ut-net-neutrality-good-people-business/ …";;@AjitPaiFCC;;"857292954666401793";https://twitter.com/SenBrianSchatz/status/857292954666401793
;2017-04-26 12:57;11;23;"No, @AjitPaiFCC . You’re wrong. #netneutrality didn’t hurt broadband investment. https://www. freepress.net/press-release/ 107327/fcc-commissioner-pai-dead-wrong-investment-and-net-neutrality …";;@AjitPaiFCC;#netneutrality;"857292619986194443";https://twitter.com/SenBrianSchatz/status/857292619986194443
;2017-04-26 12:56;19;20;"A free and open internet is not a left-right issue, it’s a consumer vs. telecom lobbyist issue. #netneutrality";;;#netneutrality;"857292307758010376";https://twitter.com/SenBrianSchatz/status/857292307758010376
;2017-04-26 12:52;25;29;"Let’s be clear – the internet is not broken. There is nothing for the FCC to "fix." #netneutrality";;;#netneutrality;"857291206275059716";https://twitter.com/SenBrianSchatz/status/857291206275059716
;2017-04-26 12:31;33;34;"Trump’s FCC is about to announce their plan to take away your access to the internet and give it to big corporations. #netneutrality";;;#netneutrality;"857286070937014273";https://twitter.com/SenBrianSchatz/status/857286070937014273
;2017-04-24 17:10;546;546;"This week, the fight to protect the free and open internet begins again. Make your voices heard on #netneutrality . https:// twitter.com/recode/status/ 856600590822105088 …";;;#netneutrality;"856631479232847872";https://twitter.com/SenBrianSchatz/status/856631479232847872
;2017-04-19 18:03;11;52;"Mahalo to all who came to my town hall meeting in Hilo yesterday. pic.twitter.com/RF20oFZsyI";;;;"854832818857365504";https://twitter.com/SenBrianSchatz/status/854832818857365504
;2017-04-06 23:00;436;815;"The Assad regime’s use of chemical weapons is abhorrent, but a military response is not the answer. My full statement: pic.twitter.com/r046aTdKkk";;;;"850196630666002439";https://twitter.com/SenBrianSchatz/status/850196630666002439
;2017-04-05 19:32;288;757;"If @SenateGOP can't get to 60, they should change the nominee, not the rules. Heading to the floor to speak out: https://www. c-span.org/networks/?chan nel=c-span-2 …";;@SenateGOP;;"849781898062831617";https://twitter.com/SenBrianSchatz/status/849781898062831617
;2017-04-05 11:12;35;140;"Heading to the Senate floor to talk about why I'm voting NO on Neil Gorusch. WATCH LIVE: https://www. c-span.org/networks/?chan nel=c-span-2 …";;;;"849655973929263108";https://twitter.com/SenBrianSchatz/status/849655973929263108
;2017-04-04 12:58;13;42;"On #EqualPayDay , we’re reminded that gender inequality costs women, families & our economy far too much. Time to close the gender pay gap.";;;#EqualPayDay;"849320403776438274";https://twitter.com/SenBrianSchatz/status/849320403776438274
;2017-03-29 17:35;5;19;"Proud to work with @SenatorRisch , @SenJohnThune , @SenatorCantwell , and @SenBillNelson to protect small businesses and American consumers. https:// twitter.com/SenBrianSchatz /status/847215288298999808 …";;@SenatorRisch @SenJohnThune @SenatorCantwell @SenBillNelson;;"847215593052889088";https://twitter.com/SenBrianSchatz/status/847215593052889088
;2017-03-29 17:33;7;20;"60% of small biz that suffer a cyberattack are out of business in 6 months. I intro'd a bill to help them fight back https:// sen.gov/KPRQ";;;;"847215288298999808";https://twitter.com/SenBrianSchatz/status/847215288298999808
;2017-03-23 09:47;144;130;"Republicans are trying to take away the few online privacy protections we have. It’s irresponsible. Here’s why: https:// medium.com/@SenBrianSchat z/f4a4966d6598#.hsy6gmf2n …";;@SenBrianSchat;#;"844923681524645890";https://twitter.com/SenBrianSchatz/status/844923681524645890
;2017-03-23 09:36;247;296;"If the @SenateGOP gets their way today, your personal online info will be sold to the highest bidder. We need to protect #BroadbandPrivacy .";;@SenateGOP;#BroadbandPrivacy;"844920817276407809";https://twitter.com/SenBrianSchatz/status/844920817276407809
;2017-03-22 16:36;13;21;"While the FCC has made progress on protecting #BroadbandPrivacy , Republicans want to roll it back and put big business before Americans.";;;#BroadbandPrivacy;"844664034909716480";https://twitter.com/SenBrianSchatz/status/844664034909716480
;2017-03-22 16:05;8;19;"Our #BroadbandPrivacy is worth protecting. Here’s why: https://www. nytimes.com/2016/03/12/opi nion/protecting-the-privacy-of-internet-users.html …";;;#BroadbandPrivacy;"844656321697865735";https://twitter.com/SenBrianSchatz/status/844656321697865735
;2017-03-22 15:58;16;45;"From banking to healthcare, we are constantly connected to the internet. We should be doing more to protect our #BroadbandPrivacy , not less.";;;#BroadbandPrivacy;"844654477483429889";https://twitter.com/SenBrianSchatz/status/844654477483429889
