username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-08-31 13:51;7;14;"W/ @UDelaware Dr. Wagner @usnistgov Center for Neutron Research leaning about research NIST/UD are collaborating on pic.twitter.com/gR1ANedQj1";;@UDelaware @usnistgov;;"771057925884350464";https://twitter.com/SenCoonsOffice/status/771057925884350464
;2016-08-30 09:18;3;10;"5th Annual Opportunity: Africa conference coming soon! To register/more info, visit http:// bit.ly/2b8v8es #NetDE pic.twitter.com/1ddrWOHSex";;;#NetDE;"770626792227045376";https://twitter.com/SenCoonsOffice/status/770626792227045376
;2016-08-22 16:00;3;6;"Sen. Coons to host opioid crisis roundtable w/ @ONDCP Director Botticelli, members of the addiction community #NetDE http:// bit.ly/2bcxllp";;@ONDCP;#NetDE;"767828931475075072";https://twitter.com/SenCoonsOffice/status/767828931475075072
;2016-06-22 15:46;5;9;"Sen. Coons intros bipartisan legislation streamlining fed housing programs & expand affordable housing opportunities http:// 1.usa.gov/28V0TEh";;;;"745719587698786305";https://twitter.com/SenCoonsOffice/status/745719587698786305
;2016-02-02 12:11;1;1;"Sen. Coons announces Class of 2020 United States Service Academy nominations http:// 1.usa.gov/1UGSV27 #NetDE";;;#NetDE;"694583916146065408";https://twitter.com/SenCoonsOffice/status/694583916146065408
;2015-11-18 15:33;2;1;"Sen. Coons' statement on University of Delaware's naming new president: http:// 1.usa.gov/1PAB7GN";;;;"667093409606344705";https://twitter.com/SenCoonsOffice/status/667093409606344705
;2015-11-12 11:56;1;2;"Announcing our slate of participants for Monday's job fair @delawaretech Stanton campus. Fair runs from 12-4 p.m. http:// 1.usa.gov/1O5MX8y";;@delawaretech;;"664864256790290432";https://twitter.com/SenCoonsOffice/status/664864256790290432
;2015-10-29 10:33;0;0;"Opportunity: Africa is right around the corner. Be sure to register for this conference by clicking here http:// 1.usa.gov/1WjPLGn . #netDE";;;#netDE;"659755020393578496";https://twitter.com/SenCoonsOffice/status/659755020393578496
;2015-09-14 09:16;6;2;"Sen. Coons started his day off w/ some Java & the first class at @zipcodewilm . Impressive group of students! #netde pic.twitter.com/Lkqdi1ZaDA";;@zipcodewilm;#netde;"643428142460354560";https://twitter.com/SenCoonsOffice/status/643428142460354560
;2015-09-03 10:43;3;4;"@ChrisCoons welcomes 59 new U.S. citizens from 29 different countries during today's naturalization ceremony. #netDe pic.twitter.com/6bad2mg7r2";;@ChrisCoons;#netDe;"639463724923887616";https://twitter.com/SenCoonsOffice/status/639463724923887616
;2015-09-02 13:40;0;1;"@SenatorCarper , Coons announce $5 million grant to expand Delaware Airpark. Full details here: http:// 1.usa.gov/1Ks3fdy";;@SenatorCarper;;"639145901156605956";https://twitter.com/SenCoonsOffice/status/639145901156605956
;2015-09-02 07:29;0;0;"@WHYY photog Charlie preps @senchriscoons prior to his live hit on @CNN @NewDay segment coming up in minutes. pic.twitter.com/Imxcyzj3zH";;@WHYY @senchriscoons @CNN @NewDay;;"639052584003706880";https://twitter.com/SenCoonsOffice/status/639052584003706880
;2015-08-28 14:34;1;0;"A look ahead at Sen. Coons week ahead schedule for August 30-September 4. http:// 1.usa.gov/1PDtWd2 #NetDE";;;#NetDE;"637347573846667264";https://twitter.com/SenCoonsOffice/status/637347573846667264
;2015-07-16 13:19;0;2;"(2/2) Summer interns are from @UDelaware @theWilmU @FandMCollege . Interested in interning with @ChrisCoons ? http:// 1.usa.gov/1CJJaff for info.";;@UDelaware @theWilmU @FandMCollege @ChrisCoons;;"621745889766436864";https://twitter.com/SenCoonsOffice/status/621745889766436864
;2015-07-16 13:06;0;3;"(1/2) Welcomed #Delaware interns to Capitol today to shadow @ChrisCoons . pic.twitter.com/fjyyctRWKQ";;@ChrisCoons;#Delaware;"621742733783396352";https://twitter.com/SenCoonsOffice/status/621742733783396352
;2015-07-13 07:56;1;0;"Will be joining @JohnCarneyDE as he hosts his first Veterans Office Hours in New Castle, connecting vets w/ med and benes assistance. #NetDE";;@JohnCarneyDE;#NetDE;"620577597517398016";https://twitter.com/SenCoonsOffice/status/620577597517398016
;2015-07-06 10:46;7;9;"Sen. Coons spoke to dozens of young African leaders this morning at @UDelaware w/ @UDGlobal #udmwf #UDSUSIWL #UDMEPI pic.twitter.com/aRkstIzBJ9";;@UDelaware @UDGlobal;#udmwf #UDSUSIWL #UDMEPI;"618083694750863360";https://twitter.com/SenCoonsOffice/status/618083694750863360
;2015-06-18 12:00;5;1;"Sen. Coons' colleagues honored him with a tribute video last night at @USGLC 's tribute dinner, available here: http:// youtube.com/watch?v=GUFpZ1 1HCfo&feature=youtu.be …";;@USGLC;;"611579265117765632";https://twitter.com/SenCoonsOffice/status/611579265117765632
;2015-06-17 10:57;4;4;". @USGLC honors Sen. Coons as Outstanding Champion of America’s Global Leadership http:// 1.usa.gov/1R9hfXi #SmartPower pic.twitter.com/wcmjvf8OsP";;@USGLC;#SmartPower;"611201002189029376";https://twitter.com/SenCoonsOffice/status/611201002189029376
;2015-06-15 10:17;0;0;"A look ahead at Sen. Coons schedule for June 15-19: http:// 1.usa.gov/1GIa2xW";;;;"610466095351377921";https://twitter.com/SenCoonsOffice/status/610466095351377921
;2015-06-11 15:37;1;0;"Sen. Coons seeking applicants for fall 2015 Senate Page Program. For details & how to apply, click here http:// 1.usa.gov/1f5HKRA . #NetDE";;;#NetDE;"609097122051424256";https://twitter.com/SenCoonsOffice/status/609097122051424256
;2015-06-07 17:19;1;0;"A look ahead at Sen. Coons' schedule for June 8-12: http:// 1.usa.gov/1eWVzBX";;;;"607673261103693824";https://twitter.com/SenCoonsOffice/status/607673261103693824
;2015-05-26 11:59;0;0;"Sen. Coons, Carper welcome @MCS4Biz to Wilmington to talk small biz opportunity and challenges in Delaware. pic.twitter.com/8QlRHMChoA";;@MCS4Biz;;"603243984891289600";https://twitter.com/SenCoonsOffice/status/603243984891289600
;2015-05-26 07:10;2;0;"Sen. Coons, Rep. Carney to host town hall discussion in Wilmington with civil rights icon @repjohnlewis next Friday. http:// 1.usa.gov/1FAZoWa";;@repjohnlewis;;"603171364296597505";https://twitter.com/SenCoonsOffice/status/603171364296597505
;2015-05-15 08:45;0;0;"Sen. Coons speaks w/ Randall Gruden, the site mgr for Army Corps of Engineers at Broadkill Beach deepening project. pic.twitter.com/AePDkkKox9 – bei Broadkill Beach";;;;"599208940073820160";https://twitter.com/SenCoonsOffice/status/599208940073820160
;2015-05-10 21:00;3;1;"A look ahead at Sen. Coons week ahead schedule: http:// 1.usa.gov/1Rt5bTX";;;;"597581932554248192";https://twitter.com/SenCoonsOffice/status/597581932554248192
;2015-05-03 20:41;0;1;"@SenCoonsOffice @SenatorCarper @JohnCarneyDE host job fair tomorrow, May 4 10-2p at Rehoboth Beach Conv. Ctr. +65 companies looking to hire.";;@SenCoonsOffice @SenatorCarper @JohnCarneyDE;;"595040560827781120";https://twitter.com/SenCoonsOffice/status/595040560827781120
;2015-04-27 00:05;11;0;"A look ahead at Sen. Coons schedule for April 27-May 1 http:// 1.usa.gov/1EvyVKb . #NetDE";;;#NetDE;"592555204643528704";https://twitter.com/SenCoonsOffice/status/592555204643528704
;2015-04-20 10:21;2;0;"A look ahead at Sen. Coons' schedule for April 20 to April 27. http:// 1.usa.gov/1Oywnwe";;;;"590173331078406144";https://twitter.com/SenCoonsOffice/status/590173331078406144
;2015-04-15 14:01;5;1;"Senator Coons selected as Legislator of the Year by Delaware’s @IAmBiotech delegation: http:// 1.usa.gov/1POnfHi #NetDE pic.twitter.com/ichAQDkWVC";;@IAmBiotech;#NetDE;"588416960968445952";https://twitter.com/SenCoonsOffice/status/588416960968445952
;2015-04-12 20:36;0;0;"A look ahead at Sen. Coons' weekly schedule for April 13-19: http:// 1.usa.gov/1CGMl0k";;;;"587429077826547712";https://twitter.com/SenCoonsOffice/status/587429077826547712
;2015-04-10 15:02;0;0;"Carper, Coons, Carney wrap 25th job fair w/ 300+ job seekers. Last job fair of season May 4 in Rehoboth. http:// 1.usa.gov/1FIEFiU #netde #jobs";;;#netde #jobs;"586620176860323841";https://twitter.com/SenCoonsOffice/status/586620176860323841
;2015-04-10 11:47;1;0;"Packed house here at @delawaretech Stanton for our New Castle County job fair. 50+ companies hiring f/part time jobs. pic.twitter.com/c5HEQN81xO";;@delawaretech;;"586571107693658112";https://twitter.com/SenCoonsOffice/status/586571107693658112
;2015-04-08 08:33;5;2;"Carper, Coons, Carney host job fair @delawaretech this Friday. 50-plus companies on board ready to hire. #jobs #netDE http:// 1.usa.gov/1E4JaFA";;@delawaretech;#jobs #netDE;"585797606187610112";https://twitter.com/SenCoonsOffice/status/585797606187610112
;2015-03-23 17:41;0;0;"@ChrisCoons lends a hand to break ground on a new runway @DoverAFB. $98 mil proj. expected to be comple June '16. pic.twitter.com/ZXPladqOpP";;@ChrisCoons @DoverAFB;;"580137261087514624";https://twitter.com/SenCoonsOffice/status/580137261087514624
;2015-03-22 22:10;1;0;"A look at Sen. Coons' week ahead schedule http:// 1.usa.gov/19JWsLI";;;;"579842577958084609";https://twitter.com/SenCoonsOffice/status/579842577958084609
;2015-03-20 15:11;12;2;". @SenatorCarper @JohnCarneyDE & @ChrisCoons host job fair this Monday @theWilmU Dover campus from 10-2 p.m. #NetDE http:// 1.usa.gov/1EB9e9r";;@SenatorCarper @JohnCarneyDE @ChrisCoons @theWilmU;#NetDE;"579012361018847232";https://twitter.com/SenCoonsOffice/status/579012361018847232
;2015-03-16 13:03;2;0;"A look at Senator Coons' week ahead schedule for March 16-22 http:// 1.usa.gov/1Awogth";;;;"577530676930605056";https://twitter.com/SenCoonsOffice/status/577530676930605056
;2015-03-11 14:09;4;0;"Senators Coons, Collins, Reed, Shaheen re-introduce bill to enhance and extend landmark energy efficiency programs http:// 1.usa.gov/1xdcFOk";;;;"575735335226896385";https://twitter.com/SenCoonsOffice/status/575735335226896385
