username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 15:35;9;24;"Thank you to the men & women of the @USArmy for defending this country for 242 years. #ArmyStrong #ArmyBDay pic.twitter.com/GrzHkl9xQE";;@USArmy;#ArmyStrong #ArmyBDay;"875089234729848833";https://twitter.com/SenCoryGardner/status/875089234729848833
;2017-06-14 10:53;30;84;"I'll always be a member of Team @SteveScalise . Get well soon, my friend. pic.twitter.com/uijoMx814Y";;@SteveScalise;;"875018458060263425";https://twitter.com/SenCoryGardner/status/875018458060263425
;2017-06-14 08:09;68;150;"The actions @CapitolPolice took today to prevent further injury is remarkable. They are all heroes. https:// twitter.com/sencorygardner /status/874976930398863362 …";;@CapitolPolice;;"874977137782140930";https://twitter.com/SenCoryGardner/status/874977137782140930
;2017-06-14 08:08;45;193;"Praying for @SteveScalise and others wounded in this horrific attack. Our nation stands as one.";;@SteveScalise;;"874976930398863362";https://twitter.com/SenCoryGardner/status/874976930398863362
;2017-06-13 09:19;5;9;"The new ROK government should not miss an opportunity to maintain and build a stronger US-ROK alliance. https://www. wsj.com/articles/south -koreas-defense-blunder-1497309007 …";;;;"874632247973994498";https://twitter.com/SenCoryGardner/status/874632247973994498
;2017-06-12 17:10;23;47;"Be sure to read my op-ed in the @coloradoan about why science shouldn't be a partisan issue: http://www. coloradoan.com/story/opinion/ 2017/06/12/gardner-science-shouldnt-partisan-issue/384936001/ …";;@coloradoan;;"874388369677180928";https://twitter.com/SenCoryGardner/status/874388369677180928
;2017-06-09 14:36;13;158;"Nothing better than having my family in D.C. for the week and getting to spend a little time with them. pic.twitter.com/fQIe4jHTue";;;;"873262428208979969";https://twitter.com/SenCoryGardner/status/873262428208979969
;2017-06-09 08:31;9;78;"Congratulations to Colorado natives LCDR Matthew Dominick & Jessica Watkins on being selected to join NASA’s newest astronaut class. https:// twitter.com/csgazette/stat us/872625489516662784 …";;;;"873170612952367104";https://twitter.com/SenCoryGardner/status/873170612952367104
;2017-06-07 15:27;13;27;"Allison Eid is an excellent choice to serve on the 10th Circuit Court of Appeals. Read my full statement below: pic.twitter.com/wLZbhPorzi";;;;"872550657290637313";https://twitter.com/SenCoryGardner/status/872550657290637313
;2017-06-06 14:10;20;26;"I’m thrilled CO native David Bernhardt was approved by @EnergyGOP to become the next Deputy Secretary of the Interior. pic.twitter.com/3VuzvDyJVK";;@EnergyGOP;;"872168864452403200";https://twitter.com/SenCoryGardner/status/872168864452403200
;2017-06-06 10:05;22;67;"On #DDay we remember the brave service members who gave their lives in defense of freedom. We are forever grateful for their sacrifice. pic.twitter.com/Amfduk7pOe";;;#DDay;"872107253859590144";https://twitter.com/SenCoryGardner/status/872107253859590144
;2017-06-05 15:54;13;16;"Defense Minister Han also reiterated to me the commitment on THAAD and we agreed that this historic alliance decision must not be reversed. https:// twitter.com/w7voa/status/8 70989360036032512 …";;;;"871832644102893568";https://twitter.com/SenCoryGardner/status/871832644102893568
;2017-06-05 15:18;4;18;"A few of my favorite photos from Alyson and her Yuma classmates' trip to DC, including the @uscapitol & the @WhiteHouse . pic.twitter.com/HXGWNQnDty";;@uscapitol @WhiteHouse;;"871823629411119104";https://twitter.com/SenCoryGardner/status/871823629411119104
;2017-06-04 08:49;25;96;"Yesterday the world saw yet again the face of true evil & hate. We'll continue to stand with our ally, the UK, in this fight against terror.";;;;"871363305356632066";https://twitter.com/SenCoryGardner/status/871363305356632066
;2017-06-02 14:34;16;71;"Thanks @VP for making time to talk with the students from Yuma Middle School! https:// twitter.com/VP/status/8707 11766556172289 …";;@VP;;"870725286916214784";https://twitter.com/SenCoryGardner/status/870725286916214784
;2017-05-29 10:37;15;88;"On #MemorialDay we are reminded of so many men & women who have stood on the front lines & made the ultimate sacrifice for our country. pic.twitter.com/0UTXUhYgXe";;;#MemorialDay;"869216144284143618";https://twitter.com/SenCoryGardner/status/869216144284143618
;2017-05-23 15:11;39;202;"I sent a letter with @RepTipton urging the Trump Administration to protect Canyons of the Ancients National Monument. pic.twitter.com/JiJpTpX9z6";;@RepTipton;;"867110872237445120";https://twitter.com/SenCoryGardner/status/867110872237445120
;2017-05-22 20:04;28;84;"The scenes in Manchester are horrific. We stand with our ally in what appears to be a terrorist attack taking the lives of innocent people.";;;;"866822003281379328";https://twitter.com/SenCoryGardner/status/866822003281379328
;2017-05-22 17:15;9;21;"I voted to confirm @TerryBranstad as Ambassador to China. His experience and prior relationships with Pres Xi make him the perfect fit.";;@TerryBranstad;;"866779701687267328";https://twitter.com/SenCoryGardner/status/866779701687267328
;2017-05-21 15:27;16;24;"To stop this dangerous behavior by NK, UN Security Council must ratchet up pressure immediately & China must show leadership. https:// twitter.com/wsj/status/866 223808025423872 …";;;;"866390077420822529";https://twitter.com/SenCoryGardner/status/866390077420822529
;2017-05-20 11:12;34;110;"Happy Colorado Public Lands Day! Coloradans cherish our public lands & I hope everyone experiences the amazing outdoors CO has to offer. pic.twitter.com/pakUGAN3xL";;;;"865963552456290305";https://twitter.com/SenCoryGardner/status/865963552456290305
;2017-05-18 10:56;8;22;"It was an honor to be the first Member of Congress to welcome the ROK’s Special Envoy, Dr. Hong Seok-Hyun, to the United States Capitol. pic.twitter.com/wHZNpcr5yd";;;;"865234652331741184";https://twitter.com/SenCoryGardner/status/865234652331741184
;2017-05-18 07:56;11;21;"Having a conversation about cyber this morning at the @AtlanticLIVE 's cybersecurity forum. #cybersecuritywork pic.twitter.com/jOL20bqbXk";;@AtlanticLIVE;#cybersecuritywork;"865189461801529344";https://twitter.com/SenCoryGardner/status/865189461801529344
;2017-05-17 19:06;24;138;"My statement on today’s DOJ announcement: pic.twitter.com/s2twR0OEvV";;;;"864995662403956736";https://twitter.com/SenCoryGardner/status/864995662403956736
;2017-05-17 11:44;10;8;"The bipartisan PATCH Act is an important step to prevent another massive cyberattack. Learn more here: https:// goo.gl/To0TYa pic.twitter.com/wDrHArr4yY";;;;"864884389888614401";https://twitter.com/SenCoryGardner/status/864884389888614401
;2017-05-17 08:04;18;58;"Thinking of my friend Thom right now and praying for his speedy recovery. https:// twitter.com/ap/status/8648 22053504987137 …";;;;"864829027307196416";https://twitter.com/SenCoryGardner/status/864829027307196416
