username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-01-04 21:20;30;125;"What a thrill to watch Butler take down #1 ranked Villanova. Electric night at Hinkle. pic.twitter.com/czWJxBKjOR";;;#1;"816846808789958656";https://twitter.com/SenDanCoats/status/816846808789958656
;2016-12-20 11:58;6;29;"Thank you, Hoosiers https://www. facebook.com/senatordancoat s/posts/1391280087572738 …";;;;"811269467569319938";https://twitter.com/SenDanCoats/status/811269467569319938
;2016-12-14 15:54;6;40;"Saturday's big day of basketball just got even better. Welcome back @ButlerBlue3 https:// twitter.com/indystar/statu s/809069262220496896 …";;@ButlerBlue3;;"809154702705381376";https://twitter.com/SenDanCoats/status/809154702705381376
;2016-12-14 12:12;0;8;"Coats wraps up waste watch http://www. journalgazette.net/blog/political -notebook/Coats-wraps-up-waste-watch … via @JGfortwayne";;@JGfortwayne;;"809098830574718976";https://twitter.com/SenDanCoats/status/809098830574718976
;2016-12-13 11:35;5;31;"Happy 380th Birthday to the National Guard! #Guard380";;;#Guard380;"808727174635290624";https://twitter.com/SenDanCoats/status/808727174635290624
;2016-12-11 08:02;27;79;"Two hundred years and we’re just getting started. Happy Birthday, Indiana. pic.twitter.com/eukS40mvvx";;;;"807948566350221312";https://twitter.com/SenDanCoats/status/807948566350221312
;2016-12-10 17:00;1;11;"Did you know Indiana’s Bicentennial is this weekend? Here’s how you can celebrate with @Indiana2016 tomorrow: http:// in.gov/ibc/2332.htm";;@Indiana2016;;"807721771898142720";https://twitter.com/SenDanCoats/status/807721771898142720
;2016-12-09 08:34;1;2;"Hoosier Senators Talk About What You've Accomplished http://www. wibc.com/news/local-new s/indiana-200-senators-talk-about-what-youve-accomplished … via @93wibc";;@93wibc;;"807232055914430464";https://twitter.com/SenDanCoats/status/807232055914430464
;2016-12-08 16:37;4;10;"Today I commemorated Indiana’s bicentennial w/ a look at some of the people, places, & events that make IN unique https://www. facebook.com/senatordancoat s/?ref=aymt_homepage_panel …";;;;"806991000249962496";https://twitter.com/SenDanCoats/status/806991000249962496
;2016-12-07 12:53;26;66;"Happy 60th birthday to Indiana's unofficial state Bird, Larry Legend pic.twitter.com/hq8CUACIXm";;;;"806572465283629056";https://twitter.com/SenDanCoats/status/806572465283629056
;2016-12-07 07:15;26;51;""A date which will live in infamy" Remembering the tragic loss of American lives 75 years ago today at #PearlHarbor pic.twitter.com/1Fc5HTvCGh";;;#PearlHarbor;"806487304483246080";https://twitter.com/SenDanCoats/status/806487304483246080
;2016-12-06 17:19;37;73;"Hoosiers, thank you for the opportunity to serve as your senator https://www. youtube.com/watch?v=Eb8gc7 HPa5Y …";;;;"806276812049412097";https://twitter.com/SenDanCoats/status/806276812049412097
;2016-12-02 12:25;5;6;"Great to work with you, @PatTiberi . Best of luck to you and all the members of the @JECRepublicans in the 115th Congress https:// twitter.com/PatTiberi/stat us/804732364492574721 …";;@PatTiberi @JECRepublicans;;"804753486571245568";https://twitter.com/SenDanCoats/status/804753486571245568
;2016-12-02 09:54;5;10;"The crossroads of American dining http://www. indystar.com/story/entertai nment/2016/12/01/indy-named-one-americas-hottest-food-cities/94746584/ …";;;;"804715267368648705";https://twitter.com/SenDanCoats/status/804715267368648705
;2016-12-01 15:56;3;11;"It's a special day as @NAVSEACrane , the USA’s 3rd largest naval base, turns 75. Thanks for all you do to keep Americans safe #CraneTurns75";;@NAVSEACrane;#CraneTurns75;"804444176939184128";https://twitter.com/SenDanCoats/status/804444176939184128
;2016-11-29 18:59;79;168;"I applaud @realDonaldTrump and @GovPenceIN for working with Carrier to save nearly 1,000 Hoosier jobs";;@realDonaldTrump @GovPenceIN;;"803765467747733505";https://twitter.com/SenDanCoats/status/803765467747733505
;2016-11-29 08:16;5;6;"Seema's leadership and success with health care reform in Indiana makes her an excellent appointment to the @realDonaldTrump Administration";;@realDonaldTrump;;"803603550756630528";https://twitter.com/SenDanCoats/status/803603550756630528
;2016-11-29 08:15;1;3;"Congratulations to fellow Hoosier Seema Verma on her nomination to be @CMSGov Administrator";;@CMSGov;;"803603301979791362";https://twitter.com/SenDanCoats/status/803603301979791362
;2016-11-25 14:27;0;1;"Joining @WOWOFORTWAYNE at 3:40 to offer thoughts on the remarkable life of broadcasting legend Bob Chase. Tune in: http://www. wowo.com /";;@WOWOFORTWAYNE;;"802247315377582080";https://twitter.com/SenDanCoats/status/802247315377582080
;2016-11-25 07:12;7;29;"Sad to hear about the passing of Hoosier actress Florence Henderson. Always appreciated her passion for the Indy 500.";;;;"802137779908050945";https://twitter.com/SenDanCoats/status/802137779908050945
;2016-11-24 07:47;4;20;"There's a lot to be grateful for this #Thanksgiving —family, friends and the many blessings we enjoy as Americans";;;#Thanksgiving;"801784343882502144";https://twitter.com/SenDanCoats/status/801784343882502144
;2016-11-18 14:10;2;5;"The Senate has passed a legislative version of #FlyTheW . Go Cubs Go! https://www. coats.senate.gov/newsroom/press /release/senate-resolution-honors-2016-world-series-champion …";;;#FlyTheW;"799706416541999104";https://twitter.com/SenDanCoats/status/799706416541999104
;2016-11-15 13:59;8;15;"Another proud day for Hoosiers: . @nationalservice named Indianapolis the #10 city in the nation for volunteerism pic.twitter.com/L2X7jyR9yO";;@nationalservice;#10;"798616374654353409";https://twitter.com/SenDanCoats/status/798616374654353409
;2016-11-15 07:39;1;2;"I'm joining @wlsam890 to discuss the Taylor Force Act. Listen live here: http://www. wlsam.com /";;@wlsam890;;"798520697849073664";https://twitter.com/SenDanCoats/status/798520697849073664
;2016-11-14 15:49;7;21;"30 years ago today the movie #Hoosiers hit box offices. Love watching this movie, especially this time of year https://www. youtube.com/watch?v=33DEm0 eW-wU … #OTD";;;#Hoosiers #OTD;"798281755220475904";https://twitter.com/SenDanCoats/status/798281755220475904
;2016-11-14 10:56;5;10;"The @WSJopinion took a look at my bill to end U.S. economic aid unless Palestinian leaders stop rewarding terrorists http://www. wsj.com/articles/endin g-aid-to-terrorists-1479081865 …";;@WSJopinion;;"798208058153439236";https://twitter.com/SenDanCoats/status/798208058153439236
;2016-11-11 07:04;20;29;"All members of our armed forces are heroes. Join me in thanking them today on #VeteransDay pic.twitter.com/tH5PhuRpKk";;;#VeteransDay;"797062384678502400";https://twitter.com/SenDanCoats/status/797062384678502400
;2016-11-04 14:58;15;68;"Marsha and I voted today. Regardless of politics, it is always wonderful to exercise this privilege as an American. pic.twitter.com/dnq9RW3LY5";;;;"794629860266217472";https://twitter.com/SenDanCoats/status/794629860266217472
;2016-11-03 15:32;5;17;"Stopped by Long’s Bakery in Southport for one of my favorites - cinnamon sugar donut holes pic.twitter.com/SB0tF4VO1d";;;;"794276205390397446";https://twitter.com/SenDanCoats/status/794276205390397446
;2016-11-03 15:06;1;0;"It was great to meet with Greenwood Mayor Mark Myers today pic.twitter.com/76cXbAnmKi";;;;"794269613936803843";https://twitter.com/SenDanCoats/status/794269613936803843
;2016-11-02 23:53;8;36;"A century in the making, we finally made it. What a great day to be a #cubs fan.";;;#cubs;"794039681843400704";https://twitter.com/SenDanCoats/status/794039681843400704
;2016-11-02 23:52;7;38;"We got it done for you, Harry pic.twitter.com/iLFdR1MU3V";;;;"794039559600357377";https://twitter.com/SenDanCoats/status/794039559600357377
;2016-10-31 16:21;3;5;"Learn more about #NationalAdoptionMonth and how Indiana is a leader in promoting adoptions at @TCMIndy : http://www. wibc.com/news/local-new s/indianas-national-adoption-month-kicks-adoption-celebration-launch-event …";;@TCMIndy;#NationalAdoptionMonth;"793201222626996224";https://twitter.com/SenDanCoats/status/793201222626996224
;2016-10-29 20:41;10;32;"Wrigley is electric tonight—so excited to be here for the World Series. Let's #FlyTheW tonight, #Cubs ! pic.twitter.com/dY8Kgl9kUO";;;#FlyTheW #Cubs;"792541957570560001";https://twitter.com/SenDanCoats/status/792541957570560001
;2016-10-28 15:54;56;85;"Secretary Clinton is running for president on her record, but that record has been marred by her blatant disregard for our government's laws";;;;"792107280594563072";https://twitter.com/SenDanCoats/status/792107280594563072
