username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 10:29;2;2;"Sorry I missed you, but you’re in good hands with Scott! Thank you for your advocacy on behalf of pilots @alpapiloteric , @jastoharb . https:// twitter.com/alpapiloteric/ status/875061362476580866 …";;@alpapiloteric @jastoharb;;"875374720597798913";https://twitter.com/SenDanSullivan/status/875374720597798913
;2017-06-15 10:24;2;4;"Proud of these young Alaskans who’ve studied & researched hard, sharing fascinating history projects at #NHD2017 this week. https:// twitter.com/NEHgov/status/ 875064834563473412 …";;;#NHD2017;"875373537103683588";https://twitter.com/SenDanSullivan/status/875373537103683588
;2017-06-15 10:11;3;3;"Thanks @eilperin for hosting great discussion w/ @SenWhitehouse & @RepDerekKilmer on opportunity for bipartisan progress on oceans policy. https:// twitter.com/Paul_Anninos/s tatus/875083671925129216 …";;@eilperin @SenWhitehouse @RepDerekKilmer;;"875370171279568897";https://twitter.com/SenDanSullivan/status/875370171279568897
;2017-06-14 17:05;8;16;"Wishing the @USArmy a happy 242nd birthday, including Alaska's brave Arctic Warriors. Keep up the great work. #ArmyBDay pic.twitter.com/KlghNTkL6d";;@USArmy;#ArmyBDay;"875112074216648704";https://twitter.com/SenDanSullivan/status/875112074216648704
;2017-06-14 11:24;8;10;"Looking forward to a great discussion this afternoon at #CHOW2017 . Watch live at: https://www. marinesanctuary.org/oceanslive/ https:// twitter.com/eilperin/statu s/874270999973433344 …";;;#CHOW2017;"875026181720088576";https://twitter.com/SenDanSullivan/status/875026181720088576
;2017-06-14 08:41;4;16;"We are grateful for their courage. Praying for a speedy recovery for Congressman Scalise and the other victims.";;;;"874985160227336192";https://twitter.com/SenDanSullivan/status/874985160227336192
;2017-06-14 08:40;14;43;"Law enforcement officers across the country, including Capitol police, stand on duty 24/7 ready to sacrifice for others, as we saw today.";;;;"874984865049038848";https://twitter.com/SenDanSullivan/status/874984865049038848
;2017-06-13 17:48;4;4;"Great interns helping out in my DC office this summer from all across #Alaska . Check out internship opportunities at https://www. sullivan.senate.gov/services/inter nships … pic.twitter.com/IRzrrMZGbW";;;#Alaska;"874760345335844865";https://twitter.com/SenDanSullivan/status/874760345335844865
;2017-06-13 17:04;12;24;"The well-being of our seas and coastal ecosystems, including in #Alaska , is a main focus here in Washington during #CHOW2017 . pic.twitter.com/pI8vEr6ctj";;;#Alaska #CHOW2017;"874749284188659715";https://twitter.com/SenDanSullivan/status/874749284188659715
;2017-06-13 09:58;2;3;"Getting ready to question #SECDEF Mattis and Chairman of Joint Chiefs @GenDunford in @SASCMajority . Tune in at: https://www. armed-services.senate.gov/hearings/17-06 -13-department-of-defense-budget-posture … pic.twitter.com/qHiLyIpcWH";;@GenDunford @SASCMajority;#SECDEF;"874642080689262593";https://twitter.com/SenDanSullivan/status/874642080689262593
;2017-06-11 16:22;5;11;"Congratulations, Allie, on your impressive achievement! https:// twitter.com/pclarion/statu s/873687822451982336 …";;;;"874013975184371714";https://twitter.com/SenDanSullivan/status/874013975184371714
;2017-06-09 16:44;6;7;"Replenishing the stocks of qualified fisheries stewards will help ensure #Alaska remains the superpower of seafood. https:// twitter.com/SenDanSullivan /status/873293829021028353 …";;;#Alaska;"873294774077464576";https://twitter.com/SenDanSullivan/status/873294774077464576
;2017-06-09 16:40;6;15;". @SenMarkey @lisamurkowski , @SenatorCantwell , & I yesterday introduced the Young Fishermen's Development Act: https://www. sullivan.senate.gov/newsroom/press -releases/senators-introduce-young-fishermens-development-act …";;@SenMarkey @lisamurkowski @SenatorCantwell;;"873293829021028353";https://twitter.com/SenDanSullivan/status/873293829021028353
;2017-06-09 14:40;11;59;"Happy Birthday to my friend and colleague @RepDonYoung , a man with a great sense of humor, a deep love for #Alaska , and a strong grip. pic.twitter.com/KcyOuFdB6c";;@RepDonYoung;#Alaska;"873263651645423616";https://twitter.com/SenDanSullivan/status/873263651645423616
;2017-06-08 19:33;1;4;"Busy day. Commerce hearing. Presided over Senate. Healthcare meetings and met w/ Alaskans. No time for TV. May catch rerun enroute 2 Kodiak.";;;;"872975007365959687";https://twitter.com/SenDanSullivan/status/872975007365959687
;2017-06-08 17:57;0;1;"Thanks, Jerri. Alaska is beautiful this time of year - you should definitely see it for yourself!";;;;"872950859050647553";https://twitter.com/SenDanSullivan/status/872950859050647553
;2017-06-08 15:04;20;18;"This Saturday, I’ll be in Kodiak for another community town hall. I hope to see you there! pic.twitter.com/AT14xi07dy";;;;"872907233411158016";https://twitter.com/SenDanSullivan/status/872907233411158016
;2017-06-07 17:13;4;18;"Happy Birthday, @VP Mike Pence, a man of character and humility – with a young son in the Marines! pic.twitter.com/OkUnUC0O80";;@VP;;"872577332090986496";https://twitter.com/SenDanSullivan/status/872577332090986496
;2017-06-07 15:16;3;16;"Congrats to Alaskan Robb Kulin, selected out of 18,300 applicants to join @NASA 2017 Astronaut Candidate Class. #NewAstronauts https:// twitter.com/NASA_Astronaut s/status/872528339805884416 …";;@NASA;#NewAstronauts;"872547852207222785";https://twitter.com/SenDanSullivan/status/872547852207222785
