username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 17:56;4;12;"Joe met with @AirNatlGuard Lt. Gen. Rice and discussed ensuring a strong future for the @122FighterWing . pic.twitter.com/8Zd3HUYHm6";;@AirNatlGuard @122FighterWing;;"875124709037363200";https://twitter.com/SenDonnelly/status/875124709037363200
;2017-06-14 17:14;8;14;"Joe spoke at the @amfAR Summit about his commitment to help combat the opioid crisis, HIV/AIDS, and Hepatitis C. pic.twitter.com/vQ5Z3E2TVy";;@amfAR;;"875114348783554562";https://twitter.com/SenDonnelly/status/875114348783554562
;2017-06-14 14:40;8;19;"On #ArmyDay , we honor and thank those who have served our country in the @USArmy . -Joe pic.twitter.com/bN71JnjUPy";;@USArmy;#ArmyDay;"875075400078151681";https://twitter.com/SenDonnelly/status/875075400078151681
;2017-06-14 13:57;7;22;"Joe and @SenToddYoung met with @NHDIndiana participants to talk about our state’s rich history. #NHDI17 pic.twitter.com/8ukZIooGaL";;@SenToddYoung @NHDIndiana;#NHDI17;"875064790393159680";https://twitter.com/SenDonnelly/status/875064790393159680
;2017-06-14 12:19;9;21;"Today is #NationalFlagDay , a day to celebrate and honor the freedoms of the United States. pic.twitter.com/o3CqyMcm5K";;;#NationalFlagDay;"875040119236984832";https://twitter.com/SenDonnelly/status/875040119236984832
;2017-06-14 07:59;77;219;"(2/2) I was practicing at the time with the Democratic team in DC and am okay. -Joe";;;;"874974595819986944";https://twitter.com/SenDonnelly/status/874974595819986944
;2017-06-14 07:59;120;272;"(1/2) I am shocked & praying for the safety & recovery of my friend Steve Scalise & all the others shot, including the officers. -Joe";;;;"874974515431972864";https://twitter.com/SenDonnelly/status/874974515431972864
;2017-06-13 17:15;8;30;"Joe talked to a big group of @IndianaEC Youth Tour students about education & agriculture issues. pic.twitter.com/UN6Df4IOIB";;@IndianaEC;;"874752035710697472";https://twitter.com/SenDonnelly/status/874752035710697472
;2017-06-13 14:29;10;40;"Joe and @SenToddYoung met and thanked interns who are working in Indiana offices @uscapitol . pic.twitter.com/gaaT5TDvUD";;@SenToddYoung @uscapitol;;"874710446456045570";https://twitter.com/SenDonnelly/status/874710446456045570
;2017-06-13 12:48;5;10;"Joe met w/ Rushville Mayor Pavey & Rush County officials to talk about workforce development in the community. pic.twitter.com/HvKu4gp01g";;;;"874684920316252160";https://twitter.com/SenDonnelly/status/874684920316252160
;2017-06-13 10:45;1;12;"Great to meet w/ @Colts Owner Carlie Irsay-Gordon. #GoHorse . –Joe pic.twitter.com/BD3G2QEVUV";;@Colts;#GoHorse;"874654071155810305";https://twitter.com/SenDonnelly/status/874654071155810305
;2017-06-13 08:27;3;8;"#ICYMI : Last week Joe called on @SBAgov to provide Salem, IN w/ disaster asst. http:// bit.ly/2rSKDPe pic.twitter.com/4fDPHpB9CD";;@SBAgov;#ICYMI;"874619271065817088";https://twitter.com/SenDonnelly/status/874619271065817088
;2017-06-12 14:56;5;9;"W/ Joe's support, the Jefferson Township FD was awarded a grant to purchase needed equip. to protect firefighters. http:// bit.ly/2rx7y2b pic.twitter.com/4Bt5CECooN";;;;"874354631765368832";https://twitter.com/SenDonnelly/status/874354631765368832
;2017-06-12 13:57;1;6;"Joe’s staff attended a @jfederations meeting in @CityofFortWayne to hear an update on the organization. pic.twitter.com/V0lTqRtUVd";;@jfederations @CityofFortWayne;;"874339939604987904";https://twitter.com/SenDonnelly/status/874339939604987904
;2017-06-12 11:18;9;34;"Joe visited @VAIndianapolis to hear directly from veterans and discuss the center’s mental health services. pic.twitter.com/8boVPQFa1J";;@VAIndianapolis;;"874299887713734656";https://twitter.com/SenDonnelly/status/874299887713734656
;2017-06-12 09:40;10;34;"Joe attended the Christ Our Shepherd Church veterans program to honor the Hoosier men and women who served our country. pic.twitter.com/oXkAhbW7o3";;;;"874275155601707008";https://twitter.com/SenDonnelly/status/874275155601707008
;2017-06-11 13:47;5;37;"#ICYMI : Joe is pleased by FDA’s request to take the addictive #opioid Opana off the market to help combat the opioid epidemic. pic.twitter.com/IpeSfLR61B";;;#ICYMI #opioid;"873974889174138880";https://twitter.com/SenDonnelly/status/873974889174138880
;2017-06-10 12:00;12;24;"WATCH: Joe sat down with Hoosier Rylin Rogers to discuss how the #ACA positively impacted her family. http:// bit.ly/2t3uqV9 pic.twitter.com/eX9kZAiRjj";;;#ACA;"873585552662122496";https://twitter.com/SenDonnelly/status/873585552662122496
;2017-06-10 09:00;4;4;"#ICYMI : Joe attended @RVIANow ’s #RVsMoveAmerica dinner to recognize Hoosier RV manufacturers who fuel jobs across IN. pic.twitter.com/R7gs364BPK";;@RVIANow;#ICYMI #RVsMoveAmerica;"873540274126897155";https://twitter.com/SenDonnelly/status/873540274126897155
;2017-06-09 17:19;6;28;"#GoodNews @LifeatPurdue alumna chosen as @NASA astronaut. http:// fox59.com/2017/06/07/pur due-university-alumna-selected-for-nasas-astronaut-class-of-2017/ …";;@LifeatPurdue @NASA;#GoodNews;"873303668740825089";https://twitter.com/SenDonnelly/status/873303668740825089
;2017-06-09 15:09;5;8;"WATCH: Joe pressed @usairforce @SecAFOfficial for commitment to continue @122fighterwing air combat mission: pic.twitter.com/cRms1ZQ1F1";;@usairforce @SecAFOfficial @122fighterwing;;"873270728879218688";https://twitter.com/SenDonnelly/status/873270728879218688
;2017-06-08 18:08;6;30;"Joe welcomed FDA’s request to remove prescription opioid medication Opana from the market. http:// bit.ly/2sID7EN pic.twitter.com/6TWybQoNKl";;;;"872953534362382337";https://twitter.com/SenDonnelly/status/872953534362382337
;2017-06-08 14:43;4;14;"WATCH: Joe introduced Dallas Bergl of @inovafcu in Elkhart during @SenateBanking re: role of financial institutions in communities. pic.twitter.com/JBAEH9UL8S";;@inovafcu @SenateBanking;;"872901949536051201";https://twitter.com/SenDonnelly/status/872901949536051201
;2017-06-08 14:20;3;22;"Today, Joe met with students from Rushville Consolidated High School’s summer government class @uscapitol . pic.twitter.com/LERTblsaHH";;@uscapitol;;"872896048351596544";https://twitter.com/SenDonnelly/status/872896048351596544
;2017-06-08 12:43;30;87;"READ: Joe’s statement on #JamesComey ’s testimony before Senate Intel Committee. pic.twitter.com/s2YSxLRxdO";;;#JamesComey;"872871614278455296";https://twitter.com/SenDonnelly/status/872871614278455296
