username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 19:02;23;43;"Senator Mike Lee shares his thoughts on the USA's place in protecting the environment. http:// lee.senate.gov/live #utpol pic.twitter.com/FLg7jmJKin";;;#utpol;"875141522118914049";https://twitter.com/SenMikeLee/status/875141522118914049
;2017-06-14 18:45;29;59;"Senator Mike Lee tells his constituents the reason behind his vote on Russian sanctions today. http:// lee.senate.gov/live #utpol pic.twitter.com/vHsa4sgwMd";;;#utpol;"875137048914644993";https://twitter.com/SenMikeLee/status/875137048914644993
;2017-06-14 18:28;35;79;"Senator Mike Lee is LIVE talking to about #Obamacare repeal & transparency. Join the conversation now at http:// lee.senate.gov/live pic.twitter.com/gaWKiaAPwq";;;#Obamacare;"875132911145672704";https://twitter.com/SenMikeLee/status/875132911145672704
;2017-06-14 18:15;12;32;"I am holding an Access Live event with constituents now. You can join us here: https://www. lee.senate.gov/public/index.c fm/live … #utpol";;;#utpol;"875129482142724097";https://twitter.com/SenMikeLee/status/875129482142724097
;2017-06-14 14:09;12;101;"I'm looking forward to meeting with a big crowd of Utahns today: https://www. lee.senate.gov/public/index.c fm/jell-o-with-the-senator … pic.twitter.com/fS1QYGXLup";;;;"875067600438530048";https://twitter.com/SenMikeLee/status/875067600438530048
;2017-06-14 11:55;11;25;"Tonight I'm holding an Access Live event at 5:00 p.m. MT. You can sign up now to be part of the event: https://www. lee.senate.gov/public/index.c fm/tele-townhall-meetings … #utpol pic.twitter.com/qoSaARWLSR";;;#utpol;"875034064142704642";https://twitter.com/SenMikeLee/status/875034064142704642
;2017-06-12 15:45;151;286;"The #BearsEars report released today confirms that President Obama abused the Antiquities Act and bolsters the case for permanent reform.";;;#BearsEars;"874366948158603265";https://twitter.com/SenMikeLee/status/874366948158603265
;2017-06-12 15:43;40;93;"I commend @SecretaryZinke for producing a balanced and factual report that should be seen by all sides as progress: https://www. lee.senate.gov/public/index.c fm?p=press-releases&id=2DBE0D31-B735-4A48-BFC1-0FEF954EBB26 …";;@SecretaryZinke;;"874366466749063169";https://twitter.com/SenMikeLee/status/874366466749063169
;2017-06-08 16:42;124;177;"More truth about #PlannedParenthood : https://www. lee.senate.gov/public/index.c fm/speeches?ID=B56B760D-200C-4E98-AF2A-B8EEE375D1D5 …";;;#PlannedParenthood;"872931786103431170";https://twitter.com/SenMikeLee/status/872931786103431170
;2017-06-08 13:16;98;179;"Federalism Awakens! @SteveDeaceShow pic.twitter.com/xRH7dQqYxl";;@SteveDeaceShow;;"872879923437948929";https://twitter.com/SenMikeLee/status/872879923437948929
