username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 16:38;1;5;"Happy to help these constituents celebrate #FlagDay . Contact my office to have a flag flown over the @uscapitol . http://www. wibw.com/content/news/L ocal-bank-celebrates-Flag-Day-with-help-from-Sen-Pat-Roberts-428483463.html …";;@uscapitol;#FlagDay;"875105117221072901";https://twitter.com/SenPatRoberts/status/875105117221072901
;2017-06-14 13:51;7;8;"Happy #FlagDay ! May we always honor our nation's symbol of freedom, liberty & unity and remain grateful for those who fight to protect it. pic.twitter.com/QWrb3Wlwt6";;;#FlagDay;"875063115691511808";https://twitter.com/SenPatRoberts/status/875063115691511808
;2017-06-14 13:29;1;3;"Congrats on earning the 2016 Abilene Trophy: Friends of @22ARW , @CityofWichita , @SedgwickCounty & regional partners. pic.twitter.com/sNSJNFVtCo";;@22ARW @CityofWichita @SedgwickCounty;;"875057566178476034";https://twitter.com/SenPatRoberts/status/875057566178476034
;2017-06-14 12:53;7;22;"Happy Birthday, @USArmy ! Thank you for your 242 years of service and sacrifice defending our nation. #ArmyStrong pic.twitter.com/UYx1191S3o";;@USArmy;#ArmyStrong;"875048566724726785";https://twitter.com/SenPatRoberts/status/875048566724726785
;2017-06-14 07:23;27;74;"My heart goes out to my colleague @SteveScalise , staff, security detail & the @CapitolPolice . Praying for everyone's safety & recovery.";;@SteveScalise @CapitolPolice;;"874965525193007104";https://twitter.com/SenPatRoberts/status/874965525193007104
;2017-06-13 14:31;4;4;"I was honored to meet Melinda Toy, #StarofLife recipient by @amerambassoc to recognize her service as a Paramedic in Topeka. Her story below pic.twitter.com/fsjRa6CtE2";;@amerambassoc;#StarofLife;"874710873935368193";https://twitter.com/SenPatRoberts/status/874710873935368193
;2017-06-13 14:06;7;19;"Thank you to @afspnational & members Andy and Kalli of Lawrence for all the work they do to save lives & #stopsuicide . pic.twitter.com/FQg8OyvL6a";;@afspnational;#stopsuicide;"874704443954147329";https://twitter.com/SenPatRoberts/status/874704443954147329
;2017-06-13 13:49;3;3;"My stmnt on #FDA 's move to delay compliance of the updated Nutrition Facts Panel #NFP . FDA had not provided needed guidance to manufacturers pic.twitter.com/5vU3yLWHjX";;;#FDA #NFP;"874700387512668164";https://twitter.com/SenPatRoberts/status/874700387512668164
;2017-06-13 12:45;2;2;"Pleased to join this bipartisan bill to encourage year-round charitable giving & make it easier for charities to fulfill their mission. https:// twitter.com/SenJohnThune/s tatus/874657160822738944 …";;;;"874684046923771905";https://twitter.com/SenPatRoberts/status/874684046923771905
;2017-06-13 12:02;4;10;"Enjoyed visiting with @KansasYouthTour during their trip to Washington. Thank you for the great questions! pic.twitter.com/yUQGijpacM";;@KansasYouthTour;;"874673449641406466";https://twitter.com/SenPatRoberts/status/874673449641406466
;2017-06-12 14:09;3;2;"ICYMI check out the #RobertsReport on the @FightingFirst , veterans, stops in Kansas & protecting our food supply: https:// roberts.enews.senate.gov/mail/util.cfm? gpiv=2100142499.233763.287&gen=1 …";;@FightingFirst;#RobertsReport;"874342896702455808";https://twitter.com/SenPatRoberts/status/874342896702455808
;2017-06-09 14:47;3;3;"Check out the #RobertsReport on the @FightingFirst 's 100th bday, recent legislation, stops around Kansas & more! https:// roberts.enews.senate.gov/mail/util.cfm? gpiv=2100142499.233763.287&gen=1 … pic.twitter.com/P8YLLnMIcr";;@FightingFirst;#RobertsReport;"873265207459622914";https://twitter.com/SenPatRoberts/status/873265207459622914
;2017-06-08 15:17;2;4;"Joined @SenatorIsakson 's bill to block Obama-era rule that makes is harder for Americans to plan for retirement http:// bit.ly/2s8Rd5m pic.twitter.com/lU3z8n1rCk";;@SenatorIsakson;;"872910358909943808";https://twitter.com/SenPatRoberts/status/872910358909943808
;2017-06-08 14:01;3;7;"Proud the Senate passed my resolution with @JerryMoran honoring the 100th anniversary of the @FightingFirst : https://www. roberts.senate.gov/public/index.c fm?p=PressReleases&ContentRecord_id=9AA5F644-588E-4BA1-996E-9CD55539BFDA … pic.twitter.com/25hzFq5B2h";;@JerryMoran @FightingFirst;;"872891366170382336";https://twitter.com/SenPatRoberts/status/872891366170382336
;2017-06-08 13:14;6;15;"A very inspirational ceremony @FortRiley this morning celebrating the 100th birthday of the legendary @FightingFirst , the Big Red One pic.twitter.com/iegC7GnmUF";;@FortRiley @FightingFirst;;"872879550241406976";https://twitter.com/SenPatRoberts/status/872879550241406976
;2017-06-07 10:02;6;10;"It was an honor to join @BretBaier & @IStillLikeIke to celebrate #Ike & the work towards his national memorial on the anniversary of #DDay . pic.twitter.com/1EGMU7uj8h";;@BretBaier @IStillLikeIke;#Ike #DDay;"872468836343308289";https://twitter.com/SenPatRoberts/status/872468836343308289
;2017-06-06 18:41;5;9;"Proud to honor President and General Eisenhower on the 73rd anniversary of #DDay . We look forward to breaking ground on his memorial. pic.twitter.com/fzAlGcWeeE";;;#DDay;"872236948957614081";https://twitter.com/SenPatRoberts/status/872236948957614081
;2017-06-06 17:27;4;7;"Pleased the Senate passed critical legislation to improve #veterans services & increase accountability at the #VA . https://www. roberts.senate.gov/public/index.c fm?p=PressReleases&ContentRecord_id=7040A4A0-4F0E-4913-87A9-46744648FA68 …";;;#veterans #VA;"872218491826450434";https://twitter.com/SenPatRoberts/status/872218491826450434
