username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:10;14;22;"NOW: Join me live on Facebook in a few minutes. Tune in here: http:// bit.ly/2mezQNV";;;;"874977371635503105";https://twitter.com/SenRubioPress/status/874977371635503105
;2017-06-13 17:15;79;156;"With today's passage, we are now one step closer to a new era at @DeptVetAffairs . My #VAAccountability now heads to @POTUS desk.";;@DeptVetAffairs @POTUS;#VAAccountability;"874752098012991490";https://twitter.com/SenRubioPress/status/874752098012991490
;2017-06-13 17:10;177;427;"A great day to be a US Senator: The House has passed my #VAAccountability bill, which will bring accountability to improve care for our vets";;;#VAAccountability;"874750840665497600";https://twitter.com/SenRubioPress/status/874750840665497600
;2017-06-13 16:40;31;81;"From today’s Senate Intelligence Committee hearing, my questioning of Attorney General Sessions pic.twitter.com/jt8JqUVPCW";;;;"874743377153204224";https://twitter.com/SenRubioPress/status/874743377153204224
;2017-06-13 16:02;779;593;"Today I questioned Secretary of State Tillerson about #Colombia and it’s deal with the FARC pic.twitter.com/wZR4gWzQJm";;;#Colombia;"874733630576373764";https://twitter.com/SenRubioPress/status/874733630576373764
;2017-06-13 12:21;20;50;"Met with two of Florida's @NFL teams: @MiamiDolphins and @TBBuccaneers . Ready for football! pic.twitter.com/eKg6ufR7rT";;@NFL @MiamiDolphins @TBBuccaneers;;"874678189192351746";https://twitter.com/SenRubioPress/status/874678189192351746
;2017-06-13 11:01;56;103;"Always great to meet w @AIPAC members on importance of countering #Iran threat, supporting security assistance to #Israel & combating #BDS pic.twitter.com/VraEpHOkLg";;@AIPAC;#Iran #Israel #BDS;"874658062711345152";https://twitter.com/SenRubioPress/status/874658062711345152
;2017-06-13 10:56;19;48;"Great meeting with #Florida TRIO students during their visit to DC. I wish them the best of luck in their studies and future endeavors! pic.twitter.com/ubBz9lAuuu";;;#Florida;"874656744210935808";https://twitter.com/SenRubioPress/status/874656744210935808
;2017-06-13 10:30;16;24;"About to speak at a Senate Foreign Relations hearing on the @StateDept ’s budget request. Watch here: http:// bit.ly/2suqksh";;@StateDept;;"874650301529284611";https://twitter.com/SenRubioPress/status/874650301529284611
;2017-06-13 08:17;19;19;"I will be live on Facebook in a few minutes. Tune in here: http:// bit.ly/2mezQNV";;;;"874616840919674880";https://twitter.com/SenRubioPress/status/874616840919674880
;2017-06-12 17:50;38;58;"A year ago today, we awoke to the shocking news that 49 of our fellow Americans had been killed http:// bit.ly/2rTUq7F #OrlandoStrong";;;#OrlandoStrong;"874398497776300032";https://twitter.com/SenRubioPress/status/874398497776300032
;2017-06-12 16:16;28;53;"About to speak on Senate floor in honor of those we lost one year ago today at @pulseorlando . Watch: http:// bit.ly/2k7oZ3L #OrlandoStrong";;@pulseorlando;#OrlandoStrong;"874374765053702144";https://twitter.com/SenRubioPress/status/874374765053702144
;2017-06-12 13:33;98;171;"I stand with the thousands of protesters across #Russia calling for a free, open and transparent government http:// wapo.st/2sutXOY";;;#Russia;"874333839207919617";https://twitter.com/SenRubioPress/status/874333839207919617
;2017-06-09 14:28;101;167;"Next week, the House will pass our #VAaccountability bill and send it to @POTUS to sign into law. cc: @SecShulkin pic.twitter.com/Po2nikvOqW";;@POTUS @SecShulkin;#VAaccountability;"873260588054581254";https://twitter.com/SenRubioPress/status/873260588054581254
;2017-06-09 11:27;68;83;"Proudly joined my colleagues in fighting human traffickers & doing everything we can to protect & support victims: http:// bit.ly/2rdQE5c";;;;"873215050856767492";https://twitter.com/SenRubioPress/status/873215050856767492
;2017-06-08 14:45;59;87;"At approx 4pm, I'll be live on Facebook to discuss today’s Intel hearing with former FBI Director Comey. Watch here: http:// bit.ly/2mezQNV";;;;"872902342768832512";https://twitter.com/SenRubioPress/status/872902342768832512
;2017-06-08 07:37;22;35;"I will be live on Facebook in a few minutes. Tune in here: http:// bit.ly/2mezQNV";;;;"872794766387404800";https://twitter.com/SenRubioPress/status/872794766387404800
;2017-06-07 19:05;66;180;"Congrats to @NASA ’s 12 #NewAstronauts , including @USArmy Major Frank Rubio of Miami, #Florida https:// twitter.com/nasa_astronaut s/status/872529850560638976 …";;@NASA @USArmy;#NewAstronauts #Florida;"872605340889751552";https://twitter.com/SenRubioPress/status/872605340889751552
;2017-06-07 17:47;42;71;"Productive meeting today with defense ministers of Lithuania, Latvia & Estonia on @NATO 's importance & strengthening deterrence. pic.twitter.com/hmanNyyPoT";;@NATO;;"872585779540840448";https://twitter.com/SenRubioPress/status/872585779540840448
;2017-06-07 17:35;25;48;"An important meeting with HealthSouth President Mark Tarr on how to improve healthcare quality for Floridians. pic.twitter.com/28l8jXzqRt";;;;"872582878684729344";https://twitter.com/SenRubioPress/status/872582878684729344
;2017-06-07 11:17;238;473;"If media reports are untrue, then it is unfair to the President. If media reports are true, then the American people deserve to know. pic.twitter.com/MDFQ5ltwFa";;;;"872487641144582144";https://twitter.com/SenRubioPress/status/872487641144582144
;2017-06-07 11:06;20;36;"Great meeting with #Florida students during their trip to #Washington . I wish them the best of luck in their studies! pic.twitter.com/XUXyUhgq8u";;;#Florida #Washington;"872484805803421696";https://twitter.com/SenRubioPress/status/872484805803421696
;2017-06-07 10:25;26;33;"Great to see @NASAKennedy Director @Astro_CabanaBob this morning. #Florida must continue to play a leading role in America's space program. pic.twitter.com/EzAP2zeuGS";;@NASAKennedy @Astro_CabanaBob;#Florida;"872474596922052610";https://twitter.com/SenRubioPress/status/872474596922052610
;2017-06-07 09:10;30;45;"About to step into an Intelligence Committee hearing on the Foreign Intelligence Surveillance Act. Watch here: http:// bit.ly/2sAQPcJ";;;;"872455837075349504";https://twitter.com/SenRubioPress/status/872455837075349504
;2017-06-07 08:59;94;442;"Very proud that Ambassador @NikkiHaley is focusing on reform and accountability of broken #UN Human Rights Council";;@NikkiHaley;#UN;"872453053961703424";https://twitter.com/SenRubioPress/status/872453053961703424
;2017-06-07 08:24;20;25;"NOW: Live on Facebook. Tune in here: http:// bit.ly/2mezQNV";;;;"872444214344380416";https://twitter.com/SenRubioPress/status/872444214344380416
