username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 13:55;5;17;"Our flag is symbol of liberty and justice wherever it flies around the world. #FlagDay pic.twitter.com/F1egJcyFh4";;;#FlagDay;"875064044486443008";https://twitter.com/SenatorEnzi/status/875064044486443008
;2017-06-14 13:13;7;18;"On #FlagDay we celebrate our country’s symbol that stands for freedom, liberty & justice. Every thread embodies those values. pic.twitter.com/5XjsWLV5n1";;;#FlagDay;"875053514178908160";https://twitter.com/SenatorEnzi/status/875053514178908160
;2017-06-14 08:48;7;27;"Our prayers this morning are with @SteveScalise , @CapitolPolice & other victims of this terrible attack at Congressional baseball practice.";;@SteveScalise @CapitolPolice;;"874987021625950210";https://twitter.com/SenatorEnzi/status/874987021625950210
;2017-06-13 16:32;9;29;"It is time we free Americans from the death tax. http:// bit.ly/2sydGIY pic.twitter.com/Gt42r13chZ";;;;"874741192461737984";https://twitter.com/SenatorEnzi/status/874741192461737984
;2017-06-13 16:01;5;5;"Congress must implement reductions in deficit spending & economic growth policies to put nation on a better path. http:// bit.ly/2sydGIY pic.twitter.com/Tuo0OpcBHT";;;;"874733372966293504";https://twitter.com/SenatorEnzi/status/874733372966293504
;2017-06-13 15:37;10;12;"Held a committee hearing today on the president’s fiscal year 2018 budget request with Treasury Secretary Mnuchin. http:// bit.ly/2sydGIY pic.twitter.com/7Li2qjjoyc";;;;"874727554850193408";https://twitter.com/SenatorEnzi/status/874727554850193408
;2017-06-12 17:55;1;9;"The chance to export beef to more than a billion people in China could make a real difference to the Cowboy state. http:// bit.ly/2rTW5tM pic.twitter.com/HiuIWg8uzn";;;;"874399666237997056";https://twitter.com/SenatorEnzi/status/874399666237997056
;2017-06-12 17:00;4;26;"After 13 years, China has ended its ban on U.S. beef imports. A real opportunity for Wyoming beef. http:// bit.ly/2rTW5tM pic.twitter.com/Y4ub9HgcqP";;;;"874385919821979651";https://twitter.com/SenatorEnzi/status/874385919821979651
;2017-06-09 15:30;2;4;"Being a page gives students a front row seat during Senate debates. Don’t miss out on this great opportunity. http:// bit.ly/2rGz3qf pic.twitter.com/qM0y2apFsM";;;;"873276178597130240";https://twitter.com/SenatorEnzi/status/873276178597130240
;2017-06-09 14:58;2;4;". @lionsclubs is 100 years old! Pleased to help celebrate this notable occasion with Senate resolution this week. http:// bit.ly/2rUKTLR pic.twitter.com/78UTM8VHAk";;@lionsclubs;;"873267961011765250";https://twitter.com/SenatorEnzi/status/873267961011765250
;2017-06-09 14:36;1;3;"As a Lion, I was pleased to cosponsor bipartisan resolution recognizing Lions Clubs International. http:// bit.ly/2rUKTLR pic.twitter.com/b5ZT06I9CB";;;;"873262422567526400";https://twitter.com/SenatorEnzi/status/873262422567526400
;2017-06-09 14:15;1;1;"Pleased to cosponsor a resolution to commemorate @LionsClubs 100th anniversary. http:// bit.ly/2rUKTLR";;@LionsClubs;;"873257189338644481";https://twitter.com/SenatorEnzi/status/873257189338644481
;2017-06-09 13:05;1;3;"New fed rule limits access to financial advice. We have a better way to help people plan for retirement. http:// bit.ly/2s8Rd5m";;;;"873239522246500352";https://twitter.com/SenatorEnzi/status/873239522246500352
;2017-06-09 12:46;3;3;"Misguided fiduciary rule will hurt the exact people it is designed to help. We have an alternative. http:// bit.ly/2s8Rd5m";;;;"873234741314682882";https://twitter.com/SenatorEnzi/status/873234741314682882
;2017-06-09 12:26;3;3;"The fiduciary rule will make it harder for people to get financial advice. I cosponsored legislation to fix this. http:// bit.ly/2s8Rd5m";;;;"873229800424566785";https://twitter.com/SenatorEnzi/status/873229800424566785
;2017-06-08 15:39;1;0;"If you’re going to be a high school junior & want a unique experience, apply to be a U.S. Senate page this fall. http:// bit.ly/2rGz3qf pic.twitter.com/oXKzZXYFvv";;;;"872915995131883523";https://twitter.com/SenatorEnzi/status/872915995131883523
;2017-06-08 13:45;3;2;"As Dept of Interior reviews federal plans on sage grouse, glad to hear Sec Zinke plans to work closely with states. http:// bit.ly/2sYkUST";;;;"872887203659218948";https://twitter.com/SenatorEnzi/status/872887203659218948
;2017-06-08 13:19;2;4;"I am pleased Interior Secretary Zinke recognizes states’ role in sage grouse management. http:// bit.ly/2sYkUST";;;;"872880764215586818";https://twitter.com/SenatorEnzi/status/872880764215586818
