username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 09:05;2;4;"As NAFTA renegotiations proceed, @SenatorCarper , @ChrisCoons & I urge @USTradeRep to strengthen poultry trade: https://www. isakson.senate.gov/public/index.c fm/2017/6/isakson-urges-administration-to-strengthen-poultry-trade-in-north-american-free-trade-agreement-renegotiation …";;@SenatorCarper @ChrisCoons @USTradeRep;;"875353643691778051";https://twitter.com/SenatorIsakson/status/875353643691778051
;2017-06-15 08:36;4;30;"My thoughts and prayers are with the loved ones of those lost in yesterday's terrible tragedy in SF & with the whole @UPS family. #UPSstrong";;@UPS;#UPSstrong;"875346239864307713";https://twitter.com/SenatorIsakson/status/875346239864307713
;2017-06-15 08:17;3;17;"GA’s 2018 Teacher of the Year John Tibbetts of @WorthSchools is a great economics teacher AND a @USArmy veteran: http://www. walb.com/story/35648476 /worth-co-teacher-named-georgia-teacher-of-the-year …";;@WorthSchools @USArmy;;"875341410135932929";https://twitter.com/SenatorIsakson/status/875341410135932929
;2017-06-14 15:38;7;33;"GA was named #1 state for business three times, in part because we lead in workforce development: http://www. georgia.org/competitive-ad vantages/workforce-division/programs-initiatives/ … . Via @WorkforceGA";;@WorkforceGA;#1;"875089963485982722";https://twitter.com/SenatorIsakson/status/875089963485982722
;2017-06-14 13:29;4;6;"At 2:30 p.m., @VAChair will hold a hearing to examine @DeptVetAffairs ' fiscal year 2018 budget request. Watch: https://www. veterans.senate.gov/hearings/fisca l-year-2018-budget-06142017 … .";;@VAChair @DeptVetAffairs;;"875057692691365889";https://twitter.com/SenatorIsakson/status/875057692691365889
;2017-06-14 13:16;3;3;"A new permanent exhibit, “Securing Our Freedom/Defining the Nation,” opens today at @infantrymuseum in Columbus, Ga. http://www. ledger-enquirer.com/news/local/art icle155823304.html …";;@infantrymuseum;;"875054378490765314";https://twitter.com/SenatorIsakson/status/875054378490765314
;2017-06-14 12:47;7;21;"Happy 242nd birthday to the @USArmy ! https://www. army.mil/1775/ pic.twitter.com/o0nHgi8o5x";;@USArmy;;"875046931487129601";https://twitter.com/SenatorIsakson/status/875046931487129601
;2017-06-14 12:31;9;18;"“...in honoring our flag, we honor the American men and women who have courageously fought and died for it...” - President Ronald Reagan pic.twitter.com/0EGLKdJoi6";;;;"875042930758742017";https://twitter.com/SenatorIsakson/status/875042930758742017
;2017-06-14 07:30;51;150;"Praying for @SteveScalise , Capitol Police, staffers, first responders involved in terrible events this morning.";;@SteveScalise;;"874967239878995968";https://twitter.com/SenatorIsakson/status/874967239878995968
;2017-06-13 16:42;3;19;"Follow us at @VAChair for the latest news from the Senate on our work for our veterans. https:// twitter.com/vachair/status /874728429408706561 …";;@VAChair;;"874743729684443136";https://twitter.com/SenatorIsakson/status/874743729684443136
;2017-06-13 16:10;3;23;"Appreciate House support from @SpeakerRyan , @DrPhilRoe , @RepTimWalz on our @DeptVetAffairs #VAaccountability . Next: @POTUS will sign!";;@SpeakerRyan @DrPhilRoe @RepTimWalz @DeptVetAffairs @POTUS;#VAaccountability;"874735715317407744";https://twitter.com/SenatorIsakson/status/874735715317407744
;2017-06-13 16:08;3;19;"Isakson Applauds House Passage of VA Accountability Measure: https://www. isakson.senate.gov/public/index.c fm?p=news-releases&id=D9175F1F-5B9D-489D-AC7B-8B89DE30E897 …";;;;"874735173652402176";https://twitter.com/SenatorIsakson/status/874735173652402176
;2017-06-13 15:27;3;10;"Here we go! http:// houselive.gov/MediaPlayer.ph p?view_id=23&event_id=292 … https:// twitter.com/SenatorIsakson /status/874644396268019715 …";;;;"874724861586886657";https://twitter.com/SenatorIsakson/status/874724861586886657
