username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-01-03 10:39;19;65;"It has been an honor to serve Illinois in the Senate. For continued updates please follow @MarkKirk";;@MarkKirk;;"816323180335865856";https://twitter.com/SenatorKirk/status/816323180335865856
;2016-12-23 15:52;27;64;"Disappointed that during the admin’s last month in office they are breaking with the bipartisan tradition of standing with Israel at the UN";;;;"812415613565927425";https://twitter.com/SenatorKirk/status/812415613565927425
;2016-12-23 11:58;64;118;"I emphatically urge outgoing Obama Admin to respect decades-long US policy & veto today's anti-Israel measure pending in UN Security Council";;;;"812356797478514688";https://twitter.com/SenatorKirk/status/812356797478514688
;2016-12-17 11:40;3;11;"A video I made on my last deployment to Afghanistan as a reservist https://www. youtube.com/watch?v=pQJOTj SULck&sns=em …";;;;"810177841157591040";https://twitter.com/SenatorKirk/status/810177841157591040
;2016-12-08 15:56;8;47;"John Glenn served his country as a Marine, astronaut & Senator. My thoughts are w/ the Glenn family as we mourn the loss of an American hero";;;;"806980673848352769";https://twitter.com/SenatorKirk/status/806980673848352769
;2016-12-07 07:47;28;60;"Today we honor the memory of the men and women who lost their lives 75 years ago at #PearlHarbor & extend a thank you to all those who serve pic.twitter.com/rE4yTgmAcs";;;#PearlHarbor;"806495423603077120";https://twitter.com/SenatorKirk/status/806495423603077120
;2016-12-06 16:50;8;19;"Thx @JewishWarVets for 120 yrs fighting against prejudice & honoring Jewish service members, vets & their families. http:// bit.ly/2gPCkhN";;@JewishWarVets;;"806269591890644993";https://twitter.com/SenatorKirk/status/806269591890644993
;2016-12-06 09:40;11;29;"Thank you for the kind words @SenateMajLdr - It has been the honor of my life to serve Illinois in Congress https:// twitter.com/SenateMajLdr/s tatus/806157315590209537 …";;@SenateMajLdr;;"806161313000984577";https://twitter.com/SenatorKirk/status/806161313000984577
;2016-12-02 13:54;9;8;"@POTUS will sign Iran Sanctions Extension Act http://www. reuters.com/article/us-ira n-nuclear-usa-whitehouse-idUSKBN13R2CK …";;@POTUS;;"804775663186092032";https://twitter.com/SenatorKirk/status/804775663186092032
;2016-12-02 13:49;4;22;"After 6 years of hard work we have convinced the President that sanctions are absolutely essential for leverage over Iran";;;;"804774608679436288";https://twitter.com/SenatorKirk/status/804774608679436288
;2016-11-29 16:48;4;19;"Lone wolf attacks pose a threat to our safety. We must understand what inspired the #OSU attacker to help prevent future attacks.";;;#OSU;"803732274651037697";https://twitter.com/SenatorKirk/status/803732274651037697
;2016-11-26 21:37;20;63;"I encourage our Administration to stand with the Cuban people and take steps to ensure Castro's reign of oppression and fear ends with him.";;;;"802718077444038657";https://twitter.com/SenatorKirk/status/802718077444038657
;2016-11-26 21:37;10;29;"The passing of Fidel Castro presents an opportunity for Cuba to usher in a new era of freedom and human dignity.";;;;"802717898296926209";https://twitter.com/SenatorKirk/status/802717898296926209
;2016-11-19 11:56;9;23;"Today we mourn with @RepDannyDavis and his family following the tragic death of his grandson, Jovan. http:// bit.ly/2gv7sEG";;@RepDannyDavis;;"800035023130861570";https://twitter.com/SenatorKirk/status/800035023130861570
;2016-11-18 21:15;6;10;"Bolingbrook man sentenced for ISIS ties reminds us the US must be vigilant in battle against ISIS at home & abroad. http:// bit.ly/2gssiF1";;;;"799813221058158592";https://twitter.com/SenatorKirk/status/799813221058158592
;2016-11-18 20:35;4;9;"Congrats @ArchbishopBlase on your well-deserved elevation to Cardinal. Thanks for your commitment to #Chi community. http:// bit.ly/2g3Yzgg";;@ArchbishopBlase;#Chi;"799803132511481856";https://twitter.com/SenatorKirk/status/799803132511481856
;2016-11-17 15:32;13;34;"Thank you to @senrobportman for the @GLBC_Cleveland beer - It tastes extra sweet after the #Cubs World Series victory pic.twitter.com/RCySFlJ3ve";;@senrobportman @GLBC_Cleveland;#Cubs;"799364665063055360";https://twitter.com/SenatorKirk/status/799364665063055360
;2016-11-17 13:52;20;60;"Got a nice call today from Israeli PM @Netanyahu . Told him I'll keep finding ways to strengthen US-Israel alliance after I leave the Senate.";;@Netanyahu;;"799339378527047680";https://twitter.com/SenatorKirk/status/799339378527047680
;2016-11-15 09:07;6;21;"Congratulations @TamarManasseh on being named a @ChicagoMag Chicagoan of the Year! Thank u for your work to end violence in our communities pic.twitter.com/Zb4LcTgbrG";;@TamarManasseh @ChicagoMag;;"798542900481040385";https://twitter.com/SenatorKirk/status/798542900481040385
;2016-11-15 08:25;3;36;"My deepest condolences to the family of US soldier and IL native Pfc. Iubelt, who made the ultimate sacrifice for our nation in Afghanistan";;;;"798532420681269252";https://twitter.com/SenatorKirk/status/798532420681269252
;2016-11-11 16:40;29;243;"Truman said, "If you want a friend in Washington, get a dog." Meet the newest member of Team Kirk, Sweet Pea. pic.twitter.com/zueffR14ne";;;;"797207300796772352";https://twitter.com/SenatorKirk/status/797207300796772352
;2016-11-11 10:55;9;43;"Today we honor the service & sacrifice of the brave men & women who wore the uniform to defend our freedom. Thank you #IL Vets. #VeteransDay pic.twitter.com/0wSK3KO5qB";;;#IL #VeteransDay;"797120474278928384";https://twitter.com/SenatorKirk/status/797120474278928384
;2016-11-05 08:51;12;43;"Check out my video from yesterday’s parade for the World Champion @cubs #GoCubsGo pic.twitter.com/obJT7jkPVj";;@cubs;#GoCubsGo;"794899839750389764";https://twitter.com/SenatorKirk/status/794899839750389764
;2016-11-04 16:35;3;42;"It has been 0 years since @Cubs last won a #WorldSeries . Happy to celebrate w/ the great fans of #IL . #GoCubsGo #FlyTheW pic.twitter.com/DOEdY19vlV";;@Cubs;#WorldSeries #IL #GoCubsGo #FlyTheW;"794654290182807552";https://twitter.com/SenatorKirk/status/794654290182807552
;2016-11-03 10:01;5;16;"Can’t wait to enjoy a @GLBC_Cleveland beer from @senrobportman soon. #GoCubsGo #WorldSeries #FlyTheW";;@GLBC_Cleveland @senrobportman;#GoCubsGo #WorldSeries #FlyTheW;"794192740405968896";https://twitter.com/SenatorKirk/status/794192740405968896
;2016-11-03 00:34;59;75;"Cubs win! Go Crazy Go Crazy Go Crazy Congrats to the World Champion @Cubs pic.twitter.com/ADdnktC0T1";;@Cubs;;"794050112615895040";https://twitter.com/SenatorKirk/status/794050112615895040
;2016-11-02 23:49;26;75;"#FlyTheW #GoCubsGo pic.twitter.com/61d0ox2Iw0";;;#FlyTheW #GoCubsGo;"794038750435246081";https://twitter.com/SenatorKirk/status/794038750435246081
;2016-11-02 17:50;13;34;"It all comes down to this #Game7 #GoCubsGo pic.twitter.com/G5FXyFm4Ii";;;#Game7 #GoCubsGo;"793948302341390336";https://twitter.com/SenatorKirk/status/793948302341390336
;2016-11-02 13:00;1;2;"Need help navigating fed. gov red tape? My staff will be in #RockIslandIL tomorrow, 11/3 11a-2p to help w/ #SocSec , #VA & other agencies.";;;#RockIslandIL #SocSec #VA;"793875332663160832";https://twitter.com/SenatorKirk/status/793875332663160832
;2016-11-01 22:42;11;42;"#GoCubsGo #FlyTheW pic.twitter.com/bYLdIZfhKX";;;#GoCubsGo #FlyTheW;"793659579368341504";https://twitter.com/SenatorKirk/status/793659579368341504
;2016-10-31 16:25;8;7;"#VA exec responsible for reconstruction of Denver facility that was hundreds of millions over budget received nearly $20,000 in bonuses.";;;#VA;"793202137354280960";https://twitter.com/SenatorKirk/status/793202137354280960
;2016-10-31 16:15;54;42;"Senate must pass @SenRubioPress bill S.1082 to ban bonus payments to #VA execs. We must make sure money is going to care for our vets.";;@SenRubioPress;#VA;"793199644582883329";https://twitter.com/SenatorKirk/status/793199644582883329
;2016-10-31 15:46;9;17;"Bad #VA execs among those that got bonus last year. Bureaucrats should not be rewarded for continuing VA culture of corruption. pic.twitter.com/ELjDTIPEvO";;;#VA;"793192532175888384";https://twitter.com/SenatorKirk/status/793192532175888384
;2016-10-31 15:40;15;12;"300+ Senior VA execs received $3.3 mil. in bonuses last year. This money should be for vets care not bureaucrats. http:// usat.ly/2ePOwPf";;;;"793190813563879425";https://twitter.com/SenatorKirk/status/793190813563879425
;2016-10-31 15:30;3;5;"I continue to call for #VA to hold corrupt bureaucrats accountable for mistreatment of vets. Our heroes deserve more http:// bit.ly/2dy4E8A";;;#VA;"793188316464111616";https://twitter.com/SenatorKirk/status/793188316464111616
;2016-10-31 15:20;12;9;"Over 500,000 veterans wait more than 30 days for appointments at #VA hospitals yet $177 mil. handed out in bonuses. http:// usat.ly/2ePOwPf";;;#VA;"793185803903971328";https://twitter.com/SenatorKirk/status/793185803903971328
;2016-10-30 22:53;11;41;"#GoCubsGo #FlyTheW pic.twitter.com/z9jgDZbqN8";;;#GoCubsGo #FlyTheW;"792937486792077313";https://twitter.com/SenatorKirk/status/792937486792077313
;2016-10-28 18:30;2;25;"Tonight, the #WorldSeries comes to Wrigley for the first time since 1945. #GoCubsGo pic.twitter.com/CpbYuEvfst";;;#WorldSeries #GoCubsGo;"792146430458671104";https://twitter.com/SenatorKirk/status/792146430458671104
;2016-10-26 22:23;15;56;"Congrats @Cubs on tying the #WorldSeries tonight 1-1. #FlyTheW pic.twitter.com/q54iV2uNMH";;@Cubs;#WorldSeries #FlyTheW;"791480369358987264";https://twitter.com/SenatorKirk/status/791480369358987264
;2016-10-26 18:40;7;25;"Our vets make great sacrifices to protect the US & shouldn't be penalized because bureaucrats didn't follow the law. http:// bit.ly/2ecoi5O";;;;"791424180218507264";https://twitter.com/SenatorKirk/status/791424180218507264
;2016-10-26 18:35;11;22;"Following my calls for intervention, Sec. Carter orders Pentagon to suspend efforts to reclaim reenlistment bonuses. http:// lat.ms/2fg70Je";;;;"791422936867409920";https://twitter.com/SenatorKirk/status/791422936867409920
;2016-10-26 18:30;11;17;"US must stand w/ Israel & suspend ties w/ UNESCO which continues to adopt one-sided, anti-Israel resolutions. http:// bit.ly/2eGSMjI";;;;"791421657428598784";https://twitter.com/SenatorKirk/status/791421657428598784
;2016-10-24 17:25;6;20;"I look forward to enjoying a Great Lakes beer from @senrobportman after the @Cubs #flytheW . #WorldSeries http:// bit.ly/2ehVpqI";;@senrobportman @Cubs;#flytheW #WorldSeries;"790680696675336192";https://twitter.com/SenatorKirk/status/790680696675336192
;2016-10-24 16:20;21;27;"My bill prevents American collectors from inadvertently funding #ISIS through black market art trading: http:// bit.ly/2ehFQ1T";;;#ISIS;"790664169229987840";https://twitter.com/SenatorKirk/status/790664169229987840
;2016-10-24 16:08;15;20;"This bill will create a barrier to ISIS’s antiquity trade in the US & ensure we have the tools to combat one of ISIS’s vital revenue streams pic.twitter.com/U94zkjmJ4u";;;;"790661256252456960";https://twitter.com/SenatorKirk/status/790661256252456960
;2016-10-24 15:56;10;14;"Panelist Tom Creal today on how to defeat ISIS: “Bankrupt the enemy, we win the war.” We must combat the black market antiquities trade. pic.twitter.com/fv9P6ifjA0";;;;"790658131378499585";https://twitter.com/SenatorKirk/status/790658131378499585
;2016-10-24 13:45;6;14;"These vets & their families have sacrificed enough and should not have to pay for mistakes of government bureaucrats https://www. kirk.senate.gov/?p=press_relea se&id=1927 …";;;;"790625155890442241";https://twitter.com/SenatorKirk/status/790625155890442241
;2016-10-24 13:11;6;9;"It is a disgrace that now, a decade later, some veterans are being forced to repay bonuses paid and promised https://www. kirk.senate.gov/?p=press_relea se&id=1927 …";;;;"790616817727315968";https://twitter.com/SenatorKirk/status/790616817727315968
;2016-10-23 13:00;1;3;"My staff will be @idapubliclibrary tomorrow 10/24 1p-4 to help with #VA , #SocSec , #Medicare & other fed. gov. red tape.";;@idapubliclibrary;#VA #SocSec #Medicare;"790251456754429953";https://twitter.com/SenatorKirk/status/790251456754429953
;2016-10-23 11:18;2;19;"Prayers of recovery for former Senator Jim Bunning - I wish you luck in your rehab #NeverGiveUp https://www. google.com/amp/www.philly .com/philly/blogs/sports/phillies/Jim-Bunning-recovering-after-suffering-a-stroke.html%3famphtml=y?client=safari …";;;#NeverGiveUp;"790225880358543361";https://twitter.com/SenatorKirk/status/790225880358543361
;2016-10-22 21:51;24;90;"Go Crazy Go Crazy Go Crazy #FlyTheW #GoCubsGo pic.twitter.com/rWaP42CauR";;;#FlyTheW #GoCubsGo;"790022875826692096";https://twitter.com/SenatorKirk/status/790022875826692096
;2016-10-21 19:09;26;54;"My deepest sympathies to the family of US soldier and IL native Sgt. Riney, who made the ultimate sacrifice for our nation in Afghanistan.";;;;"789619753199501312";https://twitter.com/SenatorKirk/status/789619753199501312
;2016-10-21 15:50;8;10;"VA officials who mistreat our vets & put bureaucracy ahead of vet care must be held accountable for their actions. http:// bit.ly/2eoRnhL";;;;"789569451578445824";https://twitter.com/SenatorKirk/status/789569451578445824
;2016-10-21 15:40;6;1;"Hines chief responsible for wait time manipulation was given 2 weeks leave- less time than vets had to wait for care http:// wapo.st/2dK5SL1";;;;"789566940436008960";https://twitter.com/SenatorKirk/status/789566940436008960
;2016-10-21 15:33;8;15;"#HinesVA is failing our vets. Paul Rodriguez was in several roadside explosions & consistently waits months for treatment for PTSD & TBI. pic.twitter.com/khJGfo8Gst";;;#HinesVA;"789565363059036162";https://twitter.com/SenatorKirk/status/789565363059036162
;2016-10-21 14:16;2;2;"ICYMI: USA Today Op-Ed - Foreign Hacks Attack Our Democracy https://www. kirk.senate.gov/?p=press_relea se&id=1925 …";;;;"789546023039434756";https://twitter.com/SenatorKirk/status/789546023039434756
;2016-10-20 23:34;5;39;"Series is coming back to Chicago #GoCubsGo #FlyTheW pic.twitter.com/MLqEJ7cWrY";;;#GoCubsGo #FlyTheW;"789323886206808064";https://twitter.com/SenatorKirk/status/789323886206808064
;2016-10-19 23:10;17;57;"#GoCubsGo #FlyTheW pic.twitter.com/OOBkXBfmBu";;;#GoCubsGo #FlyTheW;"788955651028443137";https://twitter.com/SenatorKirk/status/788955651028443137
;2016-10-18 19:01;6;9;"Another example of the #VA lying to cover up inadequate veterans care - Veterans deserve a real change in leadership http://www. usatoday.com/story/news/pol itics/2016/10/18/veterans-affairs-managers-transfer-new-leadership-medical-centers/91965888/ …";;;#VA;"788530545496092672";https://twitter.com/SenatorKirk/status/788530545496092672
;2016-10-18 18:09;3;1;"@DeptVetAffairs leadership needs real change, not a bureaucratic 'shuffle' - Managers responsible for mistreatment of #vets need to be fired";;@DeptVetAffairs;#vets;"788517371120082944";https://twitter.com/SenatorKirk/status/788517371120082944
;2016-10-18 17:36;8;7;"Moving current ineffective managers into new positions @DeptVetAffairs doesn't provide better conditions for vets http://www. usatoday.com/story/news/pol itics/2016/10/18/veterans-affairs-managers-transfer-new-leadership-medical-centers/91965888/ …";;@DeptVetAffairs;;"788509191707168769";https://twitter.com/SenatorKirk/status/788509191707168769
