username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 12:48;141;472;"I pray that God would show us how to respond to this tragedy and come together as a nation. #Alexandria pic.twitter.com/hT4hy3igUB";;;#Alexandria;"875047312657174529";https://twitter.com/SenatorLankford/status/875047312657174529
;2017-06-14 11:37;18;52;"I will be speaking on the floor shortly on the shooting in #Alexandria & bravery of our #capitolpolice . Tune in → https://www. c-span.org/networks/?chan nel=c-span-2 …";;;#Alexandria #capitolpolice;"875029450597052416";https://twitter.com/SenatorLankford/status/875029450597052416
;2017-06-14 07:17;237;606;"Please join me in praying for @SteveScalise , congressional staffers & Capitol Hill police that were shot in Alexandria. This is so terrible.";;@SteveScalise;;"874963942514319360";https://twitter.com/SenatorLankford/status/874963942514319360
;2017-06-13 16:04;51;169;"ICYMI: Here is my Q&A from Senate Intel #SessionsHearing pic.twitter.com/w7iNAYhgJn";;;#SessionsHearing;"874734367456858112";https://twitter.com/SenatorLankford/status/874734367456858112
;2017-06-13 13:25;11;51;"Open #SessionsHearing at Senate Intel starting in 5 min. Watch here → https://www. intelligence.senate.gov/hearings/open- hearing-open-testimony-attorney-general-united-states-jeff-sessions …";;;#SessionsHearing;"874694214692597761";https://twitter.com/SenatorLankford/status/874694214692597761
;2017-06-13 12:30;90;289;"Introduced a bill w/ @CoryBooker to stop taxpayer money from being used to build sports stadiums. #FederalFumbles http://www. espn.com/espn/story/_/i d/19622965/senators-introduce-bill-prohibit-teams-using-municipal-bonds-fund-stadiums …";;@CoryBooker;#FederalFumbles;"874680353046372352";https://twitter.com/SenatorLankford/status/874680353046372352
;2017-06-13 11:44;19;60;"Talked #SessionsHearing and #religiousfreedom on @AmericaNewsroom this morning. WATCH: pic.twitter.com/OoVHlwfzp8";;@AmericaNewsroom;#SessionsHearing #religiousfreedom;"874668735205965824";https://twitter.com/SenatorLankford/status/874668735205965824
;2017-06-12 17:55;11;46;"I congratulate Brian Kuester on his nomination to be the US Attorney for the Eastern District of #Oklahoma https://www. lankford.senate.gov/news/press-rel eases/senators-lankford-inhofe-applaud-nomination-of-brian-j-kuester-for-us-attorney-for-the-eastern-district-of-oklahoma …";;;#Oklahoma;"874399735087599616";https://twitter.com/SenatorLankford/status/874399735087599616
;2017-06-12 10:18;15;68;"Looking forward to having AG Jeff Sessions in an open hearing before Senate Intel tomorrow afternoon → https:// twitter.com/NBCNews/status /874283467495919616 …";;;;"874284727083180033";https://twitter.com/SenatorLankford/status/874284727083180033
;2017-06-11 13:49;8;23;"My full interview on @FaceTheNation with @jdickerson this morning → https://www. youtube.com/watch?v=3d2xVt PPAxI …";;@FaceTheNation @jdickerson;;"873975553891631108";https://twitter.com/SenatorLankford/status/873975553891631108
