username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-01-15 20:01;66;238;"My dear friend Tim Mitchell was an institution. I will always remember all the good he did for me and the country. https://www. facebook.com/SenatorReid/ph otos/a.371977089484247.109251.360249323990357/1621663447848932/?type=3&theater …";;;;"820813082301698048";https://twitter.com/SenatorReid/status/820813082301698048
;2016-12-30 15:32;167;491;"Jan Chamberlin is a person of good conscience, and I support her. http://www. sltrib.com/lifestyle/fait h/4765449-155/nevadas-harry-reid-sings-praises-of …";;;;"814947256285745153";https://twitter.com/SenatorReid/status/814947256285745153
;2016-12-15 08:57;64;195;"'Nevada’s unemployment rate hits nine-year low in November' http:// lasvegassun.com/news/2016/dec/ 14/nevadas-unemployment-rate-hits-nine-year-low-in-no/ …";;;;"809412167929884672";https://twitter.com/SenatorReid/status/809412167929884672
;2016-12-10 15:41;13;68;"I don't. http:// mobile.nytimes.com/2016/12/08/opi nion/harry-reid-farewell-fair-senate.html …";;;;"807701842641743873";https://twitter.com/SenatorReid/status/807701842641743873
;2016-12-10 13:27;16;142;"Thank you Mia. Did you know I have a grandchild who was named after you?";;;;"807668148514263040";https://twitter.com/SenatorReid/status/807668148514263040
;2016-12-08 15:01;87;305;"I’m happy to be joined by my friends and colleagues for a special event. You can watch it live here: https://www. youtube.com/watch?v=sU69T0 1ORds …";;;;"806966991286374404";https://twitter.com/SenatorReid/status/806966991286374404
;2016-12-08 08:31;108;376;"Today I deliver my farewell address to the Senate. Watch it live here: http:// floor.senate.gov/MediaPlayer.ph p?view_id=2&event_id=1143 …";;;;"806868928035254272";https://twitter.com/SenatorReid/status/806868928035254272
;2016-12-07 14:42;609;2547;"Joe Biden’s life is the stuff of which movies are made. He's had a stellar career in the Senate and as our VP. Proud to call Joe my friend. pic.twitter.com/07NnTX5upu";;;;"806599890990223361";https://twitter.com/SenatorReid/status/806599890990223361
;2016-12-07 09:33;176;623;"I cannot think of a better person with which to leave public service. Thank you @POTUS for being who you are. https://www. facebook.com/SenatorReid/vi deos/1573039432711334/ …";;@POTUS;;"806521959651614725";https://twitter.com/SenatorReid/status/806521959651614725
;2016-12-05 14:19;277;1084;"I admire those who locked arms with the Standing Rock Sioux. Appropriately enough, these people called themselves ‘water protectors.’";;;;"805869228129742849";https://twitter.com/SenatorReid/status/805869228129742849
;2016-12-05 14:15;161;682;"Yesterday in bitter cold of North Dakota December, there was a celebration at Standing Rock. I'm glad Army Corps made the right decision.";;;;"805868199380217856";https://twitter.com/SenatorReid/status/805868199380217856
;2016-12-01 09:21;105;536;"We’ll all miss @SenatorBarb 's sharp wit. She loved her job and she did it extremely well. Thanks for your friendship. pic.twitter.com/NR6T0ZUhru";;@SenatorBarb;;"804344573287952386";https://twitter.com/SenatorReid/status/804344573287952386
;2016-11-30 09:48;202;1096;"I have three brothers and @SenatorBoxer is the sister I've never had. Barbara, thank you for your wonderful service. pic.twitter.com/XOtely77LA";;@SenatorBoxer;;"803988989476818944";https://twitter.com/SenatorReid/status/803988989476818944
;2016-11-29 11:24;68;157;""Workers fight for a $15 minimum wage on the Las Vegas Strip" http://www. ktnv.com/news/las-vegas -workers-fight-for-a-15-minimum-wage …";;;;"803650921624379392";https://twitter.com/SenatorReid/status/803650921624379392
;2016-11-29 09:12;85;481;"I'm proud of the students who courageously did this. Now it's time for the university to follow and get rid of the mascot. https:// twitter.com/LasVegasSun/st atus/803414176810995712 …";;;;"803617737662746624";https://twitter.com/SenatorReid/status/803617737662746624
;2016-11-28 14:19;662;1417;"Violence against Standing Rock Sioux is a tragic example of failure to respect long-standing grievances for how they've been treated.";;;;"803332594561589249";https://twitter.com/SenatorReid/status/803332594561589249
;2016-11-28 14:18;1537;2719;"The Standing Rock protest has everything to do with a history of broken promises and institutionalized disregard for rights of their land.";;;;"803332229925654529";https://twitter.com/SenatorReid/status/803332229925654529
;2016-11-28 14:13;839;1481;"Can the Standing Rock Sioux depend on a man who is financially invested in the Dakota Access pipeline? Probably not.";;;;"803330998310207488";https://twitter.com/SenatorReid/status/803330998310207488
;2016-11-28 14:10;934;1690;"I join with the Standing Rock Sioux in calling for an alternate route for the pipeline’s completion.";;;;"803330184120324096";https://twitter.com/SenatorReid/status/803330184120324096
;2016-11-17 09:09;477;760;"'Hateful acts are on the rise, and it’s Trump’s responsibility to take a stand' https://www. washingtonpost.com/opinions/hatef ul-acts-are-on-the-rise-and-its-trumps-responsibility-to-take-a-stand/2016/11/16/412bccd8-ab6e-11e6-a31b-4b6397e625d0_story.html …";;;;"799268217805910016";https://twitter.com/SenatorReid/status/799268217805910016
;2016-11-17 08:36;343;539;"There have been sickening acts of hate all across this country. We need Mr. Trump to lead. I hope he will. https://www. splcenter.org/hatewatch/2016 /11/15/update-more-400-incidents-hateful-harassment-and-intimidation-election …";;;;"799259947397771265";https://twitter.com/SenatorReid/status/799259947397771265
;2016-11-17 08:35;752;1855;"2 days ago, I called upon Mr. Trump to rise to the dignity of his office. I'm disappointed to say he hasn't so far.";;;;"799259581096542208";https://twitter.com/SenatorReid/status/799259581096542208
;2016-11-16 18:37;323;992;"Since ACA passage, women have been saying #thanksbirthcontrol without out-of-pocket costs. I hope Republicans won't take this benefit away.";;;#thanksbirthcontrol;"799048797519220737";https://twitter.com/SenatorReid/status/799048797519220737
;2016-11-16 13:45;182;601;"Nevada also elected two new House Dems -- Ruben Kihuen and Jacky Rosen. Along with Dina Titus, we'll have a great congressional delegation.";;;;"798975300499632128";https://twitter.com/SenatorReid/status/798975300499632128
;2016-11-16 13:41;343;1244;"Nevada made history by electing the nation’s first Latina Senator, Catherine Cortez Masto. She's going to be a wonderful senator.";;;;"798974404902285312";https://twitter.com/SenatorReid/status/798974404902285312
;2016-11-16 13:40;724;2036;"Nevada approved a ballot measure to expand background checks to all gun sales. The NRA tried to stop it and failed.";;;;"798974061862940672";https://twitter.com/SenatorReid/status/798974061862940672
;2016-11-16 13:38;232;871;"The Koch Brothers came to Nevada and thought they could buy the state. All their untold wealth could not affect what we built there.";;;;"798973651135578112";https://twitter.com/SenatorReid/status/798973651135578112
;2016-11-15 15:20;17572;36322;"I say to Donald Trump: take responsibility. Rise to the dignity of the office instead of hiding behind your Twitter account. Fire Bannon.";;;;"798636814345113601";https://twitter.com/SenatorReid/status/798636814345113601
;2016-11-15 15:19;1913;3564;"By placing a champion of white supremacists a step away from Oval Office, what message does Trump send to America? Not a message of healing.";;;;"798636575764512769";https://twitter.com/SenatorReid/status/798636575764512769
;2016-11-15 15:18;1559;3132;"Healing the wounds Trump inflicted will take more than words. Talk is cheap, and tweets are cheaper.";;;;"798636212621869056";https://twitter.com/SenatorReid/status/798636212621869056
;2016-11-15 15:15;612;1301;"Many of our fellow Americans believe that Trump’s election validates the kind of bullying, aggressive behavior Trump exhibited daily.";;;;"798635646982193152";https://twitter.com/SenatorReid/status/798635646982193152
