username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 09:10;2;3;"Talking to @kidnewsradio now about #newsoftheday . Tune in: http:// 590kid.com";;@kidnewsradio;#newsoftheday;"875354738535133184";https://twitter.com/SenatorRisch/status/875354738535133184
;2017-06-14 14:05;3;5;"Chairing a @SmallBizCmte hearing at 3:00pm ET today on #taxreform . Tune in: http://www. SBC.senate.gov .";;@SmallBizCmte;#taxreform;"875066646322348033";https://twitter.com/SenatorRisch/status/875066646322348033
;2017-06-14 12:47;1;10;"I echo my colleague, @MikeCrapo . We are grateful to those who serve & their family members. @USArmy #ArmyBirthday https:// twitter.com/MikeCrapo/stat us/875021599409397760 …";;@MikeCrapo @USArmy;#ArmyBirthday;"875047090329669633";https://twitter.com/SenatorRisch/status/875047090329669633
;2017-06-14 08:36;19;52;"Vicki's and my thoughts and prayers are with the injured and their families.";;;;"874983866087469056";https://twitter.com/SenatorRisch/status/874983866087469056
;2017-06-13 14:17;3;7;"Speaking at #semiconductor mtg: “As building blocks of modern technology, semiconductors have played key role in improving American lives.” pic.twitter.com/MSHAfZeEiy";;;#semiconductor;"874707305996136448";https://twitter.com/SenatorRisch/status/874707305996136448
;2017-06-13 12:14;4;7;"Vicki & I were glad to welcome #Boise students to DC & show them around their @uscapitol . #IdahoinDC pic.twitter.com/4dciLVn6OZ";;@uscapitol;#Boise #IdahoinDC;"874676296869138432";https://twitter.com/SenatorRisch/status/874676296869138432
;2017-06-12 16:18;24;64;"Great news about China lifting US beef ban. Idaho sends $46M worth of ag products to China, but this will really BEEF UP that number!";;;;"874375303086342144";https://twitter.com/SenatorRisch/status/874375303086342144
;2017-06-12 15:43;5;16;".@Innovativeeconomy ranks Idaho as 9th most dynamic state when it comes to business. So proud of Idaho's leadership! http:// boisestatepublicradio.org/post/group-ran ks-idaho-high-scale-business-dynamism#stream/0 …";;@Innovativeeconomy;#stream;"874366506846519297";https://twitter.com/SenatorRisch/status/874366506846519297
;2017-06-08 18:22;17;36;"Speaking with @marthamaccallum NOW on @FoxNews . Tune in. pic.twitter.com/hfG3mdSNXc";;@marthamaccallum @FoxNews;;"872957043858165760";https://twitter.com/SenatorRisch/status/872957043858165760
;2017-06-08 17:14;10;16;"Live NOW on @CNNSitRoom w/ @wolfblitzer to discuss the #ComeyHearing pic.twitter.com/uabqJzxnJx";;@CNNSitRoom @wolfblitzer;#ComeyHearing;"872939892820541442";https://twitter.com/SenatorRisch/status/872939892820541442
;2017-06-08 15:04;6;11;"Taping an interview for @KMVTNews re: #ComeyHearing . Tune in to tonight's news to watch. pic.twitter.com/43P3PoLH7a";;@KMVTNews;#ComeyHearing;"872907258191106048";https://twitter.com/SenatorRisch/status/872907258191106048
;2017-06-08 12:49;14;65;"From #TeamRisch : Join us in wishing our favorite couple a happy 49th wedding anniversary! pic.twitter.com/rLBFd6cl6J";;;#TeamRisch;"872873197896691715";https://twitter.com/SenatorRisch/status/872873197896691715
;2017-06-08 09:27;7;6;"My recent interview on @FoxNews about #ComeyHearing : https://www. youtube.com/watch?v=hAWY_x smeGY&feature=youtu.be …";;@FoxNews;#ComeyHearing;"872822349841694720";https://twitter.com/SenatorRisch/status/872822349841694720
;2017-06-06 13:32;4;13;"#GoVandals https:// twitter.com/IdahoPubRadio/ status/871815604612718592 …";;;#GoVandals;"872159206102753280";https://twitter.com/SenatorRisch/status/872159206102753280
;2017-06-05 12:27;1;1;"Glad to have you in #Idaho !";;;#Idaho;"871780654832287744";https://twitter.com/SenatorRisch/status/871780654832287744
;2017-06-02 17:03;8;21;"Glad to welcome @SecretaryZinke & @SecretarySonny to Idaho. Toured @BLMNIFC & had substantive convo abt better preventing/managing wildfires https:// twitter.com/usda/status/87 0716324389019648 …";;@SecretaryZinke @SecretarySonny @BLMNIFC;;"870762771528503296";https://twitter.com/SenatorRisch/status/870762771528503296
;2017-05-29 17:48;7;25;"Remembering & honoring the heroes who have laid down their lives in service to our country & the families they left behind. #memorialday";;;#memorialday;"869324633354514432";https://twitter.com/SenatorRisch/status/869324633354514432
;2017-05-25 13:23;6;7;"Thx to @SenatorLankford for standing up for small biz today on #senatefloor . Proud to sponsor real reg. reform legislation.";;@SenatorLankford;#senatefloor;"867808361655312384";https://twitter.com/SenatorRisch/status/867808361655312384
;2017-05-24 14:43;4;4;"Proud that @SmallBizCmte unanimously approved nominee for @SBAgov Deputy Administrator. Look forward to her confirmation by the full Senate.";;@SmallBizCmte @SBAgov;;"867466007371239424";https://twitter.com/SenatorRisch/status/867466007371239424
;2017-05-18 14:42;6;7;"Grateful to @ButchOtter & @LtGovBradLittle for working hard to ensure #smallbiz can thrive in Idaho. Congrats on this outstanding ranking. https:// twitter.com/SmallBizCmte/s tatus/865260483418390528 …";;@ButchOtter @LtGovBradLittle;#smallbiz;"865291568693084162";https://twitter.com/SenatorRisch/status/865291568693084162
