username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 10:03;4;14;"Here is my statement on this morning's shooting incident https:// knight.house.gov/news/documents ingle.aspx?DocumentID=1112 …";;;;"875005667375034368";https://twitter.com/SteveKnight25/status/875005667375034368
;2017-06-14 08:14;4;31;"Praying for @SteveScalise , the aide, and USCP officers shot this morning. Glad to hear everyone is stable and hopeful for a speedy recovery.";;@SteveScalise;;"874978255970893825";https://twitter.com/SteveKnight25/status/874978255970893825
;2017-06-08 18:05;1;7;"I had a great visit and was so proud of what our young people are doing! https:// twitter.com/amgenfoundatio n/status/872948901699104768 …";;;;"872952658109362177";https://twitter.com/SteveKnight25/status/872952658109362177
;2017-06-08 09:06;0;2;"Tune in to this discussion here: https:// youtu.be/4Bx3HA_ScbQ";;;;"872817147214532609";https://twitter.com/SteveKnight25/status/872817147214532609
;2017-06-08 09:06;0;9;"Our aeronautics & space exploration have always lead the world and benefitted humanity. Right now I'm meeting with @NASA to keep it that way pic.twitter.com/9eWzVnEYLK";;@NASA;;"872817067426291714";https://twitter.com/SteveKnight25/status/872817067426291714
;2017-06-07 14:37;1;1;"Right now I'm participating in a @HASCRepublicans hearing on Combat Aviation Modernization. Check it out here: https:// youtu.be/GGvQn8gbaXU";;@HASCRepublicans;;"872538025229778944";https://twitter.com/SteveKnight25/status/872538025229778944
;2017-06-01 16:08;2;7;"Congratulations to first class @aircraftcarrier #USSGeraldRFord and its crew on its successful delivery to the @USNavy today! pic.twitter.com/NY6ae2xyle";;@aircraftcarrier @USNavy;#USSGeraldRFord;"870386619865497600";https://twitter.com/SteveKnight25/status/870386619865497600
;2017-06-01 15:08;1;2;"Yes it is pic.twitter.com/PdnMEshBmq";;;;"870371558518378500";https://twitter.com/SteveKnight25/status/870371558518378500
;2017-06-01 10:22;1;8;"Check out unveiling of the Stratolaunch Carrier, which will dramatically decrease the costs of launching satellites http://www. space.com/37046-stratola unch-worlds-largest-airplane-first-rollout.html …";;;;"870299405030764545";https://twitter.com/SteveKnight25/status/870299405030764545
;2017-05-31 13:00;0;7;"My staff met the Bigham and Yago families, whose daughters are finalists in the @ScrippsBee "Spellebrity" video contest. Good luck girls! pic.twitter.com/Ds1pUuAhOO";;@ScrippsBee;;"869976858208731136";https://twitter.com/SteveKnight25/status/869976858208731136
;2017-05-30 15:14;1;5;"The SBIR/STTR programs play an important role in small business innovation for the federal government. Check out my bill introduced today. https:// twitter.com/housesmallbiz/ status/869646855323471876 …";;;;"869648351523999746";https://twitter.com/SteveKnight25/status/869648351523999746
;2017-05-29 18:58;0;7;"I participated in the Memorial Day ceremony at the old Palmdale Cemetery today. Thanks to the organizations who have planned the ceremonies. pic.twitter.com/HHC8vllll4";;;;"869342155080388608";https://twitter.com/SteveKnight25/status/869342155080388608
;2017-05-29 16:05;0;11;"This morning Lily and I attended Memorial Day Ceremonies at Lancaster Cemetery and Joshua Memorial Park. Thanks for a beautiful ceremony. pic.twitter.com/3ceFpuLcfS";;;;"869298669757059075";https://twitter.com/SteveKnight25/status/869298669757059075
;2017-05-25 13:30;2;6;"I am pleased to have the honor of hosting a paid fellowship for a wounded warrior. To apply visit https:// knight.house.gov/components/red irect/r.aspx?ID=2036-424567 …";;;;"867810013200478208";https://twitter.com/SteveKnight25/status/867810013200478208
;2017-05-25 09:42;5;4;"Right now I'm chairing a #SmallBusiness hearing on how to improve government contracting https://www. youtube.com/watch?v=isAGja R_pjk&feature=share …";;;#SmallBusiness;"867752619967737856";https://twitter.com/SteveKnight25/status/867752619967737856
;2017-05-24 07:12;2;11;"Had a great time yesterday at the @ussoccer foundation congressional soccer match! Donations went to youth soccer programs across the US. pic.twitter.com/tNTHCX2Eyi";;@ussoccer;;"867352505478512642";https://twitter.com/SteveKnight25/status/867352505478512642
;2017-05-22 21:05;4;26;"Our thoughts are with the families of those impacted by terror tonight in Manchester, UK.";;;;"866837376055824385";https://twitter.com/SteveKnight25/status/866837376055824385
;2017-05-19 15:19;0;4;"Happy Friday everyone. Hope you all have fun this weekend. pic.twitter.com/e7kb4QMmFd";;;;"865663098174099456";https://twitter.com/SteveKnight25/status/865663098174099456
;2017-05-19 11:56;2;17;"Turkey is a key ally in the fight against ISIS and in NATO, yes. But their officials must respect our laws and principles when on our soil.";;;;"865612131949043712";https://twitter.com/SteveKnight25/status/865612131949043712
;2017-05-19 11:54;3;33;"In America, we are guaranteed the right to peaceably assemble. Turkish personnel attacking American protestors is absolutely unacceptable.";;;;"865611704264216577";https://twitter.com/SteveKnight25/status/865611704264216577
;2017-05-19 10:07;1;3;"I was happy to see this bill pass in the House with a vote of 271-143. I urge the Senate to expedite its passage.";;;;"865584799842521089";https://twitter.com/SteveKnight25/status/865584799842521089
;2017-05-19 10:06;1;6;"2016 saw a massive increase in attacks against our men and women in blue. The #ThinBlueLineAct will help bring justice and protect officers";;;#ThinBlueLineAct;"865584494417465346";https://twitter.com/SteveKnight25/status/865584494417465346
;2017-05-19 10:04;0;3;"As an 18 year veteran of the @LAPDHQ , I understand the daily struggle law enforcement faces to protect our community and keep us safe.";;@LAPDHQ;;"865583936071757824";https://twitter.com/SteveKnight25/status/865583936071757824
;2017-05-19 10:03;1;6;"It was with a full heart as I told the story of Sgt. Steve Owen of @LASDHQ in support of the Thin Blue Line Act. https://www. youtube.com/watch?v=C60V6o LDRyE&feature=youtu.be …";;@LASDHQ;;"865583596018561024";https://twitter.com/SteveKnight25/status/865583596018561024
;2017-05-19 09:02;1;2;"Also pictured is Courtney, who is still a part of our team here in Washington.";;;;"865568286754258945";https://twitter.com/SteveKnight25/status/865568286754258945
;2017-05-19 08:59;1;10;"Best of luck to my friend, and former legislative staffer, Zac, as he heads off to Fort Benning to begin his career in the U.S. Army. ooah! pic.twitter.com/kngGr0HEx1";;;;"865567651694649346";https://twitter.com/SteveKnight25/status/865567651694649346
;2017-05-17 09:45;0;1;"Restoring our military and saving taxpayer dollars are not mutually exclusive goals. This Congress will do both.";;;;"864854326153551872";https://twitter.com/SteveKnight25/status/864854326153551872
;2017-05-17 09:44;3;5;"Currently participating in a @HASCRepublicans hearing on streamlining the defense acquisition process. Watch here: https:// youtu.be/J-fE0xV8Iuw";;@HASCRepublicans;;"864854024566296576";https://twitter.com/SteveKnight25/status/864854024566296576
;2017-05-16 15:59;0;5;"They're cute ducks, Mr. Johnson.";;;;"864586080619610112";https://twitter.com/SteveKnight25/status/864586080619610112
;2017-05-16 15:53;1;0;"https:// knight.house.gov/news/documents ingle.aspx?DocumentID=1063 …";;;;"864584728984342531";https://twitter.com/SteveKnight25/status/864584728984342531
;2017-05-16 15:21;41;202;"Freedom of movement is important. https:// twitter.com/uscapitol/stat us/864564252702650370 …";;;;"864576502024818689";https://twitter.com/SteveKnight25/status/864576502024818689
;2017-05-16 13:27;27;74;"Click on this link to read my full statement on Russia. https:// knight.house.gov/news/documents ingle.aspx?DocumentID=1063 …";;;;"864547876415959041";https://twitter.com/SteveKnight25/status/864547876415959041
;2017-05-16 06:42;0;0;"It lowers costs for young people so they actually buy into the market and creates incentives (1 yr. 30% re entry surcharge) to stay covered";;;;"864445975850569728";https://twitter.com/SteveKnight25/status/864445975850569728
;2017-05-13 10:05;0;2;"You're still looking great, General!";;;;"863409787094040576";https://twitter.com/SteveKnight25/status/863409787094040576
;2017-05-12 11:21;4;4;"For updated information and FAQ about the AHCA, visit my website https:// knight.house.gov/constituent-se rvices/american-health-care-act-updates.htm …";;;;"863066600278286336";https://twitter.com/SteveKnight25/status/863066600278286336
;2017-05-08 08:40;3;4;"Let us never forget the courage and sacrifice of the Greatest Generation.";;;;"861576606866976768";https://twitter.com/SteveKnight25/status/861576606866976768
;2017-05-08 08:40;1;0;"Meanwhile, the war still raged on in the Pacific.";;;;"861576523400261632";https://twitter.com/SteveKnight25/status/861576523400261632
;2017-05-08 08:40;0;2;"Hitler's remains were found a couple weeks prior. V-E day marked the end of Nazi oppression over Europe and the start of recovery effort";;;;"861576421306753024";https://twitter.com/SteveKnight25/status/861576421306753024
;2017-05-08 08:38;0;5;"OTD 1945: Allied forces lead by the United States declare victory in Europe as the last Nazi garrisons surrender.";;;;"861576011988815872";https://twitter.com/SteveKnight25/status/861576011988815872
;2017-05-06 12:31;0;0;"This $8 billion is an addition to the $130 billion Patient and State Stability Fund";;;;"860909775642669057";https://twitter.com/SteveKnight25/status/860909775642669057
;2017-05-06 11:23;7;10;"Separating fact from fiction about the AHCA: http://www. passthebill.gop";;;;"860892809276116992";https://twitter.com/SteveKnight25/status/860892809276116992
;2017-05-06 11:19;0;1;"http:// passthebill.gop";;;;"860891860843233288";https://twitter.com/SteveKnight25/status/860891860843233288
;2017-05-06 11:07;3;6;"Contrary to viral Facebook and twitter posts, the AHCA does NOT designate rape or assault as a preexisting condition https://www. washingtonpost.com/news/fact-chec ker/wp/2017/05/06/no-the-gop-health-bill-doesnt-classify-rape-or-sexual-assault-as-a-preexisting-condition/?utm_term=.099f1a01db83 …";;;;"860888825538674688";https://twitter.com/SteveKnight25/status/860888825538674688
;2017-05-04 17:28;2;6;"Good thing you'll remain covered with the AHCA";;;;"860259887602962432";https://twitter.com/SteveKnight25/status/860259887602962432
;2017-05-04 17:13;2;2;"I cosponsored H.R. 2192 to strip congressional exemption. It passed.";;;;"860256046916489216";https://twitter.com/SteveKnight25/status/860256046916489216
;2017-05-04 14:21;12;31;"Here's my statement on today's vote for The American Health Care Act pic.twitter.com/9ORsucdemq";;;;"860212751129620482";https://twitter.com/SteveKnight25/status/860212751129620482
;2017-05-03 16:47;3;20;"Today's omnibus bill includes $245M to fund HR 1680, my bill to promote Women's Business Center pic.twitter.com/TOtVE3eyyE";;;;"859887112103092224";https://twitter.com/SteveKnight25/status/859887112103092224
;2017-05-02 16:09;0;0;"The defense of our nation is always number one.";;;;"859515111685447681";https://twitter.com/SteveKnight25/status/859515111685447681
;2017-05-02 10:49;0;7;"Had a great meeting with the National Beer Wholesalers Association. We talked about ways to enable local businesses to thrive and flourish pic.twitter.com/GM3o7xHfpg";;;;"859434600866643968";https://twitter.com/SteveKnight25/status/859434600866643968
;2017-05-02 08:54;2;2;"http://www. thedailybeast.com/articles/2017/ 05/01/the-air-force-plans-to-fly-100-year-old-planes …";;;;"859405616577736705";https://twitter.com/SteveKnight25/status/859405616577736705
;2017-05-02 08:45;2;9;"Hot take: this is bad. https:// twitter.com/rcdefense/stat us/859399328741429248 …";;;;"859403411309121536";https://twitter.com/SteveKnight25/status/859403411309121536
;2017-04-29 16:41;0;2;"Welcome to CA-25! Hope you and the wee Willetts enjoy your visit!";;;;"858436092948881408";https://twitter.com/SteveKnight25/status/858436092948881408
;2017-04-29 16:37;5;45;"Is this their #Merica mode control switch? pic.twitter.com/r3qPkCKROy";;;#Merica;"858435104468856832";https://twitter.com/SteveKnight25/status/858435104468856832
;2017-04-28 14:40;3;18;"Happy Friday everyone. Have a nice and relaxing weekend! pic.twitter.com/uCo4m1T1tU";;;;"858043371771875329";https://twitter.com/SteveKnight25/status/858043371771875329
;2017-04-27 14:44;2;9;"I always appreciate getting mail from constituents, young and old! Thanks for the kind words, Luke! It was great meeting you and your family pic.twitter.com/lI9111kVxF";;;;"857681959040016384";https://twitter.com/SteveKnight25/status/857681959040016384
;2017-04-27 11:16;1;14;"Ran into some fine young soldiers from the U.K. walking into the office today. Thank you for your service! ##pic.twitter.com/VjmbGXhn4x";;;# #pic;"857629583662862338";https://twitter.com/SteveKnight25/status/857629583662862338
;2017-04-26 12:42;0;0;"uavpioneers's photo https:// instagram.com/p/BS1tO3dBMPT/";;;;"857288889144356864";https://twitter.com/SteveKnight25/status/857288889144356864
;2017-04-24 14:51;0;5;"May we never forget what happened and may we reflect on our duty to ensure that such an atrocity is never committed again.";;;;"856596454995087360";https://twitter.com/SteveKnight25/status/856596454995087360
;2017-04-24 14:49;2;13;"Today is Yom HaShoah, or Holocaust Remembrance Day. Let us pause to remember the six million Jews who were murdered by the Nazis. pic.twitter.com/RPELdlb0wb";;;;"856595992652767236";https://twitter.com/SteveKnight25/status/856595992652767236
;2017-04-24 10:16;2;3;"The always-photogenic @Reagan_Library made an appearance on last night's episode of @VeepHBO . And not an ounce of makeup needed!";;@Reagan_Library @VeepHBO;;"856527157786529792";https://twitter.com/SteveKnight25/status/856527157786529792
;2017-04-20 15:04;2;3;"America can't be in endless war. A new AUMF will provide clear mission goals, authority parameters, and Congressional oversight.";;;;"855150193678979072";https://twitter.com/SteveKnight25/status/855150193678979072
;2017-04-20 15:01;1;1;"The current AUMF to fight terrorism is over 15 years old. We need a new one that clearly defines scope of the GWOT and objective end-states";;;;"855149409419526146";https://twitter.com/SteveKnight25/status/855149409419526146
;2017-04-20 14:59;2;6;"While the President has authority to address immediate threats, the Constitution clearly grants war authorization powers to Congress.";;;;"855148918837051392";https://twitter.com/SteveKnight25/status/855148918837051392
;2017-04-20 14:57;2;5;"As I said in our town hall, I support efforts to reissue the Authorization for the Use of Military Force (AUMF) to finish the defeat of ISIS";;;;"855148557573206018";https://twitter.com/SteveKnight25/status/855148557573206018
