username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:43;1594;8680;"Praying for @SteveScalise , his staff and @CapitolPolice . Thank you to our @CapitolPolice officers who protect us each and every day.";;@SteveScalise @CapitolPolice @CapitolPolice;;"874970610417508352";https://twitter.com/TGowdySC/status/874970610417508352
;2017-05-29 07:00;3955;17337;"To all of the men and women in uniform who paid the ultimate price for our freedom - today we remember and honor you.";;;;"869161415046647808";https://twitter.com/TGowdySC/status/869161415046647808
;2017-05-24 08:24;286;1681;"Joining @BillHemmer @AmericaNewsroom on @FoxNews live at 9:40am. Tune in. https:// twitter.com/billhemmer/sta tus/867357822471852037 …";;@BillHemmer @AmericaNewsroom @FoxNews;;"867370799971348481";https://twitter.com/TGowdySC/status/867370799971348481
;2017-05-18 09:11;967;4932;"Thank you to all of our friends in law enforcement who risk their lives daily to protect ours. #NationalPoliceWeek https://www. youtube.com/watch?v=v_Kchp sJ3Jo&t=2s …";;;#NationalPoliceWeek;"865208235984384000";https://twitter.com/TGowdySC/status/865208235984384000
;2017-05-18 07:54;179;1105;"Grateful to have had Chief Thompson from Spartanburg testifying before the @HouseJudiciary Crime Subcommittee yesterday #NationalPoliceWeek https:// twitter.com/GoUpstate/stat us/865029710081794048 …";;@HouseJudiciary;#NationalPoliceWeek;"865188845251383297";https://twitter.com/TGowdySC/status/865188845251383297
;2017-05-17 18:20;990;4111;"Mueller has a distinguished career as both a prosecutor & director of the FBI. I was always impressed with his integrity & evenhandedness. https:// twitter.com/ap/status/8649 64714425708544 …";;;;"864983924786778113";https://twitter.com/TGowdySC/status/864983924786778113
;2017-05-17 16:31;339;1916;"Speaking on the House floor at 6:30pm to honor law enforcement officers for #NationalPoliceWeek . Watch here → http:// houselive.gov /";;;#NationalPoliceWeek;"864956537957208066";https://twitter.com/TGowdySC/status/864956537957208066
;2017-05-17 08:34;146;913;"Today at 10AM → @HouseJudiciary Subcommittee to hear from law enforcement in honor of #NationalPoliceWeek . Tune in: https:// judiciary.house.gov/hearing/challe nges-facing-law-enforcement-21st-century/ …";;@HouseJudiciary;#NationalPoliceWeek;"864836486188990464";https://twitter.com/TGowdySC/status/864836486188990464
;2017-05-16 16:29;275;1568;"Tonight at 7:00 PM → I'll be talking to @marthamaccallum on @TheStoryFNC @FoxNews .";;@marthamaccallum @TheStoryFNC @FoxNews;;"864593554097790976";https://twitter.com/TGowdySC/status/864593554097790976
;2017-05-15 16:13;2795;8143;"Our country deserves a Director w/ not only impeccable credentials but also one who can unite the country as we strive for justice & truth. pic.twitter.com/SZIXbfmSOo";;;;"864227227017281538";https://twitter.com/TGowdySC/status/864227227017281538
;2017-05-14 07:00;919;7485;"Happy Mothers Day to all of the mothers who have impacted my life for the better - especially my own momma and my wife. pic.twitter.com/UDDbixWfiv";;;;"863725597360607234";https://twitter.com/TGowdySC/status/863725597360607234
;2017-05-09 17:30;5668;14352;"Statement on FBI Director Comey pic.twitter.com/vB822Nw5OR";;;;"862072240581554176";https://twitter.com/TGowdySC/status/862072240581554176
;2017-05-09 12:47;704;4315;"Happy #NationalTeachersDay to all of our incredible teachers, including my wife. You change the world — one life at a time.";;;#NationalTeachersDay;"862001007483645952";https://twitter.com/TGowdySC/status/862001007483645952
;2017-05-04 07:27;358;1835;"Today at 9 AM → tune in to @BillHemmer @FoxNews @AmericaNewsroom for a preview of today's House Intelligence hearing with Director Comey.";;@BillHemmer @FoxNews @AmericaNewsroom;;"860108504090202112";https://twitter.com/TGowdySC/status/860108504090202112
;2017-05-02 18:13;568;3308;"Tune in to @FoxNews tonight at 8:40pm. I'll be live in studio with @TuckerCarlson .";;@FoxNews @TuckerCarlson;;"859546507204276228";https://twitter.com/TGowdySC/status/859546507204276228
