username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:41;130;415;"I was on the field 20 yards away from the shooter. I am okay. Please join me in praying for @SteveScalise and the others who were injured.";;@SteveScalise;;"874985254557278208";https://twitter.com/USRepGaryPalmer/status/874985254557278208
;2017-06-13 09:31;0;7;"Great spending the morning with students from across Alabama. They're in DC this week for the… https://www. instagram.com/p/BVSH8zjFIU0/";;;;"874635312999391232";https://twitter.com/USRepGaryPalmer/status/874635312999391232
;2017-06-08 15:42;8;11;"I was proud to vote in favor of the #CHOICEact to create more opportunities for all Americans and end Wall Street bailouts once and for all. pic.twitter.com/4rFLtSNXtz";;;#CHOICEact;"872916755932471296";https://twitter.com/USRepGaryPalmer/status/872916755932471296
;2017-06-08 13:15;5;9;"It was a great honor to speak with @ceidotorg today about my conservative efforts in Congress and the future of our great country. pic.twitter.com/Txrc8i9SwW";;@ceidotorg;;"872879721255772163";https://twitter.com/USRepGaryPalmer/status/872879721255772163
;2017-06-06 16:02;4;10;"73 years ago, Allied forces stormed the beaches of Normandy willing to make the ultimate sacrifice. May we always honor their noble actions. pic.twitter.com/18KjjLczp1";;;;"872197052859600901";https://twitter.com/USRepGaryPalmer/status/872197052859600901
;2017-06-06 14:42;6;9;"Take a moment to read my op-ed with @RepRatcliffe on the #NCFI located in the @CityofHoover → http:// thehill.com/blogs/congress -blog/technology/336522-national-computer-forensics-institute-providing-law …";;@RepRatcliffe @CityofHoover;#NCFI;"872176860729364480";https://twitter.com/USRepGaryPalmer/status/872176860729364480
;2017-06-06 07:00;5;7;"In just a few short moments, @RepRatcliffe and I will be joining @mattmurphyshow and @AunieLindenberg ! Make sure to tune in to @realtalk995";;@RepRatcliffe @mattmurphyshow @AunieLindenberg @realtalk995;;"872060511357206528";https://twitter.com/USRepGaryPalmer/status/872060511357206528
;2017-06-05 13:18;2;4;"Looking forward to @RepRatcliffe joining me at the National Computer Forensics Institute in @CityofHoover for a tour this afternoon. #AL06";;@RepRatcliffe @CityofHoover;#AL06;"871793306816176129";https://twitter.com/USRepGaryPalmer/status/871793306816176129
;2017-05-29 11:50;6;29;"Today we remember and honor our men and women who made the ultimate sacrifice to keep our country safe for all Americans. #MemorialDay";;;#MemorialDay;"869234606054273024";https://twitter.com/USRepGaryPalmer/status/869234606054273024
;2017-05-25 14:06;15;24;"POTUS has the authority to issue Executive orders. The authority does not belong to activist judges bending the law as they see fit. #HR2660";;;#HR2660;"867819144183459840";https://twitter.com/USRepGaryPalmer/status/867819144183459840
;2017-05-25 14:01;5;12;". #HR2660 gives the federal courts in DC exclusive jurisdiction over any challenge to an Executive order, action, or memorandum.";;;#HR2660;"867817984605245440";https://twitter.com/USRepGaryPalmer/status/867817984605245440
;2017-05-25 14:01;7;12;"I introduced #HR2660 , the Assigning Proper Placement of Executive Action Lawsuits (APPEAL) Act today. http:// palmer.house.gov/media-center/p ress-releases/palmer-introduces-appeal-act …";;;#HR2660;"867817810428391424";https://twitter.com/USRepGaryPalmer/status/867817810428391424
;2017-05-24 11:48;9;5;"I encourage you to read the report from @HHSGov to learn the facts about our skyrocketing healthcare costs. http:// aspe.hhs.gov/system/files/p df/256751/IndividualMarketPremiumChanges.pdf …";;@HHSGov;;"867422036611739648";https://twitter.com/USRepGaryPalmer/status/867422036611739648
;2017-05-24 11:48;17;18;"Average monthly healthcare premiums rose 223% for hardworking Alabamians from 2013 to 2017. This is why we must #RepealAndReplace #ObamaCare";;;#RepealAndReplace #ObamaCare;"867421945322766336";https://twitter.com/USRepGaryPalmer/status/867421945322766336
;2017-05-24 11:12;3;2;"The Task Force on Intergovernmental Affairs will help us get our country back on the right path → http:// palmer.house.gov/media-center/p ress-releases/palmer-appointed-intergovernmental-affairs-task-force …";;;;"867413084117323778";https://twitter.com/USRepGaryPalmer/status/867413084117323778
;2017-05-23 12:09;2;4;"Looking forward to seeing you tomorrow for #PastriesWithPalmer ! pic.twitter.com/jzuWZbxaMN";;;#PastriesWithPalmer;"867064880976756738";https://twitter.com/USRepGaryPalmer/status/867064880976756738
;2017-05-23 07:53;1;2;"It was great to be in Coosa County Saturday for the 2017 Hatchet Creek Festival. Special thanks… https://www. instagram.com/p/BUb3_Khl25G/";;;;"867000419490430976";https://twitter.com/USRepGaryPalmer/status/867000419490430976
;2017-05-17 14:29;0;0;"Yesterday I spoke on the House floor regarding my support for #HR1616 . Watch the full clip here: http:// youtu.be/lsfESuL1HZk";;;#HR1616;"864925921123479552";https://twitter.com/USRepGaryPalmer/status/864925921123479552
;2017-05-16 19:00;6;6;"The National Computer Forensics Institute is based in Hoover and has trained over 6,000 officials from all 50 states on cyber crime. #AL06";;;#AL06;"864631647228112897";https://twitter.com/USRepGaryPalmer/status/864631647228112897
;2017-05-16 18:58;4;7;"As we’re currently witnessing an unprecedented global cyberattack, #HR1616 is a timely bill I was proud to support. http:// thehill.com/policy/cyberse curity/333727-house-passes-cyber-crime-bill …";;;#HR1616;"864631242163191808";https://twitter.com/USRepGaryPalmer/status/864631242163191808
;2017-05-16 15:28;3;4;"As I told the students at CIS, it doesn’t matter where you come from if you study and work hard and dream big, you can be anything.";;;;"864578216501104640";https://twitter.com/USRepGaryPalmer/status/864578216501104640
;2017-05-16 15:26;2;6;"I enjoyed my visit to Clanton Intermediate School! Read about my visit with Chaney White's 4th grade class here: http:// clantonadvertiser.com/2017/05/16/rep -palmer-encourages-students-to-dream-big/ …";;;;"864577769778413573";https://twitter.com/USRepGaryPalmer/status/864577769778413573
;2017-05-15 14:26;5;12;"During National Police Week, take a moment to thank a police officer for their brave and dedicated service. pic.twitter.com/CcLh23JQVZ";;;;"864200454733000710";https://twitter.com/USRepGaryPalmer/status/864200454733000710
;2017-05-14 12:46;5;14;"Happy Mother's Day to all of the strong and inspiring mothers in #AL06 . pic.twitter.com/FFQKPReWd1";;;#AL06;"863812877009997825";https://twitter.com/USRepGaryPalmer/status/863812877009997825
;2017-05-10 09:39;1;5;"I'm joining @ScottBeason right now on @101superstation ! Listen in live right here: http:// player.listenlive.co/42691";;@ScottBeason @101superstation;;"862316051647877120";https://twitter.com/USRepGaryPalmer/status/862316051647877120
;2017-05-06 18:20;3;8;"Members of my District Office staff enjoy visiting local fifth grade classes as part of our… https://www. instagram.com/p/BTxOPqElOY6/";;;;"860997666456702976";https://twitter.com/USRepGaryPalmer/status/860997666456702976
;2017-05-06 13:03;4;15;"In just a few moments I'll be discussing the #AHCA on @FoxNews ! Make sure you tune in.";;@FoxNews;#AHCA;"860917859043737600";https://twitter.com/USRepGaryPalmer/status/860917859043737600
;2017-05-04 14:04;13;40;"Today the House took the first step toward repealing and replacing the misnamed Affordable Care Act. Full statement→ http:// palmer.house.gov/media-center/p ress-releases/palmer-votes-repeal-and-replace-obamacare …";;;;"860208585732759557";https://twitter.com/USRepGaryPalmer/status/860208585732759557
;2017-04-28 09:39;4;26;"Great seeing the Briarwood Fellows before their Capitol tour! pic.twitter.com/4vySPxbF80";;;;"857967620905193472";https://twitter.com/USRepGaryPalmer/status/857967620905193472
;2017-04-27 14:05;4;11;"Six years ago our state experienced an unfathomable tragedy. Together we will #NeverForget #April272011 pic.twitter.com/8MPBYHQml7";;;#NeverForget #April272011;"857672131873837057";https://twitter.com/USRepGaryPalmer/status/857672131873837057
;2017-04-27 11:26;4;10;"I'm presiding over the House Floor right now! Watch here: http:// houselive.gov";;;;"857632028283604992";https://twitter.com/USRepGaryPalmer/status/857632028283604992
;2017-04-27 10:55;1;2;"It was great meeting with y'all today! https:// twitter.com/cole_sandlin/s tatus/857613290519900164 …";;;;"857624357723660288";https://twitter.com/USRepGaryPalmer/status/857624357723660288
;2017-04-27 07:44;2;7;"A big congratulations is in order for the We The People team from Vestavia Hills High School!… https://www. instagram.com/p/BTY6TzpDDRz/";;;;"857576138343886848";https://twitter.com/USRepGaryPalmer/status/857576138343886848
;2017-04-26 12:26;4;13;"I would like to congratulate Carson McDonald, a student at @VHHSRebels , on winning the 2017 #AL06 Art Competition! http:// palmer.house.gov/media-center/p ress-releases/vestavia-hills-student-wins-2017-congressional-art-competition … pic.twitter.com/r4DmbfK0Eh";;@VHHSRebels;#AL06;"857284816726888449";https://twitter.com/USRepGaryPalmer/status/857284816726888449
;2017-04-26 08:35;7;13;"Tune in as I chair the Intergovernmental Affairs Subcommittee hearing on unfunded mandates ↓ https:// twitter.com/GOPoversight/s tatus/857225707839213571 …";;;;"857226694868045827";https://twitter.com/USRepGaryPalmer/status/857226694868045827
;2017-04-25 21:03;0;1;"See you tomorrow morning in 330 Cannon at #PastriesWithPalmer at 9AM!";;;#PastriesWithPalmer;"857052502990225409";https://twitter.com/USRepGaryPalmer/status/857052502990225409
;2017-04-24 15:21;5;21;"I met with a group of scientists & educators from area schools & colleges to discuss STEM education and workforce development in Alabama. pic.twitter.com/o0JsSCUglO";;;;"856603933313204227";https://twitter.com/USRepGaryPalmer/status/856603933313204227
;2017-04-21 09:11;2;11;"Thank you for inviting me! It was great learning more about what y'all are doing right here in #AL06 . https:// twitter.com/cvshealth/stat us/855423461447086080 …";;;#AL06;"855423861982208000";https://twitter.com/USRepGaryPalmer/status/855423861982208000
;2017-04-20 21:58;4;8;"Hey #AL06 ! Miss tonight's Town Hall in Gardendale? Watch the full thing here → http:// facebook.com/CongressmanGar yPalmer/videos/989194421211123/ …";;;#AL06;"855254442026962944";https://twitter.com/USRepGaryPalmer/status/855254442026962944
;2017-04-20 21:28;1;8;"Thanks for having me on this afternoon! @yhnradio https:// twitter.com/yhnradio/statu s/855244164992290816 …";;@yhnradio;;"855246891075997696";https://twitter.com/USRepGaryPalmer/status/855246891075997696
;2017-04-20 19:39;3;16;"We're having a great Town Hall in Gardendale right now. pic.twitter.com/O0DgC4YNSl – bei Gardendale Civic Center";;;;"855219382020173824";https://twitter.com/USRepGaryPalmer/status/855219382020173824
;2017-04-20 15:02;4;10;"Looking forward to our Town Hall tonight in Gardendale. We'll be live streaming it on my Facebook page!";;;;"855149601577476101";https://twitter.com/USRepGaryPalmer/status/855149601577476101
;2017-04-20 12:24;3;5;"We're live right now! Make sure you listen in to @yhnradio . https:// twitter.com/yhnradio/statu s/855078246186188807 …";;@yhnradio;;"855109967472451586";https://twitter.com/USRepGaryPalmer/status/855109967472451586
;2017-04-20 08:02;1;5;"TUNE IN! I'm live on @realtalk995 with @mattmurphyshow & @AunieLindenberg right now.";;@realtalk995 @mattmurphyshow @AunieLindenberg;;"855044048742174720";https://twitter.com/USRepGaryPalmer/status/855044048742174720
;2017-04-19 14:22;2;7;"It was good to be in Vestavia Hills for the 27th Annual Mayor’s Prayer Breakfast. Thanks to Mayor Ashley Curry and Karen Odle. pic.twitter.com/oNG8flj3M8";;;;"854777126624534528";https://twitter.com/USRepGaryPalmer/status/854777126624534528
;2017-04-19 14:06;2;1;"We had so many talented submissions to this year's Art Competition! Check them all out here: http:// facebook.com/media/set/?set =a.987450551385510.1073741933.545855605545009&type=1&l=dba0a35160 …";;;;"854773130065313792";https://twitter.com/USRepGaryPalmer/status/854773130065313792
