username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 10:24;4;8;"Awful for FL's econ future & jobs as 2.8M public school students robbed of resources AND #HB7069 #Title1Schools section appears illegal! https:// twitter.com/stevebousquet/ status/875368619831689217 …";;;#HB7069 #Title1Schools;"875373412495085570";https://twitter.com/USRepKCastor/status/875373412495085570
;2017-06-14 13:20;2;3;"Great bipartisan work in Congress in support of American & Cuban families, small businesses - shame to go backward! @cda_dc @Engage_Cuba https:// twitter.com/cda_dc/status/ 875050352726474752 …";;@cda_dc @Engage_Cuba;;"875055333173055488";https://twitter.com/USRepKCastor/status/875055333173055488
;2017-06-14 11:42;6;38;"Speaker Ryan spoke for all of us. Thoughtful remarks - I thanked him and gave a him hug afterwards on House floor. https:// twitter.com/speakerryan/st atus/875027019007840257 …";;;;"875030785128103936";https://twitter.com/USRepKCastor/status/875030785128103936
;2017-06-14 08:54;10;24;"I'm praying for friends, colleagues, congressional staff & Capitol Police this morning... https:// castor.house.gov/news/documents ingle.aspx?DocumentID=398430 … pic.twitter.com/t9tEybb9xO";;;;"874988342714224640";https://twitter.com/USRepKCastor/status/874988342714224640
;2017-06-14 08:32;7;34;"I am shocked and saddened by tragic events at @HouseGOP baseball practice -praying for my colleagues, staffers and awesome @CapitolPolice";;@HouseGOP @CapitolPolice;;"874982778902851585";https://twitter.com/USRepKCastor/status/874982778902851585
;2017-06-14 07:06;1;2;"Thanks @Timintampa - I'm in Capitol. No softball practice this morning Hope everyone is ok";;@Timintampa;;"874961274802778113";https://twitter.com/USRepKCastor/status/874961274802778113
;2017-06-13 15:42;6;25;"Huge #of letters from #Tampa neighbors delivered by @CCLFlorida @citizensclimate urging #ActOnClimate #CCL2017 pic.twitter.com/QBt3z3MNZ0";;@CCLFlorida @citizensclimate;#of #Tampa #ActOnClimate #CCL2017;"874728686070771713";https://twitter.com/USRepKCastor/status/874728686070771713
;2017-06-13 14:43;17;30;"Senate Republicans are hiding #Trumpcare bill details/text -If they think Americans won’t notice its devastating impacts, they’re wrong!";;;#Trumpcare;"874713914470256640";https://twitter.com/USRepKCastor/status/874713914470256640
;2017-06-13 11:54;7;20;"Backward! Harmful to families, private sector entrepreneurs in #Cuba & #Florida & natl security Trump returns to failed policy, crushes jobs https:// twitter.com/npr/status/874 394181678092289 …";;;#Cuba #Florida;"874671222356836355";https://twitter.com/USRepKCastor/status/874671222356836355
;2017-06-13 07:18;0;7;"Thanks @jdiscenza Sign up for "HouseWatch" and other email updates at https:// castor.house.gov (much easier to read and you can forward) https:// twitter.com/jdiscenza/stat us/874441576285691904 …";;@jdiscenza;;"874601980655783936";https://twitter.com/USRepKCastor/status/874601980655783936
;2017-06-12 19:39;22;35;"FACT: #Trumpcare weakens #Medicare & cuts #Medicaid health that seniors rely on like long-term care, Alzheimer's Say NO to GOP bill!";;;#Trumpcare #Medicare #Medicaid;"874425908521832448";https://twitter.com/USRepKCastor/status/874425908521832448
;2017-06-12 19:15;0;5;"ICYMI pic.twitter.com/veefXXLpOj";;;;"874419975452323844";https://twitter.com/USRepKCastor/status/874419975452323844
;2017-06-12 17:29;1;12;"Thank you @Kathypalmr ! #ProtectOurCare https:// twitter.com/kathypalmr/sta tus/874332388276535296 …";;@Kathypalmr;#ProtectOurCare;"874393156850266112";https://twitter.com/USRepKCastor/status/874393156850266112
;2017-06-12 12:53;18;27;"Keep on Senate’s #Trumpcare bill as bad as House Destroys care for families #Medicaid Hikes costs for people w pre-existing conditions";;;#Trumpcare #Medicaid;"874323679999602688";https://twitter.com/USRepKCastor/status/874323679999602688
;2017-06-12 11:03;7;10;"TONIGHT in #Tampa : "A Night of Reflection" #Pulse 7pm #YborCity Centennial Park @TampaPride @GaYBORCoalition @MetroWellCtrs #OrlandoUnited pic.twitter.com/FsQ9799gMC";;@TampaPride @GaYBORCoalition @MetroWellCtrs;#Tampa #Pulse #YborCity #OrlandoUnited;"874296039964106752";https://twitter.com/USRepKCastor/status/874296039964106752
;2017-06-12 10:29;24;43;"Remember #Orlando #Pulse victims of hate and #HonorThemWithAction to end discrimination against LBGT neighbors @EqualityFL @TampaPride pic.twitter.com/hG2JeKRooY";;@EqualityFL @TampaPride;#Orlando #Pulse #HonorThemWithAction;"874287631835811841";https://twitter.com/USRepKCastor/status/874287631835811841
;2017-06-11 12:31;1;36;"Love @ussoccer_wnt showing some #Pride today! @mPinoe @alikrieger @ORLPride @roselavelle #GoUSA pic.twitter.com/cTZNAk9a2u";;@ussoccer_wnt @mPinoe @alikrieger @ORLPride @roselavelle;#Pride #GoUSA;"873955913907884032";https://twitter.com/USRepKCastor/status/873955913907884032
;2017-06-10 12:43;22;69;"Great to see @JoeBiden at commissioning of #USSGabrielleGiffords @USNavy pic.twitter.com/7NlNTLudPH";;@JoeBiden @USNavy;#USSGabrielleGiffords;"873596397911724034";https://twitter.com/USRepKCastor/status/873596397911724034
;2017-06-10 12:24;3;11;"#ussgg pic.twitter.com/gyjitS7Sjq";;;#ussgg;"873591766917820416";https://twitter.com/USRepKCastor/status/873591766917820416
;2017-06-10 12:05;2;13;"@RepSusanDavis @BettyMcCollum04 @USNavy #USSGabrielleGiffords pic.twitter.com/4GQdc5TAc2";;@RepSusanDavis @BettyMcCollum04 @USNavy;#USSGabrielleGiffords;"873586912539414528";https://twitter.com/USRepKCastor/status/873586912539414528
;2017-06-10 11:59;1;11;"#USSGG pic.twitter.com/kIWsNPeKN4";;;#USSGG;"873585466452398080";https://twitter.com/USRepKCastor/status/873585466452398080
;2017-06-09 17:53;10;53;"Honored to tour @USNavy #USSGabrielleGiffords w @RepCharlieCrist @RepValDemings Awesome @GabbyGiffords pic.twitter.com/C10Tyceb1f";;@USNavy @RepCharlieCrist @RepValDemings @GabbyGiffords;#USSGabrielleGiffords;"873312170163011584";https://twitter.com/USRepKCastor/status/873312170163011584
;2017-06-09 17:45;0;32;"Toured the @USNavy #USSGabrielleGiffords before commissioning tomorrow! pic.twitter.com/rKRrmdAN7m";;@USNavy;#USSGabrielleGiffords;"873310176685826049";https://twitter.com/USRepKCastor/status/873310176685826049
;2017-06-09 15:39;7;19;"Urged my Republican colleagues on Energy & Commerce to schedule hearing to address price hikes by drug manufacturers https://www. bna.com/lawmakers-acti on-prescription-b73014453055/ …";;;;"873278397430083584";https://twitter.com/USRepKCastor/status/873278397430083584
;2017-06-09 13:35;5;13;"Trump’s inaction on CSR payments causing instability, forcing health insurance companies to raise rates or pull out. https:// castor.house.gov/news/documents ingle.aspx?DocumentID=398426 …";;;;"873247294262587392";https://twitter.com/USRepKCastor/status/873247294262587392
;2017-06-09 13:18;7;24;"Yes, Billy Turner was a #Tampa legend who lifted so many on the field and off @HCPSBoard @Jeff_Eakins @MightyChiefs https:// twitter.com/chamberlainhig h/status/873236344234967040 …";;@HCPSBoard @Jeff_Eakins @MightyChiefs;#Tampa;"873242831187529732";https://twitter.com/USRepKCastor/status/873242831187529732
;2017-06-09 13:15;4;4;"Sad to hear re Billy Turner's passing an outstanding person, loving Dad & Coach @ChamberlainChiefs @HillsboroughSch http://www. tampabay.com/sports/footbal lpreps/legendary-football-coach-billy-turner-feted-by-hundreds/2303081 …";;@ChamberlainChiefs @HillsboroughSch;;"873242276817973248";https://twitter.com/USRepKCastor/status/873242276817973248
;2017-06-08 17:10;14;15;"Republicans voted today to rip consumer protections away from working families & elevate interests of Wall Street. https:// castor.house.gov/news/documents ingle.aspx?DocumentID=398424 …";;;;"872938887072677888";https://twitter.com/USRepKCastor/status/872938887072677888
;2017-06-08 16:54;13;12;"Memories are so short in DC!@HouseGOP rolls back Wall Street Reform just a few years after Great Recession pic.twitter.com/P4g5LTxTdn";;@HouseGOP;;"872934819461812228";https://twitter.com/USRepKCastor/status/872934819461812228
;2017-06-08 16:47;11;9;"GOP guts #WallStreetReform : anti-consumer gift to Wall Street! Remember Great Recession: 11M homes lost, $13T wealth lost, unemploymnt 10%";;;#WallStreetReform;"872933107468513281";https://twitter.com/USRepKCastor/status/872933107468513281
;2017-06-08 11:55;9;28;"Trump tried to bury Russia,Flynn investigation fired FBI Director to take heat off had no concern re malevolent cyberintrusion into election";;;;"872859712638914560";https://twitter.com/USRepKCastor/status/872859712638914560
;2017-06-08 08:54;3;4;"Hey @civcanetwork Checked in @EmoryUniversity on Monday in Atlanta ... I'm esp focused on health research & modern health care workforce";;@civcanetwork @EmoryUniversity;;"872814063478329344";https://twitter.com/USRepKCastor/status/872814063478329344
;2017-06-08 08:51;0;1;"Awesome! @HannahMorrisPhd Thanks #StayingStrong";;@HannahMorrisPhd;#StayingStrong;"872813341730799616";https://twitter.com/USRepKCastor/status/872813341730799616
;2017-06-07 15:58;1;11;"Hey, check this out @RepTomEmmer @Tampa_Chamber #LiftTheEmbargo #Cuba https:// twitter.com/cda_dc/status/ 872553794873249792 …";;@RepTomEmmer @Tampa_Chamber;#LiftTheEmbargo #Cuba;"872558466191282177";https://twitter.com/USRepKCastor/status/872558466191282177
;2017-06-07 15:07;4;17;"Together we'll fight #AgeTax , harm to people w pre-existing conditions & end to long-term care lifeline provided by #Medicaid @aarpfl https:// twitter.com/AARPFL/status/ 872525145117777920 …";;@aarpfl;#AgeTax #Medicaid;"872545645885870080";https://twitter.com/USRepKCastor/status/872545645885870080
;2017-06-07 13:41;3;13;"GOP Sen Intell Comm Chair releases fired FBI Director Comey opening stmnt Trump demanded "loyalty", urged action looks like obstruction https:// twitter.com/senatorburr/st atus/872513298037694466 …";;;;"872524037628588032";https://twitter.com/USRepKCastor/status/872524037628588032
;2017-06-07 12:29;6;8;"Entrepreneurial spirit is alive and well at @USFHealth @USFResearch #patents https:// twitter.com/usouthflorida/ status/872102923332988928 …";;@USFHealth @USFResearch;#patents;"872505743831912449";https://twitter.com/USRepKCastor/status/872505743831912449
;2017-06-06 18:53;7;11;"Busy week for Congress w/proposed Republican repeal of Wall Street Reform laws & testimony of former FBI Director James Comey. pic.twitter.com/7hADbDJv2X";;;;"872240035684392961";https://twitter.com/USRepKCastor/status/872240035684392961
;2017-06-06 13:29;3;2;"While no #Zika transmission cases known in #FL this year, check info if you are traveling to Carribean or South America esp if pregnant https:// twitter.com/cdcgov/status/ 870671377837072384 …";;;#Zika #FL;"872158446417842177";https://twitter.com/USRepKCastor/status/872158446417842177
;2017-06-06 13:25;0;6;"Great work @CDCgov to empower local communities to prevent #Zika esp among pregnt women, track birth defects #zikacareconnect @MarchofDimes https:// twitter.com/cdcgov/status/ 871743423505514497 …";;@CDCgov @MarchofDimes;#Zika #zikacareconnect;"872157462551560193";https://twitter.com/USRepKCastor/status/872157462551560193
;2017-06-05 13:46;1;8;"Thank u @roamingmichele @LauraMoodyFox13 for attention to #breastcancer & young women @YSCBuzz @CWSoftballGame pic.twitter.com/lZWECouNC7";;@roamingmichele @LauraMoodyFox13 @YSCBuzz @CWSoftballGame;#breastcancer;"871800500433367040";https://twitter.com/USRepKCastor/status/871800500433367040
;2017-06-05 10:34;0;0;"Bipartisan @CWSoftballGame Playing in honor #Tampa women battling #breastcancer @roamingmichele @FOX13News WATCH http:// bit.ly/2sJfOtC";;@CWSoftballGame @roamingmichele @FOX13News;#Tampa #breastcancer;"871752091957592064";https://twitter.com/USRepKCastor/status/871752091957592064
;2017-06-05 07:05;2;4;"Watch @FOX13News this morning where I'll discuss breast #cancer among young women & @YSCBuzz";;@FOX13News @YSCBuzz;#cancer;"871699372463054850";https://twitter.com/USRepKCastor/status/871699372463054850
;2017-06-04 10:14;3;20;"Great way to meet & hear from your #Tampa neighbors! Check out @CafeconTampa @OxfordExchange most Friday mornings https:// twitter.com/cafecontampa/s tatus/870618851175694336 …";;@CafeconTampa @OxfordExchange;#Tampa;"871384696831303680";https://twitter.com/USRepKCastor/status/871384696831303680
;2017-06-03 18:26;3;14;"Mark your calendars June 21 for the biggest showdown in DC! Congress & Press Corps… https://www. instagram.com/p/BU5VQCVlLjJ/";;;;"871146120784879616";https://twitter.com/USRepKCastor/status/871146120784879616
;2017-06-02 09:54;44;95;"Very troubling to hear #FL Gov Scott defend Trump quitting climate deal! Floridians get higher costs, fewer clean energy jobs, risky future";;;#FL;"870654889894051840";https://twitter.com/USRepKCastor/status/870654889894051840
;2017-06-01 17:32;14;34;"Need a new commitment in FL to reduce carbon pollution, build clean energy economy! READ http://www. cltampa.com/news-views/env ironment/article/20863356/people-are-pretty-pissed-about-trump-pulling-out-of-the-paris-climate-deal-especially-in-florida …";;;;"870407734855950336";https://twitter.com/USRepKCastor/status/870407734855950336
;2017-06-01 16:40;15;28;"By pulling out of the Paris Climate Accord, Trump is making light of the grave, pressing threat of climate change. https:// castor.house.gov/news/documents ingle.aspx?DocumentID=398423 …";;;;"870394690213957632";https://twitter.com/USRepKCastor/status/870394690213957632
;2017-06-01 14:43;28;47;"#Florida families, businesses will see higher costs, drag on clean energy jobs, economic harm bc Trump quits climate deal #ActOnClimate";;;#Florida #ActOnClimate;"870365094412247040";https://twitter.com/USRepKCastor/status/870365094412247040
;2017-05-31 14:08;0;1;"@EnvFL , @SierraClubFL , @LCVoters , @NRDC , @SEIA , @Earthjustice https:// twitter.com/USRepKCastor/s tatus/869993033307234314 …";;@EnvFL @SierraClubFL @LCVoters @NRDC @SEIA @Earthjustice;;"869994012505104384";https://twitter.com/USRepKCastor/status/869994012505104384
;2017-05-31 14:04;32;40;"Trump’s decision to pull the U.S. out of the Paris Climate Accord is a huge economic blow to the state of Florida. https:// castor.house.gov/news/documents ingle.aspx?DocumentID=398422 …";;;;"869993033307234314";https://twitter.com/USRepKCastor/status/869993033307234314
;2017-05-30 14:06;2;17;"Enjoy the U.S. Capitol and awesome national monuments, museums! @youbexbelieve https:// twitter.com/youbexbelieve/ status/869629699655446529 …";;@youbexbelieve;;"869631129191686144";https://twitter.com/USRepKCastor/status/869631129191686144
;2017-05-29 15:00;1;10;"God Bless the families of the fallen #MemorialDay https:// twitter.com/usnavy/status/ 869167228285071360 …";;;#MemorialDay;"869282388056125441";https://twitter.com/USRepKCastor/status/869282388056125441
;2017-05-29 10:21;6;31;"#MemorialDay2017 Reflect & value all brave Americans who gave every measure of themselves, made ultimate sacrifice pic.twitter.com/QG9TaTLAxK";;;#MemorialDay2017;"869212178439602180";https://twitter.com/USRepKCastor/status/869212178439602180
;2017-05-29 08:25;46;101;"READ my #MemorialDay column http://www. tampabay.com/opinion/column s/column-remember-the-women-who-fought-for-america/2325285 …";;;#MemorialDay;"869182811546292224";https://twitter.com/USRepKCastor/status/869182811546292224
;2017-05-27 08:44;11;42;"Just floored ... what drove these anti-American actions? We must find out, and we will https:// twitter.com/nakashimae/sta tus/868242160797319168 …";;;;"868462888515772416";https://twitter.com/USRepKCastor/status/868462888515772416
;2017-05-26 14:17;3;16;"Thank you for leadership on #opioidepidemic @USAO_MDFL @ACEPNow @actsflorida @TampaVA @fdlepio @dacco_office @HCADA pic.twitter.com/AYPUgwAC75";;@USAO_MDFL @ACEPNow @actsflorida @TampaVA @fdlepio @dacco_office @HCADA;#opioidepidemic;"868184218135912449";https://twitter.com/USRepKCastor/status/868184218135912449
;2017-05-26 14:15;1;8;"Thank you for leadership in tackling #OpiodCrisis @FLBoardofMed @HCSOSheriff @DEAHQ @USFCBCS #Tampa pic.twitter.com/nYmO7reECA";;@FLBoardofMed @HCSOSheriff @DEAHQ @USFCBCS;#OpiodCrisis #Tampa;"868183850844815364";https://twitter.com/USRepKCastor/status/868183850844815364
;2017-05-25 13:08;2;8;"After higher college costs for families in Trump Republican budget, students need advocates more than ever @RepJoeCourtney #BankonStudents https:// twitter.com/repjoecourtney /status/752988703853871104 …";;@RepJoeCourtney;#BankonStudents;"867804646064222210";https://twitter.com/USRepKCastor/status/867804646064222210
;2017-05-24 19:45;3;4;"READ http://www. tampabay.com/news/politics/ national/cbo-analysis-23-million-would-lose-health-coverage-under-house-passed-bill/2325063 …";;;;"867542102519021568";https://twitter.com/USRepKCastor/status/867542102519021568
;2017-05-24 17:45;9;16;"House Rs didn't wait for CBO score to pass Trumpcare. If its harmful impact was known, it would've met a quick end. https:// castor.house.gov/news/documents ingle.aspx?DocumentID=398417 …";;;;"867511783703052288";https://twitter.com/USRepKCastor/status/867511783703052288
;2017-05-24 17:34;16;28;"#Florida families: let's stand up to this political power play that shifts $Trillion(!) from working families to wealthy special interests https:// twitter.com/aarpadvocates/ status/867485123255689217 …";;;#Florida;"867509082336440320";https://twitter.com/USRepKCastor/status/867509082336440320
;2017-05-24 15:58;20;15;"CBO confirms GOP health bill rips health coverage away from millions of families, raises costs, steals from Medicare dire for #FL https:// twitter.com/uscbocostest/s tatus/867478434590732288 …";;;#FL;"867484905911066624";https://twitter.com/USRepKCastor/status/867484905911066624
;2017-05-24 06:03;8;15;"Castor Says Trump Budget Is 'Immediate Threat' to Floridians, Businesses http://www. tbreporter.com/politics/casto r-trump-budget-immediate-threat-floridians-businesses/ … #TrumpBudget";;;#TrumpBudget;"867335291610308608";https://twitter.com/USRepKCastor/status/867335291610308608
;2017-05-23 21:06;10;22;"Yes, thank you! Kids need champions, opportunities @ussoccerfndn @heathermitts @Arturo_Sarukhan @RepBonamici @RepKihuen #DemsWin https:// twitter.com/repkihuen/stat us/867193604586037248 …";;@ussoccerfndn @heathermitts @Arturo_Sarukhan @RepBonamici @RepKihuen;#DemsWin;"867200122333147137";https://twitter.com/USRepKCastor/status/867200122333147137
;2017-05-23 16:40;6;10;"Let's give kids across America opportunity to be healthy, well & good sports! @ussoccerfndn @RepKihuen @RepBonamici @RepRickLarsen https:// twitter.com/ussoccerfndn/s tatus/867092483003621378 …";;@ussoccerfndn @RepKihuen @RepBonamici @RepRickLarsen;;"867133140866801664";https://twitter.com/USRepKCastor/status/867133140866801664
;2017-05-23 16:09;13;19;"Trump’s budget is an immediate threat to my neighbors, families and small business owners. http:// castor.house.gov/news/documents ingle.aspx?DocumentID=398414 …";;;;"867125242325553155";https://twitter.com/USRepKCastor/status/867125242325553155
