username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 08:11;13;25;"As situation in Alexandria develops, my prayers for a speedy recovery are with Rep. @SteveScalise , our Capitol Police, and staffers.";;@SteveScalise;;"874977669103878144";https://twitter.com/USRepKeating/status/874977669103878144
;2017-06-10 08:02;7;16;"My op-ed in the Globe on how we can get to the bottom of Russia's attack on our country: https://www. bostonglobe.com/opinion/2017/0 6/09/clear-decks-are-under-attack-from-russia/kE8X4oKxuJngw47Hd8J7UP/story.html …";;;;"873525776339132416";https://twitter.com/USRepKeating/status/873525776339132416
;2017-06-03 19:16;14;36;"Keeping all affected in London attacks in my thoughts & prayers. Will continue to monitor situation as Ranking Member of Terrorism Subcomm.";;;;"871158624512593920";https://twitter.com/USRepKeating/status/871158624512593920
;2017-06-01 15:04;6;20;"US has stepped aside & allowed allies & adversaries alike to fill our shoes as both an economic & moral leader. #ParisAgreement pic.twitter.com/Av0y4xHB22";;;#ParisAgreement;"870370426693849090";https://twitter.com/USRepKeating/status/870370426693849090
;2017-05-31 10:19;10;31;"If Trump moves to leave #ParisAgreement , he will single-handedly limit US leadership, stifle economic growth & threaten our security.";;;#ParisAgreement;"869936296839479297";https://twitter.com/USRepKeating/status/869936296839479297
;2017-05-29 10:23;4;11;"Today we honor the memory of our fallen heroes who sacrificed all, so that we can live free. pic.twitter.com/Z6Mn6rbyNd";;;;"869212521458257920";https://twitter.com/USRepKeating/status/869212521458257920
;2017-05-25 14:48;4;7;"Kaiser Family Foundation: #GOP voted for Medicaid & CHIP cuts that jeopardize treatment for 3 in 10 Americans w/opioid addiction. #Trumpcare pic.twitter.com/w9F2IZDgjM";;;#GOP #Trumpcare;"867829701846421506";https://twitter.com/USRepKeating/status/867829701846421506
;2017-05-24 16:52;7;10;"#Trumpcare steals from us all to give to the richest of the rich.";;;#Trumpcare;"867498450908270592";https://twitter.com/USRepKeating/status/867498450908270592
;2017-05-24 16:49;8;11;"CBO: #GOP voted to gut Medicaid, strip guarantees for basic services & pre-existing conditions; & #Trumpcare still leaves 23m uninsured.";;;#GOP #Trumpcare;"867497832470560768";https://twitter.com/USRepKeating/status/867497832470560768
;2017-05-24 09:04;7;5;"Disastrous data from Globe: uninsured in MA could rise to over 10% under #Trumpcare . Currently ~3%, lowest in US. http:// bit.ly/2qOVzwE";;;#Trumpcare;"867380784751095808";https://twitter.com/USRepKeating/status/867380784751095808
;2017-05-19 14:46;10;31;"Is anyone surprised that POTUS boasted to Russian diplomats about his dismissal of Comey to relieve pressure? Careless & dangerous.";;;;"865655007764332544";https://twitter.com/USRepKeating/status/865655007764332544
;2017-05-17 16:24;6;31;"Proud to be original co-sponsor of legislation in Congress to make 5/17 International Day Against Homophobia & Transphobia #IDAHOT";;;#IDAHOT;"864954799019749376";https://twitter.com/USRepKeating/status/864954799019749376
;2017-05-16 17:32;31;84;"As frmr prosecutor, I believe an obstruction of justice investigation is warranted. Investigation should not be limited to Intel Committees.";;;;"864609467823947780";https://twitter.com/USRepKeating/status/864609467823947780
;2017-05-15 20:31;19;49;"With American lives & those of our allies jeopardized, the long silence from Congressional Republicans is no longer acceptable. (2/2)";;;;"864292276931088385";https://twitter.com/USRepKeating/status/864292276931088385
;2017-05-15 20:30;13;47;"POTUS revealing classified information to a hostile foreign nation betrays his fundamental obligation as commander in chief. (1/2)";;;;"864291956750462976";https://twitter.com/USRepKeating/status/864291956750462976
;2017-05-12 06:40;23;48;"Time to end Republican silence in the House. Support special prosecutor or be part of the coverup.";;;;"862995925614067713";https://twitter.com/USRepKeating/status/862995925614067713
;2017-05-11 06:49;11;38;"More important than ever to keep investigation going. All Americans must keep demanding answers. Only way we'll get to truth.";;;;"862635782179311616";https://twitter.com/USRepKeating/status/862635782179311616
;2017-05-11 06:48;9;34;"So clear Comey was fired because investigation was heating up.";;;;"862635448266522624";https://twitter.com/USRepKeating/status/862635448266522624
;2017-05-09 18:25;28;63;"Taking place in middle of investigation into cyber attack on US and Trump involvement, this shatters public confidence in our systems. (2/2)";;;;"862086090534080512";https://twitter.com/USRepKeating/status/862086090534080512
;2017-05-09 18:24;48;85;"As a former prosecutor, Comey firing again underscores the need for independent investigation of Trump campaign. (1/2)";;;;"862085956035280897";https://twitter.com/USRepKeating/status/862085956035280897
