username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 13:55;44;119;"Our first thought was to pray for our colleagues, their staff, and the police. Pls keep them in your thoughts and prayers. https:// twitter.com/RepKihuen/stat us/874961886722363393 …";;;;"875064262850473984";https://twitter.com/USRepMikeDoyle/status/875064262850473984
;2017-06-12 09:52;6;34;"Nice to see you in Pittsburgh again, Lord Stanley! Back to Back Stanley Cup Champs!! pic.twitter.com/B9sO3xd4A9";;;;"874278331205734400";https://twitter.com/USRepMikeDoyle/status/874278331205734400
;2017-06-09 13:34;3;9;"Urged @HouseCommerce GOP to hold bipartisan hearings with @EnergyCommerce Dems on reducing prescription drug costs: https:// democrats-energycommerce.house.gov/newsroom/press -releases/ec-democrats-send-letter-requesting-drug-price-hearing …";;@HouseCommerce @EnergyCommerce;;"873247037235613698";https://twitter.com/USRepMikeDoyle/status/873247037235613698
;2017-06-08 16:30;20;57;"Voted against "Financial CHOICE Act" - @GOP bill to repeal #DoddFrank #WallStReform law. #WrongChoiceAct guts consumer/investor protections. pic.twitter.com/GvMqbsFKNo";;@GOP;#DoddFrank #WallStReform #WrongChoiceAct;"872928828305395713";https://twitter.com/USRepMikeDoyle/status/872928828305395713
;2017-06-06 19:23;13;20;"Medicaid's the largest health insurer for kids with disabilities & special health needs like those with #Autism #SaveMedicaid #Ignite4Autism pic.twitter.com/xHYwMLVn9d";;;#Autism #SaveMedicaid #Ignite4Autism;"872247621980758016";https://twitter.com/USRepMikeDoyle/status/872247621980758016
;2017-06-06 19:21;3;13;"More funding for nursing home care comes from #Medicaid than any other source. #MedicaidWorks #SaveMedicaid #DontCutOurCare #DontCapOurCare pic.twitter.com/UosCYgwQYE";;;#Medicaid #MedicaidWorks #SaveMedicaid #DontCutOurCare #DontCapOurCare;"872247145096785920";https://twitter.com/USRepMikeDoyle/status/872247145096785920
;2017-06-06 19:19;7;15;"2/3 of #Medicaid spending pays for healthcare and nursing home care for elderly and disabled Americans #SaveMedicaid #DontCutOurCare pic.twitter.com/zXXBr5UN0r";;;#Medicaid #SaveMedicaid #DontCutOurCare;"872246606741073921";https://twitter.com/USRepMikeDoyle/status/872246606741073921
;2017-06-06 19:16;11;21;"#Medicaid provides health insurance for more than a third (39%) of the kids in this country. #SaveMedicaid http://www. kff.org/medicaid/fact- sheet/presidents-2018-budget-proposal-reduces-federal-funding-for-coverage-of-children-in-medicaid-and-chip/ …";;;#Medicaid #SaveMedicaid;"872245828534116352";https://twitter.com/USRepMikeDoyle/status/872245828534116352
;2017-06-06 19:15;8;12;"The #Medicaid cuts in #Trumpcare ($839 Billion) and #Trumpbudget ($610 Billion) would cut Medicaid funding in half by 2027. #SaveMedicaid pic.twitter.com/xU5DhFFIXo";;;#Medicaid #Trumpcare #Trumpbudget #SaveMedicaid;"872245484634689536";https://twitter.com/USRepMikeDoyle/status/872245484634689536
;2017-06-05 14:07;6;38;"Proud to receive 100% score from Alliance for Retired Americans. Will continue to stand up for our retirees! https:// retiredamericans.org/wp-content/upl oads/2017/06/AFRA-Voting-Guide-2016_Final-2.pdf …";;;;"871805716427935744";https://twitter.com/USRepMikeDoyle/status/871805716427935744
;2017-06-02 12:47;17;38;"It's clear @POTUS doesn’t understand #ParisAccord . It’s nonbinding, can’t be renegotiated, and more. From @drvox , https://www. vox.com/energy-and-env ironment/2017/6/2/15727984/deceptions-trump-paris-speech …";;@POTUS @drvox;#ParisAccord;"870698295659593730";https://twitter.com/USRepMikeDoyle/status/870698295659593730
