username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 17:15;1;2;"Sec. Tillerson outlined FY18 budget priorities @StateDept ! @HouseAppropsGOP continuing open process & regular order! https:// appropriations.house.gov/calendar/event single.aspx?EventID=394899 …";;@StateDept @HouseAppropsGOP;;"875114518338314240";https://twitter.com/USRepRodney/status/875114518338314240
;2017-06-14 16:18;1;3;"As we mark #MensHealthWeek - encourage men to get screened to prevent prostate cancer!";;;#MensHealthWeek;"875100045812563968";https://twitter.com/USRepRodney/status/875100045812563968
;2017-06-12 16:06;1;4;"Thank you @stevenmnuchin1 for testifying before @HouseAppropsGOP on FY18 priorities to recreate service-first IRS! https://www. c-span.org/video/?429726- 1/treasury-secretary-testifies-fy-2018-budget …";;@stevenmnuchin1 @HouseAppropsGOP;;"874372369611149316";https://twitter.com/USRepRodney/status/874372369611149316
;2017-06-11 16:17;0;0;"Great Sunday at Sanskriti of New Jersey event in #Livingston ! pic.twitter.com/3VVQEKvwpE";;;#Livingston;"874012849659678720";https://twitter.com/USRepRodney/status/874012849659678720
;2017-06-11 12:53;1;7;"One of my favorite events across #NJ11th - visited #WayneDay to check in with #PassaicCounty residents on important local priorities! pic.twitter.com/qlJI5i7CI7";;;#NJ11th #WayneDay #PassaicCounty;"873961404717510659";https://twitter.com/USRepRodney/status/873961404717510659
;2017-06-11 12:02;0;6;"Visited #Livingston UNICO sports awards breakfast! Congrats to all! pic.twitter.com/ArmWcKCUb0";;;#Livingston;"873948576786894856";https://twitter.com/USRepRodney/status/873948576786894856
;2017-06-10 13:40;3;4;"Thanks for having me at the #Roseland Community Fair and Mayor's trophy game! pic.twitter.com/U5qvoPSb0p";;;#Roseland;"873610875629948932";https://twitter.com/USRepRodney/status/873610875629948932
;2017-06-10 12:20;1;7;"Great to see everyone out in #Chatham at the Fishawick Festival and best of luck to all the runners this morning! pic.twitter.com/u1gbjzil2K";;;#Chatham;"873590760205058048";https://twitter.com/USRepRodney/status/873590760205058048
;2017-06-10 10:06;0;6;"Stopped by Cedar Grove Elks event in Totowa! Benefiting NJ Elks Camp Moore! pic.twitter.com/Kql0LwrBqT";;;;"873556984687206400";https://twitter.com/USRepRodney/status/873556984687206400
;2017-06-10 09:47;0;7;"#BigGreekFestival in #Randolph provided great opportunity to continue Listening Tour with #MorrisCounty residents! Thanks for having me! pic.twitter.com/osvshHT9h0";;;#BigGreekFestival #Randolph #MorrisCounty;"873552144875614208";https://twitter.com/USRepRodney/status/873552144875614208
