username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 09:56;46;207;"An attack on one is an attack on all. Praying for a speedy recovery for Rep. Scalise and other victims. Big salute to Capitol Police!";;;;"875004045701906432";https://twitter.com/ChrisVanHollen/status/875004045701906432
;2017-06-13 16:57;29;69;"Americans' health care is too important to ram it through the Senate under cover of darkness. #ProtectOurCare";;;#ProtectOurCare;"874747680882339842";https://twitter.com/ChrisVanHollen/status/874747680882339842
;2017-06-13 16:55;36;48;". @SenateGOP plan to rush their health care bill for a vote before July 4 w/ no opportunity for Dems—or the public—to review the details.";;@SenateGOP;;"874746965707370497";https://twitter.com/ChrisVanHollen/status/874746965707370497
;2017-06-13 16:54;19;51;". @SenateGOP 's efforts to draft a #Trumpcare 2.0 bill have been shrouded in unprecedented secrecy.";;@SenateGOP;#Trumpcare;"874746708353306624";https://twitter.com/ChrisVanHollen/status/874746708353306624
;2017-06-13 16:53;63;122;"Don't forget: In 2009, the Senate spent 25 days publicly debating the details of the #ACA before passing the bill.";;;#ACA;"874746559350571012";https://twitter.com/ChrisVanHollen/status/874746559350571012
;2017-06-13 16:52;122;236;"Why are Senate Republicans drafting their health care bill in secret? They are clearly afraid the American people will hate what they see. https:// twitter.com/nytopinion/sta tus/874571835215622144 …";;;;"874746420909273093";https://twitter.com/ChrisVanHollen/status/874746420909273093
;2017-06-13 11:45;467;816;"Seems Trump’s disdain for the First Amendment has reached Capitol Hill. Our work should be open and transparent—let’s reverse this order. https:// twitter.com/kasie/status/8 74650189885263872 …";;;;"874669104317300736";https://twitter.com/ChrisVanHollen/status/874669104317300736
;2017-06-13 11:21;37;78;"Looks like the troubling pattern continues, and they will try to fire anyone who doesn't pledge loyalty to Trump. https://www. nytimes.com/2017/06/12/us/ politics/robert-mueller-trump.html?_r=0 … https:// twitter.com/ChrisVanHollen /status/872858382146863105 …";;;;"874663042595815424";https://twitter.com/ChrisVanHollen/status/874663042595815424
;2017-06-13 10:55;106;144;"Have you looked at the CBO report, @VP ? Fact check: #Trumpcare would strip away health care for 23 million Americans. https:// twitter.com/sarahkliff/sta tus/874632781053255681 …";;@VP;#Trumpcare;"874656441436712962";https://twitter.com/ChrisVanHollen/status/874656441436712962
;2017-06-12 14:48;86;289;"I’m opposing the Trump Admin's efforts to search for oil in the Atlantic—an oil spill would wreck our coastal communities and economies. https:// twitter.com/MatthewDalyWDC /status/871789114718289920 …";;;;"874352706613325824";https://twitter.com/ChrisVanHollen/status/874352706613325824
;2017-06-12 11:56;34;106;"Let today serve as a reminder that what unites us is far stronger than the hate and terror of those who seek to divide us. #OrlandoUnitedDay pic.twitter.com/dolN2wxkwR";;;#OrlandoUnitedDay;"874309447161712640";https://twitter.com/ChrisVanHollen/status/874309447161712640
;2017-06-12 11:36;76;229;"I agree with Sophia—we must do all we can to fight #Trumpcare . Thank you for lifting these stories @Alyssa_Milano . https:// twitter.com/Alyssa_Milano/ status/874275205069365248 …";;@Alyssa_Milano;#Trumpcare;"874304512479068161";https://twitter.com/ChrisVanHollen/status/874304512479068161
;2017-06-11 10:33;291;503;"It is outrageous that @POTUS would reward Russia by allowing spies to return instead of sanctioning them for interfering in our elections. https:// twitter.com/thehill/status /872516050771902486 …";;@POTUS;;"873926212753670144";https://twitter.com/ChrisVanHollen/status/873926212753670144
;2017-06-10 09:41;152;383;"Shameful move by @HouseGOP —I will fight this roll back when it comes to the Senate. Our shared economic prosperity is too important. https:// twitter.com/nytimes/status /872996931206881281 …";;@HouseGOP;;"873550781626056704";https://twitter.com/ChrisVanHollen/status/873550781626056704
;2017-06-09 10:26;40;97;"The Trump Admin acts like they care about minority-owned small businesses but then they cut programs that help them. http:// thehill.com/homenews/admin istration/337036-trumps-budget-would-cut-funds-to-center-ivanka-visited …";;;;"873199550932148227";https://twitter.com/ChrisVanHollen/status/873199550932148227
;2017-06-09 09:09;111;300;"More hot air from someone who has had an estranged relationship with the truth. Mr. President, will you testify under oath like Comey? https:// twitter.com/realDonaldTrum p/status/873120139222306817 …";;;;"873180321419845632";https://twitter.com/ChrisVanHollen/status/873180321419845632
;2017-06-08 21:05;190;434;"Bottom line: Putin attacked our democracy. There's no excuse for inaction. Now is the time for all Americans to be patriots, not partisans. pic.twitter.com/UzWiNwFXir";;;;"872998021235167233";https://twitter.com/ChrisVanHollen/status/872998021235167233
