username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 11:14;46;79;"#OnThisDay in 1921- Texas native, Bessie Coleman, became the world's first licensed black pilot pic.twitter.com/MiMgCKl81I";;;#OnThisDay;"875385915480219648";https://twitter.com/HurdOnTheHill/status/875385915480219648
;2017-06-15 09:31;60;173;"Without these heroes, Agents Bailey & Griner, many lives would've been lost. Thank you for your tremendous bravery. http://www. thedailybeast.com/the-hero-cops- who-prevented-a-congressional-massacre … pic.twitter.com/UXygOiaiW3";;;;"875359995654623233";https://twitter.com/HurdOnTheHill/status/875359995654623233
;2017-06-14 07:41;39;108;"Devastated to hear about this morning's shooting. Praying for @SteveScalise , the officers, and staff injured.";;@SteveScalise;;"874969986514792450";https://twitter.com/HurdOnTheHill/status/874969986514792450
;2017-06-13 19:01;8;46;"Today I voted for the #VAAccountability Protection Act to improve the services we offer vets & their families. They deserve nothing less. pic.twitter.com/Onsvz4vvtx";;;#VAAccountability;"874778664575000576";https://twitter.com/HurdOnTheHill/status/874778664575000576
;2017-06-13 14:15;3;6;"Four agencies’ grades improved, 15 agencies’ grades stayed the same, and five agencies’ grades declined. pic.twitter.com/hgwdNaM2om";;;;"874706690834186240";https://twitter.com/HurdOnTheHill/status/874706690834186240
;2017-06-13 13:39;0;2;"If you aren't already, TUNE INTO the FITARA scorecard hearing http:// bit.ly/2riRkve pic.twitter.com/M12nU2w9aY";;;;"874697664016863233";https://twitter.com/HurdOnTheHill/status/874697664016863233
;2017-06-13 11:36;0;23;"Amen for @HEB delivery. #spicyketchup #HomesickTexan @Whataburger pic.twitter.com/QH4iwVH4h7";;@HEB @Whataburger;#spicyketchup #HomesickTexan;"874666771713855488";https://twitter.com/HurdOnTheHill/status/874666771713855488
;2017-06-13 11:20;4;22;"Happy 73rd Birthday to the breathtakingly beautiful, @BigBendNPS ! #HBD #BigBend #FindYourPark #nationalparks pic.twitter.com/Rdh0qq1SoY";;@BigBendNPS;#HBD #BigBend #FindYourPark #nationalparks;"874662652689207296";https://twitter.com/HurdOnTheHill/status/874662652689207296
;2017-06-13 09:15;10;20;"#MGTAct will allow the fed gov to improve its outdated technology systems & bolster the nation’s #CyberSec defenses. https:// morningconsult.com/opinions/two-y ears-opm-cyberattack-must-done/ … pic.twitter.com/bYWpcqqLkS";;;#MGTAct #CyberSec;"874631194696065029";https://twitter.com/HurdOnTheHill/status/874631194696065029
;2017-06-12 15:20;0;3;"@geekdomfund is the largest tech venture capital fund raised in San Antonio, also largest fund of its kind in TX. https:// therivardreport.com/geekdom-fund-r aises-20-million-for-tech-investments/ …";;@geekdomfund;;"874360810511970304";https://twitter.com/HurdOnTheHill/status/874360810511970304
;2017-06-12 11:30;5;9;"Check out this week's HOTH: http:// bit.ly/2s2B9zk We have a responsibility to care for and maintain our #NationalParks . pic.twitter.com/LpBXoUDF21";;;#NationalParks;"874302783163310080";https://twitter.com/HurdOnTheHill/status/874302783163310080
;2017-06-10 15:22;2;12;"Get your dose of #TexasHistory w/ Father David and me LIVE at Mission Espada #Seen &Hurd #TX23 https://www. facebook.com/61586758854044 1/videos/1178594618934399 …";;;#TexasHistory #Seen #TX23;"873636533659684864";https://twitter.com/HurdOnTheHill/status/873636533659684864
