username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 10:15;2;11;"and we are deeply grateful to first responders whose timely actions prevented further harm and loss of life";;;;"875008808845750272";https://twitter.com/nikiinthehouse/status/875008808845750272
;2017-06-14 10:13;7;14;"Our prayers are with Rep. Scalise, Capitol Police & those who were injured by this AM's horrific act of violence and all of their families";;;;"875008417861173249";https://twitter.com/nikiinthehouse/status/875008417861173249
;2017-06-13 13:14;1;3;"Watch: asked SecDef Mattis/Gen Dunford abt mil's women recruiting & integration efforts, building culture of respect https://www. youtube.com/watch?v=pfCawv -h96A&feature=youtu.be …";;;;"874691536713396225";https://twitter.com/nikiinthehouse/status/874691536713396225
;2017-06-12 12:10;4;9;"Astonishing number of servicemen are sexually assaulted; must support #MST survivors & resources for physical/mental trauma #MensHealthWeek";;;#MST #MensHealthWeek;"874312897928851457";https://twitter.com/nikiinthehouse/status/874312897928851457
;2017-06-12 10:09;2;0;"It’s #NationalMensHealthWeek – visit https://www. cdc.gov/men/nmhw/ for info on how men/boys can make their health a priority this week & beyond";;;#NationalMensHealthWeek;"874282593788801033";https://twitter.com/nikiinthehouse/status/874282593788801033
;2017-06-09 14:52;3;3;"Listen to my interview w @980wcap yesterday morning - we discussed my recent trip to #Germany , climate change & more http://www. 980wcap.com/radio-replays/";;@980wcap;#Germany;"873266481659871236";https://twitter.com/nikiinthehouse/status/873266481659871236
;2017-06-09 10:47;1;3;"#ImmigrantHeritageMonth celebrates diversity/rich heritage that makes our nation stronger, from communities around MA-3 to across the nation";;;#ImmigrantHeritageMonth;"873204997009416193";https://twitter.com/nikiinthehouse/status/873204997009416193
;2017-06-08 16:31;6;23;"Need outside independent commission to investigate free of political influence; Unveiling truth is essential to preserving our democracy 2/2";;;;"872929059679948800";https://twitter.com/nikiinthehouse/status/872929059679948800
;2017-06-08 16:29;3;10;"#ComeyTestimony seriously alleged Trump attempted to intervene in FBI's #Russia investigation - deeply troubling and must be pursued 1/2";;;#ComeyTestimony #Russia;"872928553813381120";https://twitter.com/nikiinthehouse/status/872928553813381120
;2017-06-08 10:16;5;20;"This Alzheimer’s & Brain Awareness Month, I will keep advocating for essential research funding to combat #Alzheimers";;;#Alzheimers;"872834747944366080";https://twitter.com/nikiinthehouse/status/872834747944366080
;2017-06-08 10:14;2;5;"This morning I spoke to @7News about today's #ComeyHearing - check it out here: https://www. youtube.com/watch?v=3_7JUt Dqd7w …";;@7News;#ComeyHearing;"872834187073605633";https://twitter.com/nikiinthehouse/status/872834187073605633
;2017-06-07 14:44;5;18;""America’s relationship w/ Germany is rooted in longstanding shared values" - read abt my recent Cong #Germany trip: https:// tsongas.house.gov/press-releases /tsongas-meets-with-german-government-and-civil-society-leaders-to-discuss-usgerman-alliance/ …";;;#Germany;"872539838725185536";https://twitter.com/nikiinthehouse/status/872539838725185536
;2017-06-07 12:39;13;45;"WATCH: I spoke on House Floor today in strong opposition to POTUS withdrawing U.S. from #ParisAccord #ActOnClimate https://www. youtube.com/watch?v=U_6YD4 LTxaM&feature=youtu.be …";;;#ParisAccord #ActOnClimate;"872508441067171840";https://twitter.com/nikiinthehouse/status/872508441067171840
;2017-06-07 12:05;4;3;"According to #CDC 9,557 TB cases were reported in the U.S. in 2015. Thanks Cynthia & @RESULTS_Tweets for your efforts to fight TB. pic.twitter.com/XiSGUv7rhG";;@RESULTS_Tweets;#CDC;"872499684887146497";https://twitter.com/nikiinthehouse/status/872499684887146497
;2017-06-07 10:03;2;2;"#MensHealthMonth is an opportunity for Congress to recommit to support vital medical research that helps prevention & search for cures";;;#MensHealthMonth;"872469091763793920";https://twitter.com/nikiinthehouse/status/872469091763793920
;2017-06-07 10:00;2;0;"This #MensHealthMonth we emphasize the importance of health care and early treatment for men and boys. http://www. menshealthmonth.org / for info";;;#MensHealthMonth;"872468245110022144";https://twitter.com/nikiinthehouse/status/872468245110022144
;2017-06-06 12:16;12;29;"This #LGBTPrideMonth we celebrate the progress our country has made & recommit to fighting for justice & equality for all #Pride2017";;;#LGBTPrideMonth #Pride2017;"872140205578493956";https://twitter.com/nikiinthehouse/status/872140205578493956
;2017-06-06 11:22;4;14;"On #DDay anniversary, remember our lives are made possible by courage, sacrifice, vigilance of those who fought for freedom - we honor them";;;#DDay;"872126603026997248";https://twitter.com/nikiinthehouse/status/872126603026997248
;2017-06-02 15:42;7;7;"#GunViolenceAwarenessDay – for our kids, communities & country we commit to taking action to end gun violence #wearorange";;;#GunViolenceAwarenessDay #wearorange;"870742394718871554";https://twitter.com/nikiinthehouse/status/870742394718871554
;2017-06-01 14:38;9;10;"Withdrawal denies US contribution to #climatechange , reduces ability to shape solution, retreats from responsibility as a global leader 2/2 pic.twitter.com/TtjzvyCm9o";;;#climatechange;"870364019273732098";https://twitter.com/nikiinthehouse/status/870364019273732098
;2017-06-01 14:37;12;22;". @POTUS withdrawal from #ParisAccord will have detrimental impact on US international relations, world standing, environment & economy 1/2 pic.twitter.com/bvtkgfVorb";;@POTUS;#ParisAccord;"870363757104549889";https://twitter.com/nikiinthehouse/status/870363757104549889
;2017-06-01 12:15;7;10;"Global community has responsibility to #ActOnClimate & U.S. has responsibility to lead, not abandon #ParisAccord - https:// tsongas.house.gov/press-releases /tsongas-statement-on-trump-decision-to-withdraw-from-paris-climate-agreement/ …";;;#ActOnClimate #ParisAccord;"870327848334241797";https://twitter.com/nikiinthehouse/status/870327848334241797
;2017-06-01 10:24;2;12;"Thank you to #Germany President Frank-Walter Steinmeier for meeting with our US Cong Del @CongStudyGroups to discuss critical shared issues pic.twitter.com/00gysmtsiJ";;@CongStudyGroups;#Germany;"870299977293189120";https://twitter.com/nikiinthehouse/status/870299977293189120
;2017-06-01 10:21;5;8;"Important to point out if Trump pulls out of #ParisAccord it'd be us, Syria & Nicaragua as only nations not involved https:// tsongas.house.gov/press-releases /tsongas-statement-on-trump-decision-to-withdraw-from-paris-climate-agreement/ …";;;#ParisAccord;"870299313481691137";https://twitter.com/nikiinthehouse/status/870299313481691137
;2017-05-31 15:05;9;13;"Washington & foreign govts share generational responsibility to combat #climatechange . My #ParisAgreement statement: https:// tsongas.house.gov/press-releases /tsongas-statement-on-trump-decision-to-withdraw-from-paris-climate-agreement/ … pic.twitter.com/icmu6upizI";;;#climatechange #ParisAgreement;"870008396661096448";https://twitter.com/nikiinthehouse/status/870008396661096448
;2017-05-31 12:17;10;24;"#ParisAgreement withdrawal ignores econ/enviro realities; We know #climatechange poses irreparable harm and requires American leadership";;;#ParisAgreement #climatechange;"869966072287514628";https://twitter.com/nikiinthehouse/status/869966072287514628
;2017-05-31 10:00;0;3;"I spoke at a recent Addiction Crisis Forum sponsored by SHAARP. Read more here from the Nashoba Valley Voice: https:// tsongas.house.gov/niki-in-the-ne ws/nashoba-valley-voice-shaarp-speakers-tell-tales-of-addiction-recovery/ …";;;;"869931665350701056";https://twitter.com/nikiinthehouse/status/869931665350701056
;2017-05-29 07:30;5;17;"#MemorialDay is a time to honor all our servicemembers & veterans – we live a life made possible by all they sacrificed";;;#MemorialDay;"869169095702401025";https://twitter.com/nikiinthehouse/status/869169095702401025
;2017-05-29 07:25;6;27;"Today on #MemorialDay we honor the brave men & women who fought & died in service to our country; America joins together in solemn thanks";;;#MemorialDay;"869167744058621953";https://twitter.com/nikiinthehouse/status/869167744058621953
;2017-05-25 11:20;1;2;"Intro'd #BEHEARD Act w @RepMikeTurner to amplify voices of #MST survivors so they get needed services/representation https:// tsongas.house.gov/press-releases /tsongas-turner-help-military-sexual-assault-survivors-be-heard/ … pic.twitter.com/3aRfnvAkfQ";;@RepMikeTurner;#BEHEARD #MST;"867777281741144064";https://twitter.com/nikiinthehouse/status/867777281741144064
;2017-05-24 17:31;51;98;"#Trumpcare was & is harmful to Americans: #CBOScore confirms devastating coverage loss (23M) & threat to those with preexisting conditions";;;#Trumpcare #CBOScore;"867508282205892609";https://twitter.com/nikiinthehouse/status/867508282205892609
;2017-05-24 14:57;1;3;"#PRIVATEAct passed House today - I spoke ystdy in support of this important bill to increase military accountability https://www. youtube.com/watch?v=cEVpBk SugRM …";;;#PRIVATEAct;"867469740637290497";https://twitter.com/nikiinthehouse/status/867469740637290497
;2017-05-24 09:51;6;8;"Thank you to the Greater #Lawrence Family Health Center for meeting yesterday to discuss importance of #TeachingHealthCenters @LFMResidency pic.twitter.com/R4BFhfqViU";;@LFMResidency;#Lawrence #TeachingHealthCenters;"867392518320775169";https://twitter.com/nikiinthehouse/status/867392518320775169
;2017-05-23 16:00;4;9;"Spoke on Floor re PRIVATE Act, which holds military members who share intimate digital media w/o consent accountable https://www. youtube.com/watch?v=cEVpBk SugRM&feature=youtu.be …";;;;"867123144066248709";https://twitter.com/nikiinthehouse/status/867123144066248709
;2017-05-23 14:37;8;20;""reckless & misguided...literally taking food out of the mouths of children & seniors" - My #TrumpBudget statement: https:// tsongas.house.gov/press-releases /tsongas-statement-on-president-trumps-budget/ … pic.twitter.com/L3N6COtFmk";;;#TrumpBudget;"867102308819140608";https://twitter.com/nikiinthehouse/status/867102308819140608
;2017-05-23 14:13;7;9;"#Trumpbudget negative impact on MA = healthcare / econ development / innovation & research losses due to reckless Medicaid / EPA / NIH cuts";;;#Trumpbudget;"867096092961374208";https://twitter.com/nikiinthehouse/status/867096092961374208
;2017-05-23 14:00;5;6;"#TrumpBudget puts the future of our country at risk & places heavy burden on hardworking U.S. families. My statement https:// tsongas.house.gov/press-releases /tsongas-statement-on-president-trumps-budget/ … pic.twitter.com/9pk4mnIUkl";;;#TrumpBudget;"867092861464039425";https://twitter.com/nikiinthehouse/status/867092861464039425
;2017-05-22 08:45;1;7;"Honored to participate in #Lowell Cemetery’s Memorial Day Remembrance & deliver remarks in honor of our nation’s servicemembers & #veterans pic.twitter.com/fb91jVPtkj";;;#Lowell #veterans;"866651140594819073";https://twitter.com/nikiinthehouse/status/866651140594819073
;2017-05-18 16:04;1;6;"Discussed importance of women recruitment & service w/ military officials this week – watch our discussion here: https://www. youtube.com/watch?v=pfedY2 B9r0w …";;;;"865312261623230464";https://twitter.com/nikiinthehouse/status/865312261623230464
;2017-05-18 10:50;9;27;"Even w/ #Mueller as special prosecutor there remains the need for Congress to move forward with a truly independent, outside commission 2/2";;;#Mueller;"865233106646773760";https://twitter.com/nikiinthehouse/status/865233106646773760
;2017-05-18 10:49;5;15;"#Mueller is solid special prosecutor choice to investigate #TrumpRussia ties; he must have independence & resources to do job thoroughly 1/2";;;#Mueller #TrumpRussia;"865232970373902336";https://twitter.com/nikiinthehouse/status/865232970373902336
;2017-05-17 10:32;12;18;"Today on #IDAHOT I join my fellow @LGBTEqCaucus members to voice unwavering support for #LGBT people around the world pic.twitter.com/huNnphHtXK";;@LGBTEqCaucus;#IDAHOT #LGBT;"864866131408015360";https://twitter.com/nikiinthehouse/status/864866131408015360
