username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 07:59;9;23;"Shocking news. Thinking of my friend @SteveScalise , Capitol police, staff and families.";;@SteveScalise;;"874974529390604288";https://twitter.com/PeterWelch/status/874974529390604288
;2017-06-13 14:53;1;3;"It was great to have #VT Energy Control Systems co-founders Bill Kuhns and Ralph Shepard in the House today! pic.twitter.com/LNl9G9Vy5C";;;#VT;"874716306741899264";https://twitter.com/PeterWelch/status/874716306741899264
;2017-06-13 12:19;2;6;"Afternoon read: Why it’s time to make it legal for Americans to get prescription drugs from Canada @statnews https://www. statnews.com/pharmalot/2017 /06/12/drug-importation-canada/ …";;@statnews;;"874677640845815809";https://twitter.com/PeterWelch/status/874677640845815809
;2017-06-13 10:32;1;7;"Joined @EnergyCommerce colleagues in demanding @HouseCommerce hold a hearing on the skyrocketing cost of drugs http:// welch.house.gov/sites/welch.ho use.gov/files/Health%202017.06.09.%20Letter%20re%20FDA%20user%20fees%20and%20prescription%20prices.pdf … pic.twitter.com/uHgeJ7ESbC";;@EnergyCommerce @HouseCommerce;;"874650751150292993";https://twitter.com/PeterWelch/status/874650751150292993
;2017-06-13 07:53;1;6;"#VT continues to lead the way in treating opioid addiction. Thank you for your great work, @BrandondelPozo #BTV https://www. nytimes.com/2017/06/12/nyr egion/when-opioid-addicts-find-an-ally-in-blue.html?_r=0 …";;@BrandondelPozo;#VT #BTV;"874610771191267328";https://twitter.com/PeterWelch/status/874610771191267328
;2017-06-12 16:06;5;30;"We grieve with their loved ones &, during #PrideMonth , commit ourselves to the values of love, diversity, equality, and acceptance https:// twitter.com/PeterWelch/sta tus/874372281270665217 …";;;#PrideMonth;"874372388091305984";https://twitter.com/PeterWelch/status/874372388091305984
;2017-06-12 16:06;5;20;"Today, we remember the 49 who were killed in a hateful act of terror targeting LGBT community #PulseNightclub #OrlandoUnitedDay #Pride2017 pic.twitter.com/kQvyntEugy";;;#PulseNightclub #OrlandoUnitedDay #Pride2017;"874372281270665217";https://twitter.com/PeterWelch/status/874372281270665217
;2017-06-09 13:27;5;20;"Happy #DairyMonth ! Dairy is an integral part of #VT 's economy & culture. I'm thankful for the 850+ dairy farms that call Vermont home!";;;#DairyMonth #VT;"873245163975581698";https://twitter.com/PeterWelch/status/873245163975581698
;2017-06-08 16:15;68;112;"#WrongChoiceAct guts Dodd-Frank and gives opening to #WallStreet to once again play casino poker with taxpayer money. Voted NO. pic.twitter.com/jqw0MTIeAU";;;#WrongChoiceAct #WallStreet;"872924966190276608";https://twitter.com/PeterWelch/status/872924966190276608
;2017-06-07 16:17;3;18;"Drug prices are out of control. I intro'd an amend't to allow #VT 'ers to import safe, low-cost drugs from Canada https://www. youtube.com/watch?v=g8hoRT yn26o&feature=youtu.be …";;;#VT;"872563126906093569";https://twitter.com/PeterWelch/status/872563126906093569
;2017-06-07 13:35;6;17;"Outrageous. The #Trump Administration should respect the oversight role of all members of Congress regardless of party. https:// twitter.com/OversightDems/ status/872448388175994881 …";;;#Trump;"872522407621296129";https://twitter.com/PeterWelch/status/872522407621296129
;2017-06-06 16:18;1;14;"#Vermont 's Lake Champlain Islands are truly an "outdoor lover’s paradise" @nytimestravel https://www. nytimes.com/2017/06/06/tra vel/lake-champlain-islands-vermont-culture.html …";;@nytimestravel;#Vermont;"872201049909624832";https://twitter.com/PeterWelch/status/872201049909624832
;2017-06-06 14:35;1;30;"Happy to announce w/ @SenatorLeahy & @SenSanders $3 million in grants for @Americorps programs in #Vermont https:// vtdigger.org/2017/06/02/ame ricorps-scores-big-federal-grant/ …";;@SenatorLeahy @SenSanders @Americorps;#Vermont;"872175189437681664";https://twitter.com/PeterWelch/status/872175189437681664
;2017-06-06 11:32;1;7;"Joined @RepStephenLynch in calling for @GOPoversight hearing examining @POTUS 's long-term military strategies in Syria & Afghanistan pic.twitter.com/CKj8bhnA1I";;@RepStephenLynch @GOPoversight @POTUS;;"872129141738491905";https://twitter.com/PeterWelch/status/872129141738491905
;2017-06-06 10:36;3;10;". @POTUS & his Admin continue their shameful assault on women's reproductive rights & access to contraception https://www. nytimes.com/2017/06/01/us/ politics/birth-control-women-trump-health-care.html?smprod=nytcore-iphone&smid=nytcore-iphone-share&_r=0 …";;@POTUS;;"872114956497559552";https://twitter.com/PeterWelch/status/872114956497559552
;2017-06-06 09:32;6;19;"Today, on #DDay , we remember the brave Allied troops who captured Normandy & freed a continent from despotism #DDay73";;;#DDay #DDay73;"872098902727700481";https://twitter.com/PeterWelch/status/872098902727700481
;2017-06-01 15:28;19;40;"The United States joins Syria and Nicaragua as the only nations not part of the #ParisAgreement . Shameful. http:// nyti.ms/2rgjMMH";;;#ParisAgreement;"870376618950365184";https://twitter.com/PeterWelch/status/870376618950365184
;2017-06-01 14:19;19;94;"Being the president's son-in-law does not put @jaredkushner above the law. Joined with @RepDonBeyer : http://www. politico.com/story/2017/05/ 31/kushner-security-clearance-democrats-239001 …";;@jaredkushner @RepDonBeyer;;"870359120918007810";https://twitter.com/PeterWelch/status/870359120918007810
;2017-05-31 14:18;6;9;"#Netneutrality is next up on @FCC chopping block. Let's make sure it doesn't suffer same fate as privacy. Speak up: https://www. fcc.gov/ecfs/filings/e xpress …";;@FCC;#Netneutrality;"869996463442579457";https://twitter.com/PeterWelch/status/869996463442579457
;2017-05-31 14:16;4;7;"The stunning tale of how GOP leaders & lobbyists repealed a rule ensuring consumers' internet privacy rights https://www. washingtonpost.com/politics/how-c ongress-dismantled-federal-internet-privacy-rules/2017/05/29/7ad06e14-2f5b-11e7-8674-437ddb6e813e_story.html?utm_term=.c0dac044ee69 …";;;;"869996040404992001";https://twitter.com/PeterWelch/status/869996040404992001
;2017-05-31 12:45;11;30;"Combating #climatechange is the challenge of our time. @POTUS , we can't afford to walk away from #ParisAgreement http://www. politico.com/story/2017/05/ 31/trump-paris-climate-change-agreement-238974 …";;@POTUS;#climatechange #ParisAgreement;"869973077194670080";https://twitter.com/PeterWelch/status/869973077194670080
;2017-05-29 07:57;12;33;"On this #MemorialDay , & every day, we honor all who've made the ultimate sacrifice protecting our country. We will never forget your service pic.twitter.com/KyUq4SfXLK";;;#MemorialDay;"869175744911429632";https://twitter.com/PeterWelch/status/869175744911429632
;2017-05-26 12:49;1;14;"Proud to join @repbenraylujan in intro'ing leg. to create a national energy standard to reduce emissions. Read more: https:// goo.gl/WypmeH";;@repbenraylujan;;"868162184702025730";https://twitter.com/PeterWelch/status/868162184702025730
;2017-05-25 11:30;2;14;"Great to see so many #Vermonters sharing their thoughts on @FCC rollback of net neutrality rules. Keep it up! https:// twitter.com/taylordobbs/st atus/867777972635303936 …";;@FCC;#Vermonters;"867780021498269696";https://twitter.com/PeterWelch/status/867780021498269696
;2017-05-24 16:47;1;8;"#CBOSCORE confirms what we already knew about #Trumpcare : it’s a disaster https://www. washingtonpost.com/national/healt h-science/uninsured-ranks-still-to-grow-by-tens-of-millions-under-latest-house-health-care-bill-cbo-says/2017/05/24/81a42648-40b0-11e7-8c25-44d09ff5a4a8_story.html?hpid=hp_hp-top-table-main_cbo-510pm%3Ahomepage%2Fstory&utm_term=.6f34be46780a …";;;#CBOSCORE #Trumpcare;"867497271327416320";https://twitter.com/PeterWelch/status/867497271327416320
;2017-05-24 14:35;1;7;"I'm cosponsoring leg. w @RepJoeCourtney to provide student debt forgiveness to young folks committed to an Ag career https:// vtdigger.org/2017/05/14/stu dent-loan-forgiveness-help-farmers-grow/ … https:// twitter.com/PeterWelch/sta tus/867463741687951360 …";;@RepJoeCourtney;;"867464035746316288";https://twitter.com/PeterWelch/status/867464035746316288
