username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-05-18 14:25;6;12;"For those who were not able to catch today's hearing on tax reform, you can watch the full hearing here: https://www. youtube.com/watch?v=cKf7Pm e7lt8 …";;;;"865287304612544513";https://twitter.com/RepDavid/status/865287304612544513
;2017-05-18 09:44;7;20;"The time is now for tax reform @WaysandMeansGOP pic.twitter.com/NiUs62cba8";;@WaysandMeansGOP;;"865216484691386368";https://twitter.com/RepDavid/status/865216484691386368
;2017-05-11 12:05;7;10;"@WaysandMeansGOP is taking important steps to fix our broken tax code. Next Thursday, we will discuss our pro-growth plan for tax reform. pic.twitter.com/Kp2n2DqLVt";;@WaysandMeansGOP;;"862715339112554496";https://twitter.com/RepDavid/status/862715339112554496
;2017-05-08 13:16;4;1;"We are the West https:// twitter.com/westerncaucus/ status/861575774624763904 …";;;;"861645997067214848";https://twitter.com/RepDavid/status/861645997067214848
;2017-05-04 09:57;4;6;"Sharing my presentation from yesterday. I explain why America, and more specifically AZ, needs healthcare reform-- https://www. c-span.org/video/?c466821 9/rep-schweikert-may-3-2017 …";;;;"860146471403966467";https://twitter.com/RepDavid/status/860146471403966467
;2017-05-04 09:01;2;3;"Scott Garrett will do great at the Ex-Im Bank! I support his effort to make healthier & more transparent capital markets!";;;;"860132244438085632";https://twitter.com/RepDavid/status/860132244438085632
;2017-05-03 16:50;6;16;"I try https:// twitter.com/heatherscope/s tatus/859877491581833217 …";;;;"859888014864125952";https://twitter.com/RepDavid/status/859888014864125952
;2017-05-03 16:14;3;11;"Live on the House Floor for the next 60 minutes to discuss healthcare, the debt ceiling, and technological innovation. Please tune in!";;;;"859878861349191684";https://twitter.com/RepDavid/status/859878861349191684
;2017-04-26 18:13;5;8;"We must unite around a shared vision to make taxation fairer and simpler for both businesses and individuals. https:// twitter.com/azcapitoltimes /status/857369655924543488 …";;;;"857372209576280065";https://twitter.com/RepDavid/status/857372209576280065
;2017-04-18 18:26;31;103;"https:// waysandmeans.house.gov/taxreform @WaysandMeansGOP pic.twitter.com/bDG0goYAZK";;@WaysandMeansGOP;;"854476182716268544";https://twitter.com/RepDavid/status/854476182716268544
;2017-04-03 16:53;6;4;"The graphic speaks for itself, other spending is being cut in order to fund our mandatory programs and Net Interest. pic.twitter.com/Geuee29eW4";;;;"849017015759187968";https://twitter.com/RepDavid/status/849017015759187968
;2017-04-01 08:00;3;2;"Discussion about the future of healthcare with @ffweekend . Thank you for having me on this morning. http:// video.foxnews.com/v/538152566800 1/?playlist_id=930909787001#sp=show-clips …";;@ffweekend;#sp;"848158091376025600";https://twitter.com/RepDavid/status/848158091376025600
;2017-03-30 15:00;4;4;"Earlier from Fox Business: http:// video.foxbusiness.com/v/537921103100 1/ …";;;;"847538950294122497";https://twitter.com/RepDavid/status/847538950294122497
;2017-03-27 14:27;0;2;"Thank you for having me on this morning @JimSharpe https:// twitter.com/JimSharpe/stat us/846347001407033344 …";;@JimSharpe;;"846443468616617984";https://twitter.com/RepDavid/status/846443468616617984
;2017-03-27 14:02;5;6;"Mandatory spending controlled by laws other than approps ex. SS, Medcare & Medicaid. Discretionary is appropriated per yr. #CBOMondays pic.twitter.com/DFhgYZSf2p";;;#CBOMondays;"846437307578232839";https://twitter.com/RepDavid/status/846437307578232839
;2017-03-27 13:59;2;0;"The path forward regarding healthcare and tax reform this morning on @SquawkCNBC : https://www. youtube.com/watch?v=tvrEnz 16s-g …";;@SquawkCNBC;;"846436599953047553";https://twitter.com/RepDavid/status/846436599953047553
;2017-03-21 13:04;4;3;"How ACA affects women in Maricopa County. Check out your county/state at https://www. manhattan-institute.org/sites/default/ files/knowyourrates/#04013 … pic.twitter.com/2Dx4RSbdvF";;;#04013;"844248333048856577";https://twitter.com/RepDavid/status/844248333048856577
;2017-03-21 13:03;1;3;"How ACA affects men in Maricopa County. Check out your county/state at https://www. manhattan-institute.org/sites/default/ files/knowyourrates/#04013 … pic.twitter.com/Cwt1SPzgeQ";;;#04013;"844248186361384963";https://twitter.com/RepDavid/status/844248186361384963
;2017-03-21 11:00;18;20;"The state of Obamacare in Arizona 2017 pic.twitter.com/tUBhP2Favn";;;;"844217102420660224";https://twitter.com/RepDavid/status/844217102420660224
;2017-03-20 14:21;3;3;"CBO's most recent report for 2017 to 2027 outlays for mandatory programs were $2.4 trillion in 2016, $133 billion more than 2015 #CBOMondays pic.twitter.com/JkuDkU9bGm";;;#CBOMondays;"843905284745641984";https://twitter.com/RepDavid/status/843905284745641984
;2017-03-15 10:04;0;3;"The Fed typically raises rates to prevent inflation and overheating. What are your thoughts on raising interest rates? pic.twitter.com/m8UJuH7Or7";;;;"842028861445550080";https://twitter.com/RepDavid/status/842028861445550080
;2017-03-13 11:56;3;4;"FY2017 - Social Security spending will increase by 3.3% , faster than last year b/c beneficiaries received a 0.3 COLA in Jan2017 #COBMonday pic.twitter.com/BvEqzbaoMj";;;#COBMonday;"841332060354572288";https://twitter.com/RepDavid/status/841332060354572288
;2017-03-09 14:41;1;0;"https://www. c-span.org/video/?c466044 8/schweikert-prescription-drug-tax …";;;;"839939319246819328";https://twitter.com/RepDavid/status/839939319246819328
;2017-03-09 03:13;2;3;"Finishing up votes and heading out of committee after 18hours of markup straight #repealobamacare";;;#repealobamacare;"839766099734446080";https://twitter.com/RepDavid/status/839766099734446080
;2017-03-08 21:45;43;144;"pic.twitter.com/HxWpoGzDxq";;;;"839683570004279296";https://twitter.com/RepDavid/status/839683570004279296
;2017-03-08 21:30;5;5;"pic.twitter.com/8FdgS2i7BQ";;;;"839679691128782848";https://twitter.com/RepDavid/status/839679691128782848
;2017-03-08 21:17;3;4;"This is the second of five final votes the Committee is scheduled to take during this markup.";;;;"839676558256275459";https://twitter.com/RepDavid/status/839676558256275459
;2017-03-08 21:17;2;3;"The W&M Committee just approved the Amendment in the Nature of Substitute re: Repealing of Tanning Tax.";;;;"839676507010256897";https://twitter.com/RepDavid/status/839676507010256897
;2017-03-08 19:55;3;3;"This is the first of five final votes the Committee is scheduled to take during this markup.";;;;"839655742458195969";https://twitter.com/RepDavid/status/839655742458195969
;2017-03-08 19:54;2;4;"After these 9 hours the W&M Committee approved the Amendment in the Nature of Substitute re: Remuneration from the Certain Insurers by 23-16";;;;"839655688381038592";https://twitter.com/RepDavid/status/839655688381038592
;2017-03-08 19:49;0;3;"It's over 9 hours, almost 10, of Committee mark up and all 13 Democrat amendments so far have been non-germane";;;;"839654396392837120";https://twitter.com/RepDavid/status/839654396392837120
;2017-03-08 16:08;3;3;"We still have not voted on the first section in our bill on remuneration as a result of Democrats’ stall tactics.";;;;"839598738360397826";https://twitter.com/RepDavid/status/839598738360397826
;2017-03-08 16:08;2;3;"(all of the amendments offered by Democrats have been voted down as non-germane) .. cont";;;;"839598661910859776";https://twitter.com/RepDavid/status/839598661910859776
;2017-03-08 16:07;1;3;"We started our markup at 10:30AM. It’s now after 4:30PM. Democrats have spent six hours focused on non-germane amendments ... cont";;;;"839598581527031808";https://twitter.com/RepDavid/status/839598581527031808
;2017-03-08 15:56;1;1;"pic.twitter.com/Ieyu4sq7xv";;;;"839595822748741632";https://twitter.com/RepDavid/status/839595822748741632
;2017-03-08 13:46;0;1;"Nearly 20 million Americans affected by Obamacare mandates on Health Savings Accounts. (SOURCE: AHIP) #ACAbythenumbers";;;#ACAbythenumbers;"839563014760239107";https://twitter.com/RepDavid/status/839563014760239107
;2017-03-08 13:15;1;2;"More than $1 trillion in taxes raised by Obamacare. (SOURCE: CONGRESSIONAL BUDGET OFFICE) #ACAbythenumbers";;;#ACAbythenumbers;"839555155402100737";https://twitter.com/RepDavid/status/839555155402100737
;2017-03-08 11:50;3;1;"2 million full-time equivalent workers that will be out of the workforce as a result of ACA by 2025 (SOURCE: CBO) #ACAbythenumbers";;;#ACAbythenumbers;"839533673649164288";https://twitter.com/RepDavid/status/839533673649164288
;2017-03-08 11:31;1;1;"$3 billion paid by taxpayers for individual mandate penalties. (SOURCE: INVESTOR’S BUSINESS DAILY) #ACAbythenumbers";;;#ACAbythenumbers;"839529060745244673";https://twitter.com/RepDavid/status/839529060745244673
;2017-03-08 11:08;3;3;"Up to $2,085 penalty levied per family on Americans who don’t obtain health insurance. (SOURCE: http:// HEALTHCARE.GOV ) #ACAbythenumbers";;;#ACAbythenumbers;"839523248626872320";https://twitter.com/RepDavid/status/839523248626872320
;2017-03-08 10:10;2;1;"34% fewer providers in Obamacare network compared to commercial plans (SOURCE: AVALERE) #ACAbythenumbers";;;#ACAbythenumbers;"839508717800415234";https://twitter.com/RepDavid/status/839508717800415234
;2017-03-08 09:54;3;3;"5, and growing: number of states offering only one insurance provider. (SOURCE: KAISER FAMILY FOUNDATION) #ACAbythenumbers";;;#ACAbythenumbers;"839504548637077504";https://twitter.com/RepDavid/status/839504548637077504
;2017-03-08 09:32;1;1;"75% are narrow networks: Percentage of plans sold on the Obamacare exchange that consisted of narrow networks. - WSJ #ACAbythenumbers";;;#ACAbythenumbers;"839498953498361857";https://twitter.com/RepDavid/status/839498953498361857
;2017-03-08 09:08;1;0;"Nearly 1/3 of US counties have only 1 insurer offering an exchange plan. - Time (the last two facts were NYT and the IRS) #ACAbythenumbers";;;#ACAbythenumbers;"839492963235409920";https://twitter.com/RepDavid/status/839492963235409920
;2017-03-08 09:02;2;0;"25% average increase in premiums for midlevel plans in 2017 for the millions of Americans trapped in ACA http:// healthcare.gov exchanges.";;;;"839491529760714752";https://twitter.com/RepDavid/status/839491529760714752
;2017-03-08 08:16;3;2;"19.2 million taxpayers who have paid (or exempt) from the individual mandate penalty; compared to 10.3 million plans paid for on exchanges.";;;;"839479907600187393";https://twitter.com/RepDavid/status/839479907600187393
;2017-03-07 13:23;5;4;"pic.twitter.com/cXVVHyY4cQ";;;;"839194743510806529";https://twitter.com/RepDavid/status/839194743510806529
;2017-03-07 08:41;2;3;"pic.twitter.com/44ABgJPIv0";;;;"839123937556590593";https://twitter.com/RepDavid/status/839123937556590593
;2017-03-07 08:26;3;0;"2016 - there were 182 counties in http:// HealthCare.gov states with only 1 insurer participating on the exchange. 2017 - there are 687";;;;"839120135847821316";https://twitter.com/RepDavid/status/839120135847821316
;2017-03-06 19:53;3;2;"In 2017, avg annual national premiums for Silver plan for a 40-year-old w/o a tax subsidy was $4,929. More than a $1,000 increase since 2014";;;;"838930470486347784";https://twitter.com/RepDavid/status/838930470486347784
;2017-03-06 19:50;4;8;"pic.twitter.com/yWJ5nTjoA8";;;;"838929941760786433";https://twitter.com/RepDavid/status/838929941760786433
;2017-03-06 19:27;1;2;"Across all 39 states using http:// HealthCare.gov , premiums increased on avg by 38.6% from 2014-2017- AZ premiums increased by 116% in 2017";;;;"838924151167537152";https://twitter.com/RepDavid/status/838924151167537152
;2017-03-06 17:19;7;5;"Obamacare has been a disaster for many Arizonans. It’s time to resolve the problems Obamacare has caused in Arizona and across our nation. pic.twitter.com/EhAsXusvU4";;;;"838891799259332608";https://twitter.com/RepDavid/status/838891799259332608
;2017-03-06 17:01;1;1;"https:// housegop.leadpages.co/healthcare/";;;;"838887224863248385";https://twitter.com/RepDavid/status/838887224863248385
;2017-03-06 16:27;1;0;"https://www. healthinsurance.org/arizona-state- health-insurance-exchange/ …";;;;"838878779669901312";https://twitter.com/RepDavid/status/838878779669901312
;2017-03-06 16:12;4;2;"6 health insurance companies will exit AZ’s marketplace in 2017... - AZ Central http:// azc.cc/2esf3Oy";;;;"838874855370014720";https://twitter.com/RepDavid/status/838874855370014720
;2017-03-06 13:20;10;4;"ACA has had a devastating effect on AZ’s exchanges; leaving 100s w/ no choice between plans and in some cases no affordable coverage at all. pic.twitter.com/ThaQ26RZBx";;;;"838831791326769153";https://twitter.com/RepDavid/status/838831791326769153
;2017-03-06 10:35;0;0;"In fiscal year 2016, the 1st time since 2009, the federal budget deficit increased in relation to the nation’s economic output. #CBOMondays pic.twitter.com/OdiMHBuEB3";;;#CBOMondays;"838790119016525824";https://twitter.com/RepDavid/status/838790119016525824
;2017-02-21 09:16;3;1;"This Crowdsourced Environmental Regulation would provide a city, county, or state with optionality. Learn more here: https://www. youtube.com/watch?v=TDOaAq S5Enk&t=1s …";;;;"834059243057717248";https://twitter.com/RepDavid/status/834059243057717248
;2016-08-03 15:45;8;26;"Congratulations to my interns and fellows finishing their internships in DC. I appreciate all of your hard work! pic.twitter.com/9GnqkCMd8L";;;;"760939627112960001";https://twitter.com/RepDavid/status/760939627112960001
;2016-03-30 11:41;10;27;"Our state is blessed to be home of the #A10 . I will continue to fight against its early retirement. pic.twitter.com/UlVfn1YbX6";;;#A10;"715217360429273090";https://twitter.com/RepDavid/status/715217360429273090
;2016-03-28 14:12;3;1;"Friends, Family, and Staff. Active shooter situation in the CVC hour ago, DC staff and tours acttd for. http:// bit.ly/1qbSm7d";;;;"714530613940723712";https://twitter.com/RepDavid/status/714530613940723712
;2016-03-24 10:46;7;5;"U.S official admits #Gitmo transfers have resulted in American deaths.";;;#Gitmo;"713029135690514432";https://twitter.com/RepDavid/status/713029135690514432
;2016-03-23 13:20;9;24;"It was a lazy day for our office pup Sarge. #happynationalpuppyday pic.twitter.com/7Bv0CEHtYf";;;#happynationalpuppyday;"712705485686833153";https://twitter.com/RepDavid/status/712705485686833153
;2016-03-23 12:11;8;16;"Happy #NationalPuppyDay !!! pic.twitter.com/Rn6BWHn5D7";;;#NationalPuppyDay;"712688235680571392";https://twitter.com/RepDavid/status/712688235680571392
;2016-03-22 06:46;12;11;"Heart broken to learn of the terror attacks in Belgium. Join me in praying for Brussels! #StayStrongBrussels pic.twitter.com/8thZ94CKcc";;;#StayStrongBrussels;"712243945347149824";https://twitter.com/RepDavid/status/712243945347149824
