username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-14 09:33;1;10;"The heroism of the @CapitolPolice saved lives today. I couldn’t be more grateful for their service to Members, our staff, & our country.";;@CapitolPolice;;"874998264864673792";https://twitter.com/RepDWStweets/status/874998264864673792
;2017-06-14 07:35;8;12;"Thinking of @SteveScalise and the entire @thehillbaseball family. These people were practicing to play baseball for charity. Just terrible.";;@SteveScalise @thehillbaseball;;"874968510274973697";https://twitter.com/RepDWStweets/status/874968510274973697
;2017-06-13 15:11;2;6;"TrumpCare opponents include: patients, doctors, nurses, hospitals, religious groups, and advocates for medical research & disability rights";;;;"874720967406366724";https://twitter.com/RepDWStweets/status/874720967406366724
;2017-06-13 12:21;2;4;"The Affordable Care expanded access to health care. TrumpCare restricts access to health care. Sometimes it really is that simple. pic.twitter.com/lQrJA0unYV";;;;"874678115360018433";https://twitter.com/RepDWStweets/status/874678115360018433
;2017-06-12 15:20;4;7;"Trump's proposed cuts to the @HolocaustMuseum are unacceptable. Our budget reflects our values & we should all value fighting anti-Semitism.";;@HolocaustMuseum;;"874360815650033665";https://twitter.com/RepDWStweets/status/874360815650033665
;2017-06-12 08:55;37;98;"In Orlando, across Florida, and the nation, let's pledge to always stand up for love - and never forget those we lost. #PulseNightclub pic.twitter.com/LRegOKYkzw";;;#PulseNightclub;"874263875432140801";https://twitter.com/RepDWStweets/status/874263875432140801
;2017-06-09 15:38;2;6;"The #WrongChoiceAct would make it easier for Wall Street to write its own rules. @NancyPelosi won't be silenced in speaking that truth. https:// twitter.com/nowthisnews/st atus/872982332155715584 …";;@NancyPelosi;#WrongChoiceAct;"873278263195467776";https://twitter.com/RepDWStweets/status/873278263195467776
;2017-06-09 09:42;6;6;"Without a single hearing, the GOP is trying to ram through a bill to allow discrimination against people with pre-existing conditions. https:// twitter.com/SenateDems/sta tus/873001941521108992 …";;;;"873188588351102976";https://twitter.com/RepDWStweets/status/873188588351102976
;2017-06-09 06:26;8;9;"The @HouseGOP abandoned consumers, investors and the safeguards we need to avoid another financial crisis with the #WrongChoiceAct pic.twitter.com/ovYtvM3dnt";;@HouseGOP;#WrongChoiceAct;"873139252695052288";https://twitter.com/RepDWStweets/status/873139252695052288
;2017-06-08 16:52;1;9;"Spoke with mayors and emergency officials today to monitor the impact of the heavy rains and flooding in South Florida. Please stay safe! pic.twitter.com/JfxxjIZaGP";;;;"872934287808638978";https://twitter.com/RepDWStweets/status/872934287808638978
