username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-09-06 14:35;5;3;"Christian Named County of the Month for September: http:// whitfield.house.gov/media-center/p ress-releases/christian-named-county-of-the-month-for-september … pic.twitter.com/tzs4nVI7vw";;;;"773243168636755969";https://twitter.com/RepEdWhitfield/status/773243168636755969
;2016-09-06 14:34;2;2;"Whitfield Announces Federal Grants to Marshall, Metcalfe, and Christian County Fire Departments: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-announces-federal-grants-to-marshall-metcalfe-and-christian …";;;;"773242885626003456";https://twitter.com/RepEdWhitfield/status/773242885626003456
;2016-08-17 11:44;3;6;"Whitfield Announces Federal Grant to Marshall County Fire Department: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-announces-federal-grant-to-marshall-county-fire-department …";;;;"765952330776866816";https://twitter.com/RepEdWhitfield/status/765952330776866816
;2016-08-08 12:12;3;2;"Whitfield Announces Federal Grant to Graves County Fire Department: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-announces-federal-grant-to-graves-county-fire-department …";;;;"762698032492216320";https://twitter.com/RepEdWhitfield/status/762698032492216320
;2016-08-02 11:52;4;7;"Whitfield Hosts Summer Fellow from Paducah: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-hosts-summer-fellow-from-paducah … pic.twitter.com/45aZkneDOA";;;;"760518771991871488";https://twitter.com/RepEdWhitfield/status/760518771991871488
;2016-08-02 11:51;4;5;"Whitfield Hosts New York Cadet through Joint Internship Program: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-hosts-new-york-cadet-through-joint-internship-program … pic.twitter.com/evSiFuy5yE";;;;"760518519826046977";https://twitter.com/RepEdWhitfield/status/760518519826046977
;2016-08-02 11:50;2;5;"Whitfield Hosts New Jersey Cadet through Joint Internship Program: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-hosts-new-jersey-cadet-through-joint-internship-program … pic.twitter.com/CzB9haRWrZ";;;;"760518217005662208";https://twitter.com/RepEdWhitfield/status/760518217005662208
;2016-07-26 15:41;4;8;"Whitfield Praises USDA Decision to Combat Horse Soring: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-praises-usda-decision-to-combat-horse-soring …";;;;"758039457195065344";https://twitter.com/RepEdWhitfield/status/758039457195065344
;2016-07-21 13:06;4;3;"Whitfield Announces Federal Grants to Hopkins, Christian, and Marshall County Fire Departments: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-announces-federal-grants-to-hopkins-christian-and-marshall …";;;;"756188564950491136";https://twitter.com/RepEdWhitfield/status/756188564950491136
;2016-07-21 10:33;2;1;"Whitfield Announces Grants for Monroe & Logan County Airports: http:// whitfield.house.gov/media-center/p ress-releases/whitfield-announces-grants-for-monroe-logan-county-airports …";;;;"756150125672669184";https://twitter.com/RepEdWhitfield/status/756150125672669184
